"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Peter Clarke","Chris Porter","John Rooney","Jordan Clarke","Dan Gardner","Zaine Francis-Angol","Liam Hogan","Jayson Leutwiler","Hallam Hope","Oscar Threlkeld","Lois Maynard","Harrison McGahey","Jack Stobbs","Mark Kitching","Devarn Green","Mathew Hudson","Mark Shelton","Magnus Norman","Ben Tollitt","Joe Nuttall","Bassala Sambou","Charlie Cooper","Mike Fondop-Talum","Josef Yarney","Nathan Sheron","Alex Reid","Luke Burgess","Ellis Chapman","Timmy Abraham","Junior Luamba","Conor Carty","Will Sutton","Charlie Wellens","Jordan Windass","Mitchell Roberts","Harry Vaughan","James Carragher","Benny Couto","Joseph Edwards","Oliver Kilner","Joseph McGlynn","David Okagbue","Sydie Peck"
"13",2022-09-03,"Chesterfield","0","2","national-league","H","",7852,1469,NA,NA,"Lewis Smith","Boundary Park",NA,NA,NA,"x y","x 1 off 32",NA,NA,"uu","x","x y",NA,NA,"uu",NA,NA,NA,NA,"x","x y",NA,NA,"sub 1 on 32 1","x 3 off 60",NA,"x",NA,"sub 2 on 60 2",NA,NA,"sub 3 on 60 3",NA,NA,"x 2 off 60",NA,"x y",NA,NA,NA,NA,NA,NA,"x",NA
"14",2022-09-13,"Woking","0","3","national-league","A","",1950,250,16,8,"Wayne Cartmel","Kingfield Stadium",NA,NA,NA,"sub 2 on 59 2",NA,NA,NA,"uu",NA,"x 1 off 46",NA,"x 2 off 59","x 3 off 71",NA,NA,NA,NA,"x","x",NA,NA,"x y","x y",NA,"x",NA,"sub 3 on 71 3",NA,NA,"uu",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,"sub 1 on 46 1","x",NA
"15",2022-09-17,"Eastleigh","3","2","national-league","H","",6637,92,14,12,"Aaron Jackson","Boundary Park",NA,NA,NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,"sub 1 on 54 1",NA,NA,NA,NA,"x","x",NA,NA,"x 2 off 54","sub 2 on 54 2 g 64",NA,"x y",NA,"x 1 g 3 off 54",NA,NA,"x 3 off 54",NA,NA,"x g 89",NA,"x","sub 3 on 54 3","x",NA,NA,NA,"uu","x",NA
"16",2022-09-24,"Bromley","0","3","national-league","A","",3628,401,15,5,"Gareth Rhodes","Hayes Lane",NA,NA,NA,NA,NA,NA,NA,"uu",NA,"x 3 off 71",NA,NA,"x",NA,NA,NA,NA,"x","x",NA,NA,"x","sub 2 on 46 2",NA,"x",NA,"x 2 off 46",NA,NA,"x",NA,NA,"x 1 off 46",NA,"x",NA,"x","sub 3 on 71 3","uu",NA,"sub 1 on 46 1",NA,NA
"17",2022-10-01,"Wrexham","1","2","national-league","H","",9496,2520,17,1,"","Boundary Park",NA,NA,"x","x 3 off 86 y",NA,NA,NA,"uu",NA,NA,NA,NA,"x 1 off 68",NA,NA,NA,NA,"x","x 2 off 82",NA,NA,"x","x g 26",NA,"x y",NA,NA,NA,NA,"sub 3 on 86 3",NA,NA,"sub 1 on 68 1",NA,"x","uu","x","sub 2 on 82 2",NA,NA,NA,"x",NA
"18",2022-10-04,"Scunthorpe United","2","2","national-league","H","",6074,406,16,23,"David Richardson","Boundary Park",NA,NA,"x","x",NA,NA,NA,"uu",NA,NA,NA,NA,"x 1 off 46",NA,NA,NA,NA,"x","x g pen 75",NA,NA,"x 2 off 64","x",NA,"x",NA,"sub 1 on 46 1 y",NA,NA,"sub 2 on 64 2",NA,NA,"uu",NA,"x",NA,"x","uu",NA,NA,NA,"x g 7",NA
"19",2022-10-08,"Maidenhead United","1","1","national-league","A","",1640,400,18,13,"Lloyd Wood","York Road",NA,NA,"x 2 off 75","x",NA,NA,NA,"uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x","x g 34",NA,NA,"x 1 off 46 y","x",NA,"x",NA,"sub 1 on 46 1",NA,NA,"sub 2 on 75 2",NA,NA,"uu",NA,"x",NA,"x","uu",NA,NA,NA,"x y",NA
"20",2022-10-15,"Chester City","1","1","fa-cup","H","",5342,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2022-10-18,"Chester City","2","2","fa-cup","A","",3651,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2022-10-22,"Yeovil Town","2","0","national-league","H","",6483,144,16,20,"Greg Rollason","Boundary Park",NA,NA,"x","x","x 1 off 19","x",NA,"uu",NA,"x 2 g 5 off 74","x",NA,NA,NA,NA,NA,NA,"x","x y",NA,NA,"sub 2 on 74 2","x g 73",NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"sub 1 on 19 1",NA,NA,NA,"x",NA
"23",2022-10-25,"Altrincham","0","1","national-league","A","",3553,1606,18,15,"Edward Duckworth","Moss Lane",NA,NA,"x","x 3 off 78",NA,"x",NA,"uu",NA,"x 1 off 49 y","x",NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"uu","x",NA,"x",NA,NA,NA,NA,NA,"sub 1 on 50 1",NA,"sub 3 on 78 3",NA,NA,"sub 2 on 62 2",NA,"x 2 off 62",NA,NA,NA,"x",NA
"24",2022-10-29,"FC Halifax Town","1","2","national-league","A","",4202,2404,NA,NA,"Andrew Miller","The Shay Stadium",NA,NA,"sub 1 on 68 1 y","x y",NA,"x",NA,"uu",NA,"x 1 off 68 y","x",NA,NA,NA,NA,NA,NA,"x","x g 77",NA,NA,"x y","x 2 off 68",NA,"x",NA,"sub 3 on 89 3",NA,"x",NA,"sub 2 on 68 2",NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,"x 3 off 89",NA
"25",2022-11-06,"Wrexham","0","3","fa-cup","A","",9113,715,NA,NA,"Samuel Barrott","Racecourse Ground (WRX)",NA,NA,"x","x 1 off 45 y",NA,"uu",NA,"x","x 3 off 83",NA,"x",NA,NA,NA,NA,NA,NA,"uu","x",NA,NA,"x y","sub 1 on 45 1",NA,"x",NA,"uu",NA,"x 2 off 70","uu","sub 2 on 70 2",NA,NA,NA,NA,"uu",NA,"sub 3 on 83 3",NA,"uu",NA,"x",NA
"26",2022-11-12,"Barnet","0","2","national-league","H","",6014,182,21,7,"Michael Barlow","Boundary Park","uu y",NA,"x 1 off 61",NA,"sub 1 on 61 1",NA,"x","uu","x",NA,"x y",NA,NA,"x",NA,NA,NA,"x","x y",NA,NA,NA,"sub 2 on 61 2",NA,"x y",NA,NA,NA,"x 3 off 80",NA,"sub 3 on 80 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","x 2 off 61"
"27",2022-11-19,"Maidstone United","0","0","national-league","A","",2772,257,21,20,"Paul Johnson","Gallagher Stadium","x y",NA,"uu",NA,"x y",NA,"x","uu","x",NA,"x",NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"uu",NA,"uu",NA,NA,NA,"uu","x"
"28",2022-12-03,"Solihull Moors","1","2","national-league","A","",2005,634,23,7,"Steven Copeland","The Autotech Stadium","x",NA,"sub 3 on 72 3 g 89",NA,"x 1 off 60",NA,"x y",NA,"x",NA,"sub 1 on 60 1",NA,NA,"x",NA,NA,NA,"x","x 2 off 60",NA,NA,NA,NA,NA,"x","x 3 off 72",NA,"x","sub 2 on 60 2",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,"x y"
"29",2022-12-06,"Boreham Wood","1","2","national-league","A","",801,186,23,8,"Jason Richardson","Meadow Park","x",NA,"sub 1 on 56 1",NA,"x 1 off 56",NA,"x y",NA,"x",NA,"uu",NA,NA,"x",NA,NA,NA,"x","x g 83",NA,NA,NA,NA,NA,"x","x 2 off 67",NA,"x","sub 2 on 67 2",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,"x y"
"30",2022-12-11,"Torquay United","3","2","national-league","H","",5615,87,21,22,"Paul Marsden","Boundary Park","x",NA,"x 3 off 83",NA,"uu",NA,"x",NA,"x 1 off 59",NA,"sub 3 on 83 3",NA,NA,"x",NA,NA,NA,"x","x g 64",NA,NA,NA,"sub 1 on 59 1",NA,"x","x 2 off 59",NA,"x","sub 2 on 59 2 g 74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x"
"31",2022-12-20,"Peterborough Sports","0","0","fa-trophy","H","",1785,31,NA,NA,"","Boundary Park",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2022-12-26,"Notts County","1","4","national-league","A","",9789,874,22,1,"Andrew Miller","Meadow Lane","x",NA,"sub 3 on 78 3",NA,"x 2 off 52 y",NA,"x",NA,NA,NA,"x 3 off 78",NA,NA,"x",NA,"uu",NA,"x","x","x g 5",NA,NA,"uu",NA,"x","sub 1 on 46 1",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 52 2",NA,NA,NA,NA,"x 1 off 46"
"33",2023-01-01,"Notts County","2","2","national-league","H","",7312,1249,20,1,"David Richardson","Boundary Park","x",NA,"sub 3 on 74 3 y","x y",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,"uu",NA,"x","x 3 off 74","x g pen 79",NA,NA,"x 2 off 63",NA,"x g 53","uu",NA,"x","sub 2 on 63 2",NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 58 1",NA,NA,NA,NA,"x 1 off 58"
"34",2023-01-07,"Dorking Wanderers","5","1","national-league","A","",2230,417,NA,NA,"","Meadowbank","x g 45",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,"uu",NA,"x","x 1 off 46","x 3 off 84",NA,NA,"x 2 g 18 34 56 off 69","sub 3 on 84 3","x","sub 2 on 69 2",NA,"x g 64 y","uu",NA,NA,"x",NA,NA,NA,NA,NA,"sub 1 on 46 1",NA,NA,NA,NA,"x"
"35",2023-01-14,"Gateshead","1","3","fa-trophy","A","",2228,100,NA,NA,"","Boundary Park","x g 34",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2023-01-24,"York City","2","0","national-league","H","",5930,714,20,15,"Greg Rollason","Boundary Park",NA,NA,"sub 1 on 76 1","x 3 off 87 y",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,"uu","x","x","x 1 off 76","x",NA,NA,"x 2 off 76","x g 41","x y",NA,NA,"x","sub 2 on 76 2 g 77",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,"sub 3 on 87 3"
"37",2023-01-28,"Aldershot Town","1","1","national-league","A","",2157,356,NA,NA,"Gary Parsons","The EEB Stadium","uu",NA,"sub 1 on 66 1","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,"uu","x","x","x","x y",NA,NA,"x g 48 y","x y","x",NA,NA,"x 1 off 66","uu",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"38",2023-02-04,"FC Halifax Town","0","1","national-league","H","",7459,566,NA,NA,"Dean Watson","Boundary Park","uu",NA,"sub 2 on 70 2","x 3 off 85",NA,NA,"x y",NA,NA,NA,NA,NA,NA,"x",NA,"uu","x","x","x 1 off 63","x",NA,NA,"x red@53","x y","x y","sub 3 on 85 3",NA,"x 2 off 70","sub 1 on 63 1 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2023-02-07,"Dagenham &amp; Redbridge","4","2","national-league","H","",5100,35,NA,NA,"Aaron Bannister","Boundary Park","uu",NA,"x 3 off 89",NA,"sub 1 on 16 1",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,"uu","x 1 off 16","x","x","x g pen 89 y",NA,NA,NA,"x g 60","x g 56","x 2 off 76",NA,"sub 3 on 89 3 g 90","sub 2 on 76 2",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2023-02-14,"Gateshead","2","2","national-league","H","",5845,76,19,21,"Edward Duckworth","Boundary Park","uu",NA,"x g 50",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,"uu",NA,"x","x 2 off 84","x",NA,NA,NA,"x","x","x 1 g 64 off 74",NA,"sub 2 on 84 2","sub 1 on 74 1 y",NA,NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"41",2023-02-18,"Maidstone United","2","0","national-league","H","",6409,163,16,24,"Scott Simpson","Boundary Park",NA,NA,"x",NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,"x","sub 1 on 56 1","uu","x 2 g 20 off 63","x","x 1 off 56","x",NA,NA,NA,"x","x","x g 90 y",NA,"sub 2 on 85 2","uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2023-02-21,"Gateshead","1","2","national-league","A","",1118,220,17,21,"Aaron Jackson","Gateshead International S",NA,NA,"x 3 off 85",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x","sub 2 on 80 2","uu","x","x","sub 3 on 85 3","x y",NA,NA,"sub 1 on 69 1","x","x","x 2 off 80",NA,"x 1 off 69",NA,NA,NA,"x g 54",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"43",2023-02-25,"Chesterfield","1","0","national-league","A","",7347,1306,NA,NA,"Paul Marsden","Proact Stadium","sub 3 on 82 3",NA,"x 3 off 82",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x y","x 2 g 6 off 68","uu","x","x y","sub 2 on 68 2","x 1 off 67",NA,NA,"sub 1 on 67 1","x","x","uu",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2023-02-28,"Barnet","3","1","national-league","A","",1299,167,15,4,"Robert Massey-Ellis","The Hive Stadium","sub 3 on 74 3 g 90",NA,"x y",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,"x g 5","x 3 off 74","uu","x","x","uu","x 2 off 46",NA,NA,"sub 1 on 46 1 g 62","x y","x","sub 2 on 46 2",NA,"x 1 off 46 y",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2023-03-04,"Boreham Wood","0","2","national-league","H","",6382,37,15,7,"Gareth Rhodes","Boundary Park","uu",NA,"x 1 off 69",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,"x","x","uu","x","x","sub 1 on 69 1","x 2 off 69",NA,NA,"x","x","x",NA,NA,"uu","sub 2 on 69 2",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2023-03-07,"Woking","1","0","national-league","H","",5347,192,14,3,"Scott Jackson","Boundary Park","x",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x","uu","uu","x","x",NA,"x 1 off 74",NA,NA,"sub 1 on 74 1","x","x g 90","x 2 off 87",NA,"uu","sub 2 on 87 2",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2023-03-11,"Eastleigh","0","1","national-league","A","",2670,447,14,5,"Wayne Cartmel","Silverlake Stadium","x",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x 2 off 77","sub 1 on 77 1 y","uu","x","x",NA,"x",NA,NA,"x 3 off 84","x","x",NA,NA,"uu","sub 2 on 84 2",NA,NA,"x 1 off 77",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"48",2023-03-18,"Dagenham &amp; Redbridge","1","1","national-league","A","",1659,212,NA,NA,"Gary Parsons","Victoria Road","uu",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x","x 3 off 64","x","x",NA,"sub 3 on 64 3","x","x 2 off 58",NA,"sub 2 on 58 2 g 84 y","x y","x 1 off 58",NA,NA,"sub 1 on 58 1",NA,NA,NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"49",2023-03-25,"Solihull Moors","1","1","national-league","H","",6685,170,15,8,"Michael Barlow","Boundary Park","uu",NA,"x 3 off 81 y",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x g 13","x","x","x",NA,NA,"x 2 off 72","x 1 off 71",NA,"sub 2 on 72 2","x","x",NA,NA,"sub 3 on 81 3","sub 1 on 71 1 y",NA,NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"50",2023-03-28,"Wealdstone","2","2","national-league","A","",1137,NA,14,9,"Richie Watkins","Grosvenor Vale","sub 1 on 58 1",NA,"x 2 off 58",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x","x 1 off 58","x","x",NA,NA,"x g 27 pen 61 y","x 3 off 71",NA,"sub 3 on 71 3","x y","x",NA,NA,"sub 2 on 58 2","uu",NA,NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"51",2023-04-01,"Wrexham","1","5","national-league","A","",9910,805,15,1,"James Durkin","Racecourse Ground (WRX)","x",NA,"x",NA,NA,NA,"x g 45",NA,NA,NA,NA,NA,NA,"x","uu","x",NA,"uu","sub 3 on 79 3","x 3 off 79","x 1 off 46",NA,"sub 1 on 46 1 red@89","x","x y",NA,NA,"x 2 off 74",NA,NA,NA,"x",NA,NA,NA,NA,NA,"sub 2 on 74 2",NA,NA,NA,NA,NA
"52",2023-04-07,"Altrincham","2","2","national-league","H","",7391,609,17,13,"Gareth Rhodes","Boundary Park","uu",NA,"x",NA,NA,NA,"x",NA,"sub 2 on 84 2",NA,NA,NA,NA,"x","x","uu","x","x","uu","x 2 g 22 off 84","sub 1 on 67 1 g 74",NA,NA,"x","x","x 1 off 67",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2023-04-10,"Scunthorpe United","2","0","national-league","A","",3754,958,15,23,"Scott Jackson","Glanford Park","sub 2 on 69 2 y",NA,"x",NA,NA,NA,"x 2 off 69 y",NA,"uu",NA,NA,NA,NA,"x","x g 32","uu","x y","x",NA,"x 1 off 18","sub 1 on 18 1 g pen 79",NA,NA,"x","x","x 3 off 74",NA,"sub 3 on 74 3",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2023-04-15,"Maidenhead United","1","0","national-league","H","",5815,56,14,19,"Scott Simpson","Boundary Park","uu",NA,"x 1 off 60",NA,"sub 1 on 60 1",NA,"x",NA,"sub 2 on 60 2",NA,NA,NA,NA,"x","x","uu","x y","x",NA,NA,"x 2 off 60 y",NA,NA,"x y","x y","x 3 g 3 off 81",NA,"sub 3 on 81 3",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2023-04-18,"Southend United","2","0","national-league","H","",5933,360,12,9,"Greg Rollason","Boundary Park",NA,NA,"x 1 off 46 y",NA,"uu",NA,"x",NA,"sub 2 on 46 2",NA,NA,NA,NA,"x y","x 3 off 62","uu","x","x","sub 3 on 62 3",NA,"x 2 off 46",NA,NA,"x","x","x g 43 y",NA,"sub 1 on 46 1 g 76",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2023-04-22,"Yeovil Town","3","0","national-league","A","",4016,480,10,22,"Paul Johnson","Huish Park",NA,NA,NA,NA,"x",NA,"x y",NA,NA,NA,NA,NA,NA,"x","x g 8",NA,"x y","x","uu","x 2 off 57","sub 2 on 57 2",NA,"sub 1 on 57 1 g 73 88","x","x y","x 1 off 57",NA,"x 3 off 75",NA,NA,NA,"x",NA,NA,NA,NA,NA,"sub 3 on 75 3",NA,NA,NA,NA,NA
"57",2023-04-29,"Bromley","1","1","national-league","H","",7482,192,12,7,"Richie Watkins","Boundary Park","sub 3 on 76 3",NA,NA,NA,"x 2 off 72",NA,"x",NA,"x 1 off 46",NA,NA,NA,NA,"x","x",NA,"x","x","sub 1 on 46 1","x g 44","uu",NA,"x 4 off 76",NA,"x","sub 2 on 72 2",NA,NA,NA,NA,NA,"x 3 off 76",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
