"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Neil Adams","Lee Duxbury","Shaun Garnett","Richard Graham","Gary Kelly","Scott McNiven","Paul Rickers","John Sheridan","Stuart Thom","Steve Whitehall","David McNiven","Andy Holt","Mark Allott","Ian McLean","Craig Dudley","Mark Innes","Junior Agogo (mer)","Philip Salt","David Miskelly","Matthew Tipton","Mark Hotte","Paul Beavers","Iain Swan","John Mohan","Danny Walsh","Ryan Sugden","Jordan Tait","Ben Futcher","Paul Jones","Danny Boshell"
"17",1999-11-02,"Wycombe Wanderers","2","2","league-division-2","H","",3807,NA,19,11,"Anthony Leake","Boundary Park","x 2 off 77","x",NA,"x","x","x","x g 3","x",NA,"sub 1 on 67 1 g 90",NA,"x","x 1 off 67",NA,"x","uu",NA,NA,NA,"sub 2 on 77 2","x",NA,NA,NA,NA,NA,NA,"uu",NA,NA
"18",1999-11-06,"Chesterfield","1","0","league-division-2","A","",2737,NA,16,23,"Anthony Bates","Recreation Ground (CSF)","x g 38","x",NA,"x","x","x","x","x",NA,"sub 2 on 77 2",NA,"x","x 2 off 77",NA,"x","uu",NA,NA,"uu","sub 3 on 90 3","x 1 off 69",NA,NA,NA,NA,NA,NA,"sub 1 on 69 1",NA,NA
"19",1999-11-09,"Millwall","2","1","league-division-2","H","",4209,NA,15,10,"K M Lynch","Boundary Park","x","x",NA,"x","x","x","x","x y",NA,"sub 1 on 80 1 g 88",NA,"x","x 1 off 80",NA,"x g 13","uu",NA,NA,"uu","uu","x y",NA,NA,NA,NA,NA,NA,"uu",NA,NA
"20",1999-11-14,"Colchester United","1","2","league-division-2","H","",5147,NA,15,22,"D Laws","Boundary Park","x 2 off 75","x",NA,NA,"x","x","x","x",NA,"sub 1 on 71 1",NA,"x","x 1 off 71","uu","x g 46",NA,NA,NA,"uu","sub 2 on 75 2","x",NA,NA,NA,"uu",NA,NA,"x",NA,NA
"21",1999-11-20,"Swansea City","1","0","fa-cup","H","",4332,NA,NA,NA,"M Fletcher","Boundary Park",NA,"x","x","x","x","x","x y","x",NA,"x g 45",NA,"x","x",NA,"x","uu",NA,NA,"uu","uu","uu",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"22",1999-11-23,"Bristol City","1","1","league-division-2","A","",8214,NA,15,19,"G P Barber","Ashton Gate",NA,"x y","x",NA,"x","x","x","x",NA,"x 1 off 74",NA,"x","x g 83",NA,NA,"x 2 off 82",NA,NA,"uu","sub 1 on 74 1","x",NA,NA,NA,"sub 2 on 82 2",NA,NA,"uu","uu",NA
"23",1999-11-27,"Wrexham","0","0","league-division-2","H","",4963,NA,14,18,"J A Kirkby","Boundary Park",NA,"x","x y",NA,"x","x","x","x",NA,"x 1 off 80",NA,"x y","x",NA,NA,"x",NA,NA,"uu","sub 1 on 80 1","x",NA,NA,NA,"uu",NA,NA,"uu","uu",NA
"24",1999-12-04,"Preston North End","0","2","league-division-2","A","",10970,NA,16,2,"MIke Pike","Deepdale",NA,"x","x",NA,"x","x","x","x y",NA,"x",NA,"x","x",NA,NA,"x 1 off 73",NA,NA,"uu","sub 1 on 73 1","x",NA,NA,NA,"uu",NA,NA,"uu","uu",NA
"25",1999-12-11,"Preston North End","1","2","fa-cup","A","",9940,NA,NA,NA,"P S Danson","Deepdale","x g 85","x","x",NA,"x","x","x","x",NA,"x 1 off 67",NA,"x","x",NA,"sub 1 on 67 1","uu",NA,NA,"uu","uu","x red@69",NA,NA,NA,NA,NA,NA,"uu",NA,NA
"26",1999-12-18,"Cambridge United","3","2","league-division-2","A","",3162,NA,15,23,"Richard Beeby","Abbey Stadium","x g 34","x g 78 y","x y",NA,"x","x","x","x",NA,"x 1 off 71",NA,"x","x g 11",NA,"sub 1 on 71 1","uu",NA,NA,"uu","sub 2 on 90 2","x",NA,NA,NA,NA,NA,NA,NA,"uu",NA
"27",1999-12-26,"Scunthorpe United","1","1","league-division-2","H","",5998,NA,15,19,"P Walton","Boundary Park","x","x","x",NA,"x","x","x","x",NA,"x 2 g 31 off 72",NA,"x","x 1 off 61 y",NA,"sub 1 on 61 1 y","uu",NA,NA,"uu","sub 2 on 72 2",NA,NA,NA,NA,NA,NA,NA,"uu","x",NA
"28",1999-12-28,"Stoke City","0","0","league-division-2","A","",13709,NA,15,8,"Trevor Parkes","bet365 Stadium","x","x","x",NA,"x","x y","x","x",NA,"x 2 off 77",NA,"x","x 1 off 56",NA,"sub 1 on 56 1","uu",NA,NA,"uu","sub 2 on 77 2","x",NA,NA,NA,NA,NA,NA,NA,"uu",NA
"29",2000-01-03,"AFC Bournemouth","1","0","league-division-2","H","",5160,NA,15,10,"T Heilbron","-","x","x","x",NA,"x","x","x","x",NA,"x 1 off 74",NA,"x","x g 27",NA,"sub 1 on 74 1","uu",NA,NA,"uu","uu","x",NA,NA,NA,NA,NA,NA,NA,"uu",NA
"30",2000-01-07,"Wigan Athletic","1","0","league-division-2","A","",6487,NA,14,1,"G B Frankland","JJB Stadium","x y","x g 86","x",NA,"x","x","x","x",NA,"x 1 off 77",NA,"x","x",NA,"uu","uu",NA,NA,"uu","sub 1 on 77 1","x",NA,NA,NA,NA,NA,NA,NA,"uu",NA
"31",2000-01-11,"Stoke City","A","A","auto-windscreens-shield-2nd-round---northern-section","H","",3673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2000-01-15,"Brentford","3","0","league-division-2","H","",4967,NA,12,9,"Alan Kaye","Boundary Park","x","x 1 off 79","x",NA,"x","x","x 2 off 82","x",NA,"x",NA,"x g 33","x g 61 pen 76",NA,NA,"sub 1 on 79 1",NA,NA,"uu","sub 2 on 82 2","x","uu",NA,NA,NA,NA,NA,NA,"uu",NA
"33",2000-01-18,"Stoke City","0","1","auto-windscreens-shield-2nd-round---northern-section","H","",4682,NA,NA,NA,"T Jones","Boundary Park","x","x","x 3 off 106",NA,"x","x","x 1 off 74","x",NA,"x 2 off 74",NA,"x","x",NA,NA,"uu",NA,NA,"uu","sub 1 on 74 1","x","sub 2 on 74 2",NA,NA,NA,NA,NA,NA,"sub 3 on 106 3",NA
"34",2000-01-22,"Burnley","0","3","league-division-2","A","",12391,NA,14,5,"S J Lodge","Turf Moor","x","x","x","uu","x","x y","x","x",NA,"x 1 off 70",NA,"x",NA,NA,NA,"uu",NA,NA,"uu","x","x",NA,NA,NA,NA,"sub 1 on 70 1",NA,NA,"uu",NA
"35",2000-01-29,"Oxford United","2","0","league-division-2","H","",4780,NA,11,21,"G Stretton","Boundary Park","x","x","x","sub 2 on 77 2","x","x","x 2 off 77","x",NA,"x g 32 88",NA,"x","x 1 off 17",NA,NA,"uu",NA,NA,"uu","sub 1 on 17 1","x",NA,NA,NA,NA,NA,NA,NA,"uu",NA
"36",2000-02-05,"Millwall","0","1","league-division-2","A","",8303,NA,14,4,"Anthony Bates","The Den","x","x","x","x","x","x y","x",NA,NA,"x",NA,"x",NA,NA,NA,"uu",NA,NA,"uu","x red@35","x y",NA,NA,NA,NA,"uu",NA,NA,"uu","uu"
"37",2000-02-12,"Gillingham","1","3","league-division-2","H","",5144,NA,15,7,"A N Butler","Boundary Park","x","x","x g 7 y","x","x","x","x 1 off 56",NA,NA,"x 3 off 71",NA,"x",NA,NA,"sub 1 on 56 1",NA,NA,NA,"uu","x 2 off 71 y","x",NA,NA,NA,NA,"sub 3 on 71 3",NA,NA,"uu","sub 2 on 71 2"
"38",2000-02-19,"Wrexham","3","0","league-division-2","A","",3603,NA,13,19,"R Pearson","Racecourse Ground (WRX)","x","x y","x","x g 11","x",NA,"x",NA,"uu","x g 51",NA,"x",NA,NA,"x 1 g 73 off 87",NA,NA,NA,"uu",NA,"x y","uu",NA,NA,NA,"sub 1 on 87 1",NA,NA,"x","uu"
"39",2000-02-26,"Bristol Rovers","1","4","league-division-2","H","",5839,NA,14,1,"R Olivier","Boundary Park","x 1 off 42","x","x y","x y","x","x y","x","sub 1 on 42 1",NA,"x 2 off 55",NA,"x",NA,NA,"x g 67","uu",NA,NA,"uu",NA,"x",NA,NA,NA,NA,"sub 2 on 55 2",NA,NA,"uu",NA
"40",2000-03-04,"Bury","2","2","league-division-2","A","",5306,NA,14,16,"Michael Ryan","Gigg Lane",NA,NA,"x","x","x","x y","x g 66","x","uu","x 1 g 16 off 87",NA,"x",NA,NA,"x y","x",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"sub 1 on 87 1",NA,NA,"x","uu"
"41",2000-03-11,"Wycombe Wanderers","0","0","league-division-2","A","",4471,NA,15,12,"D J Gallagher","Causeway Stadium",NA,"x 1 off 89",NA,NA,"x","x","x","x","uu","x",NA,"x",NA,NA,"x","x",NA,NA,"uu",NA,"x","uu",NA,NA,NA,NA,NA,"uu","x","sub 1 on 89 1"
"42",2000-03-18,"Bristol City","1","1","league-division-2","H","",4808,NA,15,11,"Phil Dowd","Boundary Park",NA,"x","x","uu","x","x","x","x",NA,"x g 46",NA,"x","sub 1 on 85 1",NA,"x 1 off 85","uu",NA,NA,"uu",NA,"x y",NA,NA,NA,NA,"uu",NA,NA,"x",NA
"43",2000-03-21,"Colchester United","1","0","league-division-2","A","",3282,NA,14,16,"S Bennett (do not use)","Layer Road",NA,"x","x y","uu","x","x","x 2 off 72 y","x y",NA,"x 1 off 69",NA,"x g 22","sub 1 on 69 1",NA,"x","sub 2 on 72 2",NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","uu"
"44",2000-03-25,"Scunthorpe United","2","1","league-division-2","A","",3807,NA,13,22,"E K Wolstenholme","Glanford Park",NA,"x","x g 4","uu","x","x","x g 38","x",NA,"sub 1 on 52 1",NA,"x","x",NA,"x 1 off 52","uu",NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","uu"
"45",2000-04-01,"Cambridge United","1","0","league-division-2","H","",4988,NA,11,20,"M J Brandwood","Boundary Park",NA,"x","x",NA,"x","x","x 1 off 62","x",NA,"x 2 off 67",NA,"x g 75","x",NA,NA,"sub 1 on 62 1",NA,NA,"uu",NA,"x",NA,NA,NA,NA,"sub 2 on 67 2",NA,"uu","x","uu"
"46",2000-04-04,"Stoke City","0","1","league-division-2","H","",4474,NA,11,7,"Keith Hill","Boundary Park",NA,"x y","x",NA,"x","x","x",NA,NA,"x",NA,"x",NA,NA,NA,"uu",NA,"uu","uu","sub 1 on 81 1","x 1 off 81",NA,NA,NA,NA,"x",NA,"sub 2 on 90 2","x","x"
"47",2000-04-08,"AFC Bournemouth","0","3","league-division-2","A","",3808,NA,13,11,"Steve Tomlin","Dean Court",NA,"x","x 1 off 58",NA,"x","x","sub 3 on 73 3","x",NA,"sub 2 on 65 2",NA,"x","x 2 off 65",NA,NA,"x",NA,NA,"uu",NA,"x",NA,NA,NA,NA,"x 3 off 73",NA,"sub 1 on 58 1","x","uu"
"48",2000-04-11,"Wigan Athletic","2","1","league-division-2","H","",5697,NA,11,2,"R D Furnandiz","Boundary Park",NA,"x",NA,NA,"x","x","x","x y","uu","x",NA,"x",NA,NA,NA,"x",NA,"sub 1 on 90 1","uu","x g 42","x",NA,NA,NA,NA,NA,NA,"uu","x g 87","uu"
"49",2000-04-18,"Chesterfield","1","2","league-division-2","H","",4012,NA,12,24,"K A Leach","Boundary Park",NA,"x",NA,NA,"uu","x",NA,NA,"x y","x g 15",NA,"x",NA,NA,NA,"x 1 off 50",NA,"x","x","x 2 off 58","x",NA,NA,NA,"uu","sub 2 on 58 2 y",NA,"uu","x","sub 1 on 50 1"
"50",2000-04-22,"Cardiff City","1","2","league-division-2","H","",4549,NA,12,20,"Richard Beeby","Boundary Park",NA,"x","x","sub 1 on 50 1","uu","x",NA,NA,"x g 15","x 3 off 83",NA,"x",NA,NA,"x",NA,NA,"x 2 off 68","x",NA,"x 1 off 50 y",NA,NA,NA,NA,"sub 3 on 83 3",NA,"uu","x","sub 2 on 68 2"
"51",2000-04-24,"Notts County","1","0","league-division-2","A","",3728,NA,11,8,"Anthony Leake","Meadow Lane",NA,NA,"x",NA,"x","x",NA,NA,"x","sub 2 on 70 2",NA,"x 1 off 62",NA,NA,"x",NA,NA,"x","uu","sub 1 on 62 1 g 76","x",NA,NA,NA,"uu","x 2 off 70",NA,"uu","x","x"
"52",2000-04-29,"Blackpool","1","1","league-division-2","H","",6290,NA,11,22,"Paul Robinson","Boundary Park",NA,"x","x",NA,"x","x",NA,NA,"x","x 1 off 65",NA,"x 2 off 76",NA,NA,"x 3 off 89","sub 1 on 65 1",NA,"uu","uu","sub 2 on 76 2","x",NA,NA,NA,NA,"sub 3 on 89 3 g 90",NA,NA,"x","x"
"53",2000-05-06,"Luton Town","1","1","league-division-2","A","",5963,NA,14,13,"G B Frankland","Kenilworth Road",NA,"x","x",NA,"x","x",NA,"sub 2 on 62 2","x 1 off 53","uu",NA,"x",NA,NA,"x 3 off 75","x",NA,NA,"uu","sub 3 on 75 3 g pen 90","x",NA,NA,NA,NA,"sub 1 on 53 1",NA,NA,"x","x 2 off 62"
