"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Chris Eagles","David Jones","David Wheater","Christopher McCann","Filipe Alexandre Morais","Jean-Louis Akpa Akpro","Gary Woods","Zak Mills","Carl Piergianni","Christopher Missilou","Danny Rowe","Urko Vera","Gregor Zabret","Emmanuel Dieseruvwe","Scott Wilson","Dominic McHale","Gevaro Nepomuceno","Zeus de la Paz","Alex Iacovitti","Sohny Sefil","Cameron Borthwick-Jackson","Jonny Smith","Jamie Stott","Mohammed Maouche","Christian N&#039;Guessan","Zachary Dearnley","Ashley Smith-Brown","Tom Hamer","Desire Segbe Azankpo","Tomas Egert","Johan Branger","Marvin Kokos","Kielen Adams","Javid Swaby-Neavin","Harry Robinson","Mohamad Sylla","Callum Dolan","Florian Gonzales","Dylan Fage","Ellis Allen","Taylor Jones","Lewis McKinney","Reece Gaskell","Zak Emmerson","Jack Grundy"
"12",2019-08-31,"Colchester United","0","1","league-two","H","",3091,145,22,14,"Josh Smith","Boundary Park","x",NA,"x",NA,NA,NA,"x","uu",NA,"x 3 off 76",NA,"sub 3 on 76 3","uu",NA,"x 2 off 63 y",NA,NA,NA,"x","uu",NA,NA,"uu","x",NA,NA,"x 1 off 56","x","sub 2 on 63 2 y",NA,"sub 1 on 56 1",NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA
"13",2019-09-07,"Plymouth Argyle","2","2","league-two","A","",9061,143,22,8,"Will Finnie","Home Park",NA,NA,"x g 77",NA,"x 2 off 88 y",NA,"x","sub 3 on 89 3 y",NA,"x",NA,"uu","uu",NA,"x 1 off 58","sub 2 on 88 2",NA,NA,"x y",NA,NA,"uu","uu","x 3 off 89 y",NA,NA,NA,"x","sub 1 on 58 1",NA,"x g 27",NA,NA,NA,NA,"x y",NA,NA,"x",NA,NA,NA,NA,NA,NA
"14",2019-09-14,"Grimsby Town","2","2","league-two","H","",3789,783,20,9,"Sam Purkiss","Boundary Park","uu",NA,"x",NA,"x 2 g 66 off 89",NA,"x","sub 2 on 89 2",NA,"x g 19",NA,"uu","uu",NA,"uu",NA,NA,NA,"x",NA,NA,"sub 1 on 78 1","uu","x",NA,NA,NA,"x","x",NA,"x 1 off 78",NA,NA,NA,NA,"x y",NA,NA,"x",NA,NA,NA,NA,NA,NA
"15",2019-09-17,"Scunthorpe United","2","2","league-two","A","",3020,NA,21,23,"Darren Drysdale","Glanford Park","x 1 off 65",NA,"x",NA,"x y",NA,"x","sub 3 on 89 3 y",NA,"x g 62 y",NA,NA,"uu",NA,"uu","uu",NA,NA,"x",NA,NA,"sub 2 on 75 2","uu","x 3 off 89",NA,NA,NA,"x","x",NA,"x 2 g 64 off 75 y",NA,NA,NA,NA,"sub 1 on 65 1",NA,NA,"x y",NA,NA,NA,NA,NA,NA
"16",2019-09-21,"Morecambe","3","1","league-two","H","",3305,275,20,22,"Leigh Doughty","Boundary Park","uu",NA,"x",NA,"x 1 off 72",NA,NA,"x",NA,"x",NA,NA,"uu",NA,"uu",NA,NA,"x","x",NA,NA,"sub 1 on 72 1 g 89","uu","x g 33",NA,NA,"uu","x","x g 51",NA,"x",NA,NA,NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"17",2019-09-28,"Carlisle United","0","1","league-two","A","",4321,516,20,16,"Marc Edwards","Brunton Park","sub 1 on 64 1",NA,"x",NA,"x 1 off 64",NA,"x","x",NA,"x y",NA,NA,NA,NA,"sub 2 on 64 2",NA,NA,"uu","x",NA,NA,"uu","uu","x",NA,NA,NA,"x","x 2 off 64","uu","x 3 off 73",NA,NA,NA,NA,"x",NA,NA,"sub 3 on 73 3",NA,NA,NA,NA,NA,NA
"18",2019-10-05,"Cheltenham Town","1","1","league-two","H","",3496,182,21,5,"Alan Young","Boundary Park","uu",NA,"x",NA,"x 1 g 9 off 77",NA,NA,NA,NA,"x",NA,NA,"uu",NA,"sub 2 on 78 2",NA,NA,"x","x",NA,NA,"x 2 off 78","uu","x y",NA,NA,"uu","x y","x","x 3 off 80",NA,NA,"sub 1 on 77 1",NA,NA,"x y",NA,NA,"sub 3 on 80 3",NA,NA,NA,NA,NA,NA
"19",2019-10-08,"Accrington Stanley","0","3","efl-trophy","H","",1107,177,NA,NA,"Ben Toner","Boundary Park",NA,NA,"uu",NA,"sub 1 on 45 1",NA,NA,NA,NA,"x 3 off 79",NA,NA,"x",NA,"x",NA,NA,NA,"x",NA,NA,"x 2 off 74","x","uu",NA,NA,"sub 3 on 79 3","x",NA,"x y",NA,"sub 2 on 74 2","x 1 off 45 y",NA,NA,"x",NA,"uu","x red@45","uu",NA,NA,NA,NA,NA
"20",2019-10-12,"Mansfield Town","1","6","league-two","A","",4368,441,21,15,"Lee Swabey","Field Mill","uu",NA,"x",NA,"x y red@38",NA,"x",NA,NA,"x",NA,"x 1 off 39","uu",NA,"uu",NA,NA,NA,"x",NA,NA,"x","sub 1 on 39 1","x 2 off 62",NA,NA,"sub 2 on 74 2","x g 43",NA,"x red@37",NA,NA,"uu",NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"21",2019-10-19,"Macclesfield Town","0","1","league-two","H","",4428,458,21,9,"Ross Joyce","Boundary Park","sub 3 on 89 3",NA,"x","x y",NA,NA,"uu",NA,NA,"x",NA,NA,NA,NA,"sub 1 on 59 1",NA,NA,"x","x",NA,NA,"x","x","x 2 off 69 y",NA,NA,"uu","x","x 1 off 59 y",NA,NA,NA,"uu",NA,NA,"x 3 off 89 y",NA,NA,NA,NA,NA,"sub 2 on 69 2","uu",NA,NA
"22",2019-10-22,"Walsall","2","0","league-two","H","",2438,199,20,19,"Ollie Yates","Boundary Park","sub 1 on 85 1",NA,"x","x","x 1 off 85",NA,"uu",NA,NA,"x",NA,NA,NA,NA,"x 3 g 55 off 89","uu",NA,"x","x y",NA,NA,"x","x",NA,NA,NA,"uu","x","x 2 g 69 off 86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","sub 3 on 89 3","sub 2 on 86 2",NA
"23",2019-10-26,"Port Vale","0","0","league-two","A","",4301,505,19,11,"Robert Lewis","Vale Park","sub 2 on 85 2",NA,"x","x","x 2 off 85",NA,"uu",NA,NA,"x",NA,NA,NA,NA,"x 1 off 82","uu",NA,"x","x",NA,NA,"x","x",NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,"sub 1 on 82 1","uu","uu","uu"
"24",2019-11-02,"Northampton Town","2","2","league-two","H","",3274,353,20,9,"Peter Wright","Boundary Park","x",NA,"x","x","x 2 off 79",NA,"uu",NA,NA,"x 3 off 82",NA,NA,NA,NA,"sub 1 on 68 1 g 85",NA,NA,"x","x",NA,NA,"x g 89","x","sub 2 on 79 2",NA,NA,NA,"x","x 1 off 68","uu",NA,NA,NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,"sub 3 on 82 3",NA
"25",2019-11-10,"Gateshead","2","1","fa-cup","A","",2199,772,NA,NA,"Josh Smith","Gateshead International S","x 2 off 60",NA,NA,"x y","x g 28",NA,"uu","sub 3 on 76 3",NA,"x 1 off 12",NA,NA,NA,NA,"x",NA,NA,"x","x y",NA,NA,"x g 77","x","sub 1 on 12 1",NA,NA,NA,"x",NA,"x 3 off 76 y",NA,NA,"uu",NA,NA,"sub 2 on 60 2",NA,NA,"uu",NA,NA,NA,NA,"uu",NA
"26",2019-11-13,"Fleetwood Town","2","5","efl-trophy","A","",535,NA,NA,NA,"Andy Haines","Highbury Stadium","x 2 off 45",NA,NA,"x","x 1 off 45",NA,NA,"x",NA,NA,NA,NA,NA,NA,"sub 2 on 45 2",NA,NA,"x","x",NA,NA,"x g 25","x","sub 1 on 45 1",NA,NA,"uu","x","sub 3 on 65 3 g 78",NA,NA,NA,"uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,"uu","x 3 off 65",NA
"27",2019-11-23,"Newport County","1","0","league-two","A","",3748,207,20,11,"Craig Hicks","Rodney Parade","uu",NA,"x","x","x y",NA,"uu","x g 45",NA,"x",NA,NA,NA,NA,"uu",NA,NA,"x","x",NA,NA,"x","x","uu",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,"uu",NA
"28",2019-11-30,"Burton Albion","0","1","fa-cup","H","",2858,359,NA,NA,"Andy Davies","Boundary Park",NA,"uu","x","x","x","sub 2 on 78 2 y","uu","x",NA,"x 1 off 30",NA,NA,NA,NA,"sub 3 on 86 3",NA,NA,"x","x 3 off 86 y",NA,NA,"x","x","sub 1 on 30 1 y",NA,NA,NA,"x","x 2 off 78",NA,NA,NA,NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"29",2019-12-07,"Leyton Orient","1","1","league-two","H","",3121,352,21,19,"Alan Young","Boundary Park",NA,"x","x y","x y","sub 2 on 68 2","x 3 off 79","uu","x",NA,NA,NA,NA,NA,NA,"x 1 off 66",NA,NA,"x","x 2 off 68",NA,NA,"x g 2","x","sub 1 on 66 1 y",NA,NA,NA,"x","sub 3 on 79 3","uu",NA,NA,NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"30",2019-12-14,"Swindon Town","0","2","league-two","A","",6825,NA,22,1,"David Rock","The County Ground","uu","x 2 off 65","x","x","sub 1 on 53 1",NA,"uu","x y",NA,NA,NA,NA,NA,NA,"uu",NA,NA,"x","x y",NA,NA,"x","x 1 off 27","x",NA,NA,NA,"x","x","uu",NA,NA,NA,NA,NA,"uu",NA,NA,"sub 2 on 65 2",NA,NA,NA,NA,NA,NA
"31",2019-12-21,"Crawley Town","2","1","league-two","H","",2737,55,20,19,"Martin Coy","Boundary Park","sub 2 on 82 2",NA,"x g 49","x",NA,"x 1 off 37","uu","x",NA,NA,NA,NA,NA,NA,"sub 1 on 37 1",NA,NA,"x","x",NA,NA,"x",NA,"x 2 g 58 off 82",NA,NA,"uu","x","x 3 off 89","sub 3 on 89 3",NA,NA,"uu",NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"32",2019-12-26,"Morecambe","2","1","league-two","A","",2797,786,17,23,"Anthony Backhouse","Globe Arena","sub 2 on 80 2",NA,"x","x y","x 1 off 69","uu","uu","x",NA,NA,NA,NA,NA,NA,"sub 1 on 69 1",NA,NA,"x","x",NA,NA,"x",NA,"x 2 off 80",NA,NA,NA,"x","x 3 g 30 off 88","sub 3 on 88 3",NA,NA,NA,NA,NA,"x g 75",NA,NA,"uu",NA,NA,NA,NA,"uu",NA
"33",2019-12-29,"Salford City","1","4","league-two","H","",5278,773,18,11,"Darren Handley","Boundary Park","sub 3 on 64 3",NA,"x","x 2 off 61","x 3 off 64","uu","uu","x",NA,NA,NA,NA,NA,NA,"sub 2 on 61 2",NA,NA,"x",NA,NA,NA,"x",NA,"x",NA,NA,NA,"x","x g 58","x 1 off 23",NA,NA,"uu",NA,NA,"x",NA,NA,"sub 1 on 23 1 y",NA,NA,NA,NA,"uu",NA
"34",2020-01-01,"Scunthorpe United","0","2","league-two","H","",2972,378,21,12,"Graham Salisbury","Boundary Park","uu","x 3 off 65","x",NA,"x 1 off 45","x 2 off 45","uu","x",NA,"sub 3 on 65 3",NA,NA,NA,NA,"sub 2 on 45 2",NA,NA,"x","x",NA,NA,"x",NA,"sub 1 on 45 1",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"x",NA,NA,"uu",NA,"uu",NA,NA,NA,NA
"35",2020-01-04,"Cheltenham Town","0","3","league-two","A","",3029,216,21,5,"Brett Huxtable","Whaddon Road","sub 1 on 67 1","x 2 off 73","x",NA,NA,"uu","uu","x y",NA,"x 3 off 80",NA,NA,NA,NA,"x",NA,"x","x","x 1 off 67",NA,NA,NA,NA,"sub 2 on 73 2","uu",NA,NA,"x","x",NA,"sub 3 on 80 3",NA,NA,NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"36",2020-01-11,"Macclesfield Town","1","1","league-two","A","",2205,872,21,17,"Peter Wright","The Moss Rose Ground",NA,"x 3 off 82","x red@90",NA,NA,NA,"x","uu","x","x 2 off 72 y",NA,NA,NA,"x 1 off 47","sub 1 on 47 1",NA,"x","uu",NA,NA,NA,"x g 85",NA,"sub 3 on 82 3","sub 2 on 72 2",NA,NA,"x","x","uu",NA,NA,NA,NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"37",2020-01-14,"Stevenage","0","0","league-two","A","",2156,NA,19,24,"Kevin Johnson","Lamex Stadium",NA,"x 2 off 56 y","x y",NA,NA,NA,"x 1 off 50","x y","x","x",NA,NA,NA,NA,"sub 3 on 81 3",NA,"x 3 off 81","sub 1 on 50 1",NA,NA,NA,"x",NA,"uu","x","uu",NA,"x","x","uu","uu",NA,NA,NA,NA,"sub 2 on 56 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2020-01-18,"Carlisle United","1","1","league-two","H","",3977,573,19,22,"Robert Lewis","Boundary Park",NA,NA,"x",NA,NA,NA,NA,"x","x","x 2 off 67","x",NA,NA,NA,"uu",NA,"uu","x","uu",NA,NA,"x g 42",NA,"x","x","sub 2 on 72 2",NA,"x","x 1 off 30 y",NA,"uu",NA,NA,NA,NA,"sub 1 on 67 1",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"39",2020-01-25,"Salford City","1","1","league-two","A","",3646,1328,21,12,"Josh Smith","Moor Lane",NA,NA,"x",NA,NA,NA,NA,"x y",NA,"sub 2 on 69 2","x g 83",NA,NA,NA,"uu",NA,"sub 3 on 73 3 y","x","x",NA,"uu","x",NA,"x 1 off 61 y","x 3 off 73","sub 1 on 61 1",NA,"x","x 2 off 69","uu",NA,NA,NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"40",2020-01-28,"Mansfield Town","3","1","league-two","H","",2961,395,18,22,"Michael Salisbury","Boundary Park",NA,NA,"x",NA,NA,NA,NA,"uu","x","x 2 off 85","x",NA,NA,NA,"uu",NA,"x 3 g 58 off 88","x",NA,NA,"x","x g 23",NA,"sub 1 on 64 1","sub 2 on 85 2","x 1 off 64",NA,"x g 43","uu",NA,"sub 3 on 88 3",NA,NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"41",2020-02-01,"Bradford City","3","0","league-two","H","",5198,1925,NA,NA,"Ben Toner","Boundary Park",NA,NA,"x","sub 3 on 87 3",NA,NA,NA,"sub 2 on 60 2","x y","x 3 off 87","x",NA,NA,NA,"uu",NA,"x 2 off 60","x",NA,NA,"x y","x g 20",NA,"sub 1 on 31 1 g 45","uu","x 1 g 11 off 31",NA,"x",NA,NA,"uu",NA,NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"42",2020-02-08,"Crewe Alexandra","1","2","league-two","A","",5271,1262,17,2,"Sam Purkiss","Alexandra Stadium",NA,NA,"x","uu",NA,NA,NA,"x 2 off 89","x","x","x",NA,NA,"sub 2 on 89 2","uu",NA,"x y","x",NA,NA,NA,"x g 48 y",NA,"x 1 off 82","uu",NA,NA,"x",NA,NA,"sub 1 on 82 1",NA,NA,NA,NA,"x",NA,NA,"uu","uu",NA,NA,NA,NA,NA
"43",2020-02-11,"Exeter City","1","5","league-two","A","",3527,74,19,3,"Keith Stroud","St James Park",NA,NA,"x g 23 red@42","x y",NA,NA,NA,"sub 1 on 44 1","x","x","x 3 off 71",NA,NA,"sub 3 on 71 3","uu",NA,"uu","x",NA,NA,"x","x",NA,"uu","sub 2 on 59 2",NA,NA,"x",NA,NA,"x 1 off 44",NA,NA,NA,NA,"x 2 off 59",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"44",2020-02-15,"Forest Green Rovers","1","1","league-two","H","",2720,107,18,10,"Marc Edwards","Boundary Park",NA,NA,NA,"x",NA,NA,"x","x","x","x 2 off 74 y","x",NA,NA,"uu","uu",NA,"x g 56","uu",NA,NA,"x","x 3 off 83",NA,"sub 1 on 66 1","uu","x 1 off 66",NA,"x",NA,NA,"sub 3 on 83 3",NA,NA,NA,NA,"sub 2 on 74 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2020-02-22,"Leyton Orient","2","2","league-two","A","",5334,522,19,18,"James Oldham","Breyer Group stadium",NA,NA,"x","x y",NA,NA,"x","x y","x","x 1 off 75","x",NA,NA,"sub 2 on 86 2",NA,NA,"uu","uu",NA,NA,"uu","x",NA,"sub 1 on 75 1","uu","x 2 g 15 18 off 86",NA,"x y",NA,NA,"uu",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2020-02-29,"Newport County","5","0","league-two","H","",2912,147,17,16,"Thomas Bramall","Boundary Park",NA,NA,"x","x 2 off 86",NA,NA,NA,NA,"x","sub 2 on 86 2","x g 25 52",NA,NA,NA,NA,NA,"x","x",NA,NA,"x","x g 83",NA,"sub 1 on 66 1","sub 3 on 89 3","x 1 g 27 off 66",NA,"x g 62","uu","uu","uu",NA,NA,NA,NA,"x 3 off 89",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"47",2020-03-07,"Crawley Town","0","3","league-two","A","",2037,186,18,12,"Charles Breakspear","Broadfield Stadium",NA,NA,"x 1 off 40","x",NA,NA,NA,NA,"x","uu","x",NA,NA,NA,NA,NA,"x","x",NA,NA,"x 3 off 79","x",NA,"sub 2 on 65 2","sub 1 on 40 1","x 2 off 65",NA,"x","uu",NA,"sub 3 on 79 3",NA,NA,NA,NA,"x",NA,NA,"uu","uu",NA,NA,NA,NA,NA
