"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Mark Bonner","Chris Day","David Eyres","Andy Liddell","Rob Scott","Chris Swailes","Luke Beckett","Guy Branston","Delroy Facey","Paul Warne","Chris Killen","Terrell Forbes","Ritchie Wellens","Richard Butcher","Lee Grant","Gareth Owen","Paul Edwards","Lance Cronin","Will Haining","Adam Griffin","Les Pogliacomi","Danny Hall","Chris Porter","Marc Tierney","Matthew Wolfenden","Michael Poke","Mark Hughes","Anthony Grant","Stefan Stam","Terry Smith","Jason Taylor","Chris Hall","Chris Taylor","Neal Eardley"
"14",2005-10-09,"Brentford","0","1","league-one","H","",5089,235,15,3,"Anthony Bates","Boundary Park",NA,"x","x","x","x 1 off 73 y",NA,"x","x y",NA,"sub 1 on 73 1","x 2 off 74","x","x",NA,NA,NA,NA,NA,NA,NA,NA,"x","sub 2 on 74 2","uu",NA,NA,"x",NA,NA,"uu","uu",NA,NA,NA
"15",2005-10-15,"Swansea City","0","0","league-one","A","",14029,239,14,3,"Phil Joslin","Liberty Stadium",NA,"x","x y","x","x y",NA,"x 1 off 78","x",NA,"x","uu","x","x",NA,NA,NA,NA,NA,NA,NA,NA,"x","sub 1 on 78 1","uu",NA,NA,"x",NA,NA,"uu","uu",NA,NA,NA
"16",2005-10-18,"Carlisle United","1","1","ldv-vans-trophy","H","",2226,216,NA,NA,"Kevin Wright","-",NA,"x y","x","x g pen 78","x",NA,"x 2 off 72","x",NA,"x",NA,"x 1 off 72","x 3 off 119",NA,NA,NA,NA,NA,NA,NA,NA,"x","sub 3 on 119 3","sub 1 on 72 1",NA,NA,"x",NA,NA,"uu",NA,"sub 2 on 72 2","uu",NA
"17",2005-10-22,"Bristol City","4","3","league-one","H","",5456,579,10,19,"Paul Robinson","-",NA,"x","x 1 off 69","x g 87","x",NA,"uu","x",NA,"x",NA,"sub 2 on 84 2","x 2 g 25 off 84",NA,NA,NA,"sub 1 on 69 1",NA,NA,NA,NA,"x","x g 56","x",NA,NA,"x g 4",NA,NA,"uu",NA,"uu",NA,NA
"18",2005-10-29,"Scunthorpe United","2","4","league-one","A","",5055,613,14,6,"P Melin","Glanford Park",NA,"x","x","x g 17 33","x",NA,"sub 1 on 45 1","x",NA,"x",NA,"sub 2 on 59 2","x",NA,NA,NA,"uu",NA,NA,NA,NA,"x 2 off 59","x 1 off 45","x",NA,NA,"x",NA,NA,"uu",NA,"uu",NA,NA
"19",2005-11-06,"Chasetown","1","1","fa-cup","A","",1997,435,NA,NA,"Carl Boyeson","-",NA,"x 2 off 70","x g 31","x","x",NA,"sub 1 on 65 1",NA,NA,"x 3 off 81",NA,"uu","x",NA,NA,"x","uu","sub 2 on 70 2",NA,NA,NA,"x y","x 1 off 65","x",NA,NA,"x",NA,NA,NA,NA,"sub 3 on 81 3",NA,NA
"20",2005-11-13,"Doncaster Rovers","0","1","league-one","H","",5800,1024,17,16,"Neil Swarbrick","Boundary Park",NA,"x","x 1 off 70","x",NA,NA,"sub 2 on 70 2",NA,NA,"x",NA,"x","x","uu",NA,"x","sub 1 on 70 1","uu",NA,NA,NA,"x","x 2 off 70","x",NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA
"21",2005-11-16,"Chasetown","4","0","fa-cup","H","",7235,2436,NA,NA,"Carl Boyeson","Boundary Park",NA,"x","sub 2 on 82 2","x 1 off 79",NA,NA,"uu",NA,NA,"x g 31",NA,"x","x 2 off 82","x y",NA,"x","x","uu","uu",NA,NA,"x","x g 56 75",NA,NA,NA,"x y",NA,NA,NA,NA,"sub 1 on 79 1 g 84 y",NA,NA
"22",2005-11-19,"Brentford","3","3","league-one","A","",5450,306,17,5,"P Armstrong","Griffin Park",NA,"x","uu","x",NA,NA,"uu",NA,NA,"x y",NA,"x","x y","x",NA,"x","x y","uu","uu",NA,NA,"x","x 1 g 11 21 23 off 52",NA,NA,NA,"x",NA,NA,NA,NA,"sub 1 on 52 1",NA,NA
"23",2005-11-26,"Yeovil Town","2","0","league-one","A","",5852,347,16,17,"Andy Penn","-",NA,"x","uu","x","uu",NA,"uu","x",NA,"x g 39 82",NA,"x","x","x",NA,"uu","x y red@87","uu","x",NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"24",2005-12-03,"Brentford","1","1","fa-cup","H","",4365,416,NA,NA,"Paul Robinson","Boundary Park",NA,"x","uu","x g pen 57","sub 1 on 7 1",NA,"sub 2 on 76 2","x y",NA,"x",NA,"x","x","x",NA,"uu",NA,"uu","x 1 off 7",NA,NA,NA,"x 2 off 76","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"25",2005-12-06,"Walsall","2","1","league-one","H","",3878,177,12,14,"Mike Jones","Boundary Park",NA,"x","uu","x","x",NA,"uu","x",NA,"x g 72",NA,"x","x","x",NA,"uu","x","uu",NA,NA,NA,NA,"x g 34","uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"26",2005-12-10,"Swindon Town","2","2","league-one","H","",5354,220,13,24,"C Oliver","Boundary Park",NA,"x","uu","x g 71","x",NA,"sub 1 on 54 1","x y",NA,"x",NA,"x","x g 56","x",NA,"uu","x","uu",NA,NA,NA,NA,"x 1 off 54","uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"27",2005-12-13,"Brentford","0","1","fa-cup","A","",3146,172,NA,NA,"Steve Tanner","Griffin Park",NA,"x","uu","x","x y",NA,"x 2 off 77 y","x y",NA,"x y",NA,"x","x","x 1 off 12",NA,"sub 1 on 12 1 y red@74","x","uu",NA,NA,NA,NA,NA,"sub 2 on 77 2",NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA
"28",2005-12-17,"Chesterfield","1","1","league-one","A","",4304,567,12,7,"Andy Woolmer","Recreation Ground (CSF)",NA,"x","uu","x","x y",NA,"x 2 off 78",NA,NA,"x g 47",NA,"x","x 1 off 63",NA,NA,NA,"x","uu",NA,NA,NA,"x","sub 2 on 78 2","uu",NA,NA,"x",NA,"x",NA,NA,"sub 1 on 63 1",NA,NA
"29",2005-12-26,"Bradford City","2","1","league-one","H","",6982,1189,NA,NA,"Carl Boyeson","Boundary Park",NA,"x","uu","x",NA,NA,"x 2 g 13 off 77","x y",NA,"x y",NA,NA,"x y","x g 8",NA,"x","x","uu",NA,NA,NA,"x 1 off 45","sub 2 on 77 2","uu",NA,NA,"x",NA,"sub 1 on 45 1",NA,NA,NA,NA,NA
"30",2005-12-31,"Hartlepool United","2","1","league-one","H","",5047,228,8,16,"R Booth","Boundary Park",NA,"x","uu","x g 61","uu",NA,"x g 37","x",NA,"x",NA,"uu","x","x",NA,"x","x","uu",NA,NA,NA,NA,"uu",NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,NA
"31",2006-01-02,"Milton Keynes Dons","1","0","league-one","A","",5082,331,8,24,"Mick Russell","-",NA,"x","uu","x","uu",NA,"x 2 g 43 off 77","x y",NA,NA,NA,"x",NA,"x",NA,"x 1 off 6","x","uu",NA,NA,NA,NA,"x","sub 1 on 33 1",NA,NA,"x",NA,"x",NA,NA,"sub 2 on 77 2",NA,NA
"32",2006-01-07,"Southend United","0","0","league-one","H","",5662,323,7,1,"Kevin Friend","Boundary Park",NA,"x","sub 2 on 77 2","x",NA,"sub 1 on 51 1","x 3 off 77","x",NA,"x","sub 3 on 77 3","x","x","x 2 off 77",NA,NA,"x 1 off 51 y","uu",NA,NA,NA,NA,"uu",NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,NA
"33",2006-01-10,"Blackpool","0","1","league-one","A","",5977,1053,8,21,"Phil Dowd","Bloomfield Road",NA,"x","sub 1 on 70 1","x",NA,"x","x 3 off 71","x",NA,"x 1 off 70","sub 2 on 71 2","x","x y","x 2 off 71",NA,NA,NA,"uu","uu",NA,NA,NA,"sub 3 on 71 3",NA,NA,NA,"x y",NA,"x",NA,NA,NA,NA,NA
"34",2006-01-14,"Nottingham Forest","0","3","league-one","A","",17807,1354,8,10,"S Dorr","City Ground",NA,"x","uu","x","sub 3 on 72 3","x","sub 1 on 69 1","x",NA,"x","x 1 off 69","x 2 off 70","x",NA,NA,NA,"x","uu","x 3 off 72",NA,NA,NA,NA,NA,NA,NA,"sub 2 on 70 2","x",NA,NA,NA,NA,NA,NA
"35",2006-01-21,"Gillingham","2","0","league-one","H","",5783,273,8,17,"Gary Sutton","Boundary Park",NA,"x","sub 2 on 67 2","x",NA,"x","sub 3 on 75 3 g 84 87","x",NA,"x 3 off 75","x 1 off 54","x","x",NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,NA,NA,NA,"x","x 2 off 67","uu",NA,NA,"sub 1 on 54 1",NA,NA
"36",2006-01-28,"Huddersfield Town","2","3","league-one","A","",12973,1958,NA,NA,"Anthony Leake","John Smith's Stadium",NA,"x","x 1 off 76",NA,NA,"x y","x g 33","x",NA,"x 2 off 76",NA,"x","x","x",NA,NA,"x","uu",NA,NA,NA,NA,"x g 13",NA,NA,NA,"uu","uu","sub 1 on 76 1",NA,NA,"sub 2 on 76 2",NA,NA
"37",2006-02-04,"Port Vale","0","1","league-one","H","",5555,354,8,11,"Mike Jones","-",NA,"uu","x 2 off 84",NA,NA,"x","x","x",NA,"x 3 off 84",NA,"x","x","x 1 off 64","x",NA,"x",NA,NA,NA,NA,NA,NA,"uu","sub 3 on 84 3",NA,"sub 1 on 64 1",NA,"sub 2 on 84 2",NA,NA,"x",NA,NA
"38",2006-02-11,"AFC Bournemouth","0","0","league-one","A","",5453,304,8,11,"Keith Hill","Vitality Stadium",NA,"uu",NA,NA,NA,"x","x","x",NA,NA,NA,"x","x","x","x","uu","x",NA,NA,NA,NA,NA,NA,"uu",NA,NA,"x","uu","x",NA,NA,"x","uu",NA
"39",2006-02-15,"Nottingham Forest","3","0","league-one","H","",5584,694,7,11,"","Boundary Park",NA,"uu",NA,NA,NA,"x y","x g 82","x y",NA,NA,NA,NA,"x g 53","x g 73","x",NA,"x",NA,"sub 2 on 90 2",NA,NA,NA,"x 1 off 75","uu",NA,NA,"x","uu","x",NA,NA,"sub 1 on 75 1","x",NA
"40",2006-02-18,"Walsall","2","0","league-one","A","",5816,584,7,20,"Jonathan Moss","Banks's Stadium",NA,"uu",NA,NA,NA,"x","x g 72","x",NA,"x g 74",NA,NA,"x","x","x","uu","x",NA,"sub 1 on 19 1",NA,NA,NA,NA,"uu",NA,NA,"x 2 off 70",NA,"x 1 off 19",NA,NA,"sub 2 on 70 2","x y",NA
"41",2006-02-25,"Tranmere Rovers","1","0","league-one","H","",5281,NA,7,15,"Graham Salisbury","Boundary Park",NA,"uu",NA,NA,NA,"x","x","x",NA,"x 1 off 69",NA,"uu","x g 35","x","x","uu","x",NA,"x y",NA,NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA,NA,"sub 1 on 69 1","x",NA
"42",2006-03-11,"Colchester United","1","0","league-one","H","",5822,NA,7,5,"Darren Drysdale","Boundary Park",NA,"uu",NA,NA,NA,"x",NA,"x",NA,"x",NA,"sub 2 on 73 2","x y","x g 90","x","uu","x",NA,"x",NA,NA,NA,"x 1 off 67","uu",NA,NA,"x 2 off 73",NA,NA,NA,NA,"sub 1 on 67 1 y","x",NA
"43",2006-03-14,"Rotherham United","0","2","league-one","A","",5823,NA,7,20,"J Singh","Millmoor",NA,"uu",NA,NA,NA,"x","x 3 off 72","x",NA,"x 1 off 72",NA,"uu","x","x 2 off 72 y","x",NA,"x",NA,"x",NA,NA,NA,"sub 2 on 72 2","sub 1 on 72 1",NA,NA,"x",NA,NA,NA,NA,"sub 3 on 72 3","x",NA
"44",2006-03-18,"Bradford City","4","1","league-one","A","",7959,NA,NA,NA,"Kevin Wright","-",NA,"uu","uu",NA,NA,"x","x g 17 82","x",NA,"x 2 g 16 off 70 y",NA,"sub 1 on 37 1","x 1 off 37","x g 34 y","x",NA,"x y",NA,"x",NA,NA,NA,NA,"uu",NA,NA,"x",NA,NA,NA,NA,"sub 2 on 70 2","x",NA
"45",2006-03-25,"Blackpool","3","1","league-one","H","",6480,NA,7,23,"A R Hall","-",NA,"uu",NA,NA,NA,NA,"x g 45 55 pen 86","x",NA,"x",NA,"x","x 1 off 78","x","x","uu","x",NA,"x",NA,NA,"sub 1 on 78 1","uu",NA,NA,NA,"x",NA,NA,NA,NA,"uu","x",NA
"46",2006-03-31,"Hartlepool United","1","1","league-one","A","",5259,NA,5,19,"Kevin Friend","-",NA,"uu",NA,NA,NA,NA,"x g pen 45","x y",NA,"x",NA,"x","x","x","x","uu","x",NA,"x y",NA,NA,"uu","uu",NA,NA,NA,"x y",NA,NA,NA,NA,"sub 1 on 76 1","x 1 off 76",NA
"47",2006-04-08,"Milton Keynes Dons","1","2","league-one","H","",5919,NA,7,24,"Neil Swarbrick","-",NA,"uu",NA,NA,NA,"x 1 off 63","x g pen 28",NA,NA,"x",NA,"sub 1 on 63 1","x","x 2 off 68","x","x","x",NA,"x",NA,NA,NA,"sub 2 on 68 2","uu",NA,NA,"x",NA,NA,NA,NA,"sub 3 on 68 3","x 3 off 68",NA
"48",2006-04-15,"Barnsley","0","3","league-one","H","",7772,NA,8,5,"Andy Penn","-",NA,"uu","sub 3 on 74 3",NA,NA,"x 1 off 51","x",NA,NA,"x",NA,"sub 1 on 51 1","x","x","x","x","x",NA,"x",NA,NA,NA,"sub 2 on 64 2",NA,NA,NA,"x 2 off 64",NA,NA,NA,NA,"uu","x 3 off 74",NA
"49",2006-04-17,"Bristol City","1","2","league-one","A","",12779,NA,8,10,"P Crossley","-",NA,"uu","x 2 off 88",NA,NA,NA,"x g 45","x",NA,"x 1 off 77",NA,"x","x","sub 2 on 88 2","x","uu","x y",NA,"x",NA,NA,NA,"x","uu",NA,NA,"x y",NA,NA,NA,NA,NA,"sub 1 on 77 1",NA
"50",2006-04-22,"Swansea City","1","1","league-one","H","",5179,NA,8,6,"Trevor Kettle","-",NA,NA,"x",NA,NA,NA,"x g pen 60","x",NA,"x",NA,"x","x 2 off 65 y","sub 2 on 65 2","x","uu","x",NA,"x",NA,NA,NA,NA,"uu",NA,NA,"x",NA,NA,"uu",NA,"sub 1 on 57 1","x 1 off 57",NA
"51",2006-04-29,"Doncaster Rovers","0","1","league-one","A","",6104,NA,9,8,"Richard Beeby","-",NA,"uu","x 2 off 75",NA,NA,NA,"x","x",NA,"x",NA,"x","x","x","x","uu","x",NA,NA,NA,NA,"x",NA,"sub 2 on 75 2","uu",NA,"x 1 off 69 y",NA,NA,NA,NA,NA,"sub 1 on 69 1",NA
"52",2006-05-06,"Scunthorpe United","1","1","league-one","H","",5544,NA,9,12,"MIke Pike","-",NA,"uu","x 2 g 45 off 73",NA,NA,NA,"x","x",NA,"x",NA,"uu","x","x 3 off 86","x",NA,"x",NA,"x",NA,NA,NA,NA,"sub 2 on 73 2",NA,NA,"sub 3 on 86 3",NA,NA,NA,NA,"x 1 off 66","sub 1 on 66 1","x"
