"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Mark Bonner","John Eyre","David Eyres","Paul Murray","Darren Sheridan","John Sheridan","Dean Crowe","Michael Clegg","Dean Holden","David Beharall","Steve Corry","Chris Killen","Danny Boshell","Jermaine Johnson","Mark Hudson","Matt O&#039;Halloran","Gareth Owen","Will Haining","Adam Griffin","Les Pogliacomi","Adam Collin","Mickael Antoine-Curier","Scott Vernon","Ernie Cooksey","Danny Hall","Calvin Zola","Chris Grange","Marc Tierney","Rob Walker","Carlos Roca","Kangana Lord Ndiwa","David Carney","Christopher Hall","Craig Fleming","Steven Schumacher","Keiren Westwood","Matthew Wolfenden","Wes Wilkinson","Kelvin Lomax","Matty Barlow"
"11",2003-09-27,"Luton Town","3","0","league-division-2","H","",6077,NA,16,14,"MIke Pike","Boundary Park",NA,"x 3 off 74 y","x","x","sub 1 on 64 1","x 1 g pen 30 off 64",NA,"x","x g 47",NA,NA,"sub 2 on 71 2",NA,NA,"x","uu",NA,NA,NA,"x","uu",NA,"x 2 off 71","sub 3 on 74 3","x","x g 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2003-09-30,"Stockport County","2","0","league-division-2","H","",7015,NA,9,21,"Graham Salisbury","Boundary Park",NA,"x","x y","x y","sub 2 on 70 2","x 2 g pen 11 off 70",NA,"x y","x",NA,NA,"sub 1 on 27 1",NA,NA,"x y","sub 3 on 79 3",NA,NA,NA,"x","uu",NA,"x 3 g 46 off 79","uu","x","x 1 off 27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2003-10-04,"Peterborough United","2","2","league-division-2","A","",4465,NA,11,20,"B Curson","London Road",NA,"x 1 off 25",NA,NA,"x","x g pen 57",NA,"x",NA,"x 2 off 84",NA,"x y red@90","sub 1 on 25 1",NA,"x","sub 2 on 84 2",NA,NA,NA,"x",NA,NA,"x 3 off 84","x g 8 y","x",NA,"uu","uu",NA,NA,NA,NA,"sub 3 on 84 3",NA,NA,NA,NA,NA,NA,NA
"14",2003-10-11,"Port Vale","2","1","league-division-2","H","",6913,NA,9,3,"Mike Jones","Boundary Park",NA,"x","x 3 g 87 off 89","x","sub 1 on 73 1","x 1 off 73 y",NA,"x","x","uu",NA,"x 2 g 71 off 88",NA,NA,"x y","uu",NA,NA,NA,"x",NA,NA,"sub 2 on 88 2","sub 3 on 89 3","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2003-10-14,"Hartlepool United","3","3","ldv-vans-trophy","H","",3575,NA,NA,NA,"G Stretton","Boundary Park",NA,NA,NA,"x 2 off 78 y","x",NA,NA,"x","sub 2 on 78 2","x",NA,NA,"x g 71",NA,"x","sub 1 on 45 1",NA,NA,NA,"x",NA,NA,"x g 22","x 3 off 99",NA,"x 1 g 6 off 45","uu","x y",NA,"sub 3 on 99 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2003-10-18,"Tranmere Rovers","1","2","league-division-2","A","",8202,NA,11,19,"Anthony Bates","Prenton Park",NA,"x g 30","x 3 off 84","x","sub 3 on 84 3","x 1 off 72",NA,"x","x y","uu",NA,NA,"uu",NA,"x","sub 2 on 78 2",NA,NA,NA,"x",NA,NA,"x 2 off 78","sub 1 on 72 1","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2003-10-21,"Wrexham","0","4","league-division-2","A","",3963,NA,16,11,"M D Messias","Racecourse Ground (WRX)",NA,"x y",NA,"x","x","x 2 off 59",NA,"x","x y","x",NA,"x 3 off 62","uu",NA,NA,"sub 2 on 59 2 y",NA,NA,NA,"x",NA,NA,"sub 1 on 58 1","sub 3 on 62 3","x 1 off 58","x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2003-10-25,"AFC Bournemouth","1","1","league-division-2","H","",5850,NA,15,3,"G Laws","Boundary Park",NA,"x y",NA,"x","sub 1 on 82 1","x 1 off 82",NA,"x","x","x",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"x",NA,NA,"x g 30","x","x","x",NA,NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2003-11-01,"Plymouth Argyle","2","2","league-division-2","A","",11205,NA,16,1,"M Warren","Home Park",NA,"x",NA,"x y red@76","sub 3 on 74 3","x red@43",NA,"x 2 off 62","x y","x g 10 63",NA,NA,"uu",NA,NA,"sub 2 on 62 2",NA,"x 1 off 45",NA,"x",NA,NA,"x 3 off 74","x","sub 1 on 45 1","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2003-11-03,"Bury","1","2","ldv-vans-trophy","A","",3102,NA,NA,NA,"P Prosser","Gigg Lane",NA,"x 2 off 61 y",NA,"sub 2 on 61 2","x",NA,NA,"x","x","x",NA,NA,"x 1 off 61",NA,NA,"x 3 off 67",NA,NA,NA,"x",NA,NA,"x g 90","sub 1 on 61 1","x","x",NA,"uu",NA,"sub 3 on 67 3",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"21",2003-11-08,"Carlisle United","3","0","fa-cup","H","",4391,NA,NA,NA,"C Webster","Boundary Park",NA,NA,NA,NA,"x 1 off 33 y","x 2 off 80",NA,"x","x","x",NA,NA,"sub 1 on 33 1",NA,NA,"sub 2 on 80 2",NA,NA,NA,"x",NA,NA,"x","x g 37 78","x","x 3 g 35 off 80",NA,"uu","uu","x",NA,NA,"sub 3 on 80 3",NA,NA,NA,NA,NA,NA,NA
"22",2003-11-15,"Swindon Town","0","1","league-division-2","H","",5282,NA,18,10,"M Cowburn","Boundary Park",NA,"x",NA,NA,NA,NA,NA,"x 1 off 63","x","x",NA,NA,"x 3 off 85",NA,NA,"sub 2 on 73 2",NA,"x y",NA,"x",NA,NA,"x","x","x 2 off 73","x",NA,"uu",NA,"sub 1 on 63 1",NA,NA,NA,NA,NA,"uu","sub 3 on 85 3",NA,NA,NA
"23",2003-11-22,"Chesterfield","1","1","league-division-2","A","",3565,NA,18,23,"Trevor Parkes","Recreation Ground (CSF)",NA,NA,NA,NA,NA,NA,NA,"x","x","x",NA,NA,"x 1 off 83 y",NA,NA,"x y",NA,"x","uu","x",NA,NA,"x","x","x y","x g 55",NA,"sub 1 on 83 1",NA,"uu",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA
"24",2003-11-29,"Notts County","0","1","league-division-2","H","",5190,NA,19,22,"Michael Ryan","-",NA,"x y",NA,NA,NA,NA,NA,"sub 1 on 45 1","x","x 1 off 45",NA,NA,NA,"x","x y",NA,NA,"x","sub 3 on 81 3","x",NA,NA,"x 2 off 65","x","x 3 off 81 y","x y",NA,"uu",NA,"sub 2 on 65 2",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"25",2003-12-06,"Blackpool","2","5","fa-cup","H","",6143,NA,NA,NA,"G Laws","Boundary Park",NA,"x g 61 y","sub 3 on 76 3","x 3 off 76",NA,"x",NA,"x","x 1 off 29","x 2 off 45",NA,NA,"x","x g 90",NA,NA,NA,"x","sub 1 on 29 1","x",NA,NA,"uu","x","sub 2 on 45 2",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2003-12-13,"Colchester United","1","2","league-division-2","A","",2897,NA,19,5,"Paul Robinson","Layer Road",NA,"x 1 off 60","sub 2 on 61 2 g 66","x",NA,NA,NA,"x","uu","uu",NA,NA,"x 2 off 61 y","x y",NA,NA,NA,"x","x y","x",NA,NA,"sub 1 on 60 1","x y","x y","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"27",2003-12-20,"Queens Park Rangers","2","1","league-division-2","H","",5603,NA,19,2,"Carl Boyeson","Boundary Park",NA,"x g 86","x 2 off 83","x",NA,NA,NA,"x",NA,NA,NA,NA,"sub 2 on 83 2","x","x",NA,NA,"x","x","x",NA,NA,"sub 1 on 73 1","x g 67 y","uu","x 1 off 73",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"28",2003-12-26,"Grimsby Town","3","3","league-division-2","A","",6172,NA,17,16,"Graham Salisbury","Blundell Park",NA,"x","sub 2 on 74 2","x",NA,NA,NA,"x",NA,NA,NA,NA,"x 2 off 74","x g 19","x",NA,NA,"x y","x","x",NA,NA,"sub 1 on 68 1 g 73","x 3 g 32 off 88","uu","x 1 off 68",NA,NA,NA,"sub 3 on 88 3",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"29",2003-12-28,"Hartlepool United","0","2","league-division-2","H","",6243,NA,18,10,"Joe Ross","Boundary Park",NA,"x y","x",NA,NA,NA,NA,"x","sub 3 on 86 3",NA,NA,NA,"x 1 off 77","x","x",NA,NA,"x","x 3 off 86 y","x",NA,NA,"sub 1 on 77 1","x y","uu","x 2 off 77",NA,NA,NA,"sub 2 on 77 2",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"30",2004-01-03,"Brentford","1","1","league-division-2","H","",4990,NA,18,19,"Nigel Miller","Boundary Park",NA,"x",NA,"x","x 1 off 14","x y",NA,"uu","x",NA,NA,NA,"sub 1 on 14 1","x",NA,NA,NA,"x","x 2 off 71","x",NA,NA,"x g 54","sub 2 on 71 2","x",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"31",2004-01-10,"Brighton &amp; Hove Albion","0","0","league-division-2","A","",6036,NA,NA,NA,"P S Danson","Withdean Stadium",NA,"x","uu","x",NA,"sub 1 on 83 1",NA,"uu","x",NA,NA,NA,"x","x",NA,NA,NA,"x y","x 2 off 89","x",NA,NA,"x 1 off 83","x","x",NA,NA,"sub 2 on 89 2",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"32",2004-01-17,"Sheffield Wednesday","1","0","league-division-2","H","",9316,NA,15,16,"P Walton","Boundary Park",NA,NA,"sub 2 on 89 2","x",NA,"x 2 off 89",NA,"sub 1 on 79 1","x",NA,NA,NA,"x","x",NA,NA,"x",NA,"x","x",NA,NA,"x 1 g 17 off 79","x","x",NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"33",2004-01-24,"Blackpool","1","1","league-division-2","A","",7508,NA,16,12,"Phil Joslin","Bloomfield Road",NA,NA,"uu","x",NA,NA,NA,"uu","x y",NA,NA,NA,"x","x",NA,NA,"x","x","x","x",NA,NA,"x 1 g 68 off 84","x","x y",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"34",2004-01-31,"AFC Rushden & Diamonds","1","4","league-division-2","A","",4591,NA,NA,NA,"R Pearson","Nene Park",NA,"uu","uu","x",NA,NA,NA,"sub 2 on 83 2","x y",NA,NA,NA,"x y","x g 55",NA,NA,"x","x","x","x",NA,NA,"x 2 off 46","x","x 1 off 46","sub 1 on 46 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"35",2004-02-08,"Grimsby Town","6","0","league-division-2","H","",13007,NA,16,20,"Anthony Leake","Boundary Park",NA,"x","sub 2 on 55 2","x",NA,"x 2 off 55",NA,NA,"x",NA,NA,NA,"x","x g 34 y",NA,NA,"x","x 1 off 8","x g 27","x",NA,NA,"x 3 g 9 16 45 off 61","uu","sub 1 on 8 1","sub 3 on 61 3 g 85",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"36",2004-02-14,"Port Vale","0","1","league-division-2","A","",6035,NA,17,5,"Steve Tomlin","Vale Park",NA,"x","sub 3 on 80 3","x",NA,"sub 1 on 56 1 y",NA,"x y",NA,NA,NA,NA,"x 3 off 80","x y",NA,NA,"x","x","x","x",NA,NA,"x 2 off 75","x 1 off 56",NA,"sub 2 on 75 2",NA,"uu",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"37",2004-02-21,"Tranmere Rovers","1","1","league-division-2","H","",6916,NA,17,13,"MIke Pike","Boundary Park",NA,"x y","sub 3 on 89 3","x 1 off 40",NA,"x",NA,"x",NA,"uu",NA,"sub 2 on 69 2","x 3 off 89",NA,NA,NA,"x","x","x","x",NA,NA,"x g 60","sub 1 on 40 1",NA,"x 2 off 69",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"38",2004-02-28,"AFC Bournemouth","0","1","league-division-2","A","",6594,NA,18,8,"Mike Thorpe","Vitality Stadium",NA,"x","x","x",NA,NA,NA,"x 1 off 69","x","uu",NA,"sub 1 on 69 1","x","x",NA,NA,"x 3 off 88","x",NA,"x",NA,NA,"x 2 off 70","sub 3 on 88 3 y",NA,"sub 2 on 70 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"39",2004-03-06,"Queens Park Rangers","1","1","league-division-2","A","",13696,NA,18,3,"Steve Tanner","Loftus Road Stadium",NA,"x","x","x g 45",NA,NA,NA,"x","x","uu",NA,"x y red@85","x 2 off 87 y",NA,NA,NA,"x",NA,"x","x y",NA,NA,"sub 1 on 78 1","sub 2 on 87 2",NA,"x 1 off 78 y",NA,NA,NA,NA,NA,NA,NA,NA,"uu","uu",NA,NA,NA,NA
"40",2004-03-13,"Colchester United","0","0","league-division-2","H","",5937,NA,19,13,"Mike Jones","Boundary Park",NA,"x","x","x","x 2 off 71",NA,NA,"x","x",NA,NA,"x","sub 2 on 71 2",NA,NA,NA,"x",NA,"x","x",NA,NA,"sub 1 on 62 1",NA,NA,"x 1 off 62",NA,"uu",NA,NA,NA,NA,NA,NA,"uu","uu",NA,NA,NA,NA
"41",2004-03-16,"Barnsley","1","1","league-division-2","H","",5837,NA,17,11,"D J Gallagher","Boundary Park",NA,"x 2 off 45","uu","x g 53","x",NA,NA,"x","x",NA,NA,"x 1 off 45","sub 1 on 45 1",NA,NA,NA,"x","uu","x","x",NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"sub 2 on 45 2",NA,NA
"42",2004-03-20,"Bristol City","2","0","league-division-2","A","",11037,NA,16,3,"Trevor Kettle","Ashton Gate",NA,"x y","uu","x g 36","x",NA,NA,"x","x",NA,NA,NA,"x 2 off 24",NA,NA,NA,"x 1 off 10","sub 1 on 10 1","x","x",NA,NA,"x y","x g 26 y",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"sub 2 on 24 2",NA,NA
"43",2004-03-27,"Wycombe Wanderers","2","3","league-division-2","H","",5758,128,17,24,"Kevin Wright","Boundary Park","sub 1 on 45 1","x g 44",NA,"x g 18","x 1 off 45 y",NA,"sub 3 on 75 3","x","x",NA,NA,NA,NA,"sub 2 on 58 2",NA,NA,"uu","x","x","x",NA,NA,"x 2 off 58","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"x 3 off 75",NA,NA
"44",2004-04-03,"Luton Town","1","1","league-division-2","A","",5966,NA,17,8,"Richard Beeby","Kenilworth Road","uu","x","uu","x","x",NA,"x g 33","uu","x y",NA,NA,NA,NA,"sub 1 on 74 1",NA,NA,"x","x","x y","x",NA,NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 74",NA,NA
"45",2004-04-10,"Peterborough United","1","1","league-division-2","H","",5688,NA,18,19,"P Prosser","Boundary Park","uu","x","sub 2 on 60 2","x","x y",NA,"x 1 off 45",NA,"x y",NA,NA,NA,NA,"x",NA,NA,"x","x 3 off 68","x","x",NA,NA,"sub 1 on 45 1 g 90","x 2 off 60 y","sub 3 on 68 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA
"46",2004-04-12,"Stockport County","1","1","league-division-2","A","",8617,NA,19,18,"A R Hall","Edgeley Park","x","x","x 2 off 62","x","sub 1 on 45 1",NA,NA,"uu","x",NA,NA,NA,NA,"x 3 off 79",NA,NA,"x","x g 1","x","x",NA,NA,"x 1 off 45","sub 2 on 62 2","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 79 3",NA,NA
"47",2004-04-17,"Plymouth Argyle","4","1","league-division-2","H","",6924,NA,16,1,"M Cowburn","Boundary Park","x","x 1 off 80","x 2 g 45 off 83","x g 67","x",NA,"uu","uu","x",NA,NA,NA,NA,"x g 34 y red@61",NA,NA,"x g 42 y","x","x","x",NA,NA,"sub 1 on 80 1","sub 2 on 83 2","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2004-04-20,"Wrexham","1","1","league-division-2","H","",5646,NA,16,14,"M Fletcher","Boundary Park","x","x 3 off 87","x","x","x 1 off 74",NA,"sub 2 on 74 2","uu","x g 45",NA,"uu",NA,NA,"x 2 off 74",NA,NA,NA,"x","x","x",NA,NA,"sub 3 on 87 3","sub 1 on 74 1","x y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2004-04-24,"Swindon Town","2","1","league-division-2","A","",8506,NA,15,4,"Lee Probert","The County Ground","x y","x 2 off 83","x 1 off 75","x g 8","x",NA,"uu","uu","x",NA,"uu",NA,NA,"x g 74",NA,NA,NA,"x","x","x y",NA,NA,"sub 2 on 83 2","sub 1 on 75 1","x y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2004-05-01,"Chesterfield","2","0","league-division-2","H","",8177,NA,15,22,"Kevin Friend","Boundary Park","x","x g 50 81","x","x","x",NA,"sub 1 on 73 1","uu","x",NA,"uu",NA,NA,NA,NA,NA,NA,"x","x","x",NA,NA,"x 1 off 73","uu","x","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2004-05-08,"Notts County","1","1","league-division-2","A","",6715,NA,15,23,"M Warren","Meadow Lane","x","x","x 3 off 82","x","x 1 off 66",NA,NA,NA,"x g 61",NA,"uu",NA,NA,NA,NA,NA,NA,"x","x","x",NA,NA,"x 2 off 78","sub 3 on 82 3","x",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 66 1","sub 2 on 78 2"
