"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Peter Clarke","Paul Jason Green","Brian Wilson","Craig Davies","Anthony Gerrard","Temitope Obadeyi","Ben Pringle","Ryan Flynn","Dan Gardner","Eoin Doyle","Ollie Banks","Abdelhakim Omrani","Patrick McEleney","Aaron Amadi-Holloway","Ben Wilson","Ryan McLaughlin","Johny Placide","Cameron Dummigan","Gevaro Nepomuceno","Gyamfi Kyeremeh","Jonathan Benteke","Queensy Menig","Courtney Duffus","Jack Ruddy","Darius Osei","Kundai Benyu","Duckens Nazon","Jack Byrne","Wilfried Moimbe","George Edmundson","Zeus de la Paz","Rob Hunt","Ousmane Fane","Kallum Mantack","Jamie Stott","Mohammed Maouche","Kean Bryan","Mason Fawns","Joseph Boyling","Jay Sheridan","Tom Hamer","Francois Antoine","Ryan Scholes-Beard","Chinedy Uche"
"23",2017-10-17,"Bradford City","1","1","league-one","A","",19840,986,NA,NA,"Christopher Sarginson","Northern Commercials Stadium","x",NA,"uu","x","uu",NA,NA,"sub 3 on 89 3","x 2 off 78","x g 23","uu","sub 2 on 78 2 y",NA,NA,NA,NA,"x","x","x 1 off 63",NA,NA,"sub 1 on 63 1",NA,"uu",NA,NA,NA,"x 3 off 89",NA,NA,NA,"x y","x",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA
"24",2017-10-21,"Milton Keynes Dons","4","4","league-one","A","",9312,694,20,15,"Antony Coggins","Stadium:mk","x g 63 y",NA,"uu","x 2 g 7 off 85","uu","uu",NA,"sub 2 on 85 2","x 3 off 89","x g 39",NA,"sub 3 on 89 3",NA,NA,NA,NA,"x","x","sub 1 on 70 1",NA,NA,"x 1 off 70",NA,"uu",NA,NA,NA,"x",NA,NA,NA,"x y","x y",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"25",2017-10-24,"Bury","2","1","league-one","H","",5183,752,17,21,"Darren Drysdale","Boundary Park","x","sub 2 on 87 2","uu","x 3 off 87","uu",NA,NA,"uu","x","x g 24",NA,"sub 1 on 60 1",NA,"sub 3 on 87 3 g 90",NA,NA,"x","x",NA,NA,NA,"x 1 off 60",NA,"uu",NA,NA,NA,"x 2 off 87 y",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"26",2017-10-28,"Scunthorpe United","2","3","league-one","H","",4331,440,18,5,"Scott Oldham","Boundary Park","x 2 g 45 off 66","uu","sub 2 on 66 2","x g 81","uu",NA,NA,"uu","x","x",NA,"x 1 off 30",NA,"sub 3 on 78 3",NA,NA,NA,"x","uu",NA,NA,"sub 1 on 30 1",NA,"x",NA,NA,NA,"x",NA,NA,NA,"x 3 off 78","x y",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"27",2017-11-04,"Carlisle United","2","3","fa-cup","A","",3965,798,NA,NA,"Andy Haines","Brunton Park","x g 64","x 2 off 66","uu","x y","uu",NA,NA,"sub 2 on 66 2","x","x",NA,"uu",NA,"sub 1 on 63 1 g 72",NA,NA,"x","x","sub 3 on 70 3",NA,NA,"x 1 off 63",NA,"uu",NA,NA,NA,NA,NA,NA,NA,"x 3 off 70","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"28",2017-11-07,"Newcastle United","4","1","efl-trophy","H","",1107,50,NA,NA,"Carl Boyeson","Boundary Park",NA,NA,"x","uu","x y","sub 1 on 65 1",NA,"x 2 off 72","x 1 off 65","x 3 g 61 69 off 72",NA,"x",NA,"x","uu",NA,"x",NA,"x",NA,NA,"uu","sub 3 on 72 3",NA,NA,NA,NA,"x g 13 63 y",NA,NA,NA,NA,NA,NA,NA,"sub 2 on 72 2","x",NA,NA,NA,"uu",NA,NA,NA
"29",2017-11-18,"Rochdale","3","1","league-one","H","",6129,1283,15,22,"Jeremy Simpson","Boundary Park","sub 3 on 85 3","uu",NA,"x 1 off 77","x 3 off 85",NA,NA,NA,"x y","x g 83 86",NA,"uu",NA,"sub 1 on 77 1","uu",NA,"x y","x g 2","x",NA,NA,"sub 2 on 78 2","uu",NA,NA,NA,NA,"x 2 off 78",NA,NA,NA,"x","x y",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"30",2017-11-21,"AFC Wimbledon","0","0","league-one","H","",3169,147,16,19,"Robert Lewis","Boundary Park","uu","x","uu","x 1 off 71","x",NA,NA,NA,NA,"x",NA,"uu",NA,"sub 1 on 71 1","uu",NA,"x","x","x 2 off 71",NA,NA,"sub 2 on 71 2","sub 3 on 86 3",NA,NA,NA,NA,"x",NA,NA,NA,"x 3 off 86","x",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA
"31",2017-11-25,"Gillingham","0","0","league-one","A","",4364,229,17,21,"Graham Horwood","Priestfield Stadium","uu","sub 3 on 69 3","uu","x 1 off 59","x y","uu",NA,NA,"x 3 off 69 y","x",NA,NA,NA,"sub 1 on 59 1","uu",NA,"x","x","x 2 off 64",NA,NA,"sub 2 on 64 2",NA,NA,NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA
"32",2017-12-02,"Southend United","0","2","league-one","A","",5608,233,18,9,"Charles Breakspear","Roots Hall","x 2 off 60","uu","sub 2 on 60 2","x",NA,"sub 3 on 72 3",NA,"uu","x","x y",NA,"uu",NA,NA,"uu",NA,"x","x","sub 1 on 58 1",NA,NA,"x 1 off 58",NA,NA,NA,NA,NA,"x 3 off 72",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"33",2017-12-05,"Bradford City","1","0","efl-trophy","A","",1036,150,NA,NA,"David Webb","Northern Commercials Stadium","uu","x y","x","uu","x","x g 3",NA,"x 1 off 69","x 3 off 80","x",NA,"sub 3 on 80 3",NA,NA,"uu","sub 2 on 77 2","x","x","x 2 off 77",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 69 1",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"34",2017-12-09,"Northampton Town","5","1","league-one","H","",3532,332,16,23,"Graham Salisbury","Boundary Park",NA,"uu","uu","sub 2 on 87 2 g 90","x","x 1 g 26 off 77",NA,"sub 1 on 77 1","x","x",NA,NA,NA,"sub 3 on 89 3","uu",NA,"x","x","x 2 g 60 off 87 y",NA,NA,"uu",NA,NA,NA,NA,NA,"x 3 g 4 45 off 89",NA,NA,NA,"x","x y",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"35",2017-12-16,"Doncaster Rovers","1","1","league-one","A","",7831,851,15,18,"Gavin Ward","Eco Power Stadium","uu","uu","x","sub 1 on 62 1","x y","x 3 off 74",NA,"uu","x","x g 88",NA,NA,NA,"sub 3 on 74 3","uu","sub 2 on 63 2","x",NA,"x 1 off 62",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"x 2 off 63","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"36",2017-12-23,"Plymouth Argyle","1","4","league-one","A","",10017,289,16,20,"Lee Collins","Home Park","uu","uu","x y","x","x g 56","sub 3 on 66 3",NA,"x","x",NA,NA,NA,NA,"sub 2 on 45 2","uu","x 1 off 45","x","x","x 3 off 66",NA,NA,NA,NA,NA,NA,NA,NA,"x y",NA,NA,NA,"sub 1 on 45 1 y","x 2 off 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2017-12-26,"Fleetwood Town","1","2","league-one","H","",4578,209,18,14,"Mark Heywood","Boundary Park","uu","uu",NA,"x","x 3 off 77","x 2 off 75",NA,"uu","x 1 off 64",NA,NA,NA,NA,"x","uu","sub 2 on 75 2","x","x","sub 1 on 64 1",NA,NA,NA,"sub 3 on 77 3",NA,NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,"x g 82",NA,NA,NA,NA,NA,NA,NA
"38",2017-12-30,"Bristol Rovers","1","1","league-one","H","",3928,356,19,16,"Michael Salisbury","Boundary Park","x","uu",NA,"sub 3 on 68 3 g 72","uu","x",NA,"sub 1 on 57 1","x 3 off 68",NA,NA,NA,NA,"x","uu",NA,"x","x","x 1 off 57",NA,NA,"x 2 off 58",NA,NA,NA,NA,NA,"sub 2 on 58 2",NA,NA,NA,"x","x",NA,NA,"uu","x y",NA,NA,NA,NA,NA,NA,NA
"39",2018-01-01,"Shrewsbury Town","0","1","league-one","A","",6383,503,20,2,"","",NA,"sub 3 on 85 3","uu","x","x","x 2 off 77",NA,"x 1 off 61","x y",NA,NA,NA,NA,"sub 1 on 61 1","uu",NA,"x","x","uu",NA,NA,"sub 2 on 77 2",NA,NA,NA,NA,NA,"x y",NA,NA,NA,"x","x 3 off 85",NA,NA,"uu","x",NA,NA,NA,NA,NA,NA,NA
"40",2018-01-06,"Charlton Athletic","0","1","league-one","A","",9972,399,20,8,"Lee Swabey","The Valley",NA,"x y","x","x","x","sub 1 on 54 1",NA,NA,"x 1 off 54",NA,"uu","uu",NA,"x",NA,NA,"x y","x","x y","uu",NA,NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,"uu",NA,"x 2 off 80","x 3 off 89",NA,NA,"sub 2 on 80 2",NA,NA,NA,NA,NA,NA,NA,NA
"41",2018-01-13,"Rotherham United","1","1","league-one","H","",4775,1172,20,8,"Robert Lewis","Boundary Park",NA,NA,"x","x g 31","x","x","x y",NA,"x 1 off 70",NA,NA,NA,NA,"sub 2 on 74 2",NA,"sub 1 on 70 1","x","x 3 off 85","sub 3 on 85 3",NA,NA,NA,"uu",NA,NA,"x 2 off 74",NA,NA,NA,"x",NA,NA,"x",NA,NA,"uu",NA,NA,NA,"uu","uu",NA,NA,NA
"42",2018-01-17,"Leicester City","4","2","efl-trophy","H","",1192,18,NA,NA,"Darren Handley","Boundary Park",NA,NA,"x","x g 50 56","x g 76","x g 86","x",NA,NA,NA,NA,"sub 3 on 82 3",NA,"sub 1 on 45 1",NA,NA,"x",NA,"x","uu",NA,NA,"uu",NA,NA,"x 1 off 45",NA,NA,NA,"x",NA,NA,"x 3 off 82",NA,NA,"sub 2 on 69 2",NA,NA,NA,NA,"x 2 off 69",NA,"uu","uu"
"43",2018-01-20,"Peterborough United","0","3","league-one","A","",5072,367,22,8,"Seb Stockbridge","London Road",NA,NA,"x","x","x 1 off 25","x 3 off 61","x",NA,"sub 2 on 61 2 y",NA,NA,NA,NA,"sub 3 on 61 3",NA,NA,"x","x","uu",NA,NA,NA,"uu",NA,NA,"x 2 off 61",NA,"x y",NA,"sub 1 on 25 1 y red@68","uu",NA,"x",NA,NA,"uu","x y",NA,NA,NA,NA,NA,NA,NA
"44",2018-01-23,"Shrewsbury Town","1","2","efl-trophy","A","",1984,269,NA,NA,"Darren Handley","Greenhous Meadow",NA,NA,"x","x",NA,"uu","x",NA,"x y",NA,NA,NA,NA,"x 3 g 67 off 83",NA,"sub 1 on 45 1","x","sub 2 on 57 2","uu",NA,NA,NA,"sub 3 on 83 3",NA,NA,"uu",NA,"x",NA,"x","uu",NA,NA,NA,NA,"x 1 off 45","x",NA,NA,NA,"x 2 off 57",NA,NA,NA
"45",2018-01-27,"Plymouth Argyle","1","2","league-one","H","",4274,588,22,13,"Martin Coy","Boundary Park",NA,NA,NA,"x","x y","uu","x",NA,"x",NA,NA,NA,NA,"sub 2 on 77 2",NA,"x 2 off 77","x","x","x y",NA,NA,NA,"uu",NA,NA,"uu","sub 1 on 26 1","x",NA,NA,"uu",NA,"x 1 off 26",NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA
"46",2018-02-03,"Bradford City","2","1","league-one","H","",5526,1967,NA,NA,"Anthony Backhouse","Boundary Park",NA,NA,"uu","x","x","sub 3 on 73 3","x",NA,"x 2 off 67",NA,NA,NA,NA,"sub 1 on 62 1 g 86",NA,"sub 2 on 67 2","x","x g 12 y","uu",NA,NA,NA,NA,NA,NA,"uu","x 1 off 62","x 3 off 73 y","x",NA,"uu",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"47",2018-02-10,"Blackburn Rovers","2","2","league-one","A","",13665,2294,21,3,"Darren Drysdale","Ewood Park",NA,NA,"sub 3 on 85 3","x 3 off 85 y","x","sub 2 on 72 2","x y",NA,"x",NA,NA,NA,NA,"sub 1 on 72 1",NA,NA,"x","x","uu",NA,"uu",NA,NA,NA,NA,"uu","x 2 g 26 38 off 72","x 1 off 72","x y red@82",NA,"uu",NA,"x y",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"48",2018-02-13,"Milton Keynes Dons","1","0","league-one","H","",3381,119,19,22,"Tom Nield","Boundary Park",NA,NA,NA,"x","x g 40","sub 2 on 75 2","x 3 off 82",NA,"x",NA,NA,NA,NA,"sub 1 on 67 1",NA,"sub 3 on 82 3","x","x","x",NA,"uu",NA,NA,NA,NA,"uu","x 1 off 67","x 2 off 75",NA,"uu","uu",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"49",2018-03-03,"Scunthorpe United","2","0","league-one","A","",3715,350,18,5,"John Busby","Glanford Park",NA,NA,"uu","x 2 off 62","x y",NA,"x 1 off 58",NA,"x","sub 3 on 62 3 g 82",NA,NA,"sub 1 on 58 1 g 78","sub 2 on 62 2",NA,"uu","x","x",NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 62","x","x",NA,"uu","uu","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"50",2018-03-10,"Bury","2","2","league-one","A","",5904,2707,19,24,"Andy Woolmer","Gigg Lane",NA,NA,"sub 1 on 38 1","x 2 g 42 off 56","x 1 off 38",NA,"x g 77",NA,"x","sub 3 on 56 3",NA,NA,"uu","sub 2 on 56 2",NA,"uu","x","x",NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 56","x y","x y",NA,"uu","uu","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"51",2018-03-17,"Portsmouth","0","2","league-one","H","",4306,767,19,8,"Seb Stockbridge","Boundary Park",NA,NA,"x","x 2 off 59",NA,NA,"uu",NA,"x","x",NA,NA,"sub 1 on 55 1","sub 2 on 59 2",NA,"x 1 off 55","x","x",NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 80 3","x","x 3 off 80","uu","uu","uu","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"52",2018-03-30,"Wigan Athletic","0","3","league-one","A","",10625,1735,21,1,"Robert Jones","DW Stadium",NA,NA,"x","x 2 off 64",NA,NA,"x 1 off 56 y",NA,"x y","x y",NA,NA,"sub 1 on 56 1","sub 2 on 64 2",NA,"sub 3 on 71 3","x",NA,NA,NA,NA,NA,NA,NA,NA,"uu","uu","x 3 off 71","x","uu","uu","x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"53",2018-04-02,"Blackpool","2","1","league-one","H","",4309,660,19,16,"Darren Drysdale","Boundary Park",NA,NA,"uu",NA,NA,"sub 2 on 67 2","x 1 off 58",NA,"x y","x g 85",NA,NA,"x 3 off 76 y","sub 3 on 76 3",NA,NA,"x",NA,"uu",NA,"uu",NA,NA,NA,NA,NA,"x 2 off 67","sub 1 on 58 1 g 60 y","x","x y","uu","x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"54",2018-04-07,"Oxford United","0","0","league-one","A","",7096,492,19,17,"Eddie Ilderton","Kassam Stadium",NA,NA,NA,NA,NA,"x 2 off 68","uu",NA,"x","x 3 off 88",NA,NA,"x","sub 3 on 88 3",NA,NA,"x",NA,"uu",NA,"uu",NA,NA,NA,NA,NA,"sub 2 on 68 2","x","x y","x","uu","x","x y",NA,NA,NA,"x 1 off 18",NA,NA,NA,"sub 1 on 18 1",NA,NA,NA
"55",2018-04-11,"Walsall","1","1","league-one","H","",3424,237,20,17,"Darren England","Boundary Park",NA,NA,NA,"sub 3 on 89 3","x","sub 2 on 75 2","uu",NA,"x","x",NA,NA,"x 2 off 75","sub 1 on 69 1 y",NA,NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,"x 1 g 45 off 69","x 3 off 89","x","x","uu","x","x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA
"56",2018-04-14,"Gillingham","1","1","league-one","H","",3850,215,20,16,"Michael Salisbury","Boundary Park",NA,NA,NA,NA,"x","uu","uu",NA,"x","x 3 off 89",NA,NA,"x 1 off 69","sub 2 on 84 2",NA,NA,"x",NA,"sub 1 on 69 1",NA,"uu",NA,NA,NA,NA,NA,"x 2 g 45 off 84","x y","x red@90","x y","uu","x y","x y",NA,NA,NA,NA,NA,NA,NA,"sub 3 on 89 3",NA,NA,NA
"57",2018-04-17,"Rochdale","0","0","league-one","A","",6261,2827,20,21,"Peter Bankes","Spotland",NA,NA,NA,NA,"x","sub 3 on 78 3","x 1 off 59",NA,"x y","x",NA,NA,"sub 1 on 59 1","sub 2 on 66 2",NA,NA,"x",NA,"uu",NA,"uu",NA,NA,NA,NA,"uu","x 3 off 78","x 2 off 66",NA,"x y","uu","x y","x y",NA,NA,NA,NA,NA,NA,NA,"x y",NA,NA,NA
