"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Neil Adams","Andy Barlow","Darren Beckford","Paul Bernard","Mark Brennan","John Eyre","Craig Fleming","Paul Gerrard","Gunnar Halle","Jon Hallworth","Nick Henry","Rick Holden","Richard Jobson","Lance Key","Chris Makin","Sean McCarthy","Neil McDonald","Mike Milligan","Ian Olney","Roger Palmer","Tore Pederson","Neil Pointon","Steve Redmond","Andy Ritchie","Graeme Sharp","Gary Walsh"
"11",1993-08-21,"Blackburn Rovers","0","1","premier-league","A","",14397,NA,14,9,"","Ewood Park","x",NA,NA,"x","uu",NA,"x 1 off 54","x","x","uu","x",NA,"x",NA,NA,NA,NA,"x","x",NA,NA,"x","x","sub 1 on 54 1",NA,NA
"12",1993-08-24,"Coventry City","3","3","premier-league","H","",10817,NA,13,5,"","-",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,"x g pen",NA,NA
"13",1993-08-28,"Milton Keynes Dons","1","1","premier-league","H","",9633,NA,NA,NA,"","-",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1993-08-30,"Leeds United","0","1","premier-league","A","",28717,NA,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1993-09-11,"Everton","0","1","premier-league","H","",13666,NA,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1993-09-18,"Tottenham Hotspur","0","5","premier-league","A","",24614,NA,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1993-09-21,"Swansea City","1","2","league-cup","A","",5056,NA,NA,NA,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"18",1993-09-25,"Aston Villa","1","1","premier-league","H","",12836,NA,20,3,"","Boundary Park","x 1 off 65","x","sub 1 on 65 1","x",NA,NA,"x","uu","x g 14","x",NA,NA,"x",NA,NA,NA,NA,"x",NA,"sub 2 on 65 2",NA,NA,"x","x 2 off 65","x",NA
"19",1993-10-04,"Manchester City","1","1","premier-league","A","",21401,NA,20,15,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g NA",NA
"20",1993-10-06,"Swansea City","2","0","league-cup","H","",6433,NA,NA,NA,"","",NA,NA,NA,"x g ",NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1993-10-16,"Liverpool","1","2","premier-league","A","",32661,NA,20,12,"","-",NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1993-10-23,"Arsenal","0","0","premier-league","H","",12105,NA,20,3,"","Boundary Park",NA,"sub 1 on 81 1","x","x","x 1 off 81","uu","x","x","x",NA,NA,"x",NA,"uu","x",NA,NA,"x",NA,NA,NA,NA,"x",NA,"x",NA
"23",1993-10-26,"Coventry City","2","0","league-cup","H","",10071,NA,NA,NA,"","",NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"24",1993-10-30,"Chelsea","1","0","premier-league","A","",15372,NA,20,16,"","",NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1993-11-08,"Newcastle United","1","3","premier-league","H","",13821,NA,20,8,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1993-11-20,"West Ham United","0","2","premier-league","A","",17211,NA,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1993-11-24,"Sheffield Wednesday","0","3","premier-league","A","",18509,NA,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1993-11-27,"Norwich City","2","1","premier-league","H","",10198,NA,20,7,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"29",1993-11-30,"Tranmere Rovers","0","3","league-cup","A","",9477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1993-12-04,"Ipswich Town","0","0","premier-league","A","",11789,NA,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1993-12-07,"Swindon Town","2","1","premier-league","H","",9771,NA,17,22,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g NA",NA,NA,NA
"32",1993-12-11,"Blackburn Rovers","1","2","premier-league","H","",13887,NA,19,3,"","Boundary Park","sub 2 on 74 2",NA,NA,"x",NA,NA,"x",NA,"x","uu",NA,"x g 40","x",NA,NA,NA,NA,"x",NA,NA,"x 1 off 62","x 2 off 74","x","sub 1 on 62 1","x","x"
"33",1993-12-18,"Coventry City","1","1","premier-league","A","",11792,NA,18,15,"","-",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1993-12-27,"Queens Park Rangers","0","2","premier-league","A","",13218,NA,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1993-12-29,"Manchester United","2","5","premier-league","H","",16708,NA,19,1,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"36",1994-01-01,"Sheffield United","1","2","premier-league","A","",17066,NA,20,17,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1994-01-08,"Derby County","2","1","fa-cup","H","",12810,NA,NA,NA,"","-",NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1994-01-15,"Liverpool","0","3","premier-league","H","",14573,NA,21,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1994-01-22,"Arsenal","1","1","premier-league","A","",26524,NA,21,2,"","Highbury",NA,NA,NA,"x",NA,NA,"x","uu",NA,"x",NA,"x","x",NA,"x","x",NA,"x 2 off 84",NA,"sub 2 on 84 2","sub 1 on 82 1","x 1 off 82","x",NA,"x g 4",NA
"40",1994-01-29,"Stoke City","0","0","fa-cup","H","",14465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1994-02-05,"Southampton","2","1","premier-league","H","",9982,NA,20,22,"","-",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1994-02-09,"Stoke City","1","0","fa-cup","A","",19871,NA,NA,NA,"","",NA,NA,"x g NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1994-02-12,"Chelsea","2","1","premier-league","H","",12002,NA,19,17,"","Boundary Park",NA,NA,"sub 1 on 69 1","x",NA,NA,"x","uu",NA,"x",NA,"x","x g ",NA,"x","x 2 off 83","x 1 off 69","x",NA,NA,"sub 2 on 83 2","x",NA,NA,"x g ",NA
"44",1994-02-19,"Barnsley","1","0","fa-cup","H","",15685,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA
"45",1994-02-28,"Leeds United","1","1","premier-league","H","",11136,NA,20,4,"","-",NA,NA,"x g NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1994-03-05,"Everton","1","2","premier-league","A","",18881,NA,20,15,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"47",1994-03-12,"Bolton Wanderers","1","0","fa-cup","A","",20321,NA,NA,NA,"","",NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1994-03-19,"Aston Villa","2","1","premier-league","A","",21214,NA,21,7,"","Villa Park",NA,NA,"x g 67",NA,NA,NA,"x","uu","x","x","x","x g 74",NA,NA,"x","x","uu","x",NA,"sub 1 on 85 1",NA,NA,"x","x 1 off 85",NA,NA
"49",1994-03-26,"Manchester City","0","0","premier-league","H","",16462,NA,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1994-03-30,"Southampton","3","1","premier-league","A","",14101,NA,20,21,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"51",1994-04-02,"Queens Park Rangers","4","1","premier-league","H","",10440,NA,18,10,"","-",NA,NA,"x g 46",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 44",NA,NA,"x g 52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1994-04-04,"Manchester United","2","3","premier-league","A","",44686,NA,19,1,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"53",1994-04-10,"Manchester United","1","1","fa-cup","N","",56399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1994-04-13,"Manchester United","1","4","fa-cup","N","",32211,NA,NA,NA,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA
"55",1994-04-16,"West Ham United","1","2","premier-league","H","",11669,NA,21,13,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1994-04-23,"Newcastle United","2","3","premier-league","A","",32214,NA,21,4,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"57",1994-04-26,"Milton Keynes Dons","0","3","premier-league","A","",6766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1994-04-30,"Sheffield Wednesday","0","0","premier-league","H","",12973,NA,21,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1994-05-03,"Sheffield United","1","1","premier-league","H","",14779,NA,21,16,"","-",NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1994-05-05,"Tottenham Hotspur","0","2","premier-league","H","",14283,NA,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1994-05-07,"Norwich City","1","1","premier-league","A","",20394,NA,21,11,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
