"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Matty Appleby","Stuart Balmer","Tony Carss","Carlo Corazzin","Lee Duxbury","John Eyre","David Eyres","Paul Murray","Darren Sheridan","John Sheridan","Wayne Andrews","Josh Low","Clint Hill","Michael Clegg","David Miskelly","Clyde Wijnhard","Dean Holden","David Beharall","Chris Killen","Chris Armstrong","Danny Boshell","Ben Burgess","Laurenco Da Silva","Brian Murphy","Julian Baudet","Will Haining","Fitz Hall","Adam Griffin","Les Pogliacomi","Scott Vernon","Danny Hall","Duncan Roberts"
"11",2002-09-21,"Colchester United","1","0","league-division-2","A","",3021,NA,3,16,"G Hegley","Layer Road",NA,NA,"x","x 3 off 86",NA,"x","x 2 off 83",NA,"x","uu","sub 1 on 62 1 g 64","x 1 off 62","x red@53",NA,"uu","x y","sub 2 on 83 2","x",NA,NA,NA,NA,NA,NA,"sub 3 on 86 3",NA,"x",NA,"x",NA,NA,NA
"12",2002-09-28,"Huddersfield Town","4","0","league-division-2","H","",7643,NA,3,23,"D Pugh","Boundary Park",NA,NA,"x","x","sub 2 on 76 2","x","x g 18 y",NA,"x 2 off 76",NA,"x 1 off 66",NA,"x",NA,"uu","x g 1 57","sub 3 on 78 3",NA,"uu",NA,NA,NA,"sub 1 on 66 1 g 80",NA,"x 3 off 78",NA,"x",NA,"x",NA,NA,NA
"13",2002-10-02,"Derby County","2","1","league-cup","A","",9029,NA,NA,NA,"B Curson","Pride Park",NA,NA,"x","x","x 2 off 90","x 3 off 90","x g 18",NA,NA,NA,"sub 3 on 90 3",NA,"x",NA,"x","x g pen 95","sub 2 on 90 2 y","x","uu",NA,NA,NA,"x 1 off 69",NA,NA,"sub 1 on 69 1","x",NA,"uu",NA,NA,NA
"14",2002-10-05,"Swindon Town","1","0","league-division-2","A","",4326,NA,1,21,"P Walton","The County Ground",NA,NA,"x","x","x g 6","x 2 off 89 y","x y",NA,"x",NA,"uu",NA,NA,NA,"uu","x","sub 1 on 22 1","x 1 off 22 y","sub 2 on 89 2",NA,NA,NA,"uu",NA,"x red@43",NA,"x",NA,"x",NA,NA,NA
"15",2002-10-12,"Port Vale","1","1","league-division-2","A","",5563,NA,3,12,"D J Gallagher","Vale Park",NA,NA,"x","x 2 off 70 y","x 1 off 45",NA,"x",NA,"x y",NA,"uu",NA,NA,NA,"uu","x","x g 49 y",NA,"sub 2 on 70 2","x",NA,NA,"sub 1 on 45 1",NA,"x","uu","x",NA,"x",NA,NA,NA
"16",2002-10-19,"Luton Town","1","2","league-division-2","H","",6916,NA,4,10,"Carl Boyeson","Boundary Park",NA,NA,"x y","x 1 off 60","x 2 off 67","x y","x",NA,"x",NA,"sub 1 on 60 1",NA,NA,NA,"uu",NA,"x 3 g 4 off 72",NA,"x","x",NA,NA,"sub 3 on 72 3",NA,NA,"sub 2 on 67 2","x",NA,"x","uu",NA,NA
"17",2002-10-22,"Carlisle United","3","4","ldv-vans-trophy","H","",2821,NA,NA,NA,"S J Baines","Boundary Park",NA,NA,"x 2 off 40",NA,NA,"sub 2 on 40 2",NA,NA,"x",NA,"x g 19",NA,"x","sub 1 on 21 1","x",NA,NA,NA,"x","x",NA,NA,"x",NA,"x 1 off 21","x 3 off 57","sub 3 on 57 3","uu","uu","x g 77 79",NA,NA
"18",2002-10-26,"Queens Park Rangers","2","1","league-division-2","A","",15491,NA,4,6,"C R Wilkes","Loftus Road Stadium",NA,NA,NA,"x","x g 38","x","x",NA,"x y",NA,"x 1 off 68","x g 29 y","x","uu","uu",NA,"uu",NA,"sub 1 on 68 1 y","x",NA,NA,NA,NA,NA,NA,"x y",NA,"x","uu",NA,NA
"19",2002-10-29,"Northampton Town","4","0","league-division-2","H","",5512,NA,2,20,"R Pearson","Boundary Park",NA,NA,NA,"x g 61","x 1 off 41","x g 84","x g pen 71","sub 1 on 41 1","x",NA,"x 3 g 28 off 75","x","x",NA,"uu",NA,"sub 2 on 72 2",NA,"sub 3 on 75 3","x",NA,NA,NA,NA,NA,NA,"x 2 off 72",NA,"x","uu",NA,NA
"20",2002-11-02,"Stockport County","2","0","league-division-2","H","",8251,NA,2,14,"MIke Pike","Boundary Park",NA,NA,NA,"x",NA,"x","x","x","x 1 off 75",NA,"x 2 off 87","x","x",NA,"uu",NA,"uu","uu","sub 1 on 75 1","x",NA,NA,NA,NA,NA,NA,"x g 40",NA,"x","sub 2 on 87 2 g 90",NA,NA
"21",2002-11-06,"West Ham United","1","0","league-cup","A","",21919,NA,NA,NA,"U D Rennie","Boleyn Ground",NA,NA,NA,"x g 42",NA,"x","x","x y",NA,NA,"x 1 off 73","x","x y",NA,"uu",NA,"uu","x","sub 1 on 73 1","x",NA,NA,"uu",NA,NA,NA,"x y",NA,"x","uu",NA,NA
"22",2002-11-09,"Plymouth Argyle","2","2","league-division-2","A","",8216,NA,2,16,"P Crossley","Home Park",NA,NA,NA,"x",NA,"x 1 off 45","x g pen 74","x 2 off 60","sub 1 on 45 1",NA,"x g 76","x","x",NA,"uu",NA,"uu","x","sub 2 on 60 2 y","x",NA,NA,NA,NA,NA,NA,"x",NA,"x","uu",NA,NA
"23",2002-11-16,"Burton Albion","2","2","fa-cup","H","",5802,NA,NA,NA,"Mike Jones","Boundary Park",NA,NA,NA,"x","sub 2 on 70 2","x 2 off 70","x y","uu","x",NA,"x 3 off 75","x g 18","x 1 off 65",NA,"uu",NA,NA,"x","sub 1 on 65 1","x",NA,NA,NA,NA,NA,NA,"x g 90 y",NA,"x","sub 3 on 75 3",NA,NA
"24",2002-11-23,"Cheltenham Town","0","0","league-division-2","H","",6575,NA,2,21,"Michael Ryan","Boundary Park",NA,NA,NA,"x 2 off 60","sub 1 on 57 1","x 1 off 57","x y","x 3 off 79","x y",NA,"x",NA,"x",NA,"uu","sub 2 on 60 2",NA,"x","uu","x",NA,NA,"sub 3 on 79 3",NA,"x",NA,NA,NA,"x",NA,NA,NA
"25",2002-11-27,"Burton Albion","0","0","fa-cup","A","",3416,NA,NA,NA,"Mike Jones","-",NA,NA,NA,"sub 1 on 22 1","sub 2 on 73 2","x 3 off 99","x g 116",NA,"x",NA,"x 2 off 73 y","x 1 off 22","x",NA,"uu","x g 50",NA,"x","sub 3 on 99 3","x y",NA,NA,NA,NA,"uu",NA,"x",NA,"x",NA,NA,NA
"26",2002-11-30,"Barnsley","2","2","league-division-2","A","",11222,NA,3,16,"Graham Salisbury","Oakwell",NA,NA,NA,"sub 2 on 84 2","sub 3 on 88 3","x 3 off 88 y",NA,"uu","x y",NA,"x 1 off 63",NA,"x","x","uu","x 2 off 84",NA,"x","sub 1 on 63 1 g 81","x",NA,NA,NA,NA,"x g 27 y",NA,"x",NA,"x",NA,NA,NA
"27",2002-12-03,"Crystal Palace","0","2","league-cup","A","",7431,NA,NA,NA,"Chris Foy","Selhurst Park",NA,NA,NA,"sub 3 on 76 3","uu",NA,"x y",NA,"x y",NA,"sub 1 on 16 1 y",NA,"x 1 off 16","x 2 off 66","uu","x 3 off 76",NA,"x","x","x",NA,NA,"sub 2 on 66 2",NA,"x",NA,"x",NA,"x",NA,NA,NA
"28",2002-12-07,"Cheltenham Town","1","2","fa-cup","H","",4416,NA,NA,NA,"G Laws","Boundary Park",NA,NA,NA,"sub 1 on 59 1","uu","x 3 off 82","x y","x","x",NA,"sub 2 on 65 2",NA,NA,NA,"uu","x",NA,"x 1 off 59","x 2 off 65","x",NA,NA,NA,NA,"x","sub 3 on 82 3 g 83","x",NA,"x",NA,NA,NA
"29",2002-12-14,"Wigan Athletic","0","2","league-division-2","H","",8269,NA,4,1,"A R Hall","Boundary Park",NA,NA,NA,"x","uu","x","x","x","x red@65",NA,"uu",NA,NA,NA,"uu",NA,NA,"x","x","x",NA,NA,NA,NA,"x","uu","x",NA,"x","uu",NA,NA
"30",2002-12-21,"Chesterfield","1","0","league-division-2","A","",4052,NA,4,11,"Joe Ross","Recreation Ground (CSF)",NA,NA,NA,"sub 2 on 74 2","sub 1 on 63 1",NA,"x","x y","x",NA,"x 3 off 82 y",NA,NA,"uu","uu",NA,NA,"x","sub 3 on 82 3","x",NA,NA,NA,NA,"x 1 off 63","x","x g 22 y",NA,"x","x 2 off 74",NA,NA
"31",2002-12-26,"Blackpool","1","1","league-division-2","H","",9415,NA,5,11,"Mike Jones","Boundary Park",NA,NA,NA,"sub 2 on 69 2","sub 3 on 70 3 y",NA,"x","x","x 3 off 70",NA,"x",NA,NA,"sub 1 on 42 1","uu",NA,NA,"x 1 off 42","uu","x",NA,NA,NA,NA,"x y","x g 45","x",NA,"x","x 2 off 69",NA,NA
"32",2002-12-29,"Crewe Alexandra","2","1","league-division-2","A","",9006,NA,4,5,"D R Elleray","-",NA,NA,NA,"x 2 g 26 off 89","sub 1 on 89 1","x y","x g pen 61 y","x",NA,NA,"x",NA,NA,"uu","uu",NA,NA,"x","sub 2 on 89 2","x",NA,NA,NA,NA,"x 1 off 89 y","x","x",NA,"x","uu",NA,NA
"33",2003-01-01,"Tranmere Rovers","2","1","league-division-2","A","",9795,NA,4,8,"Chris Foy","Prenton Park",NA,NA,NA,"x 1 off 85","uu","x","x g pen 37","x","sub 1 on 85 1 y",NA,"x",NA,NA,"uu","uu",NA,NA,"x","uu","x y",NA,NA,NA,NA,"x g 76","x","x y",NA,"x",NA,NA,NA
"34",2003-01-04,"Peterborough United","0","0","league-division-2","H","",5922,NA,3,21,"M Cowburn","-",NA,NA,NA,"x 2 off 73","sub 3 on 76 3","x 3 off 76","x","x","sub 1 on 56 1",NA,"x",NA,NA,"uu","uu",NA,NA,"x 1 off 56","sub 2 on 73 2","x",NA,NA,NA,NA,"x","x","x",NA,"x",NA,NA,NA
"35",2003-01-14,"Brentford","2","1","league-division-2","H","",5039,NA,2,11,"Mark Clattenburg","Boundary Park",NA,NA,"sub 1 on 77 1",NA,"x g 46 y",NA,NA,"x","x",NA,NA,NA,NA,"uu","sub 2 on 89 2",NA,NA,"x","x 2 off 89 y","x","uu","x y",NA,NA,"x 1 off 77 y","x","x g 22 y",NA,"x red@90","uu",NA,NA
"36",2003-01-18,"Wycombe Wanderers","2","2","league-division-2","A","",6226,571,2,13,"Clive Penton","Causeway Stadium",NA,NA,"sub 1 on 59 1 g 84",NA,"x","x",NA,"x",NA,NA,"x 1 g 26 off 59",NA,NA,"uu","uu",NA,NA,"x",NA,"x y","uu","x 2 off 79",NA,NA,"x red@47","x","x",NA,"x","sub 2 on 79 2",NA,NA
"37",2003-01-25,"Crewe Alexandra","1","3","league-division-2","H","",7597,NA,3,2,"A N Butler","Boundary Park",NA,NA,"sub 3 on 81 3","sub 1 on 63 1","sub 2 on 75 2","x 1 off 63","x","x","uu",NA,"x y",NA,NA,NA,"uu",NA,NA,"x",NA,"x g 64",NA,"x 3 off 81",NA,NA,"x 2 off 75","x","x red@28",NA,"x",NA,NA,NA
"38",2003-01-31,"Cardiff City","1","1","league-division-2","A","",12579,NA,3,4,"P Walton","Ninian Park",NA,NA,"sub 1 on 65 1",NA,"x 1 off 65",NA,"x g 87","x","x",NA,"x",NA,NA,NA,"x",NA,NA,"x 2 off 69","sub 2 on 69 2","x","uu","x",NA,"uu",NA,"x","x",NA,NA,"uu",NA,NA
"39",2003-02-08,"Plymouth Argyle","0","1","league-division-2","H","",6657,NA,4,8,"Howard Webb","Boundary Park","uu",NA,"x",NA,"x 1 off 60",NA,"sub 2 on 68 2","x","x",NA,"x y",NA,NA,NA,"x",NA,NA,"x","sub 1 on 60 1","x","uu","x 2 off 68",NA,"uu",NA,"x y",NA,NA,NA,NA,NA,NA
"40",2003-02-15,"Stockport County","2","1","league-division-2","A","",8168,NA,4,18,"P Prosser","Edgeley Park","sub 1 on 5 1",NA,"x y","sub 2 on 63 2","uu","sub 3 on 84 3","x g 89","x g 9","x 1 off 5",NA,"x 2 off 63",NA,NA,NA,"x",NA,NA,"x","x 3 off 84","x","x",NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA
"41",2003-02-22,"Notts County","1","1","league-division-2","H","",5657,NA,4,16,"Graham Salisbury","Boundary Park","x 2 off 41",NA,"x","sub 3 on 72 3","uu",NA,"x","x",NA,NA,"x g 44",NA,NA,NA,"uu",NA,NA,"sub 1 on 13 1","sub 2 on 41 2","x","x 1 off 13","x 3 off 72",NA,NA,NA,"x","x",NA,"x",NA,NA,NA
"42",2003-03-01,"Mansfield Town","1","0","league-division-2","A","",5712,NA,4,22,"P Taylor","Field Mill",NA,NA,"x","sub 1 on 76 1","x","uu","x red@34","x y",NA,NA,"x 2 off 89",NA,NA,NA,"uu","x 1 off 76",NA,"x","sub 2 on 89 2","x",NA,"uu",NA,NA,NA,"x y","x g pen 88 y",NA,"x",NA,NA,NA
"43",2003-03-04,"Bristol City","0","2","league-division-2","A","",11194,NA,5,4,"Trevor Parkes","Ashton Gate",NA,NA,"x","sub 2 on 59 2","sub 3 on 81 3","uu","x","x",NA,NA,"x 2 off 59",NA,NA,NA,"uu","x",NA,"x 1 off 59","sub 1 on 59 1","x",NA,NA,NA,NA,"x 3 off 81","x","x",NA,"x",NA,NA,NA
"44",2003-03-08,"Colchester United","2","0","league-division-2","H","",5223,NA,4,17,"P S Danson","Boundary Park","x 1 off 77",NA,"x 2 off 82","x","sub 1 on 77 1","x g 13 y","x g 19","x",NA,NA,"sub 2 on 82 2",NA,NA,NA,"uu","x",NA,"uu","uu","x",NA,NA,NA,NA,NA,"x","x",NA,"x",NA,NA,NA
"45",2003-03-15,"Queens Park Rangers","0","0","league-division-2","H","",7242,NA,4,6,"A R Hall","Boundary Park",NA,NA,"x","x 2 off 71","x","x",NA,"x","x y",NA,"sub 2 on 71 2","sub 1 on 56 1",NA,NA,"uu","x y","uu","x 1 off 56",NA,"x",NA,"uu",NA,NA,NA,"x",NA,NA,"x",NA,NA,NA
"46",2003-03-18,"Luton Town","0","0","league-division-2","A","",6142,NA,4,8,"R Styles","Kenilworth Road",NA,NA,"x","uu","x","x",NA,"x","x",NA,"x","uu",NA,NA,"uu","x","uu","x",NA,"x",NA,"uu",NA,NA,NA,"x",NA,NA,"x",NA,NA,NA
"47",2003-03-22,"Northampton Town","2","0","league-division-2","A","",5646,NA,4,23,"Steve Tomlin","Sixfields Stadium",NA,NA,"x","sub 1 on 66 1",NA,"x 1 off 66",NA,"x y","x",NA,"x g 67 89","x 3 off 89 y",NA,NA,"uu","x 2 off 80",NA,"uu",NA,"x",NA,"sub 2 on 80 2",NA,NA,NA,"x","x",NA,"x",NA,"sub 3 on 89 3",NA
"48",2003-03-29,"Port Vale","1","1","league-division-2","H","",7209,NA,5,19,"P Rejer","Boundary Park",NA,NA,NA,NA,"x 2 off 78",NA,"x g 28","x","x",NA,"x","x",NA,NA,"sub 1 on 25 1","x",NA,"uu","sub 2 on 78 2","x",NA,NA,NA,NA,NA,"x","x 3 off 89",NA,"x 1 off 25","sub 3 on 89 3","uu",NA
"49",2003-04-05,"Barnsley","2","1","league-division-2","H","",6191,NA,3,16,"A N Butler","Boundary Park",NA,NA,NA,"sub 1 on 87 1","x 2 off 89",NA,"x","x","x",NA,"x 1 g 4 off 87 y","x g 56",NA,"uu","x","x",NA,"uu",NA,"x",NA,NA,NA,NA,NA,"x","x",NA,NA,NA,"sub 2 on 89 2","uu"
"50",2003-04-12,"Cheltenham Town","1","1","league-division-2","A","",4439,NA,5,21,"S J Baines","-",NA,NA,NA,"sub 1 on 76 1","uu",NA,"x g 31","x","x",NA,"x","x",NA,NA,"x","x",NA,"uu",NA,"x",NA,NA,NA,NA,"x 1 off 76","x","x",NA,NA,"uu",NA,"uu"
"51",2003-04-19,"Chesterfield","4","0","league-division-2","H","",6885,NA,4,20,"Paul Robinson","Boundary Park",NA,NA,NA,"uu","sub 3 on 81 3",NA,"x g 79","x","x",NA,"x 2 g 20 off 77","x",NA,NA,"x","x g 26 75",NA,"sub 1 on 76 1",NA,"x",NA,NA,NA,NA,"x 3 off 81","x 1 off 76","x",NA,NA,"sub 2 on 77 2",NA,"uu"
"52",2003-04-21,"Wigan Athletic","1","3","league-division-2","A","",12783,NA,5,1,"P S Danson","JJB Stadium",NA,NA,NA,"sub 3 on 74 3","sub 2 on 74 2",NA,"sub 1 on 64 1","x","x 2 off 74",NA,"x g 1 y","x 3 off 74",NA,NA,"x","x",NA,"uu",NA,"x",NA,NA,NA,NA,"x 1 off 64 y","x","x",NA,NA,NA,NA,"uu"
"53",2003-04-26,"Swindon Town","4","0","league-division-2","H","",6873,NA,3,12,"Alan Kaye","Boundary Park",NA,NA,"sub 1 on 69 1","sub 2 on 78 2 g 83","uu","x 1 off 69","x g 31","x","x 3 off 82",NA,"x","x g 27",NA,NA,"x","x 2 off 78",NA,NA,NA,"x",NA,NA,NA,NA,"sub 3 on 82 3","x g 79","x",NA,NA,NA,NA,"uu"
"54",2003-05-03,"Huddersfield Town","1","1","league-division-2","A","",11271,NA,5,22,"Michael Ryan","John Smith's Stadium",NA,NA,"x g 68","x 2 off 58",NA,NA,"x 3 off 83","x","sub 1 on 45 1",NA,"sub 2 on 58 2","x","x",NA,"x","x",NA,NA,NA,NA,"uu",NA,NA,NA,"x","x 1 off 45","x",NA,NA,"sub 3 on 83 3",NA,"uu"
"55",2003-05-10,"Queens Park Rangers","1","1","league-division-2-play-offs-semi-final-1st-leg","H","",12152,NA,NA,NA,"S Bennett (do not use)","Boundary Park",NA,NA,"sub 1 on 70 1","sub 2 on 83 2","uu","x 1 off 70","x g 28","x","x 2 off 83 y",NA,"x y","x",NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,"uu","x","x",NA,NA,NA,NA,"uu"
"56",2003-05-14,"Queens Park Rangers","0","1","league-division-2-play-offs-semi-final-2nd-leg","A","",17201,NA,NA,NA,"Mark Clattenburg","Loftus Road Stadium",NA,NA,"sub 2 on 85 2","sub 1 on 73 1","sub 3 on 85 3","x 1 off 73 y","x","x 3 off 85","x 2 off 85",NA,"x red@90","x","x",NA,"uu",NA,NA,NA,NA,"x",NA,NA,NA,NA,"uu","x","x",NA,"x",NA,NA,NA
