"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Stuart Barlow","Danny Boxall","Lee Duxbury","Shaun Garnett","Richard Graham","Bruce Grobbelaar","Doug Hodgson","Ian Ironside","Ronnie Jepson","Gary Kelly","Adrian Littlejohn","Sean McCarthy","Scott McNiven","Toddy Orlygsson","Ian Ormondroyd","Mike Pollitt","Steve Redmond","Paul Reid","Lloyd Richardson","Paul Rickers","Andy Ritchie","Matthew Rush","Carl Serrant","Lee Sinnott","Phil Starbuck","Neil Thompson","Tommy Wright","Andy Hughes","David McNiven","Andy Holt","Mark Allott","Lee Clitheroe","Mark Innes","Philip Salt","Alexandros Kiratzoglou","David Miskelly","Alan Johnson","Matthew Tipton","Mark Hotte"
"12",1997-10-04,"Fulham","1","3","league-division-2","A","",8805,NA,9,8,"G Singh","Craven Cottage","x",NA,"x","x y","x",NA,"x g 72 y",NA,NA,NA,NA,NA,"x 1 off 62","x y",NA,"x",NA,NA,NA,"sub 1 on 62 1",NA,NA,"x","x",NA,NA,"x 2 off 66 y",NA,NA,NA,NA,NA,"sub 2 on 66 2","uu",NA,NA,NA,NA,NA
"13",1997-10-11,"Millwall","1","2","league-division-2","A","",7906,NA,15,3,"M Fletcher","The Den","x 3 off 87",NA,"x",NA,"x 2 off 83 y",NA,"x g 25 y",NA,NA,NA,NA,NA,"x 1 off 82","sub 1 on 82 1",NA,"x","x y","x",NA,"x",NA,NA,"x","x",NA,NA,NA,"sub 2 on 83 2",NA,NA,NA,NA,NA,NA,"sub 3 on 87 3",NA,NA,NA,NA
"14",1997-10-18,"Chesterfield","2","0","league-division-2","H","",5777,NA,10,11,"Mike Jones","Boundary Park","x 3 g 73 off 89",NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,"x 2 off 53",NA,"x","x","x",NA,"x","sub 2 on 53 2 g 61","sub 1 on 53 1","x","x 1 off 53",NA,NA,NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1997-10-21,"Grimsby Town","2","0","league-division-2","H","",4492,NA,8,15,"Chris Foy","Boundary Park","x",NA,"x g 90",NA,"x",NA,"x",NA,NA,NA,NA,"sub 1 on 76 1",NA,NA,NA,"x","x","x",NA,"x","x 1 off 76","uu","x","sub 2 on 89 2",NA,NA,"x 2 g 48 off 89 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1997-10-25,"Southend United","1","1","league-division-2","A","",3595,NA,6,21,"R Styles","Roots Hall","x g 34",NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,"x y","sub 1 on 22 1",NA,NA,"x y","x red@41","x 2 off 40 y",NA,"x y","uu",NA,"x y",NA,NA,NA,"x 1 off 22","sub 2 on 40 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1997-11-01,"Bristol City","0","1","league-division-2","A","",10221,NA,8,2,"D R Crick","Ashton Gate",NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,"x 2 off 75","x 3 off 81",NA,NA,"x","x","x",NA,"x","sub 1 on 65 1","x 1 off 65","x",NA,NA,NA,"sub 2 on 75 2","sub 3 on 81 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1997-11-04,"Wigan Athletic","3","1","league-division-2","H","",5446,NA,7,17,"E K Wolstenholme","Boundary Park",NA,NA,"x",NA,"x g 24",NA,"x y",NA,NA,NA,NA,"x g 6 62",NA,NA,NA,"x","x","x",NA,"x","sub 1 on 74 1","uu","x",NA,NA,NA,"x 2 off 78","sub 2 on 78 2",NA,NA,"x 1 off 74 y",NA,NA,NA,NA,NA,NA,NA,NA
"19",1997-11-07,"Gillingham","3","1","league-division-2","H","",5338,NA,5,7,"T Jones","Boundary Park","x g 37",NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,"x","x y","x g pen 26 54",NA,"x",NA,NA,"x","uu",NA,NA,"x 1 off 51","sub 1 on 51 1",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"20",1997-11-15,"Mansfield Town","1","1","fa-cup","H","",5253,NA,NA,NA,"M A Riley","Boundary Park","x 3 off 85",NA,"x","x",NA,NA,"x",NA,NA,"x",NA,"x g 15 y","x 2 off 72",NA,NA,NA,NA,"x",NA,"x",NA,"sub 2 on 72 2","x",NA,NA,NA,"x 1 off 69","sub 1 on 69 1",NA,NA,"sub 3 on 85 3",NA,"uu",NA,NA,"uu",NA,NA,NA
"21",1997-11-18,"Watford","1","2","league-division-2","A","",8397,NA,7,1,"A R Hall","Vicarage Road","x 2 off 83","x y","x g 58 y","x","x",NA,NA,NA,NA,NA,NA,"x y","x 1 off 83",NA,NA,"x",NA,"x y",NA,"x",NA,"sub 2 on 83 2","x",NA,NA,NA,NA,"uu",NA,NA,"sub 1 on 83 1",NA,NA,NA,NA,NA,NA,NA,NA
"22",1997-11-22,"Brentford","1","1","league-division-2","H","",5012,NA,7,22,"MIke Pike","Boundary Park","x 1 off 59","x","x","x","x",NA,NA,NA,NA,NA,NA,"x g 66",NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,"x 2 off 76","sub 2 on 76 2",NA,NA,"sub 1 on 59 1",NA,NA,"uu",NA,NA,NA,NA,NA
"23",1997-11-25,"Mansfield Town","1","0","fa-cup","A","",4097,NA,NA,NA,"M A Riley","Field Mill","sub 1 on 71 1",NA,"x","x y","x",NA,NA,NA,NA,"x",NA,"x","x",NA,NA,NA,"x","x",NA,"x",NA,NA,"x g 43",NA,NA,NA,"uu","uu",NA,NA,"x 1 off 71 y",NA,NA,"uu",NA,"uu",NA,NA,NA
"24",1997-11-29,"Plymouth Argyle","2","0","league-division-2","A","",5452,NA,6,18,"B Knight","Home Park","x","x","x","uu","x",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x","x",NA,"x g 90","x",NA,"x",NA,NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"25",1997-12-02,"Carlisle United","3","1","league-division-2","H","",4449,NA,3,24,"D Pugh","Boundary Park","x g 45","x 1 off 45","x g 49","uu","x",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x","x",NA,"x g 43","x 2 off 63",NA,"x y",NA,NA,NA,NA,"sub 2 on 63 2",NA,NA,"sub 1 on 45 1",NA,NA,NA,NA,NA,NA,NA,NA
"26",1997-12-06,"Blackpool","2","1","fa-cup","H","",6590,NA,NA,NA,"G B Frankland","Boundary Park","x 1 g 81 off 84",NA,"x","uu","x g 58",NA,"x",NA,NA,"x",NA,NA,"sub 1 on 84 1",NA,NA,NA,"x","x",NA,"x","x","sub 2 on 87 2","x",NA,NA,NA,NA,"uu",NA,NA,"x 2 off 87",NA,NA,NA,NA,NA,"uu",NA,NA
"27",1997-12-09,"Carlisle United","0","1","auto-windscreens-shield-1st-round---northern-section","A","",1518,NA,NA,NA,"Chris Foy","Brunton Park",NA,"x","x 2 off 76 y","x y","x",NA,NA,NA,NA,"x",NA,"x","x",NA,NA,NA,NA,NA,"sub 1 on 76 1",NA,NA,"uu",NA,NA,NA,NA,NA,"x 1 off 28",NA,NA,"x",NA,"x","x",NA,NA,NA,"sub 2 on 86 2",NA
"28",1997-12-13,"Wycombe Wanderers","1","2","league-division-2","A","",5327,NA,3,16,"P Taylor","Causeway Stadium","x g 72","x",NA,"sub 2 on 90 2","x",NA,"x y",NA,NA,"x",NA,NA,"x 1 off 55",NA,NA,NA,"x","x",NA,"x","x",NA,"x y",NA,NA,NA,NA,NA,NA,NA,"sub 1 on 55 1",NA,NA,"uu",NA,NA,NA,NA,NA
"29",1997-12-19,"Walsall","0","0","league-division-2","H","",4677,NA,3,11,"G Laws","Boundary Park","x","x","x",NA,"x",NA,"x",NA,NA,"x",NA,"sub 1 on 64 1","uu",NA,NA,NA,"x","x",NA,"x","x 1 off 64","uu",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA
"30",1997-12-26,"Preston North End","1","1","league-division-2","A","",13441,NA,3,11,"K M Lynch","Deepdale","x",NA,"x",NA,"x",NA,"x 2 g 32 off 85",NA,NA,"x",NA,"x","sub 1 on 56 1",NA,NA,NA,"x","x",NA,"x","uu",NA,NA,NA,NA,"x",NA,"x 1 off 56",NA,NA,"sub 2 on 85 2",NA,NA,NA,NA,NA,NA,NA,NA
"31",1998-01-03,"Cardiff City","0","1","fa-cup","A","",6635,NA,NA,NA,"","Ninian Park","x 2 off 68",NA,"x 3 off 82",NA,"x","uu","x",NA,NA,"x",NA,"x","x",NA,NA,NA,"x y","x",NA,"x 1 off 45","sub 3 on 82 3","sub 2 on 68 2",NA,NA,NA,NA,NA,"uu",NA,"x","sub 1 on 45 1",NA,NA,NA,NA,NA,NA,NA,NA
"32",1998-01-10,"York City","0","0","league-division-2","A","",4454,NA,7,8,"R D Furnandiz","Bootham Crescent","x",NA,"x","x","x",NA,NA,NA,NA,"x",NA,"sub 1 on 65 1","x 2 off 71",NA,NA,NA,"x","x y",NA,"x","x 1 off 65","sub 2 on 71 2",NA,NA,NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1998-01-17,"Luton Town","2","1","league-division-2","H","",6057,NA,7,18,"T Heilbron","Boundary Park","x 1 off 65",NA,"x y","x","x g 55 66",NA,NA,NA,"x","x",NA,"sub 1 on 65 1","sub 2 on 84 2",NA,NA,NA,"x","x",NA,"x",NA,"x 2 off 84",NA,NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"34",1998-01-24,"AFC Bournemouth","0","0","league-division-2","A","",4079,NA,7,13,"Andy D'Urso","Dean Court","sub 1 on 45 1 y",NA,"x","x","x",NA,NA,NA,NA,"x",NA,"x","uu",NA,NA,NA,"x y","x y",NA,"x",NA,"uu",NA,NA,"x","x",NA,NA,NA,NA,"x 1 off 45",NA,NA,NA,NA,NA,NA,NA,NA
"35",1998-01-27,"Wrexham","3","0","league-division-2","H","",4680,NA,3,12,"E K Wolstenholme","Boundary Park","x",NA,"x g 45","x","x y",NA,NA,NA,NA,"x",NA,"uu","x",NA,NA,NA,NA,"x",NA,"x g 30","x g 85","x",NA,NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA
"36",1998-01-31,"Northampton Town","0","0","league-division-2","A","",6559,NA,3,5,"D Orr","Sixfields Stadium","uu",NA,"x","x","x",NA,NA,NA,NA,"x",NA,"sub 1 on 59 1 y","x",NA,NA,NA,NA,"x",NA,"x","x 1 off 59","x",NA,"uu","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1998-02-07,"Blackpool","0","1","league-division-2","H","",6576,NA,6,15,"Anthony Leake","Boundary Park","x",NA,"x 3 off 84","x","x",NA,NA,NA,"x red@90","x",NA,NA,"x",NA,NA,NA,"x 2 off 74","x",NA,"x","sub 2 on 74 2","x 1 off 45",NA,NA,"sub 1 on 45 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 84 3",NA
"38",1998-02-14,"Fulham","1","0","league-division-2","H","",6063,NA,5,6,"R D Furnandiz","Boundary Park","x",NA,"x g 82","x","x",NA,NA,NA,"x 1 off 51","x",NA,NA,NA,NA,NA,NA,"x","x",NA,"x","x",NA,NA,NA,"sub 1 on 51 1","x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,"uu",NA
"39",1998-02-21,"Bristol Rovers","1","3","league-division-2","A","",5789,NA,7,6,"M E Pierce","-","x",NA,"x","x y",NA,NA,"uu",NA,NA,"x",NA,NA,"x",NA,NA,NA,"x y","x 2 off 45",NA,"x y","x 1 off 22",NA,NA,NA,"x g pen 60","x",NA,NA,"sub 2 on 45 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 45 1 y"
"40",1998-02-24,"Chesterfield","1","2","league-division-2","A","",4079,NA,8,10,"G Singh","Recreation Ground (CSF)",NA,NA,"x","x g 82",NA,NA,"x 1 off 62 y",NA,NA,"x",NA,"x 3 off 77","x",NA,NA,NA,"sub 1 on 62 1","x",NA,"sub 3 on 77 3",NA,NA,NA,NA,"x","x",NA,NA,"x y",NA,"sub 2 on 62 2",NA,NA,NA,NA,NA,NA,"x 2 off 62",NA
"41",1998-02-28,"Millwall","1","1","league-division-2","H","",4805,NA,9,15,"R Pearson","Boundary Park","x 2 g 56 off 84","x","x","x",NA,NA,"uu",NA,NA,"x",NA,"sub 1 on 70 1","x",NA,NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,"x 1 off 70",NA,NA,NA,"sub 2 on 84 2","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1998-03-03,"Gillingham","1","2","league-division-2","A","",5247,NA,9,6,"P S Danson","Priestfield Stadium","x","x","x","x y",NA,NA,"x 1 off 68",NA,NA,"x",NA,"sub 2 on 68 2","x",NA,NA,NA,NA,"x",NA,"x",NA,"sub 1 on 68 1",NA,NA,"x 2 off 68 y",NA,NA,NA,NA,"x g 27",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"43",1998-03-14,"Wigan Athletic","0","1","league-division-2","A","",4277,NA,11,16,"P R Richards","Springfield Park","x 2 off 76","x","x y","x",NA,NA,NA,NA,"x","x",NA,"sub 2 on 76 2",NA,NA,NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,NA,"sub 1 on 71 1","uu",NA,NA,"x 1 off 71",NA,NA,NA,NA,NA
"44",1998-03-21,"Watford","2","2","league-division-2","H","",5744,NA,11,1,"M D Messias","Boundary Park",NA,"x","x","x",NA,NA,NA,NA,"x 1 off 45","x","x g 53 y",NA,"x",NA,NA,NA,NA,"x y",NA,"x y","uu","x 2 off 81",NA,"sub 2 on 87 2",NA,NA,NA,NA,NA,"x","sub 1 on 81 1 g 90",NA,NA,NA,NA,NA,NA,NA,NA
"45",1998-03-28,"Brentford","1","2","league-division-2","A","",4547,NA,13,20,"B Knight","Griffin Park",NA,"x","x y","x",NA,NA,"sub 2 on 46 2",NA,NA,"x","x",NA,"sub 1 on 46 1 y",NA,NA,NA,"x 2 off 46","x g 67 y",NA,"x",NA,"sub 3 on 72 3","x 1 off 46",NA,NA,NA,NA,NA,NA,"x","x 3 off 72",NA,NA,NA,NA,NA,NA,NA,NA
"46",1998-03-31,"Bristol City","1","2","league-division-2","H","",4543,NA,13,1,"D Pugh","Boundary Park",NA,"x y","x","x",NA,NA,"x red@86",NA,NA,"x","x 2 off 85",NA,"x 3 off 87",NA,NA,NA,"sub 3 on 87 3","x",NA,"x",NA,"x 1 g 23 off 85",NA,NA,NA,NA,NA,NA,NA,"x","sub 1 on 85 1",NA,NA,NA,NA,NA,NA,"sub 2 on 85 2",NA
"47",1998-04-04,"Plymouth Argyle","2","0","league-division-2","H","",4244,NA,10,21,"MIke Pike","Boundary Park",NA,"x","x y","x",NA,NA,"x 2 off 85",NA,NA,"x","x 1 g 43 54 off 84",NA,"x","uu",NA,NA,NA,"x",NA,"x",NA,"x","x",NA,NA,NA,NA,NA,NA,"sub 2 on 85 2","sub 1 on 84 1",NA,NA,NA,NA,NA,NA,NA,NA
"48",1998-04-11,"Carlisle United","1","3","league-division-2","A","",4594,NA,12,23,"J A Kirkby","Brunton Park",NA,"x 1 off 30","x y","x",NA,NA,"sub 1 on 30 1 g 41 y",NA,NA,"x y","x 3 off 68",NA,"x","x",NA,NA,NA,NA,NA,"x",NA,"x 2 off 40","x",NA,NA,NA,NA,NA,"sub 3 on 68 3","x","sub 2 on 40 2",NA,NA,NA,NA,NA,NA,NA,NA
"49",1998-04-13,"Wycombe Wanderers","0","1","league-division-2","H","",4305,NA,16,11,"G Cain","Boundary Park",NA,"x","x","x",NA,NA,"x 2 off 74",NA,NA,"x",NA,NA,"x","x",NA,NA,NA,"x y",NA,"x 1 off 64",NA,NA,"x",NA,NA,NA,NA,NA,"sub 3 on 78 3","sub 2 on 74 2","x 3 off 78","sub 1 on 64 1",NA,NA,NA,NA,NA,NA,NA
"50",1998-04-18,"Walsall","0","0","league-division-2","A","",3562,NA,16,17,"S Bennett (do not use)","Banks's Stadium",NA,"x","x 1 off 40 y","x","x y","x",NA,NA,"x 2 off 81",NA,NA,NA,NA,"x y",NA,NA,"x","x",NA,"sub 1 on 40 1",NA,NA,"x",NA,NA,NA,NA,NA,"uu","sub 2 on 81 2","x",NA,NA,NA,NA,NA,NA,NA,NA
"51",1998-04-25,"Southend United","2","0","league-division-2","H","",4485,NA,14,24,"Mike Dean","Boundary Park",NA,"x",NA,"x","x 2 off 75 y","x",NA,NA,"x 3 g 68 off 83",NA,NA,NA,"sub 2 on 75 2","x 1 off 45",NA,NA,"x y","x y",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,"sub 1 on 45 1 g 87","sub 3 on 83 3","x",NA,NA,NA,NA,NA,NA,NA,NA
"52",1998-04-28,"Burnley","3","3","league-division-2","H","",9781,5000,12,22,"W C Burns","Boundary Park",NA,"x 1 off 58",NA,"x red@55","x","x",NA,NA,"x g 27",NA,NA,NA,"sub 1 on 58 1 y",NA,NA,NA,"x","x y",NA,"x g 76",NA,NA,"x",NA,NA,NA,NA,NA,"x 2 off 58","sub 3 on 88 3","x 3 g 77 off 88 y","sub 2 on 58 2",NA,NA,NA,NA,NA,NA,NA
"53",1998-05-02,"Grimsby Town","2","0","league-division-2","A","",8327,NA,12,3,"P Rejer","Blundell Park",NA,NA,NA,"sub 2 on 84 2","x","x",NA,NA,"x 2 g 67 71 off 84 y",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,"sub 1 on 80 1","sub 3 on 89 3","x","x 1 off 80","x 3 off 89",NA,NA,NA,NA,NA,NA
