"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","David Dunn","Ritchie Wellens","Ricardo Fuller","Brian Wilson","Mark Yeates","Michael Higdon","Jonathan Forte","Anthony Gerrard","Lee Croft","James Wilson","Mike Jones","Curtis Main","Joseph Mills","Richard Eckersley","Gavin Gunning","David Cornell","Liam Kelly","Rhys Murphy","Danny Philliskirk","Daniel Lafferty","Carl Winchester","Jay Fulton","Aaron Amadi-Holloway","Timothee Dieng","Jake Cassidy","Connor Brown","Dominic Poleon","Matt Palmer","Giorgio Rasulo","Jack Truelove","Joel Coleman","Jordan Bove","Cameron Dummigan","Eoghan O&#039;Connell","Tareiq Holmes-Dennis","Rhys Turner","Danny Byrnes","Simonas Stankevicius","Jack Tuohy","George Green","Timmy Thiele","Jonathan Burn","George Edmundson","Theo Vassell","Alex Read","Chris Renshaw"
"11",2015-08-22,"Shrewsbury Town","1","1","league-one","H","",3963,364,12,19,"Scott Duncan","Boundary Park","x 2 off 73",NA,NA,NA,NA,NA,"x",NA,"x 1 off 73","x","x 3 off 89",NA,NA,NA,NA,"uu","x g pen 52","uu","x",NA,"sub 2 on 73 2",NA,NA,"x",NA,"x","uu",NA,NA,NA,"x",NA,NA,NA,NA,"sub 3 on 89 3",NA,NA,NA,"sub 1 on 73 1 y",NA,"x","uu",NA,NA,NA
"12",2015-08-29,"Bury","1","1","league-one","A","",5448,1832,10,17,"Roger East","Gigg Lane","x 3 off 84",NA,NA,NA,"sub 1 on 70 1",NA,"x 2 off 74",NA,"x g 24","x","x",NA,"x",NA,NA,"uu",NA,NA,"x",NA,NA,NA,NA,"x y",NA,"x","uu",NA,NA,NA,"x",NA,NA,NA,NA,"sub 3 on 84 3",NA,"sub 2 on 74 2",NA,"uu",NA,"x 1 off 70","uu",NA,NA,NA
"13",2015-09-01,"Shrewsbury Town","0","2","efl-trophy","A","",1817,133,NA,NA,"Stephen Martin","Greenhous Meadow",NA,NA,NA,NA,"x",NA,"sub 2 on 72 2",NA,"x","x","x",NA,NA,NA,NA,"x",NA,"sub 1 on 62 1","x",NA,NA,NA,NA,"x",NA,"x 1 off 62",NA,NA,NA,"uu","uu",NA,NA,NA,NA,"x 2 off 72",NA,NA,"sub 3 on 85 3","x 3 off 85",NA,NA,"x",NA,NA,NA
"14",2015-09-05,"Bradford City","1","2","league-one","H","",5619,1665,NA,NA,"Andy Haines","Boundary Park","x 3 off 79",NA,NA,NA,"x",NA,"x red@34",NA,NA,"x","x",NA,"x g 81",NA,NA,"uu",NA,"sub 2 on 70 2","x y",NA,"sub 3 on 79 3",NA,NA,"x 1 off 45",NA,"uu",NA,NA,NA,NA,"x",NA,NA,"x y",NA,"sub 1 on 45 1",NA,NA,"uu",NA,NA,"x 2 off 70","uu",NA,NA,NA
"15",2015-09-12,"Peterborough United","1","5","league-one","H","",3566,220,19,17,"Seb Stockbridge","Boundary Park","x y",NA,NA,NA,"x 3 off 71",NA,NA,NA,"uu","x","sub 3 on 71 3",NA,"x",NA,NA,"uu",NA,"x g 48","x",NA,"x y",NA,NA,"sub 1 on 48 1",NA,"x 1 off 48","sub 2 on 64 2",NA,NA,NA,"x",NA,NA,"x",NA,"uu",NA,"x 2 off 64",NA,NA,NA,"uu",NA,NA,NA,NA
"16",2015-09-19,"Doncaster Rovers","1","1","league-one","A","",5647,625,21,22,"Andy Woolmer","Eco Power Stadium",NA,NA,NA,"sub 2 on 70 2","x 3 off 82",NA,NA,NA,"x","x","x y",NA,NA,"uu",NA,"x",NA,NA,"x",NA,"x",NA,NA,"x",NA,"x y","x 1 off 64",NA,NA,NA,"uu","uu",NA,"uu",NA,NA,NA,"sub 1 on 64 1",NA,"sub 3 on 82 3 y",NA,"x 2 g 34 off 70",NA,NA,NA,NA
"17",2015-09-26,"Wigan Athletic","1","1","league-one","H","",5482,NA,20,9,"Darren Handley","Boundary Park",NA,NA,NA,"uu","sub 2 on 68 2","x",NA,NA,"x","x","x y",NA,NA,"uu",NA,"x","x 1 off 59 y",NA,"x 2 off 68",NA,"uu","x",NA,"x",NA,"x y","sub 1 on 59 1 g 74",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA,NA
"18",2015-09-29,"Port Vale","1","1","league-one","A","",4065,281,18,13,"Kevin Johnson","Vale Park",NA,NA,NA,NA,"sub 1 on 61 1","x 3 g 35 off 86 y",NA,NA,"x 1 off 61","x","x",NA,NA,"uu",NA,"x","x y",NA,"sub 2 on 72 2",NA,"uu","x 2 off 72",NA,"x y",NA,"x y","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,"sub 3 on 86 3",NA,NA,NA,"x y","uu",NA,NA,NA
"19",2015-10-03,"Gillingham","3","3","league-one","A","",6157,181,18,4,"James Adcock","Priestfield Stadium",NA,NA,NA,NA,"uu","x g 28 55",NA,NA,"sub 1 on 72 1 y","x","x",NA,NA,"uu",NA,"x","x",NA,"x","x y","uu","x 1 off 72",NA,"uu",NA,"uu","x g 36",NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x y",NA,NA,NA,NA
"20",2015-10-10,"Scunthorpe United","2","4","league-one","H","",4002,349,21,15,"Geoff Eltringham","Boundary Park","sub 2 on 76 2",NA,NA,"uu","sub 1 on 55 1","x",NA,NA,"x 1 off 55","x","x 3 off 89",NA,NA,"uu",NA,"x","x g 25",NA,"x 2 off 76","x","sub 3 on 89 3",NA,NA,"uu",NA,"x y","x g 27",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA
"21",2015-10-17,"Sheffield United","1","1","league-one","H","",5743,2111,21,6,"Kevin Wright","Boundary Park",NA,NA,"sub 2 on 68 2","sub 3 on 83 3","uu",NA,NA,NA,"uu","x","x 1 off 68 y",NA,NA,"uu",NA,"x","x",NA,"x g 10","x","x","x 3 off 83",NA,"sub 1 on 68 1",NA,NA,"x 2 off 68",NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x y red@62",NA,NA,NA,NA
"22",2015-10-20,"Swindon Town","2","1","league-one","A","",6430,NA,17,23,"Andy Davies","The County Ground",NA,NA,"uu","x 1 off 78","sub 3 on 89 3","x 2 off 80",NA,NA,"uu","x","x g 34",NA,NA,"uu",NA,"x","x",NA,"x g 87","x y","x y","x 3 off 89 y",NA,"sub 1 on 78 1",NA,NA,"sub 2 on 80 2",NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2015-10-24,"Rochdale","0","0","league-one","A","",5690,2641,18,11,"Andy Madley","Spotland",NA,NA,"uu","x","sub 3 on 73 3","x",NA,NA,"uu","x","x 1 off 43 y",NA,NA,"sub 2 on 63 2 y",NA,"x","x y",NA,"x","x 2 off 63","x","x 3 off 73",NA,"uu",NA,NA,"sub 1 on 43 1",NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2015-10-31,"Burton Albion","0","1","league-one","H","",3795,297,19,2,"Eddie Ilderton","Boundary Park",NA,NA,"sub 1 on 65 1 y","x","x 2 off 83",NA,NA,NA,"sub 2 on 83 2","x",NA,NA,"x","uu",NA,"x","x y",NA,"x",NA,"x","x 1 off 65",NA,"uu",NA,NA,"x",NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","uu",NA
"25",2015-11-07,"Mansfield Town","0","0","fa-cup","A","",2886,512,NA,NA,"Tony Harrington","Field Mill","uu",NA,"x 1 off 56","x","x","x",NA,NA,"uu",NA,NA,NA,"x","sub 2 on 79 2",NA,NA,NA,NA,"x",NA,"x y",NA,NA,"x",NA,NA,"x 2 off 73",NA,"sub 1 on 73 1",NA,"x",NA,"x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,"uu",NA,"uu"
"26",2015-11-14,"Chesterfield","2","1","league-one","A","",6178,445,18,14,"Tim Robinson","Proact Stadium",NA,NA,"uu","x","x","x 2 off 70",NA,NA,NA,"x",NA,NA,"x","uu",NA,NA,"x",NA,"x g 87 y",NA,"x 1 off 70","sub 2 on 70 2",NA,"x",NA,"uu","x g 72",NA,"sub 1 on 70 1",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"uu"
"27",2015-11-17,"Mansfield Town","2","0","fa-cup","H","",1893,188,NA,NA,"Lee Collins","Boundary Park",NA,NA,"sub 2 on 87 2","x","x","x 1 off 59",NA,NA,NA,"x",NA,NA,"x","x",NA,NA,"x",NA,"x g 70",NA,"uu",NA,NA,"x y",NA,"uu","x 2 g 78 off 87",NA,"sub 1 on 59 1",NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,"uu",NA,"uu"
"28",2015-11-21,"Barnsley","1","2","league-one","H","",4300,584,18,21,"Graham Salisbury","Boundary Park",NA,NA,"uu","x y","x g 78 y","sub 2 on 66 2",NA,NA,NA,"x",NA,NA,"x","uu",NA,"uu","x",NA,"x",NA,"uu","sub 1 on 45 1",NA,"x 1 off 45",NA,"uu","x",NA,"x 2 off 66",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2015-11-24,"Southend United","2","5","league-one","H","",3301,NA,21,8,"Darren Bond","Boundary Park",NA,NA,"sub 1 on 54 1","x","x","x g 56 77",NA,NA,NA,"x","uu",NA,"x","x 1 off 54",NA,"x","x y",NA,"x",NA,"uu","x",NA,"uu",NA,"uu","x 2 off 68",NA,"sub 2 on 68 2",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2015-11-28,"Crewe Alexandra","0","1","league-one","A","",3969,414,21,23,"Simon Hooper","Alexandra Stadium",NA,"sub 2 on 59 2","x 1 off 45","x","x","x",NA,NA,NA,"x","uu",NA,"x y",NA,NA,"x","x y",NA,"x",NA,"uu","x 3 off 70",NA,"uu","sub 1 on 45 1","x 2 off 59 y","sub 3 on 70 3",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2015-12-05,"Sheffield United","0","1","fa-cup","A","",6938,682,NA,NA,"Eddie Ilderton","Bramall Lane",NA,NA,NA,"x","x 2 off 77",NA,NA,NA,NA,"x","x",NA,"x","uu",NA,"x","x",NA,"x 1 off 72",NA,"x",NA,NA,"x","x",NA,"sub 1 on 72 1",NA,"sub 2 on 77 2",NA,"uu",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,"uu","uu",NA,NA
"32",2015-12-19,"Coventry City","1","1","league-one","A","",15419,259,22,3,"David Webb","Ricoh Arena",NA,"x 2 off 76",NA,"x","sub 2 on 76 2","sub 3 on 89 3",NA,NA,NA,"x","x",NA,"uu","x",NA,"x","x",NA,"x g 90",NA,"x","uu",NA,"x 3 off 89","x 1 off 75",NA,"sub 1 on 75 1",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA
"33",2015-12-28,"Doncaster Rovers","1","2","league-one","H","",4432,766,22,15,"Ross Joyce","Boundary Park",NA,NA,NA,"x","sub 2 on 62 2 y",NA,NA,NA,"uu","x 1 off 45","x",NA,"sub 3 on 71 3","x 3 off 71 y",NA,"x","x","x g 74","x",NA,"x 2 off 62",NA,NA,"x","x",NA,"uu",NA,"uu",NA,"uu",NA,"sub 1 on 45 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2016-01-02,"Colchester United","1","1","league-one","H","",3535,101,22,23,"Mark Brown","Boundary Park",NA,"x",NA,"x","uu",NA,NA,NA,"uu","uu","x",NA,"x",NA,NA,"x","x","x 1 g 5 off 74","x",NA,"uu",NA,NA,"x","x",NA,"sub 1 on 74 1",NA,"uu",NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2016-01-09,"Millwall","1","2","league-one","H","",3558,362,22,7,"Richard Clark","Boundary Park",NA,NA,"sub 3 on 88 3","x 2 off 88",NA,NA,"sub 1 on 65 1",NA,NA,"sub 2 on 88 2","x g 59",NA,"uu",NA,NA,"uu","x","x",NA,"x 3 off 88","x",NA,NA,"x","x","uu","x 1 off 65",NA,NA,NA,"x","uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2016-01-16,"Bradford City","0","1","league-one","A","",18522,992,NA,NA,"Ben Toner","Northern Commercials Stadium",NA,NA,"uu","x",NA,NA,"sub 2 on 63 2",NA,"uu","x","x",NA,"uu",NA,NA,"uu","x","x 3 off 66",NA,"x","x 2 off 63 y",NA,NA,"x","x","sub 1 on 25 1 red@41","sub 3 on 66 3",NA,NA,NA,"x",NA,"x 1 off 25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2016-01-23,"Bury","0","1","league-one","H","",5537,1237,23,13,"Phil Gibbs","Boundary Park",NA,NA,NA,"x 1 off 68",NA,NA,"x",NA,"sub 3 on 88 3","x","x",NA,"uu",NA,NA,"uu","x","sub 2 on 74 2",NA,"x","x",NA,NA,"x","sub 1 on 68 1",NA,"x 2 off 74","x 3 off 88",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","uu",NA,NA
"38",2016-01-26,"Shrewsbury Town","1","0","league-one","A","",4057,187,22,20,"Kevin Johnson","Greenhous Meadow",NA,NA,NA,NA,NA,NA,"x 3 off 88","x","sub 2 on 83 2 y","x","x",NA,"uu",NA,NA,"uu","x","sub 1 on 64 1",NA,"x","x 2 g 23 off 83",NA,NA,"x y","sub 3 on 88 3",NA,"x 1 off 64","x y",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","uu",NA,NA
"39",2016-02-13,"Wigan Athletic","0","0","league-one","A","",9817,1408,23,4,"Nigel Miller","DW Stadium",NA,NA,NA,NA,NA,NA,"x","x 1 off 41 y","sub 2 on 72 2","x",NA,NA,"uu",NA,NA,"uu","x","x 2 off 72",NA,"x","x",NA,"sub 1 on 41 1","x","uu",NA,NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,"uu",NA,NA,NA
"40",2016-02-16,"Blackpool","0","0","league-one","A","",7197,NA,23,18,"Paul Tierney","Bloomfield Road",NA,NA,NA,NA,NA,NA,"x",NA,"uu","x","sub 2 on 68 2","sub 1 on 67 1","uu",NA,NA,"uu","x","x 2 off 68",NA,"x","x",NA,"x 1 off 67","x","uu",NA,NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA
"41",2016-02-20,"Gillingham","2","1","league-one","H","",3874,279,22,3,"David Coote","Boundary Park",NA,NA,NA,NA,NA,NA,"x g 73","x","uu","x",NA,"x","uu",NA,NA,"uu","x y","sub 2 on 79 2",NA,"x","sub 1 on 75 1",NA,"x 2 off 79","x g 57","uu","uu",NA,"x y",NA,NA,"x",NA,"x 1 off 75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2016-02-23,"Peterborough United","2","1","league-one","A","",3544,183,22,12,"Keith Hill","London Road",NA,NA,NA,"uu",NA,NA,"sub 1 on 62 1","x","uu","x y",NA,"x 1 off 62",NA,NA,NA,"uu","x g pen 73",NA,NA,"x y","x",NA,"x 2 off 80","x","sub 2 on 80 2","uu",NA,"x",NA,NA,"x",NA,"x g 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2016-02-27,"Scunthorpe United","1","1","league-one","A","",4180,NA,22,14,"Darren England","Glanford Park",NA,NA,NA,"uu",NA,NA,NA,"x","uu","x","sub 2 on 60 2","x 3 off 86","x 1 off 56 y",NA,NA,"uu","x","sub 3 on 86 3",NA,"x g 78","x",NA,NA,"x","sub 1 on 56 1","uu",NA,"x y",NA,NA,"x",NA,"x 2 off 60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2016-03-01,"Port Vale","1","1","league-one","H","",3507,338,22,10,"Darren Handley","Boundary Park",NA,NA,NA,"uu",NA,NA,NA,"x y","uu","x","x","x 2 off 64","uu",NA,NA,"uu","x g 68 y","sub 3 on 87 3",NA,"x","sub 1 on 64 1",NA,"x 3 off 87","x","sub 2 on 64 2",NA,NA,"x",NA,NA,"x",NA,"x 1 off 64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2016-03-12,"Sheffield United","0","3","league-one","A","",18334,817,22,11,"Peter Bankes","Bramall Lane",NA,NA,NA,"sub 2 on 59 2",NA,NA,"x","x","uu","x","x 2 off 59","sub 1 on 45 1","x",NA,NA,"uu","uu",NA,NA,NA,"x",NA,"x 3 off 59","x",NA,"uu",NA,"x",NA,NA,"x",NA,"x 1 off 45",NA,NA,NA,NA,NA,NA,NA,"sub 3 on 59 3",NA,NA,NA,NA,NA
"46",2016-03-15,"Blackpool","1","0","league-one","H","",3715,338,21,22,"Jeremy Simpson","Boundary Park",NA,NA,NA,"x",NA,NA,"x 1 off 79","x","uu","x","x y","x","uu",NA,NA,"uu","x y",NA,NA,NA,"sub 2 on 89 2",NA,"x 2 off 89","x",NA,"uu",NA,"x g 53",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,"sub 1 on 79 1",NA,NA,NA,NA,NA
"47",2016-03-19,"Rochdale","2","3","league-one","H","",6117,1242,22,11,"Paul Tierney","Boundary Park",NA,NA,NA,NA,NA,NA,"x 2 off 63","x","sub 3 on 87 3","x","x 1 off 62","x","uu",NA,NA,"uu","x",NA,NA,NA,"uu",NA,"x g 29 71","x 3 off 87",NA,"sub 1 on 62 1",NA,"x",NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,"uu",NA,"sub 2 on 63 2",NA,NA,NA,NA,NA
"48",2016-03-26,"Burton Albion","0","0","league-one","A","",4283,580,21,1,"Geoff Eltringham","Pirelli Stadium",NA,NA,NA,"x",NA,NA,"uu",NA,"uu","x","x","x y","uu",NA,NA,"uu","x",NA,NA,NA,"x",NA,"x 1 off 73","x","sub 1 on 73 1","uu",NA,NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2016-03-28,"Chesterfield","1","0","league-one","H","",4483,599,21,18,"Tony Harrington","Boundary Park",NA,NA,NA,"x",NA,NA,"x 2 off 72","x","uu","x","sub 1 on 61 1 g 78","x","uu",NA,NA,"uu","x",NA,NA,NA,"uu",NA,"x 1 off 61","x","sub 2 on 89 2",NA,NA,"x",NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"50",2016-04-05,"Swindon Town","2","0","league-one","H","",3730,177,21,15,"Andy Haines","Boundary Park",NA,NA,NA,"uu",NA,NA,"x 1 off 77 y","x y","sub 3 on 89 3","x","x 3 off 89","x g 82","uu",NA,NA,"uu","x g 10 y",NA,NA,NA,"sub 2 on 88 2",NA,NA,"x","sub 1 on 77 1","uu",NA,"x 2 off 88",NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2016-04-09,"Walsall","1","0","league-one","H","",4396,565,18,6,"Ben Toner","Boundary Park",NA,NA,NA,"uu",NA,NA,"x 1 off 84","x y","uu","x","x y","x g 63","uu",NA,NA,"uu","x",NA,NA,NA,"uu",NA,NA,"x","sub 1 on 84 1","uu",NA,"x",NA,NA,"x",NA,"x y",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2016-04-12,"Barnsley","1","2","league-one","A","",8871,526,18,7,"Simon Hooper","Oakwell",NA,NA,NA,"uu",NA,NA,"sub 1 on 34 1","x y","uu","x","x 2 off 45","x g 68","uu",NA,NA,"uu","x",NA,NA,NA,"x 1 off 20",NA,NA,"x y","x","uu",NA,NA,NA,NA,"x y",NA,"x y",NA,"x",NA,NA,NA,"sub 2 on 45 2",NA,NA,NA,NA,NA,NA,NA
"53",2016-04-16,"Fleetwood Town","1","1","league-one","A","",3889,NA,18,19,"Graham Salisbury","Highbury Stadium",NA,NA,NA,"x",NA,NA,"x 2 off 79","x","x 3 off 89","x 1 off 55",NA,"x","uu",NA,NA,"uu","x g 77",NA,NA,NA,NA,NA,NA,"x","sub 2 on 79 2","sub 1 on 55 1","sub 3 on 89 3",NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,"uu",NA,NA,NA,"uu",NA,NA,NA
"54",2016-04-19,"Southend United","1","0","league-one","A","",6508,193,17,13,"Darren Deadman","Roots Hall",NA,NA,NA,"x y",NA,NA,"x 1 off 85","x","x",NA,NA,"x g 66","uu",NA,NA,"uu","x",NA,NA,NA,NA,NA,NA,"x","sub 1 on 85 1","uu","uu",NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA
"55",2016-04-23,"Crewe Alexandra","1","0","league-one","H","",4571,98,17,24,"Michael Bull","Boundary Park",NA,NA,NA,"x",NA,NA,"x 2 g 59 off 77","x","x 1 off 68 y",NA,NA,"x","uu",NA,NA,"uu","x",NA,NA,NA,"sub 1 on 68 1",NA,NA,"x","uu","uu","sub 2 on 77 2",NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA
"56",2016-04-30,"Millwall","0","3","league-one","A","",12419,NA,17,3,"Robert Lewis","The Den",NA,NA,NA,"x",NA,NA,"x","x","x 3 off 67","x","sub 3 on 67 3","x 2 off 66","uu",NA,NA,"uu","x",NA,NA,NA,"sub 1 on 55 1",NA,NA,"x 1 off 55","uu","uu","sub 2 on 66 2",NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2016-05-08,"Coventry City","0","2","league-one","H","",4928,782,17,8,"Darren England","Boundary Park",NA,NA,NA,"x",NA,NA,"x","x","sub 3 on 73 3","x","sub 1 on 62 1","x","uu",NA,NA,"uu","x",NA,NA,NA,"x 1 off 62",NA,NA,"x 3 off 73","sub 2 on 68 2","uu","x 2 off 68",NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA
