"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Nicky Banger","Stuart Barlow","David Beresford","Lee Duxbury","Craig Fleming","Mark Foran","John Gannon","Shaun Garnett","Richard Graham","Gunnar Halle","Jon Hallworth","Nick Henry","Doug Hodgson","Gary Kelly","Darren Lonergan","Sean McCarthy","Scott McNiven","Toddy Orlygsson","Ian Ormondroyd","Martin Pemberton","Steve Redmond","Paul Reid","Lee Richardson","Lloyd Richardson","Paul Rickers","Andy Ritchie","Matthew Rush","Carl Serrant","Ian Snodin","Andy Hughes","John Morrow","David McNiven","Andy Holt","Mark Allott"
"11",1996-09-21,"Barnsley","0","1","league-division-1","H","",7043,NA,24,2,"","Boundary Park","x","sub 3 on 76 3","sub 1 on 45 1",NA,"x",NA,NA,"x y",NA,"x",NA,"x y",NA,"x y",NA,NA,NA,"x 2 off 67",NA,NA,"x",NA,"x y",NA,"x 1 off 45",NA,NA,"sub 2 on 67 2",NA,NA,NA,"x 3 off 76",NA,NA
"12",1996-09-24,"Tranmere Rovers","1","0","league-cup","A","",3711,NA,NA,NA,"","Prenton Park","x 2 g 50 off 82","x 1 off 67","sub 1 on 67 1",NA,"x",NA,NA,NA,NA,"x",NA,"x y",NA,"x",NA,NA,"uu","x",NA,NA,"x",NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,"sub 2 on 82 2",NA,NA
"13",1996-09-28,"Charlton Athletic","0","1","league-division-1","A","",12182,NA,24,15,"","The Valley","x 2 off 83",NA,"sub 1 on 40 1",NA,"x",NA,NA,"x",NA,"x",NA,"x 1 off 40",NA,"x",NA,NA,"uu","x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,"sub 2 on 83 2",NA,NA
"14",1996-10-01,"West Bromwich Albion","1","1","league-division-1","H","",5817,NA,24,12,"","Boundary Park","x","uu","x",NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,"x",NA,NA,NA,"x 1 off 77","x g 8",NA,"x",NA,"x",NA,"x",NA,NA,"sub 1 on 77 1",NA,"uu",NA,NA,NA,NA
"15",1996-10-05,"Port Vale","3","0","league-division-1","H","",6051,NA,24,14,"J H Pearson","Boundary Park","x 1 g 42 off 47","sub 1 on 47 1","x y",NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,"x",NA,NA,NA,"x","x g 15 38",NA,"x",NA,"x",NA,"x",NA,NA,"uu",NA,"uu",NA,NA,NA,NA
"16",1996-10-12,"Bolton Wanderers","1","3","league-division-1","A","",14813,NA,24,1,"","Burnden Park",NA,NA,"x",NA,"x",NA,NA,"x",NA,"x y",NA,NA,NA,"x",NA,NA,"uu","x 1 off 45","x",NA,"x y",NA,NA,NA,"x",NA,NA,"sub 1 on 45 1",NA,"x y",NA,"x 2 off 77",NA,"sub 2 on 77 2 g 84"
"17",1996-10-16,"Norwich City","0","2","league-division-1","A","",12261,NA,24,2,"","Carrow Road",NA,NA,"x 1 off 63",NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,"x",NA,NA,"uu","x","x 2 off 70",NA,"x",NA,NA,NA,"x y",NA,NA,"x",NA,"x",NA,"sub 1 on 63 1",NA,"sub 2 on 70 2"
"18",1996-10-19,"Reading","1","1","league-division-1","H","",7171,NA,24,18,"","Boundary Park","x 1 off 59","uu","x",NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,"x",NA,NA,NA,"x g pen 65","x",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,"uu",NA,"sub 1 on 59 1"
"19",1996-10-23,"Newcastle United","0","1","league-cup","A","",36314,NA,NA,NA,"","St. James' Park","x","x","x",NA,"x",NA,NA,NA,NA,"x","uu",NA,NA,"x",NA,NA,"x 1 off 83","x",NA,NA,"x",NA,NA,NA,"x",NA,NA,"x",NA,"sub 1 on 83 1",NA,"uu",NA,NA
"20",1996-10-26,"Southend United","0","0","league-division-1","H","",6306,NA,24,17,"","Boundary Park","sub 1 on 65 1","x","x",NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,"x",NA,NA,NA,"x","x 1 off 65",NA,"x",NA,NA,NA,"x",NA,NA,"x 2 off 76",NA,"sub 2 on 76 2",NA,NA,NA,"uu"
"21",1996-10-29,"Grimsby Town","3","0","league-division-1","A","",3927,NA,24,23,"","Blundell Park","sub 2 on 73 2","x","x 1 off 63",NA,"x",NA,NA,"x y",NA,"x g 66 89 y",NA,NA,NA,"x",NA,NA,"x","x","x 2 g 9 off 73",NA,"x",NA,NA,NA,"x",NA,NA,"sub 1 on 63 1",NA,"uu",NA,NA,NA,NA
"22",1996-11-02,"Bradford City","3","0","league-division-1","A","",10855,NA,NA,NA,"","Valley Parade","uu","x g 35 57 78","x 2 off 88",NA,"x y",NA,NA,"x",NA,"x",NA,"sub 1 on 83 1",NA,"x",NA,NA,"x","x y","x",NA,"x",NA,NA,NA,"x 1 off 83",NA,NA,"sub 2 on 88 2",NA,NA,NA,NA,NA,NA
"23",1996-11-09,"Portsmouth","0","0","league-division-1","H","",7639,NA,22,14,"","Boundary Park","sub 1 on 77 1","x","x",NA,"x",NA,NA,NA,"x",NA,NA,"x y",NA,"x",NA,NA,NA,"x 1 off 77 y","x",NA,"x",NA,NA,NA,"x",NA,NA,"x",NA,"uu",NA,NA,NA,"uu"
"24",1996-11-15,"Tranmere Rovers","1","1","league-division-1","A","",8327,NA,21,6,"","Prenton Park","uu","x 1 off 83","sub 1 on 83 1",NA,"x",NA,NA,NA,"x","x",NA,"x",NA,"x",NA,NA,NA,"x","x g 72",NA,"x",NA,"uu",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA
"25",1996-11-23,"Oxford United","2","1","league-division-1","H","",4852,NA,22,6,"","Boundary Park","sub 2 on 89 2","x 2 g 17 off 89","x",NA,"x y",NA,NA,"x y","uu","x g 75",NA,"x",NA,"x",NA,NA,NA,"x 1 off 70","x",NA,"x",NA,"sub 1 on 70 1",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1996-11-30,"Southend United","1","1","league-division-1","A","",4532,NA,22,19,"","Roots Hall",NA,"x","x",NA,"x",NA,NA,"x","uu","x y",NA,"x",NA,"x",NA,NA,NA,"x y","x",NA,"x y",NA,"sub 1 on 50 1 g pen 54",NA,"x 1 off 50",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"27",1996-12-07,"Queens Park Rangers","0","2","league-division-1","H","",5590,NA,24,14,"","Boundary Park",NA,"x","x",NA,"x",NA,NA,"x","uu","x",NA,"x",NA,"x",NA,NA,NA,"x y","x",NA,"x",NA,"sub 1 on 68 1",NA,"x 1 off 68",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"28",1996-12-14,"Wolverhampton Wanderers","1","0","league-division-1","A","",22528,NA,21,6,"","Molineux",NA,"x 1 off 61","sub 1 on 61 1",NA,"x",NA,NA,"x",NA,NA,"uu","x",NA,"x",NA,NA,NA,"x","x g 15",NA,"x",NA,"x",NA,"x",NA,NA,"x",NA,"uu",NA,NA,NA,NA
"29",1996-12-21,"Manchester City","2","1","league-division-1","H","",12992,NA,20,22,"","Boundary Park","sub 1 on 59 1 g 72","x 1 off 59","uu",NA,"x",NA,NA,"x","sub 2 on 85 2",NA,NA,"x",NA,"x",NA,NA,"x",NA,"x g 63",NA,"x 2 off 85",NA,"x",NA,"x y",NA,NA,"x",NA,NA,NA,NA,NA,NA
"30",1996-12-28,"Sheffield United","2","2","league-division-1","A","",16130,NA,20,3,"","Bramall Lane","x 1 off 80","sub 2 on 80 2 y",NA,NA,"x",NA,NA,"x","x",NA,NA,"x g 35",NA,"x",NA,"sub 1 on 80 1","x",NA,"x 2 off 80",NA,NA,NA,"x",NA,"x g 80",NA,NA,"x","uu",NA,NA,NA,NA,NA
"31",1997-01-14,"Barnsley","0","2","fa-cup","A","",9936,NA,NA,NA,"","Oakwell","x 2 off 45",NA,"sub 1 on 38 1",NA,"x",NA,NA,"x","x",NA,NA,"x",NA,"x",NA,"sub 2 on 45 2","x 1 off 38 y","sub 3 on 58 3","x",NA,NA,NA,"x",NA,"x 3 off 58",NA,NA,"x",NA,NA,NA,NA,NA,NA
"32",1997-01-18,"West Bromwich Albion","1","1","league-division-1","A","",11919,NA,20,18,"","The Hawthorns","x 2 off 60","sub 2 on 60 2 g 66",NA,NA,"x",NA,NA,"x","x",NA,NA,"x 1 off 57",NA,"x",NA,"uu","x","sub 1 on 57 1","x",NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA
"33",1997-01-25,"Huddersfield Town","1","2","league-division-1","H","",8588,NA,20,13,"","Boundary Park",NA,"x 2 off 67","sub 1 on 67 1",NA,"x",NA,NA,NA,"x",NA,NA,"x",NA,"x",NA,"sub 2 on 67 2","x 1 off 67","uu","x",NA,NA,NA,"x g 77",NA,"x",NA,NA,"x","x",NA,NA,NA,NA,NA
"34",1997-02-01,"Portsmouth","0","1","league-division-1","A","",9135,NA,22,11,"","Fratton Park","sub 1 on 71 1",NA,"sub 2 on 75 2",NA,"x red@75",NA,NA,NA,"x",NA,NA,"x y",NA,"x",NA,"x 1 off 26","uu","x y","x",NA,NA,NA,"x",NA,"x 2 off 71",NA,NA,"x y","x",NA,NA,NA,NA,NA
"35",1997-02-08,"Grimsby Town","0","3","league-division-1","H","",6549,NA,24,22,"","Boundary Park","x","x 2 off 45","sub 2 on 45 2",NA,"x",NA,NA,NA,"x",NA,NA,"x",NA,"x","uu",NA,"x 1 off 45",NA,"x",NA,NA,NA,"x",NA,"sub 1 on 45 1",NA,NA,"x","x",NA,NA,NA,NA,NA
"36",1997-02-15,"Oxford United","1","3","league-division-1","A","",6865,NA,24,11,"","Manor Ground (OXF)",NA,"sub 1 on 45 1","x",NA,NA,NA,NA,NA,"x g 72",NA,"uu","x y",NA,"x",NA,NA,"x",NA,"x 2 off 45",NA,NA,NA,"x y","sub 2 on 45 2","x",NA,NA,"x","x y","x 1 off 45",NA,NA,NA,NA
"37",1997-02-22,"Bradford City","1","2","league-division-1","H","",9524,NA,NA,NA,"","Boundary Park","x 3 off 75","sub 3 on 75 3","x 2 off 75",NA,"x",NA,NA,NA,"x",NA,NA,"x",NA,"x",NA,NA,"sub 1 on 64 1",NA,"x g 41",NA,NA,NA,"x",NA,"x","sub 2 on 75 2",NA,"x","x 1 off 64",NA,NA,NA,NA,NA
"38",1997-03-01,"Queens Park Rangers","1","0","league-division-1","A","",10180,NA,23,13,"","Loftus Road Stadium","x g 33","uu","x",NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"x y","x","x",NA,NA,NA,NA,NA,"x","uu",NA,"x","x","uu",NA,NA,NA,NA
"39",1997-03-04,"Tranmere Rovers","1","2","league-division-1","H","",5417,NA,23,8,"","Boundary Park","x g 39","sub 2 on 76 2","x",NA,"x","sub 3 on 89 3","x 1 off 72 y",NA,NA,NA,NA,NA,"x 3 off 89","x",NA,NA,"x","x 2 off 76","x",NA,NA,NA,NA,NA,"x","sub 1 on 72 1",NA,"x",NA,NA,NA,NA,NA,NA
"40",1997-03-08,"Manchester City","0","1","league-division-1","A","",30729,NA,24,20,"","Maine Road","x 2 off 71","sub 2 on 71 2","x 1 off 70","x","x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"uu","sub 1 on 70 1","x",NA,NA,NA,"x",NA,"x",NA,NA,"x","x",NA,NA,NA,NA,NA
"41",1997-03-15,"Wolverhampton Wanderers","3","2","league-division-1","H","",9661,NA,23,2,"J H Pearson","Boundary Park",NA,"x 2 g 55 off 89 y","x 1 off 88","x","x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,"x y",NA,"sub 1 on 88 1","sub 2 on 89 2",NA,NA,NA,"x",NA,"x g 3 87","sub 3 on 90 3",NA,"x","x y",NA,NA,NA,NA,NA
"42",1997-03-18,"Charlton Athletic","1","1","league-division-1","H","",4969,NA,21,17,"","Boundary Park",NA,"x g 65","x",NA,"x",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,"x",NA,"uu","uu",NA,NA,NA,"x",NA,"x","uu",NA,"x","x",NA,NA,NA,NA,NA
"43",1997-03-23,"Crystal Palace","0","1","league-division-1","H","",5282,NA,23,5,"","Boundary Park",NA,"x","x 3 off 85","sub 2 on 45 2","x",NA,NA,NA,"x 1 off 45",NA,NA,NA,"x 2 off 45","x",NA,"x",NA,"sub 1 on 45 1",NA,NA,NA,NA,"x",NA,"x","sub 3 on 85 3",NA,"x","x",NA,NA,NA,NA,NA
"44",1997-03-29,"Stoke City","1","2","league-division-1","A","",11740,NA,23,10,"","Victoria Ground (STO)",NA,"x g 87",NA,"x","x",NA,NA,NA,"sub 3 on 88 3",NA,NA,NA,"x","x",NA,"x 2 off 66",NA,NA,NA,NA,NA,"x","sub 1 on 66 1",NA,"x 3 off 88","sub 2 on 66 2","x 1 off 66","x y","x",NA,NA,NA,NA,NA
"45",1997-03-31,"Swindon Town","5","1","league-division-1","H","",5699,NA,23,13,"","Boundary Park",NA,"x g 22 71 75",NA,"x","x",NA,NA,NA,"sub 1 on 80 1",NA,NA,NA,"uu","x",NA,"uu",NA,NA,NA,NA,NA,"x","x g pen 12 y",NA,"x","x","x g 80","x","x 1 off 80",NA,NA,NA,NA,NA
"46",1997-04-05,"Ipswich Town","0","4","league-division-1","A","",11535,NA,23,7,"","Portman Road",NA,"x",NA,"x","x y",NA,NA,NA,NA,NA,NA,NA,"sub 1 on 58 1","x",NA,"sub 2 on 58 2","uu",NA,NA,NA,NA,"x","x 1 off 58",NA,"x","x 2 off 58","x","x","x y",NA,NA,NA,NA,NA
"47",1997-04-08,"Birmingham City","2","2","league-division-1","H","",5942,NA,22,13,"","Boundary Park",NA,"x",NA,"x y","x",NA,NA,"sub 2 on 84 2",NA,NA,NA,NA,"x 2 off 84","x",NA,"sub 1 on 74 1","uu",NA,NA,NA,NA,"x g 51","x g pen 29",NA,"x","x 1 off 74","x","x",NA,NA,NA,NA,NA,NA
"48",1997-04-12,"Port Vale","2","3","league-division-1","A","",8114,NA,22,5,"","Vale Park",NA,"x 3 off 80",NA,"x g 82","x",NA,NA,"x g 45",NA,NA,NA,NA,"x","x",NA,"x 2 off 80",NA,NA,"sub 3 on 80 3",NA,NA,"x",NA,NA,"x",NA,"sub 1 on 80 1","x",NA,"x 1 off 80",NA,"sub 2 on 80 2",NA,NA
"49",1997-04-15,"Barnsley","0","2","league-division-1","A","",17441,NA,22,2,"","Oakwell",NA,"x",NA,"x","x y",NA,NA,"x",NA,NA,NA,NA,"x 2 off 69","x",NA,"x 3 off 83 y",NA,NA,"sub 3 on 83 3",NA,NA,"x y",NA,NA,"x",NA,NA,"sub 2 on 69 2","x","x 1 off 62",NA,"sub 1 on 62 1",NA,NA
"50",1997-04-19,"Bolton Wanderers","0","0","league-division-1","H","",10702,NA,23,1,"","Boundary Park",NA,"x 1 off 68",NA,"x",NA,NA,NA,"x","x",NA,NA,NA,"x","x",NA,"x y",NA,NA,"sub 2 on 82 2",NA,NA,"x",NA,NA,"x y",NA,"x 2 off 82 y","x",NA,NA,NA,"sub 1 on 68 1","uu",NA
"51",1997-04-26,"Reading","0","2","league-division-1","A","",8301,NA,23,16,"","Elm Park",NA,"x",NA,"x","x",NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,"x y",NA,NA,NA,NA,NA,"x y",NA,NA,"x","x 1 off 65","sub 1 on 65 1","x",NA,"x 2 off 71",NA,NA,"uu","sub 2 on 71 2"
"52",1997-05-04,"Norwich City","3","0","league-division-1","H","",5561,NA,23,13,"","Boundary Park",NA,"x 3 g 74 off 80",NA,"x","x",NA,NA,"x y",NA,NA,NA,NA,NA,"x",NA,"x 1 off 66","x",NA,NA,NA,NA,"x",NA,NA,"x","sub 1 on 66 1","x 2 g 28 off 80","x",NA,NA,NA,"sub 3 on 80 3",NA,"sub 2 on 80 2"
