"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Simon Charlton","Sean Gregan","Andy Liddell","Chris Swailes","Hasney Aljofree","Paul Warne","Ritchie Wellens","Gary McDonald","Paul Edwards","Will Haining","Les Pogliacomi","Alan Blayney","Chris Porter","Marc Tierney","Neil Wood","Leon Clarke","Luigi Glombard","Matthew Wolfenden","Craig Rocastle","Kelvin Lomax","Matty Barlow","Maheta Molango","Chris Lever","Stefan Stam","David Knight","Lewis Grabban","Terry Smith","Chris Hall","Adam Legzdins","Chris Howarth","Chris Taylor","Ben Turner","Neal Eardley","Tomasz Cywka","Moussa Dabo","Neal Trotman","Ryan Smith","Miki Roque","Mike Pearson","Deane Smalley"
"11",2006-09-23,"Gillingham","4","1","league-one","H","",4652,NA,8,17,"Trevor Kettle","Boundary Park","x 1 g 46 off 58",NA,"x",NA,NA,"x 2 off 83","x","x",NA,"x g 4","x",NA,"x g 24 90",NA,NA,NA,NA,NA,"sub 1 on 58 1",NA,NA,NA,NA,"x",NA,"sub 2 on 83 2",NA,"uu",NA,NA,"x",NA,"x",NA,NA,"uu","uu",NA,NA,NA
"12",2006-09-26,"Rotherham United","2","1","league-one","H","",4880,NA,7,16,"Jonathan Moss","Boundary Park",NA,NA,"x",NA,NA,"x g 76","x y","x",NA,"x y","x",NA,"x",NA,NA,NA,NA,NA,"x","uu",NA,NA,NA,"x g 51",NA,"sub 1 on 90 1",NA,"uu",NA,NA,"x",NA,"x",NA,NA,"uu","uu",NA,NA,NA
"13",2006-09-30,"Bristol City","0","0","league-one","A","",11656,NA,9,3,"J Singh","Ashton Gate","x",NA,"x",NA,NA,"x 1 off 82 y","x","x",NA,"x","x y",NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,"x",NA,"sub 1 on 82 1",NA,"uu",NA,NA,"x",NA,"x",NA,NA,"uu","uu",NA,NA,NA
"14",2006-10-06,"Doncaster Rovers","1","1","league-one","A","",6241,NA,8,21,"C Webster","Belle Vue","x",NA,"x",NA,NA,"x 1 off 81","x y","x y",NA,"x","x",NA,"x g 45",NA,NA,NA,NA,NA,"sub 2 on 85 2",NA,NA,NA,NA,"x",NA,"uu",NA,"sub 1 on 81 1",NA,NA,"x 2 off 85",NA,"x",NA,NA,"uu","uu",NA,NA,NA
"15",2006-10-14,"Leyton Orient","3","3","league-one","H","",5014,NA,9,24,"Robert Lewis","Boundary Park",NA,NA,"x g pen 90",NA,NA,"x 2 off 61","x","x",NA,"x","x",NA,"x g 78 82","sub 1 on 61 1","uu",NA,NA,NA,"x 1 off 61 y",NA,NA,NA,NA,"x y",NA,NA,NA,"sub 2 on 61 2",NA,NA,"x",NA,"x",NA,NA,"uu","uu",NA,NA,NA
"16",2006-10-21,"Yeovil Town","0","1","league-one","A","",5471,NA,12,2,"Danny McDermid","-","x y",NA,"x",NA,NA,"x 3 off 89","x","x 1 off 17 y",NA,"x y","x",NA,"x",NA,"uu",NA,NA,"sub 3 on 89 3","x 2 off 74","sub 1 on 17 1",NA,NA,NA,"x",NA,NA,NA,"sub 2 on 74 2",NA,NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA
"17",2006-10-28,"Brentford","3","0","league-one","H","",4708,NA,8,20,"Pat Miller","Boundary Park","x",NA,"x",NA,NA,"x g 15","x g 90","x g 47",NA,"x","x",NA,"x 3 off 82","sub 2 on 70 2","uu",NA,NA,NA,"x 1 off 46","sub 1 on 46 1",NA,NA,NA,"x y",NA,NA,NA,"sub 3 on 82 3","uu",NA,"x 2 off 70",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2006-11-01,"Chesterfield","0","1","efl-trophy","H","",2118,NA,NA,NA,"Anthony Bates","Boundary Park","uu",NA,"x",NA,NA,"x 2 off 64","sub 3 on 75 3",NA,NA,"x","x 1 off 46",NA,NA,"x","x 3 off 75",NA,NA,NA,NA,"x","sub 2 on 64 2",NA,NA,"x",NA,NA,NA,"x","sub 1 on 46 1",NA,"x",NA,NA,"x",NA,"uu",NA,NA,NA,NA
"19",2006-11-04,"Cheltenham Town","2","1","league-one","A","",4054,NA,8,23,"Dean Whitestone","Whaddon Road","x",NA,"x",NA,NA,"x 2 g 23 off 79","x","x g 41",NA,"x y","x",NA,"x",NA,"uu",NA,NA,NA,NA,"x 3 off 88",NA,NA,NA,"x 1 off 45",NA,NA,NA,"sub 2 on 79 2","uu",NA,"x",NA,NA,"sub 3 on 88 3",NA,"sub 1 on 45 1",NA,NA,NA,NA
"20",2006-11-11,"Kettering Town","4","3","fa-cup","A","",3481,NA,NA,NA,"Neil Swarbrick","-","x 1 off 7","x g 43","x",NA,NA,"x g 56","x","x",NA,"x 2 off 48","x",NA,"x 3 off 81","sub 1 on 7 1","uu",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"uu","sub 3 on 81 3 g 90",NA,NA,"x",NA,NA,NA,NA,"sub 2 on 48 2 g 60",NA,NA,NA,NA
"21",2006-11-18,"Bradford City","2","0","league-one","H","",6001,NA,NA,NA,"Nigel Miller","Boundary Park",NA,"x","x",NA,NA,"x 2 off 88","x","x 1 off 88",NA,"x","x",NA,"x g 79 82","x",NA,NA,NA,NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,"sub 2 on 88 2","uu",NA,"x",NA,NA,"sub 1 on 88 1",NA,"uu",NA,NA,NA,NA
"22",2006-11-25,"Huddersfield Town","3","0","league-one","A","",13280,NA,4,15,"Steve Tanner","John Smith's Stadium","x","x","x",NA,NA,"x g 67","x 2 off 82","x 3 g 16 off 83",NA,"x","x",NA,"x g 59","sub 1 on 76 1",NA,NA,NA,NA,"sub 3 on 83 3",NA,NA,NA,NA,NA,NA,NA,NA,"uu","uu",NA,"x 1 off 76",NA,"x","sub 2 on 82 2",NA,NA,NA,NA,NA,NA
"23",2006-12-01,"Kings Lynn","2","0","fa-cup","A","",5444,NA,NA,NA,"Mike Thorpe","-","x","x","x 2 off 85",NA,NA,"x 1 off 78","x","x","sub 2 on 85 2","x","x",NA,"x g 10","uu",NA,NA,NA,NA,"sub 3 on 90 3",NA,NA,NA,NA,NA,NA,NA,"uu","sub 1 on 78 1 g 82",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA
"24",2006-12-05,"Crewe Alexandra","1","0","league-one","H","",4798,NA,4,12,"R Booth","-","x","x","x",NA,NA,"x","x","x y","uu","x","x",NA,"x g 45",NA,NA,NA,NA,"sub 2 on 90 2","sub 1 on 90 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"x",NA,"x","uu",NA,NA,NA,NA,NA,NA
"25",2006-12-09,"Chesterfield","1","2","league-one","A","",4059,NA,5,14,"Eddie Ilderton","-","x y","x","x 2 off 62",NA,NA,"x","x y","x","sub 2 on 62 2","x","x",NA,"x 1 off 46",NA,NA,NA,NA,"sub 3 on 84 3","uu",NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 46 1","uu",NA,"x",NA,"x 3 g 45 off 84",NA,NA,NA,NA,NA,NA,NA
"26",2006-12-16,"Brighton &amp; Hove Albion","1","1","league-one","H","",9321,NA,NA,NA,"A R Hall","-","x","x","x 3 off 89",NA,NA,"x g 18",NA,"x 1 off 88","sub 2 on 89 2","x","x",NA,NA,NA,"uu",NA,NA,"sub 3 on 89 3","x 2 off 89",NA,NA,NA,"uu",NA,NA,NA,NA,"x",NA,NA,"x",NA,"x","sub 1 on 88 1",NA,NA,NA,NA,NA,NA
"27",2006-12-23,"Northampton Town","3","0","league-one","H","",10207,NA,4,20,"Gary Sutton","-","x","x","x 3 g 61 off 84",NA,NA,"x 2 off 74","x","x g 22","sub 1 on 59 1",NA,"x",NA,"x g 37",NA,NA,NA,NA,"sub 2 on 74 2","sub 3 on 84 3",NA,NA,NA,NA,"x",NA,NA,NA,"uu","uu",NA,"x y",NA,"x 1 off 59",NA,NA,NA,NA,NA,NA,NA
"28",2006-12-26,"Rotherham United","3","2","league-one","A","",6512,NA,3,12,"R Olivier","Millmoor","x y","x","x",NA,NA,"x","x","x 1 off 69","sub 2 on 89 2","x g 42","x y",NA,"x g 29 67",NA,NA,NA,NA,NA,"sub 1 on 69 1 y",NA,NA,NA,NA,"uu",NA,NA,NA,"uu","uu",NA,"x 2 off 89",NA,"x",NA,NA,NA,NA,NA,NA,NA
"29",2006-12-30,"Gillingham","3","0","league-one","A","",6790,NA,3,13,"P Taylor","Priestfield Stadium","x","x","x g pen 36",NA,NA,"x 1 off 63","x y","x","sub 1 on 63 1 y","x y","x",NA,"x 3 g 26 off 84",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,"sub 3 on 84 3",NA,NA,NA,"sub 2 on 63 2","uu",NA,"x 2 off 63 y",NA,"x g 54",NA,NA,NA,NA,NA,NA,NA
"30",2007-01-01,"Nottingham Forest","5","0","league-one","H","",9768,NA,2,3,"Kevin Friend","Boundary Park","x 2 off 72","x 1 off 70","x g pen 43 pen 68",NA,NA,"x g 30","x","x","sub 2 on 72 2","x","x",NA,"x 3 g 39 off 77",NA,NA,NA,NA,NA,"sub 3 on 77 3 g 90",NA,NA,NA,NA,"sub 1 on 70 1",NA,NA,NA,"uu","uu",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA
"31",2007-01-06,"Wolverhampton Wanderers","2","2","fa-cup","A","",14524,NA,NA,NA,"P Crossley","-","x",NA,"x",NA,NA,"x g 19","x","x 2 off 76 y","x","x","x",NA,NA,"uu","uu",NA,NA,"x 1 off 59","sub 2 on 76 2",NA,NA,NA,NA,"x",NA,NA,"uu","sub 1 on 59 1 g 78",NA,NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA
"32",2007-01-13,"Scunthorpe United","1","1","league-one","A","",7685,NA,3,2,"Darren Deadman","Glanford Park","x","x","x",NA,NA,"x 2 off 88","x y","x g 90","sub 3 on 88 3","x","x",NA,"x",NA,NA,NA,NA,NA,"sub 2 on 88 2 y",NA,NA,NA,NA,"uu",NA,NA,"uu","sub 1 on 66 1",NA,NA,"x 3 off 88",NA,"x 1 off 66",NA,NA,NA,NA,NA,NA,NA
"33",2007-01-16,"Wolverhampton Wanderers","0","2","fa-cup","H","",9628,NA,NA,NA,"Kevin Wright","Boundary Park","x",NA,"x",NA,NA,"x 2 off 74","x","x y","sub 1 on 74 1","x","x",NA,"x",NA,"uu",NA,NA,NA,"uu",NA,NA,NA,NA,"x 1 off 74",NA,NA,"uu","sub 2 on 74 2",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA
"34",2007-01-20,"Bristol City","0","3","league-one","H","",6924,NA,4,2,"Mike Thorpe","Boundary Park","x","x y","x 2 off 59",NA,NA,"x","x","x 3 off 71 y","sub 3 on 71 3","x 1 off 46","x",NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 46 1",NA,NA,"uu","sub 2 on 59 2 y",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA
"35",2007-01-28,"Northampton Town","3","2","league-one","A","",5662,NA,2,16,"MIke Pike","Sixfields Stadium","x","x","x",NA,NA,"x 2 g 44 off 82","x g 2",NA,"sub 1 on 74 1","x","x",NA,"x g 58",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA,"uu","sub 2 on 82 2",NA,NA,"x 1 off 74",NA,"x",NA,"uu",NA,NA,NA,NA,NA
"36",2007-02-03,"Tranmere Rovers","1","0","league-one","H","",6944,NA,1,9,"Trevor Kettle","Boundary Park","x 1 off 44","x","x y",NA,NA,"x 3 off 72","x","sub 2 on 72 2",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,"x 2 off 72","sub 1 on 44 1",NA,NA,NA,"uu",NA,NA,NA,"sub 3 on 72 3 g 90",NA,NA,"x",NA,"x y",NA,NA,NA,"uu",NA,NA,NA
"37",2007-02-10,"Swansea City","1","0","league-one","A","",9880,NA,1,7,"Steve Tanner","Liberty Stadium","x y","x y","x",NA,NA,"x 1 g 32 off 84",NA,"x","uu","x","x",NA,"x",NA,NA,NA,NA,NA,"x","uu",NA,NA,NA,"uu",NA,NA,NA,"sub 1 on 84 1",NA,NA,"x",NA,"x",NA,NA,NA,"uu",NA,NA,NA
"38",2007-02-17,"Millwall","1","2","league-one","H","",6181,NA,2,12,"Steve Bratt","Boundary Park",NA,NA,"x 2 off 77",NA,NA,"x g 55",NA,"x","x 1 off 77","x 3 off 86 y","x",NA,"x",NA,NA,NA,NA,NA,"x y","sub 1 on 77 1",NA,NA,NA,"x",NA,NA,NA,"sub 2 on 77 2",NA,NA,"x",NA,"x",NA,"uu",NA,"uu",NA,"sub 3 on 86 3",NA
"39",2007-02-20,"Port Vale","0","3","league-one","A","",4061,NA,2,14,"Richard Beeby","-","x",NA,"x 3 off 75",NA,NA,"x",NA,"x y","sub 1 on 17 1 y","x","x red@77","uu","x",NA,NA,NA,NA,"uu","x 2 off 24","sub 2 on 24 2",NA,NA,NA,"x 1 off 17",NA,NA,NA,"sub 3 on 75 3",NA,NA,"x y",NA,"x",NA,NA,NA,NA,NA,NA,NA
"40",2007-02-24,"AFC Bournemouth","1","2","league-one","H","",5429,NA,5,21,"G Laws","Boundary Park","x 3 off 87","x","x g pen 45",NA,NA,"x","x","x 2 off 78","sub 1 on 26 1",NA,NA,"x","x",NA,NA,NA,NA,NA,"sub 2 on 78 2","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 26","x red@90",NA,NA,NA,NA,"uu",NA,"uu","sub 3 on 87 3"
"41",2007-02-27,"Blackpool","0","1","league-one","H","",6956,NA,5,8,"Andy Penn","Boundary Park","x 3 off 84","x","x 1 off 77",NA,NA,"x","x","x 2 off 78","sub 2 on 78 2","x y","x","uu","x",NA,NA,NA,NA,NA,"sub 3 on 84 3","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,"sub 1 on 77 1"
"42",2007-03-03,"Carlisle United","1","1","league-one","A","",7951,NA,5,9,"Carl Boyeson","Brunton Park","x","x","x y",NA,NA,"x y","x y","sub 1 on 85 1",NA,"x","x","uu",NA,NA,NA,"x",NA,NA,"x 1 off 85","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 13 y",NA,"x",NA,NA,NA,NA,NA,"uu","uu"
"43",2007-03-11,"Doncaster Rovers","4","0","league-one","H","",6619,NA,5,9,"Andre Marriner","Boundary Park","x","x","x",NA,NA,"x y","x 1 off 87","sub 1 on 87 1","uu","x","x","uu",NA,NA,NA,"x g 8",NA,NA,"x g 74","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 76 90",NA,"x",NA,NA,NA,NA,NA,NA,"uu"
"44",2007-03-17,"Leyton Orient","2","2","league-one","A","",5443,NA,5,17,"Phil Joslin","Brisbane Road","x 1 off 89","x","x g pen 81",NA,NA,"x","x","uu","sub 1 on 89 1","x","x","uu",NA,NA,NA,"x y",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 73","uu","x y",NA,NA,NA,NA,NA,NA,"uu"
"45",2007-03-25,"Brentford","2","2","league-one","A","",4720,NA,5,24,"A R Hall","Griffin Park",NA,"x","x 2 off 64",NA,"x y","x","x","sub 1 on 62 1","uu","x","x","uu",NA,NA,NA,"x g 86 pen 90","sub 2 on 64 2",NA,"x 1 off 62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,"uu",NA,NA
"46",2007-03-31,"Yeovil Town","1","0","league-one","H","",6035,NA,4,5,"C Webster","Boundary Park",NA,"x","x 2 off 86",NA,"x","x","x","x 3 g 37 off 89",NA,"x","x","uu","sub 2 on 86 2",NA,NA,"x 1 off 86","sub 1 on 86 1",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,"sub 3 on 89 3",NA,NA
"47",2007-04-07,"Huddersfield Town","1","1","league-one","H","",7096,NA,4,15,"Andy Woolmer","Boundary Park",NA,"x y","x",NA,"x","x","x","x 2 off 79",NA,"x","x","uu","x 3 g 23 off 88",NA,NA,NA,"sub 1 on 73 1",NA,"sub 3 on 88 3","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 73",NA,"x",NA,NA,NA,NA,"sub 2 on 79 2",NA,NA
"48",2007-04-09,"Bradford City","1","1","league-one","A","",9940,NA,NA,NA,"Robert Lewis","-",NA,"x y","x 2 off 57 y",NA,"x y","sub 2 on 57 2","x","x 1 off 57",NA,"x","x","uu","x 3 off 77",NA,NA,NA,"x g 87","uu","sub 1 on 57 1 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,"sub 3 on 77 3",NA,NA
"49",2007-04-14,"Cheltenham Town","0","2","league-one","H","",5426,NA,6,19,"Keith Hill","Boundary Park",NA,"x","sub 2 on 58 2",NA,"x 3 off 69","x","x","x","sub 3 on 69 3","x","x 1 off 46","sub 1 on 46 1","x 2 off 58",NA,NA,NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,"uu",NA,NA
"50",2007-04-21,"Crewe Alexandra","1","2","league-one","A","",6304,NA,6,12,"Mark Haywood","-","x","x y","sub 1 on 60 1",NA,NA,"x y","x g 85","uu","x","x 3 off 75 y","uu","x",NA,NA,NA,NA,"x 2 off 72","sub 2 on 72 2","x 1 off 60","sub 3 on 75 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA
"51",2007-04-28,"Brighton &amp; Hove Albion","2","1","league-one","A","",7588,NA,NA,NA,"Mick Russell","-","x","x","x g 40",NA,NA,"x","x","x","sub 3 on 84 3","x","x","uu","x 2 g 18 off 81",NA,NA,NA,"sub 2 on 81 2","uu","sub 1 on 59 1 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 84",NA,"x 1 off 59",NA,NA,NA,NA,NA,NA,NA
"52",2007-05-05,"Chesterfield","1","0","league-one","H","",8148,NA,6,22,"Eddie Ilderton","Boundary Park","x","x","x",NA,NA,"x","x","x 2 off 85","sub 2 on 85 2","x","x","uu","x 1 g 58 off 71",NA,NA,NA,"sub 1 on 71 1",NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 89",NA,"x",NA,NA,NA,NA,"uu",NA,NA
"53",2007-05-13,"Blackpool","1","2","league-one-play-offs-semi-final-1st-leg","H","",12154,NA,NA,NA,"Iain Williamson","Boundary Park","x 1 off 58","x y","x g pen 75",NA,NA,"x 3 off 65","x y","x","sub 1 on 58 1 y","x","x 2 off 59","sub 2 on 59 2","x",NA,NA,NA,"sub 3 on 65 3",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,"uu",NA,NA
"54",2007-05-19,"Blackpool","1","3","league-one-play-offs-semi-final-2nd-leg","A","",9453,NA,NA,NA,"Lee Probert","-",NA,"x","x 3 off 76",NA,NA,"x 2 off 71","x y","sub 1 on 71 1","x","x",NA,"x","x",NA,NA,NA,"sub 2 on 71 2","sub 3 on 76 3 g 83","x 1 off 71","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"uu",NA,NA,NA,NA,"uu",NA,NA
