"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Neil Adams","Andy Barlow","Darren Beckford","Paul Bernard","Mark Brennan","Willie Donachie","Craig Fleming","Paul Gerrard","Ian Gray","Gunnar Halle","Jon Hallworth","Nick Henry","Richard Jobson","John Keeley","Orfeo Keizerweerd","Chris Makin","Ian Marshall","Neil McDonald","Mike Milligan","Paul Moulden","Ian Olney","Roger Palmer","Neil Pointon","Steve Redmond","Andy Ritchie","Graeme Sharp","Neil Tolson"
"11",1992-08-26,"Arsenal","0","2","premier-league","A","",20796,NA,12,10,"R Milford","Highbury","x",NA,NA,"x",NA,NA,NA,NA,NA,"x","x","x","x","uu",NA,NA,"x",NA,"x",NA,"sub 1 on 61 1","uu","x 1 off 61 y","x y",NA,"x",NA
"12",1992-08-29,"Manchester City","3","3","premier-league","A","",27288,NA,11,16,"D J Gallagher","Maine Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 38",NA,NA,"x g 11",NA,NA,NA,NA,NA,"x g 29",NA,NA,NA,NA,NA,NA,NA,NA
"13",1992-09-01,"Leeds United","2","2","premier-league","H","",13848,NA,9,4,"K Barratt","Boundary Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 85 90",NA,NA,NA,NA,NA,NA
"14",1992-09-05,"Coventry City","0","1","premier-league","H","",11254,NA,16,3,"D B Allison","Boundary Park","sub 1 on 62 1",NA,NA,"x",NA,NA,NA,"uu",NA,"x 2 off 86","x","x 1 off 62","x",NA,NA,NA,"x",NA,"x",NA,"x","sub 2 on 86 2","x","x",NA,"x",NA
"15",1992-09-12,"Crystal Palace","2","2","premier-league","A","",11224,NA,14,19,"B Hill","Selhurst Park","sub 1 on 46 1",NA,NA,"x",NA,NA,"uu",NA,NA,"x","x","x 1 off 46","x","uu",NA,NA,"x",NA,"x",NA,"x g 19",NA,"x","x",NA,"x g 78",NA
"16",1992-09-19,"Ipswich Town","4","2","premier-league","H","",11150,NA,9,8,"J Key","Boundary Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 56",NA,"x g 82",NA,NA,NA,NA,"x g 32",NA,NA,NA,NA,NA,NA,NA,NA,"x g 59",NA
"17",1992-09-22,"Exeter City","1","0","league-cup","A","",4375,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1992-09-26,"Blackburn Rovers","0","2","premier-league","A","",18393,NA,11,2,"V Callow","Ewood Park","x",NA,NA,"x",NA,"uu","uu",NA,NA,"x","x",NA,"x y","uu",NA,NA,"x y",NA,"x",NA,"x",NA,"x","x",NA,"x",NA
"19",1992-10-04,"Everton","1","0","premier-league","H","",13013,NA,11,15,"P Don","Boundary Park",NA,NA,NA,"x",NA,NA,"x",NA,NA,"x","x",NA,"x g 8","x","x",NA,"x","x","x",NA,"x",NA,"x","x",NA,"x",NA
"20",1992-10-07,"Exeter City","0","0","league-cup","H","",6269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1992-10-17,"Sheffield Wednesday","1","2","premier-league","A","",24485,NA,12,13,"R Groves","Hillsborough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 44",NA,NA,NA,NA,NA,NA,NA,NA
"22",1992-10-24,"Aston Villa","1","1","premier-league","H","",13457,NA,13,4,"R Gifford","Boundary Park","uu",NA,NA,"x",NA,NA,NA,NA,NA,"x","x","x","x","uu",NA,NA,"x","sub 1 on 70 1","x",NA,"x 1 g 19 off 70",NA,"x","x",NA,"x",NA
"23",1992-10-27,"Swindon Town","1","0","league-cup","A","",8811,NA,NA,NA,"","",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1992-10-31,"Southampton","0","1","premier-league","A","",10827,NA,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1992-11-09,"Norwich City","2","3","premier-league","H","",11081,NA,17,1,"R Hart","Boundary Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 43",NA,NA,NA,NA,NA,NA,NA,NA,"x g 25",NA
"26",1992-11-21,"Manchester United","0","3","premier-league","A","",33497,NA,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1992-11-28,"Middlesbrough","4","1","premier-league","H","",12401,NA,17,14,"K Morton","Boundary Park","x g 60",NA,NA,NA,NA,NA,NA,NA,NA,"x g 21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 24",NA,NA,"x g 28",NA
"28",1992-12-01,"Cambridge United","0","1","league-cup","A","",5488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1992-12-05,"Queens Park Rangers","2","3","premier-league","A","",11804,NA,17,5,"S J Lodge","Loftus Road Stadium","x g 41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 46",NA,NA,NA,NA,NA,NA
"30",1992-12-12,"Milton Keynes Dons","2","5","premier-league","A","",3386,NA,NA,NA,"K Hackett","Selhurst Park",NA,NA,NA,NA,"x g 46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 63",NA,NA,NA,NA,NA,NA,NA,NA
"31",1992-12-19,"Tottenham Hotspur","2","1","premier-league","H","",11735,NA,17,13,"R Milford","Boundary Park","x","x",NA,"x","x",NA,"x","x",NA,"x",NA,NA,"x","uu",NA,NA,NA,NA,"x",NA,"x g 90",NA,NA,"uu","uu","x g 29",NA
"32",1993-01-02,"Tranmere Rovers","2","2","fa-cup","H","",NA,NA,NA,NA,"","-",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"33",1993-01-09,"Ipswich Town","2","1","premier-league","A","",15025,NA,19,5,"K Redfern","Portman Road",NA,NA,NA,"x g 51","x g 16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1993-01-12,"Tranmere Rovers","0","3","fa-cup","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1993-01-16,"Blackburn Rovers","0","1","premier-league","H","",13742,NA,21,2,"A Buksh","Boundary Park","x",NA,NA,"x",NA,NA,"x","x",NA,"x",NA,NA,"x y","uu",NA,NA,"x",NA,"x",NA,"x","uu","x","x",NA,NA,"uu"
"36",1993-01-23,"Coventry City","0","3","premier-league","A","",10544,NA,21,6,"Robert Lewis","Highfield Road","sub 1 on 57 1",NA,NA,"x",NA,NA,"x y","x","uu","x",NA,NA,"x",NA,NA,"uu","x",NA,"x y",NA,"x","x","x 1 off 57","x",NA,NA,NA
"37",1993-01-26,"Manchester City","0","1","premier-league","H","",14903,NA,21,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1993-01-30,"Nottingham Forest","0","2","premier-league","A","",21240,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1993-02-06,"Chelsea","3","1","premier-league","H","",11772,NA,20,10,"R Milford","Boundary Park","x g 61",NA,NA,NA,"x g 71",NA,"x","x","uu","x",NA,"x g 38",NA,NA,NA,NA,"x",NA,"x",NA,"x","uu",NA,"x","x",NA,"uu"
"40",1993-02-13,"Leeds United","0","2","premier-league","A","",27654,NA,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1993-02-20,"Arsenal","0","1","premier-league","H","",12311,NA,22,12,"K Hackett","Boundary Park","x",NA,NA,NA,"x",NA,"x","x","uu","x",NA,"x","x",NA,NA,NA,"x",NA,"x","sub 1 on 45 1","x 1 off 45",NA,NA,"uu","x",NA,NA
"42",1993-02-22,"Sheffield United","0","2","premier-league","A","",14628,NA,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1993-02-27,"Everton","2","2","premier-league","A","",18025,NA,22,18,"K Cooper","Goodison Park","x g pen 87 88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1993-03-09,"Manchester United","1","0","premier-league","H","",17106,NA,22,1,"","","x g 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1993-03-13,"Norwich City","0","1","premier-league","A","",19597,NA,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1993-03-20,"Queens Park Rangers","2","2","premier-league","H","",10946,NA,21,6,"M J Bodenham","Boundary Park","x g 88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1993-03-22,"Middlesbrough","3","2","premier-league","A","",12290,NA,19,20,"K Morton","Ayresome Park",NA,NA,NA,"x g 29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 34",NA,NA,NA,"x g 85",NA,NA
"48",1993-04-03,"Milton Keynes Dons","6","2","premier-league","H","",11606,NA,NA,NA,"J Martin","Boundary Park","x g 73",NA,"x g 87","x g 13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 42 69",NA,NA,NA,NA,NA,NA
"49",1993-04-07,"Sheffield Wednesday","1","1","premier-league","H","",12312,NA,20,5,"A B Wilkie","Boundary Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 13",NA,NA,NA,NA
"50",1993-04-10,"Liverpool","0","1","premier-league","A","",36129,NA,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1993-04-13,"Sheffield United","1","1","premier-league","H","",14795,NA,20,19,"P Foakes","Boundary Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 10",NA,NA
"52",1993-04-17,"Tottenham Hotspur","1","4","premier-league","A","",26663,NA,20,7,"K Hackett","White Hart Lane","x","x",NA,"x","x",NA,"x","x",NA,"x",NA,NA,"x","uu",NA,NA,NA,NA,"x g 90",NA,"x",NA,NA,"uu","uu","x",NA
"53",1993-05-02,"Aston Villa","1","0","premier-league","A","",37247,NA,20,2,"D B Allison","Villa Park","uu",NA,"x","x",NA,NA,"x","x",NA,"x",NA,"x g 30","x y","uu",NA,NA,NA,NA,"x",NA,"x",NA,"x","x","uu",NA,NA
"54",1993-05-05,"Liverpool","3","2","premier-league","H","",15381,NA,20,9,"P A Durkin","Boundary Park",NA,NA,"x g 20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 35 36",NA,NA,NA,NA,NA,NA
"55",1993-05-08,"Southampton","4","3","premier-league","H","",14597,NA,20,19,"H King","Boundary Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 44",NA,"x g 29",NA,"x g 55",NA,NA
"56",1993-05-22,"Seychelles National XI","4","1","Friendly","A","",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
