"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Darren Byfield","Mark Crossley","Sean Gregan","Lee Hughes","Andy Liddell","Dean Windass","Mark Allott","Brett Ormerod","Kevin Maher","Reuben Hazell","Steven Kabba","Dan Whitaker","Ian Westlake","Chris O&#039;Grady","Ritchie Byrne","Matthew Wolfenden","Jean-Paul Kalala","Kelvin Lomax","Shane Supple","Craig Davies","Stefan Stam","Scott Golbourne","Greg Fleming","Jan Budtz","Chris Taylor","Dan Jones","Neal Eardley","Seb Hines","Kieran Lee","Dale Stephens","Deane Smalley","Lewis Alessandra","Josh Bell","Paul Black","Fabio Ferreira","Ryan Brooke"
"11",2008-08-26,"Burnley","0","3","league-cup","A","",5528,NA,NA,NA,"Andy Penn","Turf Moor",NA,"uu",NA,"sub 2 on 67 2","uu",NA,"x",NA,"x 1 off 67","x y",NA,"x",NA,"x 2 off 67",NA,NA,"uu","x",NA,NA,"x",NA,"x",NA,"x",NA,"x",NA,"sub 1 on 67 1","uu","x 3 off 68","sub 3 on 68 3",NA,NA,NA,NA
"12",2008-08-30,"Colchester United","2","2","league-one","A","",4708,NA,2,12,"P Taylor","JobServe Stadium",NA,"x","x","x y","x 2 off 82",NA,"x y",NA,"uu","x",NA,"x",NA,"sub 1 on 80 1",NA,NA,NA,"x",NA,NA,"uu",NA,"uu",NA,"x g 64",NA,"x",NA,NA,NA,"sub 2 on 82 2 g 88","x 1 off 80",NA,NA,NA,NA
"13",2008-09-02,"Morecambe","0","0","efl-trophy","H","",2016,142,NA,NA,"Craig Pawson","Boundary Park",NA,"uu",NA,"x 1 off 22",NA,NA,"x",NA,"x","x",NA,"x g 56",NA,"sub 3 on 74 3",NA,NA,NA,"x",NA,"x","x 2 off 74",NA,"x",NA,NA,NA,"x",NA,"sub 2 on 74 2","uu","x 3 off 74","sub 1 on 22 1",NA,NA,NA,NA
"14",2008-09-06,"Tranmere Rovers","1","0","league-one","A","",6802,NA,1,13,"A R Hall","Prenton Park",NA,"x y","x y",NA,"x 2 off 89",NA,"x",NA,"uu","x g 35",NA,"x",NA,"sub 1 on 78 1","uu",NA,NA,"x y",NA,"x",NA,NA,"uu",NA,"x",NA,"x y",NA,NA,NA,"sub 2 on 89 2","x 1 off 78",NA,NA,NA,NA
"15",2008-09-13,"Milton Keynes Dons","2","0","league-one","H","",5530,305,1,9,"Kevin Wright","Boundary Park",NA,"x","x y","x 1 g 8 off 86","x 3 off 89",NA,"x 2 g 89 off 89",NA,"sub 2 on 89 2","x",NA,"x",NA,"sub 1 on 86 1","uu",NA,NA,"x",NA,NA,NA,NA,"uu",NA,"x y",NA,"x",NA,NA,NA,"sub 3 on 89 3","x",NA,NA,NA,NA
"16",2008-09-20,"Hartlepool United","3","3","league-one","A","",4507,NA,1,9,"Anthony Bates","Victoria Park",NA,"x","x red@74","x 1 g 23 off 62","x 3 off 75",NA,"x",NA,NA,"x y",NA,"x",NA,"sub 1 on 62 1","sub 3 on 75 3",NA,NA,"x",NA,"sub 2 on 74 2 y",NA,NA,"uu",NA,"x g 44 58",NA,"x",NA,NA,NA,"uu","x 2 off 74",NA,NA,NA,NA
"17",2008-09-27,"Huddersfield Town","1","1","league-one","H","",7418,1601,1,15,"Kevin Friend","-",NA,"x",NA,"x y","x 2 g 50 off 82",NA,"x",NA,NA,"x",NA,"x y",NA,"sub 1 on 64 1","uu",NA,NA,"x y",NA,"uu","x",NA,"uu",NA,"x",NA,"x",NA,NA,NA,"sub 2 on 82 2","x 1 off 64",NA,NA,NA,NA
"18",2008-10-03,"Stockport County","1","3","league-one","A","",8360,NA,3,7,"Mark Haywood","Edgeley Park",NA,"x",NA,NA,"x 2 g 24 off 73",NA,"x",NA,"uu","x",NA,"x",NA,"x 1 off 73","x",NA,NA,"uu",NA,"x",NA,NA,"uu",NA,"x","x","x",NA,NA,NA,"sub 2 on 73 2","sub 1 on 73 1",NA,NA,NA,NA
"19",2008-10-12,"Hereford United","4","0","league-one","H","",5468,334,3,24,"Rob Shoebridge","Boundary Park",NA,"x 1 off 46",NA,"x 3 g 4 off 77","x 2 g pen 15 off 62",NA,"x",NA,"uu","x y",NA,"x g 90",NA,"uu","x",NA,NA,"x",NA,"x",NA,NA,"sub 1 on 46 1",NA,"x","x g 36",NA,NA,NA,NA,"sub 2 on 62 2","sub 3 on 77 3",NA,NA,NA,NA
"20",2008-10-18,"Leicester City","1","1","league-one","H","",8901,3924,4,2,"G Laws","Boundary Park",NA,"x","x","x y","sub 1 on 13 1",NA,"x","sub 2 on 66 2",NA,"x",NA,"x g 69 y",NA,NA,"x 1 off 13",NA,NA,"x",NA,"x 2 off 66",NA,NA,"uu",NA,"x","x","uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA
"21",2008-10-21,"Bristol Rovers","0","2","league-one","A","",6379,NA,5,12,"Fred Graham","The Memorial Stadium",NA,"x","x y","x",NA,NA,"x y","x 1 off 66","uu","x",NA,"x",NA,NA,NA,NA,NA,"x 2 off 81 y",NA,"sub 2 on 81 2",NA,NA,"uu",NA,"x","x","uu",NA,NA,NA,"x","sub 1 on 66 1",NA,NA,NA,NA
"22",2008-10-25,"Swindon Town","0","2","league-one","A","",6756,NA,7,15,"Graham Horwood","The County Ground",NA,"x","x","x","x 1 off 61",NA,"x 3 off 81 y","x 2 off 61 y","sub 3 on 81 3","x",NA,"x",NA,NA,NA,NA,NA,"uu",NA,"sub 1 on 61 1",NA,NA,"uu",NA,"x","x","x",NA,NA,NA,"sub 2 on 61 2",NA,NA,NA,NA,NA
"23",2008-10-28,"Scunthorpe United","3","0","league-one","H","",6057,910,4,1,"Graham Salisbury","Boundary Park",NA,"x","x","x y","x 1 off 77",NA,"x y","sub 2 on 84 2","uu","x",NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,"uu",NA,"x","x","x",NA,NA,NA,"sub 1 on 77 1","x 2 g 26 50 60 off 84",NA,NA,NA,NA
"24",2008-11-01,"Yeovil Town","0","2","league-one","H","",5318,165,7,19,"Michael Oliver","Boundary Park",NA,"x","x","x y","x 2 off 68",NA,"x","sub 2 on 68 2","sub 3 on 76 3","x",NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,"uu",NA,"x","x y","x 3 off 76",NA,NA,NA,"sub 1 on 68 1","x 1 off 68",NA,NA,NA,NA
"25",2008-11-08,"Cheltenham Town","2","2","fa-cup","A","",2585,NA,NA,NA,"Phil Gibbs","Whaddon Road",NA,"x","x 1 off 46",NA,"uu",NA,"x",NA,"sub 1 on 46 1","x",NA,"x g 76",NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,"uu",NA,"x g 49","x","uu",NA,"uu","uu","x","x",NA,NA,NA,NA
"26",2008-11-15,"Northampton Town","1","0","league-one","A","",5067,NA,7,16,"P Taylor","Sixfields Stadium","x y","x","sub 1 on 89 1","x y red@90","x g pen 76",NA,"x",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,"uu",NA,"x","x","uu",NA,NA,NA,"x 1 off 8","uu",NA,NA,NA,NA
"27",2008-11-18,"Cheltenham Town","0","1","fa-cup","H","",2552,81,NA,NA,"Anthony Bates","Boundary Park",NA,"x","x",NA,"sub 2 on 51 2",NA,"x",NA,"x 3 off 76","x y",NA,NA,NA,NA,NA,"sub 1 on 36 1 y",NA,"x",NA,NA,"x 2 off 51",NA,"uu",NA,"x","x",NA,NA,"sub 3 on 76 3","uu","x 1 off 36","x",NA,NA,NA,NA
"28",2008-11-22,"Southend United","2","1","league-one","A","",7041,NA,7,9,"P Crossley","Roots Hall","x","x","uu","x g 71","x",NA,"x",NA,"x y","x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"x y",NA,"uu",NA,"x g 67","x","uu",NA,"uu",NA,NA,"uu",NA,NA,NA,NA
"29",2008-11-25,"Walsall","3","2","league-one","H","",3936,128,4,11,"David Webb","Boundary Park","x 2 off 73","x","x","x g 38 89","x",NA,"x g 15",NA,"x 1 off 72",NA,NA,"sub 1 on 72 1",NA,"sub 2 on 73 2",NA,NA,NA,"x",NA,NA,"x",NA,"uu",NA,"x","x","uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"30",2008-12-06,"Brighton &amp; Hove Albion","1","1","league-one","H","",4803,261,NA,NA,"Dave Foster","Boundary Park",NA,"x","x 3 off 87","x y","x 1 g pen 9 off 64",NA,"x 2 off 86",NA,"sub 1 on 64 1","x",NA,"x",NA,"x",NA,NA,NA,"x",NA,NA,"sub 3 on 87 3",NA,"uu",NA,"x","x","uu",NA,NA,NA,NA,"sub 2 on 86 2",NA,NA,NA,NA
"31",2008-12-13,"Peterborough United","2","2","league-one","A","",6219,NA,6,4,"Iain Williamson","London Road","x",NA,NA,"x g 40 59 y","sub 1 on 30 1",NA,"x",NA,"uu","x",NA,"x y",NA,"uu",NA,NA,NA,"x",NA,NA,"x",NA,"x y",NA,"x","x 1 off 30","x y",NA,"uu",NA,NA,"uu",NA,NA,NA,NA
"32",2008-12-20,"Leyton Orient","1","1","league-one","H","",6839,155,6,17,"Roger East","Boundary Park","x 2 off 76",NA,"uu","x","x 1 g pen 34 off 76",NA,"x",NA,"uu","x",NA,"x 3 off 89",NA,"sub 3 on 89 3",NA,NA,NA,"x",NA,NA,"x",NA,"x",NA,"x",NA,"x",NA,NA,NA,"sub 2 on 76 2","sub 1 on 76 1",NA,NA,NA,NA
"33",2008-12-26,"Crewe Alexandra","3","0","league-one","A","",5780,NA,5,24,"Craig Pawson","-","x 2 g 57 off 74",NA,"sub 1 on 39 1","x g 68 85","uu",NA,"x",NA,"x","x y",NA,"uu",NA,"sub 3 on 87 3",NA,NA,NA,"x",NA,NA,"x 1 off 39",NA,"x",NA,"x",NA,"x",NA,"x 3 off 87",NA,NA,"sub 2 on 74 2",NA,NA,NA,NA
"34",2008-12-28,"Carlisle United","0","0","league-one","H","15:00",6254,1048,5,17,"Darren Deadman","Boundary Park","x 3 off 81",NA,"x","x","sub 1 on 73 1",NA,"x",NA,"x 2 off 81 y","x",NA,"sub 2 on 81 2",NA,"uu",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,"x",NA,"x",NA,"x 1 off 73",NA,"uu","sub 3 on 81 3",NA,NA,NA,NA
"35",2009-01-03,"Huddersfield Town","1","1","league-one","A","",16950,NA,5,10,"J Singh","John Smith's Stadium","x 2 off 73",NA,"x","x","sub 1 on 72 1",NA,"x g 6 y",NA,"x 1 off 72","x y",NA,"x",NA,NA,NA,NA,NA,"x",NA,"sub 2 on 73 2","uu",NA,"x",NA,"x",NA,"x",NA,"uu",NA,"uu",NA,NA,NA,NA,NA
"36",2009-01-12,"Hartlepool United","2","1","league-one","H","19:45",4211,121,3,15,"Carl Boyeson","Boundary Park",NA,NA,"x","x 1 g 21 off 74","sub 3 on 90 3","x",NA,NA,"x","x",NA,"x",NA,NA,NA,NA,NA,"x",NA,"sub 1 on 74 1","uu",NA,"x",NA,"x",NA,"x",NA,NA,"uu","x g 52","sub 2 on 90 2",NA,NA,NA,NA
"37",2009-01-17,"Hereford United","0","5","league-one","A","",3342,NA,5,22,"G Hegley","Edgar Street",NA,NA,"x","x","uu","x","sub 1 on 45 1",NA,"x 2 off 45","x",NA,"x 1 off 45",NA,NA,NA,NA,NA,"x",NA,"sub 2 on 45 2","uu",NA,"x",NA,"x",NA,"x y",NA,NA,NA,"x","uu",NA,NA,NA,NA
"38",2009-01-24,"Stockport County","3","1","league-one","H","15:00",7605,2192,3,8,"Andy D'Urso","Boundary Park",NA,NA,"x","x 2 g 18 off 89","sub 1 on 87 1","x","x",NA,"uu","x",NA,"x g 3",NA,NA,NA,NA,NA,"x",NA,"sub 2 on 89 2","uu","x","x",NA,"x g 55",NA,NA,NA,NA,NA,"x 1 off 87","uu",NA,NA,NA,NA
"39",2009-01-27,"Scunthorpe United","0","2","league-one","A","",4447,NA,6,4,"Jonathan Moss","Glanford Park",NA,NA,"x","x","sub 2 on 78 2","x 1 off 70 y","x",NA,"uu","x y",NA,"x 2 off 78",NA,NA,NA,NA,NA,"x",NA,NA,"uu","x","x",NA,"x y",NA,"uu",NA,NA,NA,"x y","sub 1 on 70 1",NA,NA,NA,NA
"40",2009-01-31,"Swindon Town","0","0","league-one","H","",4712,257,6,19,"Steve Bratt","Boundary Park",NA,NA,"x","x","uu","x 1 off 74","x",NA,"uu","x",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,"uu","x","x",NA,"x",NA,"uu",NA,NA,NA,"x","sub 1 on 74 1",NA,NA,NA,NA
"41",2009-02-07,"Leicester City","0","0","league-one","A","",22328,NA,5,1,"C Oliver","King Power Stadium",NA,NA,"x","x 1 off 89 y","uu","x","x",NA,"x","x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,"uu","x","x red@50",NA,"x y",NA,"x y",NA,"uu",NA,"x","sub 1 on 89 1",NA,NA,NA,NA
"42",2009-02-14,"Northampton Town","2","1","league-one","H","",4629,227,5,18,"Andy Haines","Boundary Park",NA,NA,"x","x","sub 2 on 89 2","x 1 g 60 off 76 y","x",NA,"x 2 off 89","x g 8",NA,"sub 1 on 76 1",NA,NA,NA,NA,NA,NA,NA,NA,"uu","x",NA,"x",NA,NA,"x","x",NA,NA,"x","uu","uu",NA,NA,NA
"43",2009-02-21,"Yeovil Town","2","2","league-one","A","",4150,NA,4,15,"Gavin Ward","Huish Park",NA,NA,"x y","x","sub 1 on 68 1","x 1 off 68","x",NA,"x 2 off 83","x y",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,"uu","x","x","uu","x",NA,"sub 2 on 83 2","x",NA,NA,"x g 12",NA,NA,NA,NA,NA
"44",2009-02-24,"Bristol Rovers","0","2","league-one","H","",3745,107,5,14,"C Webster","Boundary Park",NA,NA,"x","x 3 off 75","sub 3 on 75 3","x 2 off 67","x",NA,"uu","x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 59","uu","x","x",NA,"sub 1 on 59 1","x",NA,NA,"x","sub 2 on 67 2",NA,NA,NA,NA
"45",2009-02-28,"Millwall","3","2","league-one","A","",8551,NA,4,5,"Anthony Bates","The Den",NA,NA,"x","x g 10","uu",NA,"x",NA,"x","x","x 1 off 86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","x","uu","x g 90","x","x y","uu",NA,NA,"x g 5 y","sub 1 on 86 1",NA,NA,NA,NA
"46",2009-03-02,"Leeds United","1","1","league-one","H","",7835,3239,4,5,"R Booth","-",NA,NA,"x","x 3 g 51 off 89 y","sub 2 on 79 2","sub 3 on 89 3","x",NA,"x","x y","x 1 off 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","uu","x","x","x","uu",NA,NA,"x 2 off 79","sub 1 on 70 1",NA,NA,NA,NA
"47",2009-03-07,"Colchester United","0","1","league-one","H","",4591,200,5,10,"Christopher Sarginson","Boundary Park",NA,NA,"x","x","x 3 off 80","sub 1 on 58 1","x 2 off 76",NA,"x","x","x 1 off 58","sub 2 on 76 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","uu",NA,"x","x","uu",NA,NA,"x y","sub 3 on 80 3",NA,NA,NA,NA
"48",2009-03-14,"Milton Keynes Dons","2","6","league-one","A","",10621,NA,8,3,"Graham Scott","Stadium:mk",NA,NA,"x","x g 40","sub 1 on 46 1",NA,"x y",NA,"x 3 g 4 off 77",NA,"x 2 off 71","sub 3 on 77 3",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"uu","x","x 1 off 46 y","x","x","x",NA,NA,"x","sub 2 on 71 2",NA,NA,NA,NA
"49",2009-03-21,"Tranmere Rovers","0","2","league-one","H","",7489,1014,8,7,"G Laws","Boundary Park",NA,NA,"x","x","uu",NA,"x",NA,"uu",NA,"sub 1 on 56 1","x 1 off 56","x",NA,NA,NA,NA,NA,"x",NA,"x y red@74","sub 2 on 83 2","uu",NA,"x 2 off 83","x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA
"50",2009-03-24,"Cheltenham Town","1","1","league-one","A","",2992,NA,8,24,"Clive Penton","Whaddon Road",NA,NA,"x","x 2 off 59",NA,NA,"x y",NA,"x 1 off 59","x","x","sub 1 on 59 1 g 90",NA,NA,NA,NA,NA,"x","x",NA,NA,NA,"uu",NA,"x","x","uu",NA,NA,NA,"x 3 off 66","sub 2 on 59 2",NA,NA,"sub 3 on 66 3",NA
"51",2009-03-28,"Leyton Orient","1","2","league-one","A","",4034,NA,9,15,"Iain Williamson","Brisbane Road",NA,NA,"x y",NA,"sub 1 on 80 1",NA,"x",NA,"uu","x",NA,"x g 34","x y",NA,NA,NA,NA,"uu","x",NA,"x",NA,"uu",NA,"x 1 off 80","x",NA,NA,"uu",NA,"x","x",NA,NA,NA,NA
"52",2009-04-04,"Peterborough United","1","2","league-one","H","",5083,793,9,2,"Graham Salisbury","Boundary Park",NA,NA,"x",NA,NA,NA,"x",NA,"x","x",NA,"x","x",NA,NA,"sub 1 on 69 1",NA,NA,"x",NA,"uu",NA,"uu",NA,"x g 43","x","x",NA,"uu",NA,NA,"x 1 off 69",NA,"uu",NA,NA
"53",2009-04-10,"Carlisle United","1","1","league-one","A","",6635,NA,9,19,"Kevin Wright","Brunton Park",NA,NA,"x",NA,NA,NA,"x",NA,"x 1 off 53","x y","x 2 off 69","x",NA,NA,NA,NA,NA,NA,"x",NA,"sub 1 on 53 1",NA,"uu",NA,"x","x red@43","x g 89",NA,"sub 3 on 77 3",NA,NA,"sub 2 on 69 2",NA,"x 3 off 77",NA,"uu"
"54",2009-04-13,"Crewe Alexandra","1","1","league-one","H","",4334,537,10,19,"Neil Swarbrick","Boundary Park",NA,"uu","x",NA,NA,NA,"x",NA,"sub 2 on 68 2","x g 41","x 1 off 65","x 3 off 78",NA,NA,NA,"sub 1 on 65 1",NA,NA,NA,NA,"x",NA,"x",NA,"x",NA,"x",NA,"x 2 off 68",NA,"x","uu",NA,"sub 3 on 78 3",NA,NA
"55",2009-04-18,"Brighton &amp; Hove Albion","1","3","league-one","A","",6618,NA,NA,NA,"S D Cook","Withdean Stadium",NA,"x","x",NA,NA,NA,"x y",NA,"uu","x",NA,"sub 1 on 39 1",NA,NA,NA,"x 2 off 46",NA,NA,NA,NA,"x 1 off 39",NA,"uu",NA,"x y","x","x",NA,"x",NA,"x y","sub 2 on 46 2 g 62",NA,"uu",NA,NA
"56",2009-04-25,"Southend United","1","1","league-one","H","",4830,479,10,8,"Craig Pawson","Boundary Park",NA,"x","x",NA,NA,NA,"x",NA,"x","x",NA,"sub 1 on 61 1","x y",NA,NA,"sub 2 on 62 2",NA,"uu",NA,NA,NA,NA,"uu",NA,NA,"x","x g pen 51",NA,"x 2 off 62",NA,"x","x 1 off 61",NA,"uu",NA,NA
"57",2009-05-02,"Walsall","2","1","league-one","A","",4807,NA,10,13,"C Webster","Banks's Stadium",NA,"uu","x",NA,NA,NA,"x",NA,"x","x",NA,"x 3 off 71","x",NA,NA,"sub 2 on 67 2",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,"sub 1 on 46 1",NA,"x 2 off 67",NA,"x g 44",NA,NA,"x 1 off 46",NA,"sub 3 on 71 3 g 74"
