"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Darren Byfield","Darryl Flahavan","Sean Gregan","Jason Price","Hasney Aljofree","Reuben Hazell","Keigan Parker","Paul Heffernan","Jim Goodwin","Pawel Abbott","Dan Whitaker","Daniel Nardiello","Jonathan Worthington","Dean Brill","Chris O&#039;Grady","Andy Holdsworth","Peter Gilbert","Kelvin Lomax","Joe Colbeck","Lewis Guy","Alan Sheehan","Chris Taylor","Joe Jacobson","Dean Furman","Kieran Lee","Nick Blackman","Krisztian Timar","Przemyslaw Kazimierczak","Dale Stephens","Deane Smalley","Lewis Alessandra","Lee Hills","Paul Black","Josh Ollerenshaw","Alex Marrow","Ryan Brooke","Chris Rowney","Michael McKerr","David Kalnoki-Kis","Djeny Bembo-Leta","Phillip McGrath","Patrick Tischler","Norberc Csiki","Tom Eaves","Kirk Millar"
"11",2009-08-15,"Leyton Orient","2","1","league-one","A","",4061,NA,7,12,"Graham Scott","Brisbane Road","sub 3 on 83 3",NA,"x",NA,NA,"x","x 3 off 83 y",NA,NA,"x 2 g 12 pen 59 off 83","sub 2 on 83 2",NA,"x y","x","uu","x y","x y","sub 1 on 77 1",NA,NA,NA,"x",NA,"x","uu",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"x 1 off 77 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2009-08-18,"Millwall","0","2","league-one","A","",7369,NA,12,7,"Andy D'Urso","The Den","sub 1 on 75 1",NA,"x",NA,NA,"x","x",NA,NA,"x",NA,NA,"x y","x","uu","x 1 off 75","x","uu",NA,NA,NA,"x y",NA,"x y","uu",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"13",2009-08-22,"Swindon Town","2","2","league-one","H","",4229,246,11,12,"Mark Haywood","Boundary Park","uu",NA,"x",NA,NA,"x","x 1 off 62",NA,NA,"x","sub 1 on 62 1",NA,"x 3 off 82 y","x",NA,"x","x","uu",NA,NA,NA,"x 2 off 80",NA,"sub 2 on 80 2","sub 3 on 82 3 g 90","x",NA,"uu",NA,NA,NA,NA,NA,NA,"x g 37","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2009-08-29,"Brentford","1","1","league-one","A","",5125,NA,11,6,"G Hegley","Griffin Park",NA,NA,"x",NA,NA,"x","x",NA,NA,"x","x",NA,NA,"x",NA,"x","x",NA,NA,NA,NA,NA,NA,"x","sub 1 on 85 1","x 1 g 52 off 85",NA,"uu",NA,NA,NA,NA,NA,NA,"x","uu","uu",NA,"uu","uu","uu",NA,NA,NA,NA
"15",2009-09-01,"Accrington Stanley","1","2","efl-trophy","H","",1619,161,NA,NA,"Paul Tierney","Boundary Park",NA,NA,"x y",NA,NA,"x y",NA,NA,NA,"x","x g 10",NA,NA,"x",NA,"x 1 off 62",NA,NA,NA,NA,"x",NA,NA,"x","x 3 off 85","x 2 off 71",NA,NA,NA,NA,NA,NA,NA,NA,"x","sub 2 on 71 2","sub 1 on 62 1",NA,NA,"sub 3 on 85 3",NA,NA,NA,NA,NA
"16",2009-09-04,"Hartlepool United","0","3","league-one","H","",4014,268,13,11,"Rob Shoebridge","Boundary Park",NA,NA,"x",NA,NA,"x","x",NA,NA,"x","x 1 off 46",NA,"x 2 off 59","x",NA,"x",NA,"uu","x",NA,"x",NA,NA,"sub 2 on 59 2","uu","sub 1 on 46 1",NA,NA,NA,NA,NA,NA,NA,"uu","x","uu",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"17",2009-09-12,"Bristol Rovers","0","1","league-one","A","",6674,NA,21,3,"Steve Bratt","The Memorial Stadium",NA,NA,"x",NA,NA,"x","sub 3 on 86 3",NA,NA,"x","sub 2 on 81 2",NA,NA,"x",NA,"x 1 off 63",NA,"sub 1 on 63 1","x",NA,"x y","x 2 off 81",NA,"x","uu","x 3 off 86",NA,NA,NA,NA,NA,NA,NA,"uu","x y",NA,NA,NA,NA,"uu",NA,"uu",NA,NA,NA
"18",2009-09-19,"Carlisle United","2","0","league-one","H","",4268,791,16,18,"Phil Gibbs","Boundary Park",NA,NA,"x",NA,NA,"x","x 2 g 52 off 79",NA,NA,"x g 13","x",NA,NA,"x",NA,NA,NA,"x","x 1 off 73",NA,"x","x",NA,"x","sub 1 on 73 1",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"sub 2 on 79 2","uu",NA,NA,"uu",NA,"uu","uu",NA,NA
"19",2009-09-26,"Southend United","1","0","league-one","A","",6979,NA,8,10,"Keith Hill","Roots Hall",NA,NA,"x",NA,NA,"x","x 2 off 86",NA,NA,"x g pen 76","x",NA,NA,"x",NA,NA,NA,"x","x 1 off 58",NA,"x","x y",NA,"x y","sub 2 on 86 2",NA,NA,NA,NA,NA,NA,NA,"uu","uu","sub 1 on 58 1","uu","uu",NA,NA,"uu",NA,NA,NA,NA,NA
"20",2009-09-29,"Milton Keynes Dons","2","1","league-one","H","",3630,180,7,5,"Anthony Bates","-",NA,NA,"x",NA,NA,"x","x 1 g 70 off 88",NA,NA,"x 2 off 89","x",NA,NA,"x",NA,NA,NA,"x","uu",NA,"x g 8","x",NA,"x","sub 1 on 88 1",NA,NA,NA,NA,NA,NA,NA,"uu","uu","x y","sub 2 on 89 2","uu",NA,NA,"uu",NA,NA,NA,NA,NA
"21",2009-10-03,"Yeovil Town","0","0","league-one","H","",4208,195,8,19,"Nigel Miller","Boundary Park",NA,NA,"x",NA,NA,"x","x",NA,NA,"x","x",NA,"sub 1 on 46 1 y","x",NA,NA,NA,"x 1 off 46","sub 2 on 58 2",NA,"x","x 3 off 65",NA,"x 2 off 58","uu",NA,NA,NA,NA,NA,NA,NA,"uu","uu","x","sub 3 on 65 3",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"22",2009-10-10,"Charlton Athletic","0","0","league-one","A","",16441,NA,9,2,"Graham Horwood","The Valley",NA,NA,"x",NA,NA,"x","x 1 off 80",NA,NA,"x","x",NA,"x","x y",NA,NA,NA,"x y","x",NA,NA,NA,NA,"x","sub 1 on 80 1","uu",NA,NA,NA,NA,NA,NA,"uu","uu","x","uu","uu","uu",NA,NA,NA,NA,NA,NA,NA
"23",2009-10-17,"Southampton","1","3","league-one","H","",5341,924,13,10,"Dave Foster","-",NA,NA,"x",NA,NA,"x","x",NA,NA,"x g 65","x",NA,"x 1 off 15","x",NA,NA,NA,"x y","x 2 off 56",NA,NA,NA,NA,"x","sub 1 on 15 1","sub 2 on 56 2",NA,NA,NA,NA,NA,NA,"uu","uu","x","uu","uu","uu",NA,NA,NA,NA,NA,NA,NA
"24",2009-10-24,"Brighton &amp; Hove Albion","2","0","league-one","A","",6205,NA,NA,NA,"Dean Whitestone","Withdean Stadium",NA,NA,"x y",NA,NA,"x g 81","x 2 off 84",NA,NA,"x g 57 y","x 1 off 71",NA,NA,"x",NA,"sub 3 on 89 3",NA,"x","x 3 off 89",NA,"x","sub 1 on 71 1",NA,"x y","uu","sub 2 on 84 2",NA,NA,NA,NA,NA,NA,"uu","uu","x","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2009-11-01,"Huddersfield Town","0","1","league-one","H","14:00",8569,4311,14,6,"Trevor Kettle","Boundary Park",NA,NA,"x",NA,NA,"x y","x 2 off 87",NA,NA,"x y","x",NA,NA,"x",NA,"x y",NA,NA,"x 1 off 67",NA,"x",NA,"uu","x","sub 2 on 87 2","sub 1 on 67 1",NA,NA,NA,"x",NA,NA,"uu","uu",NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA
"26",2009-11-07,"Leeds United","0","2","fa-cup","H","17:15",5552,2671,NA,NA,"Gavin Ward","Boundary Park",NA,"x","x",NA,NA,"x","x 2 off 72",NA,NA,NA,"sub 1 on 37 1",NA,NA,"uu",NA,"x",NA,NA,"x 1 off 37",NA,NA,"x","uu","x 3 off 80 y","sub 2 on 72 2",NA,NA,NA,NA,"x y",NA,"x","uu",NA,"x","sub 3 on 80 3",NA,NA,NA,NA,NA,NA,NA,"uu",NA
"27",2009-11-14,"Gillingham","0","1","league-one","A","",4787,NA,15,16,"Mick Russell","Priestfield Stadium",NA,"x","x",NA,NA,"x y","sub 1 on 72 1 y",NA,NA,NA,"x 1 off 72",NA,NA,"uu",NA,"x y",NA,NA,"sub 3 on 89 3",NA,NA,"x 3 off 89 y","uu","x y","uu","x",NA,NA,NA,"x 2 off 82",NA,"x","uu",NA,"x y","sub 2 on 82 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2009-11-21,"Colchester United","2","2","league-one","H","",3607,205,15,4,"Eddie Ilderton","Boundary Park",NA,"x","x",NA,NA,"x","sub 2 on 81 2",NA,NA,NA,"x",NA,NA,"uu",NA,"x",NA,NA,"x y",NA,NA,"x g pen 63","uu",NA,"uu","x",NA,NA,"uu","x 2 off 81",NA,"x 1 off 77","uu",NA,"x","sub 1 on 77 1 g 88",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2009-11-24,"Walsall","0","3","league-one","A","",3191,NA,17,9,"Andy Woolmer","-",NA,"x","x",NA,NA,"x 2 off 47","sub 3 on 65 3 y",NA,NA,NA,"x",NA,NA,"uu",NA,"x",NA,"sub 2 on 47 2","x",NA,NA,NA,"sub 1 on 45 1","x","uu","x 1 off 45",NA,NA,"uu","x 3 off 65 y",NA,"x red@43","uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2009-12-01,"Leeds United","0","2","league-one","H","",7793,4158,20,1,"C Webster","Boundary Park",NA,"x","x",NA,NA,NA,"x 2 off 87","x",NA,NA,"x",NA,NA,"uu",NA,NA,NA,"x","x",NA,NA,NA,"uu","x","uu","sub 2 on 87 2",NA,NA,"sub 3 on 90 3","x 1 off 77",NA,NA,"x y",NA,"x y","sub 1 on 77 1",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"31",2009-12-05,"Norwich City","0","2","league-one","A","",24404,NA,20,3,"David Phillips","Carrow Road",NA,"x","x y",NA,NA,NA,"sub 1 on 49 1","x 1 off 49",NA,NA,"x",NA,NA,"uu",NA,NA,NA,"x","x",NA,NA,NA,"x","x 2 off 76 y","uu","uu",NA,NA,"x","x",NA,NA,"x",NA,NA,"sub 2 on 76 2","uu","uu",NA,NA,NA,NA,NA,NA,NA
"32",2009-12-12,"Exeter City","2","0","league-one","H","",6230,335,16,19,"Jock Waugh","Boundary Park",NA,"x","x y",NA,NA,NA,"sub 2 on 46 2","x 3 g 58 off 87",NA,NA,"x",NA,NA,"uu",NA,NA,NA,"x","x 2 off 46 y",NA,NA,NA,"x","sub 1 on 39 1","uu","uu",NA,NA,"x y","x g 51 y",NA,NA,"x 1 off 39",NA,"x y","sub 3 on 87 3","uu",NA,NA,NA,NA,NA,NA,NA,NA
"33",2009-12-19,"Wycombe Wanderers","2","2","league-one","A","",4160,161,19,23,"Danny McDermid","Adams Park",NA,"x","x",NA,NA,"x g 51 y",NA,"x 2 off 89",NA,NA,"x g 45",NA,NA,"uu",NA,NA,NA,NA,"x 1 off 63",NA,NA,NA,NA,"x y","x y","uu",NA,NA,"x y","x y",NA,NA,NA,NA,"x","sub 1 on 63 1","sub 2 on 89 2","uu",NA,NA,"uu",NA,NA,NA,NA
"34",2010-01-02,"Hartlepool United","1","2","league-one","A","",2634,NA,19,12,"Carl Boyeson","Victoria Park (Hartlepool)",NA,NA,"x y",NA,NA,NA,NA,NA,"x y","sub 3 on 70 3 g 88","x",NA,NA,"x",NA,NA,NA,NA,"x 3 off 70",NA,NA,"sub 2 on 68 2","x","uu","x","sub 1 on 63 1","x",NA,"x","x 2 off 68",NA,NA,"uu","uu","uu","x 1 off 63",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2010-01-20,"Tranmere Rovers","0","0","league-one","H","",3688,657,21,22,"Craig Pawson","Boundary Park",NA,NA,"x",NA,NA,"x","sub 2 on 62 2",NA,"x","x","x 2 off 62",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x 3 off 85","x","uu","uu",NA,"x 1 off 15",NA,"x","x",NA,NA,"uu","uu","sub 1 on 15 1 y","sub 3 on 85 3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2010-01-23,"Millwall","0","1","league-one","H","",3656,286,21,8,"Andy Haines","Boundary Park",NA,NA,"x y",NA,NA,"x","x 2 off 84",NA,"x","x 1 off 70","uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x","x","uu",NA,NA,NA,"x","x",NA,NA,"uu","uu","uu","sub 1 on 70 1",NA,NA,NA,NA,NA,NA,NA,"sub 2 on 84 2",NA
"37",2010-02-06,"Tranmere Rovers","1","0","league-one","A","",5518,NA,19,22,"Christopher Sarginson","Prenton Park",NA,"uu","x","x","uu","x","sub 2 on 78 2",NA,"x","x 2 g 41 off 78","x 1 off 75",NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA,"sub 1 on 75 1","x","x",NA,NA,NA,NA,"x 3 off 82 y","x",NA,NA,NA,NA,"sub 3 on 82 3","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2010-02-09,"Swindon Town","2","4","league-one","A","",6183,NA,20,5,"Darren Deadman","The County Ground",NA,"uu","x","x g 90","uu","x y","uu",NA,"x","x 3 off 68","x 1 off 56",NA,NA,"x",NA,NA,NA,NA,"sub 3 on 68 3 g 79",NA,NA,"sub 1 on 56 1","x","x 2 off 64",NA,NA,NA,NA,"x","x",NA,NA,NA,NA,"sub 2 on 64 2","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2010-02-13,"Walsall","1","0","league-one","H","",3968,182,18,13,"Kevin Wright","Boundary Park",NA,"uu","x","x",NA,"x","uu",NA,"x","x g 78","sub 1 on 69 1",NA,NA,"x",NA,NA,NA,NA,"sub 2 on 89 2",NA,NA,"x","x","x 1 off 69",NA,NA,NA,NA,"x","x 2 off 89 y",NA,NA,"uu",NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2010-02-20,"Colchester United","0","1","league-one","A","",5321,NA,19,3,"James Linington","JobServe Stadium",NA,"uu","x","x","uu","x","sub 2 on 80 2",NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,"uu","sub 1 on 72 1",NA,NA,"x 1 off 72","x","x","uu",NA,NA,NA,"x","x 2 off 80",NA,NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2010-02-23,"Leeds United","0","2","league-one","A","",17635,NA,21,2,"P Taylor","Elland Road",NA,"uu","x y","x","uu","x","uu",NA,NA,"x 3 off 80",NA,NA,NA,"x",NA,NA,NA,"sub 2 on 75 2","sub 1 on 59 1",NA,NA,"x y","x","x 2 off 75 y","uu",NA,NA,NA,"x","x 1 off 59 y",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 80 3",NA
"42",2010-02-27,"Norwich City","0","1","league-one","H","",5344,610,21,1,"Rob Shoebridge","Boundary Park",NA,"uu","x","x 2 off 84",NA,"x","sub 1 on 60 1",NA,NA,"x","uu",NA,NA,"x",NA,NA,NA,NA,"x 1 off 60",NA,NA,"x","x","x","x",NA,NA,NA,"x y","sub 2 on 84 2",NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA
"43",2010-03-06,"Exeter City","1","1","league-one","A","",4997,NA,20,21,"Simon Hooper","St James Park",NA,"uu","x g 81","x 1 off 63","uu","x y",NA,NA,NA,"x","sub 2 on 68 2","x 3 off 84","uu","x",NA,NA,NA,NA,"sub 3 on 84 3",NA,NA,"x y","x","x 2 off 68 y","x",NA,NA,NA,"x y","sub 1 on 63 1",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2010-03-09,"Leyton Orient","2","0","league-one","H","",3126,112,19,16,"Geoff Eltringham","Boundary Park",NA,"uu","x",NA,"uu","x",NA,NA,NA,"x 2 off 86","x","x 1 off 58","sub 3 on 88 3","x",NA,NA,NA,NA,"sub 1 on 58 1",NA,NA,"x 3 off 88","x",NA,"x",NA,NA,NA,"x g 49","x g 20",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 86 2",NA
"45",2010-03-13,"Wycombe Wanderers","2","2","league-one","H","",3846,182,19,23,"Eddie Ilderton","Boundary Park",NA,"uu","x",NA,"uu","x g 29 y","x 1 off 57",NA,NA,"x g pen 90","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x 3 off 74","sub 1 on 57 1","x",NA,NA,NA,"x","x 2 off 67",NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 67 2","sub 3 on 74 3"
"46",2010-03-16,"Stockport County","1","0","league-one","A","",4283,NA,17,24,"Jonathan Moss","Edgeley Park",NA,"x","x",NA,"uu","x",NA,NA,NA,"x 3 g pen 25 off 81","sub 1 on 69 1",NA,"sub 2 on 76 2","uu",NA,NA,NA,NA,NA,"x 1 off 69",NA,"x","uu","x","x",NA,NA,NA,NA,"x",NA,NA,"x",NA,"x 2 off 76",NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 81 3 y","uu"
"47",2010-03-20,"Brighton &amp; Hove Albion","0","2","league-one","H","",4059,459,NA,NA,"David Webb","Boundary Park",NA,"x","x",NA,NA,"x",NA,NA,NA,"x","x 1 off 59",NA,"x 2 off 78 y","uu",NA,NA,NA,NA,"uu","x",NA,"x","uu","x y","x",NA,NA,NA,NA,"sub 1 on 59 1",NA,NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 78 2 y","uu"
"48",2010-03-30,"Brentford","2","3","league-one","H","",2833,105,19,11,"Anthony Bates","Boundary Park",NA,"x","x",NA,NA,"x",NA,NA,NA,"x g 22 82","sub 1 on 69 1",NA,"x 1 off 69","uu",NA,NA,NA,"x 2 off 71","uu","x",NA,"x",NA,NA,"x",NA,NA,NA,"x","sub 3 on 74 3",NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 71 2","x 3 off 74"
"49",2010-04-03,"Gillingham","1","0","league-one","H","",3486,263,17,21,"Carl Boyeson","Boundary Park",NA,NA,"x y",NA,"uu","x",NA,NA,NA,"x 2 off 80","sub 1 on 46 1",NA,"x 1 off 46","x",NA,NA,NA,NA,"uu","x g 59",NA,"x",NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,"x","uu","sub 3 on 86 3","uu",NA,NA,NA,NA,NA,NA,NA,"sub 2 on 80 2","x 3 off 86 y"
"50",2010-04-06,"Huddersfield Town","0","2","league-one","A","",14561,NA,19,6,"Anthony Taylor","John Smith's Stadium",NA,"x","x",NA,"uu","x",NA,NA,NA,"x 2 off 82","x",NA,"uu","uu",NA,NA,NA,"uu","sub 2 on 82 2","x",NA,"x 1 off 80",NA,"x 3 off 89","x y red@75",NA,NA,NA,"x",NA,NA,NA,"x",NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 80 1",NA
"51",2010-04-10,"Bristol Rovers","2","1","league-one","H","",3769,291,16,9,"Mark Halsey","Boundary Park",NA,"x","x",NA,"uu","x",NA,NA,NA,"x 3 off 89","x",NA,"uu","uu",NA,NA,NA,"uu","x 2 off 76","x g 48",NA,"x 1 off 46",NA,"sub 3 on 89 3",NA,NA,NA,NA,"x","sub 1 on 46 1 g 88",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 76 2",NA
"52",2010-04-13,"Milton Keynes Dons","0","0","league-one","A","",8528,NA,17,10,"Craig Pawson","-",NA,"x","x",NA,"uu","x",NA,NA,NA,"x 2 off 87","x",NA,"uu","uu",NA,NA,NA,NA,"x 1 off 35","x 3 off 89",NA,NA,NA,"x","x",NA,NA,NA,"x y","sub 1 on 35 1",NA,NA,"uu",NA,"x","sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA,"sub 2 on 87 2",NA
"53",2010-04-17,"Carlisle United","2","1","league-one","A","",4484,NA,16,13,"Danny McDermid","Brunton Park",NA,"x","x",NA,"uu","x",NA,NA,NA,"x 2 off 79","x",NA,"sub 2 on 79 2","uu",NA,NA,NA,NA,NA,"x 3 g 55 off 79",NA,NA,NA,"x y","x",NA,NA,NA,"x g 64","x",NA,NA,"sub 1 on 38 1",NA,"x 1 off 38","uu",NA,NA,NA,NA,NA,NA,NA,"sub 3 on 79 3","uu"
"54",2010-04-20,"Southampton","0","0","league-one","A","",18366,NA,16,5,"Kevin Wright","St. Mary's Stadium",NA,"x","x",NA,"uu","x",NA,NA,NA,"x 2 off 63 y","sub 3 on 74 3",NA,"x","uu",NA,NA,NA,"uu",NA,"x 3 off 74",NA,NA,NA,"x 1 off 46","x",NA,NA,NA,"sub 1 on 46 1","x",NA,NA,"x",NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 63 2","uu"
"55",2010-04-24,"Southend United","2","2","league-one","H","",4225,252,15,23,"Steve Tanner","Boundary Park",NA,"x","x",NA,"uu","x",NA,NA,NA,"x 1 off 46","x g 2",NA,"uu","uu",NA,NA,NA,NA,NA,"x",NA,NA,NA,"sub 3 on 76 3 y","x",NA,NA,NA,"x 3 off 76 y","x y",NA,NA,"x g 43",NA,"x 2 off 68","uu",NA,NA,NA,NA,NA,NA,NA,"sub 1 on 46 1","sub 2 on 68 2"
"56",2010-05-01,"Yeovil Town","0","3","league-one","A","",4513,NA,17,15,"J Singh","Huish Park",NA,"x","x y",NA,"x",NA,NA,NA,"x 2 off 65","x","x",NA,"sub 2 on 65 2","uu",NA,NA,NA,"uu",NA,"x",NA,"sub 1 on 27 1 y",NA,NA,"x 3 off 76",NA,NA,NA,"x",NA,NA,NA,"x",NA,"x 1 off 27","uu",NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 76 3"
"57",2010-05-08,"Charlton Athletic","0","2","league-one","H","",5686,685,17,4,"C Webster","Boundary Park",NA,"x","x y",NA,NA,"x",NA,NA,"x","x 1 off 46","x",NA,"uu","uu",NA,NA,NA,"uu",NA,"x 3 off 66",NA,"x",NA,NA,NA,NA,NA,NA,"x","x 2 off 66",NA,NA,"x",NA,NA,"sub 2 on 66 2",NA,NA,NA,"uu",NA,NA,NA,"sub 1 on 46 1","sub 3 on 66 3"
