"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Paul Gerrard","Shefki Kuqi","Nathan Clarke","Zander Diamond","Robbie Simpson","James Wesolowski","Filipe Alexandre Morais","Chris Taylor","Reuben Reid","Dean Furman","Kieran Lee","Alex Cisak","Paul Black","Jean-Yves Mvoto","Tom Adeyemi","Ryan Brooke","Dean Bouzanis","Matty Lund","Keanu Marsh-Brown","Josh Parker","Kirk Millar","Oumare Tounkara","Reece Brown","Carl Winchester","James Tarkowski","Connor Hughes","David Mellor","Matt Smith","Matthew Carr","Bradley Diallo","Luca Scapuzzi","Andrea Mancini","Harry Bunn","Luke Simpson","Youssouf M&#039;Changama","Alex Parks","Glenn Belezika"
"11",2011-09-03,"Huddersfield Town","1","1","league-one","H","",6213,2395,15,7,"C Webster","Boundary Park","uu","x 2 g 6 off 80",NA,"x",NA,"x y","x 1 off 77","x","x 3 off 85",NA,"x","x",NA,"x","x",NA,NA,"sub 3 on 85 3",NA,NA,NA,NA,NA,NA,"uu",NA,"sub 1 on 77 1","sub 2 on 80 2",NA,"x red@76",NA,NA,NA,NA,NA,NA,NA
"12",2011-09-10,"Stevenage","1","1","league-one","H","",3402,124,15,11,"Mark Brown","Boundary Park","uu","x g 19","x y","x 1 off 46","sub 1 on 46 1","x",NA,"x","x 2 off 65",NA,"x","x",NA,"x","x",NA,NA,NA,NA,NA,"uu",NA,NA,"x",NA,NA,"uu","sub 2 on 65 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2011-09-13,"Walsall","1","0","league-one","A","",3250,265,13,15,"Michael Naylor","Banks's Stadium","uu","x 1 off 82","x",NA,"x","x",NA,"x g 29","x y",NA,"x","x",NA,"x","x",NA,NA,NA,NA,NA,"uu",NA,NA,"uu","uu",NA,"x","sub 1 on 82 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2011-09-17,"Leyton Orient","3","1","league-one","A","",3699,323,11,24,"Roger East","Brisbane Road","uu","x g 49","x y","sub 1 on 32 1","x 3 off 87","x","sub 2 on 77 2","x","x 2 g 65 off 77",NA,"x","x",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,"x 1 off 32","sub 3 on 87 3 g 89",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2011-09-24,"Brentford","0","2","league-one","H","",3777,163,12,6,"Geoff Eltringham","Boundary Park","uu","x","x 2 off 68","x","x 1 off 58","x 3 off 75","sub 1 on 58 1","x","x",NA,"x","x",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","sub 2 on 68 2",NA,"sub 3 on 75 3 y",NA,NA,NA,NA,NA,NA,NA
"16",2011-10-01,"Exeter City","0","2","league-one","A","",3753,168,13,23,"Iain Williamson","St James Park","uu","x 1 off 61","x","x","x 2 off 68","x","sub 2 on 68 2","x y","x",NA,"x","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"uu","sub 1 on 61 1",NA,"x",NA,NA,NA,NA,NA,NA,NA
"17",2011-10-04,"Scunthorpe United","1","0","efl-trophy","A","",2106,114,NA,NA,"Carl Boyeson","Glanford Park","uu","x 3 g 26 off 76","x","x",NA,"x y","x 2 off 70","x","x",NA,"x","x",NA,NA,"x",NA,NA,NA,NA,NA,"sub 2 on 70 2",NA,NA,NA,"uu",NA,"sub 1 on 6 1 y","sub 3 on 76 3",NA,"x 1 off 6",NA,NA,NA,NA,NA,NA,NA
"18",2011-10-10,"Milton Keynes Dons","2","1","league-one","H","",2408,92,12,4,"Nigel Miller","Boundary Park","uu","x g 43","x","x","x 3 off 89","x","sub 1 on 26 1","x","x 1 off 26","sub 3 on 89 3","x y","x",NA,"sub 2 on 88 2","x g 56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 2 off 88","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2011-10-15,"Tranmere Rovers","0","1","league-one","A","",5117,887,13,11,"Craig Pawson","Prenton Park","uu","x y","x",NA,"x 2 off 70","x","x y","x",NA,"sub 1 on 62 1","x y","x","uu","x","x 1 off 62",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"x","sub 2 on 70 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2011-10-22,"Wycombe Wanderers","2","0","league-one","H","",3592,200,12,20,"David Webb","Boundary Park","uu","x","x",NA,"x","x g 59","x 1 off 85","x",NA,"x g 80","x","x","uu","x","uu","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","sub 1 on 85 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2011-10-25,"Preston North End","3","3","league-one","A","",11370,1305,12,9,"Scott Mathieson","Deepdale","uu","x 1 g 41 off 66","x y","uu","x","x g 44 86",NA,"x",NA,"x","x","x","uu","x","x y",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,"x","sub 1 on 66 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2011-10-29,"Carlisle United","3","3","league-one","A","",4803,528,14,9,"Andy Haines","Brunton Park","uu","x g pen 22 38","x","uu","x y","x 1 off 52 y","sub 1 on 52 1","x",NA,"x y","x","x","uu","x y","x g 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2011-11-05,"Bury","0","2","league-one","H","",5149,1050,14,15,"Paul Tierney","Boundary Park","sub 1 on 11 1","x","x","x","x",NA,NA,"x",NA,"x y","x","x red@10","uu","uu","x 2 off 68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","sub 2 on 68 2",NA,NA,"x 1 off 11",NA,NA,NA,NA,NA,NA
"24",2011-11-08,"Crewe Alexandra","3","1","efl-trophy","H","",2163,193,NA,NA,"Graham Salisbury","Boundary Park","x","x 2 g 12 59 off 78","uu","x","x 3 off 85",NA,"sub 1 on 74 1","x",NA,"x","x",NA,"x","x y","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 78 2",NA,NA,"x 1 g 72 off 74","sub 3 on 85 3",NA,"uu",NA,NA,NA
"25",2011-11-12,"Burton Albion","3","1","fa-cup","H","",3102,479,NA,NA,"Michael Naylor","Boundary Park","uu","x g pen 4",NA,"x","x 3 g 13 off 84","x","sub 2 on 73 2","x y",NA,"x g 35","x","x","sub 1 on 64 1","x","sub 3 on 84 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"x 1 off 64 y","uu",NA,NA,"x 2 off 73","uu",NA,NA,NA,NA,NA
"26",2011-11-19,"Chesterfield","5","2","league-one","H","",3699,262,12,24,"Robert Lewis","Boundary Park","uu","x g 58","uu","x","x 3 g 12 17 33 off 77","x","sub 1 on 63 1","x",NA,"x 2 off 72 y","x g 3","x","x","x","sub 2 on 72 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 77 3",NA,NA,"x 1 off 63",NA,NA,NA,NA,NA,NA
"27",2011-11-26,"AFC Bournemouth","0","0","league-one","A","",5478,268,13,15,"Andy D'Urso","Vitality Stadium",NA,"x","uu","x","x 3 off 84","x","sub 2 on 66 2 y","x 1 off 20",NA,"x","x","x","x","x","sub 1 on 20 1",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 84 3",NA,NA,"x 2 off 66",NA,NA,NA,NA,NA,NA
"28",2011-12-03,"Southend United","1","1","fa-cup","A","",4613,347,NA,NA,"David Webb","Roots Hall",NA,"x y","sub 1 on 15 1","x 1 off 15","x","x g 39","sub 2 on 71 2 y",NA,NA,"x 3 off 75 y","x","x","x","x","x",NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA,"uu","sub 3 on 75 3",NA,NA,"x 2 off 71","uu",NA,NA,NA,NA,NA
"29",2011-12-06,"Bradford City","2","0","efl-trophy","H","",5697,2560,NA,NA,"C Webster","Boundary Park",NA,"x g 80","x y",NA,"x","x y","uu",NA,NA,NA,"x y","x","x","x","x g 61",NA,"uu",NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA,"uu",NA,NA,"x","uu",NA,NA,NA,NA,NA
"30",2011-12-10,"Sheffield Wednesday","0","2","league-one","H","",7060,3478,16,2,"Kevin Friend","Boundary Park",NA,"x y",NA,"x","x",NA,"sub 2 on 69 2",NA,NA,"x","x","x","x","x 1 off 61","x 3 off 75",NA,"uu",NA,NA,"x 2 off 69 y",NA,NA,NA,NA,"sub 1 on 61 1",NA,NA,"sub 3 on 75 3",NA,NA,"x","uu",NA,NA,NA,NA,NA
"31",2011-12-13,"Southend United","1","0","fa-cup","H","",4207,249,NA,NA,"Gary Sutton","Boundary Park",NA,"x","x","x",NA,"x y","sub 2 on 80 2","x g 58",NA,"x","x","x","x",NA,"x 1 off 79",NA,"uu",NA,NA,"sub 1 on 79 1",NA,NA,NA,"uu","uu",NA,"uu","uu",NA,NA,"x 2 off 80",NA,NA,NA,NA,NA,NA
"32",2011-12-17,"Charlton Athletic","1","1","league-one","A","",19564,309,13,1,"Lee Collins","The Valley",NA,"x","x","x",NA,"x","sub 1 on 66 1 g 84","x",NA,"x",NA,"x",NA,NA,"x 1 off 66 y",NA,"uu",NA,NA,"x",NA,NA,NA,"uu","uu",NA,"x","sub 2 on 66 2",NA,NA,"x 2 off 66",NA,NA,NA,NA,NA,NA
"33",2011-12-26,"Hartlepool United","0","1","league-one","H","",4459,429,14,12,"Christopher Sarginson","Boundary Park",NA,"x","x","x",NA,"x 1 off 8","x","x",NA,"x",NA,"x","uu",NA,"sub 1 on 8 1",NA,"uu",NA,NA,"x",NA,NA,NA,NA,"uu",NA,"x","sub 2 on 65 2",NA,NA,"x 2 off 65",NA,NA,NA,NA,NA,NA
"34",2011-12-31,"Notts County","3","2","league-one","H","",3623,349,NA,NA,"Mark Heywood","Boundary Park",NA,"x y","uu","x g 86",NA,NA,"sub 1 on 64 1 g 70","x",NA,"x","x","x","x","x","x",NA,"uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,"x 1 g 27 off 64","uu",NA,NA,NA,NA,NA
"35",2012-01-02,"Chesterfield","1","1","league-one","A","",6723,989,16,24,"Darren Deadman","Proact Stadium",NA,"sub 2 on 65 2","x","x","x 3 off 87",NA,"x 1 off 60","x",NA,"x","x","x","x","uu","x",NA,"uu",NA,NA,"sub 1 on 60 1",NA,NA,NA,NA,NA,NA,NA,"x 2 g 45 off 65",NA,NA,"sub 3 on 87 3",NA,NA,NA,NA,NA,NA
"36",2012-01-06,"Liverpool","1","5","fa-cup","A","",44556,6132,NA,NA,"Neil Swarbrick","Anfield",NA,"x",NA,"x","x 3 g 28 off 74","x 2 off 74","sub 2 on 74 2","x",NA,"x","x","x","uu","x","x y",NA,"uu",NA,NA,"sub 1 on 54 1",NA,NA,NA,NA,"uu",NA,NA,"sub 3 on 74 3",NA,NA,"x 1 off 54","uu",NA,NA,NA,NA,NA
"37",2012-01-14,"Huddersfield Town","0","1","league-one","A","",15229,1987,17,2,"Geoff Eltringham","John Smith's Stadium",NA,"x",NA,"x",NA,"x","uu","x",NA,"x","x","x","uu","x","x",NA,"uu",NA,NA,"x 1 off 89",NA,NA,NA,NA,"uu",NA,NA,"sub 1 on 89 1",NA,NA,"x y",NA,NA,NA,NA,NA,NA
"38",2012-01-18,"Chesterfield","1","2","efl-trophy","A","",5724,1243,NA,NA,"Phil Gibbs","Proact Stadium",NA,"x 2 off 76",NA,NA,"x g 58","x","sub 1 on 55 1","x",NA,NA,"x","x","uu","x","x",NA,"uu",NA,NA,"x",NA,NA,NA,NA,"x",NA,"uu","sub 2 on 76 2",NA,NA,"x 1 off 55",NA,NA,NA,NA,NA,NA
"39",2012-01-21,"Exeter City","0","0","league-one","H","",3587,168,17,18,"Andy Madley","Boundary Park",NA,"x 3 off 75",NA,NA,"x 2 off 57","x 1 off 36","x","x",NA,NA,"x","x","x","x","x",NA,"uu",NA,NA,"sub 1 on 36 1",NA,NA,NA,NA,"x",NA,"uu","sub 3 on 75 3",NA,NA,"sub 2 on 57 2",NA,NA,NA,NA,NA,NA
"40",2012-01-30,"Chesterfield","0","1","efl-trophy","H","",5622,937,NA,NA,"Roger East","Boundary Park",NA,"x",NA,"x 1 off 46","x y","x 3 off 81","x 2 off 71","x",NA,NA,"x","x","x","x","x",NA,"uu",NA,"sub 2 on 71 2","uu",NA,NA,NA,NA,"sub 1 on 46 1",NA,NA,"sub 3 on 81 3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2012-02-14,"Walsall","2","1","league-one","H","",2583,101,17,22,"Andy Woolmer","Boundary Park",NA,"x 1 off 82 y",NA,NA,"x g 31 y",NA,"x g 2","x",NA,NA,"x","x","x","x","x",NA,"uu",NA,"x","sub 1 on 82 1",NA,NA,NA,"uu","x",NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2012-02-18,"Milton Keynes Dons","0","5","league-one","A","",7817,215,19,5,"Brendan Malone","Stadium:mk",NA,"x",NA,"sub 1 on 41 1 y","x y",NA,"x","x",NA,NA,"x","x","x 1 off 41","x","x 3 off 67",NA,"uu",NA,"x 2 off 54","sub 2 on 54 2",NA,NA,NA,"uu","x",NA,NA,"sub 3 on 67 3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2012-02-25,"Tranmere Rovers","1","0","league-one","H","",3866,582,16,17,"Darren Sheldrake","Boundary Park",NA,"x g pen 48",NA,"uu","x",NA,"x 1 off 87","x","uu",NA,"x","x",NA,"x","x",NA,"uu",NA,"sub 1 on 87 1",NA,NA,NA,NA,"x","x",NA,"x","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2012-02-28,"Colchester United","1","1","league-one","H","",3956,61,15,14,"Oliver Langford","Boundary Park",NA,"x",NA,"uu","x",NA,"x",NA,"uu",NA,"x","x",NA,"x","x",NA,"uu",NA,"x 1 g 37 off 69 y",NA,NA,NA,NA,"x","x","uu","x","sub 1 on 69 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2012-03-03,"Sheffield United","3","2","league-one","A","",17267,962,15,2,"Jonathan Moss","Bramall Lane",NA,"x g pen 90",NA,"uu",NA,NA,"x 2 off 73","x y","sub 2 on 73 2",NA,"x g 69","x",NA,"x","x",NA,"uu",NA,"sub 1 on 46 1",NA,NA,NA,"x y","x 1 off 46","x",NA,"x","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2012-03-06,"Scunthorpe United","1","2","league-one","H","",4376,224,15,17,"James Adcock","Boundary Park",NA,"x",NA,"uu",NA,NA,"x g 78","x 1 off 74","sub 1 on 74 1",NA,"x","x",NA,"x","x",NA,"uu",NA,"x red@87",NA,NA,NA,"x y",NA,"x",NA,"x 2 off 81","sub 2 on 81 2",NA,NA,NA,NA,NA,NA,"uu",NA,NA
"47",2012-03-10,"Yeovil Town","1","2","league-one","H","",4689,180,16,13,"Jock Waugh","Boundary Park",NA,"x 2 off 79 y",NA,"x g 55",NA,NA,"x","x 3 off 87","x",NA,"x","x",NA,"uu","x",NA,"uu",NA,NA,NA,NA,NA,"x 1 off 69","sub 3 on 87 3","x",NA,"x","sub 2 on 79 2",NA,NA,NA,NA,NA,NA,"sub 1 on 69 1",NA,NA
"48",2012-03-13,"Stevenage","0","1","league-one","A","",2453,191,18,8,"Fred Graham","Lamex Stadium",NA,"x",NA,"x 1 off 14",NA,NA,"x","x","x 2 off 82",NA,"x","x",NA,"x","x",NA,"uu",NA,NA,NA,NA,NA,"x","uu","sub 1 on 14 1",NA,"uu","sub 2 on 82 2",NA,NA,NA,NA,NA,NA,"x",NA,NA
"49",2012-03-17,"Rochdale","2","3","league-one","A","",4671,1957,19,23,"Graham Salisbury","Spotland",NA,"x g 21",NA,NA,NA,NA,NA,"x y","sub 2 on 67 2 g 74",NA,"x","x",NA,"x y","x",NA,"uu",NA,NA,NA,"uu",NA,"x","sub 3 on 80 3","x y red@90","sub 1 on 67 1","x 1 off 67",NA,NA,NA,NA,NA,"x 2 off 67",NA,"x 3 off 80",NA,NA
"50",2012-03-20,"Hartlepool United","1","0","league-one","A","",4109,68,16,10,"C Webster","Victoria Park",NA,"x",NA,NA,NA,NA,NA,"x","x",NA,"x","x",NA,"x g 8","x",NA,"uu",NA,NA,NA,"uu",NA,"x y","uu",NA,"uu","x",NA,NA,NA,NA,NA,"x",NA,"x","uu",NA
"51",2012-03-24,"AFC Bournemouth","1","0","league-one","H","",4459,131,16,15,"Robert Madley","-",NA,"x",NA,NA,"sub 2 on 89 2",NA,NA,"x g 52","x 1 off 59",NA,"x y","x",NA,"x","x",NA,"uu",NA,NA,NA,NA,"sub 1 on 59 1","x","uu","uu",NA,NA,NA,NA,"x",NA,NA,"x 2 off 89",NA,"x",NA,NA
"52",2012-03-27,"Leyton Orient","0","1","league-one","H","",4145,73,16,17,"Carl Boyeson","Boundary Park",NA,"x",NA,NA,"sub 3 on 67 3",NA,NA,"x y","x 2 off 67",NA,"x","x 1 off 46",NA,"x","x",NA,"sub 1 on 46 1",NA,"sub 2 on 67 2",NA,NA,"uu",NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,"x 3 off 67",NA,"x",NA,"uu"
"53",2012-03-31,"Notts County","0","1","league-one","A","",6326,365,18,7,"Iain Williamson","Meadow Lane","uu","x",NA,NA,"x",NA,"sub 1 on 81 1","x",NA,"x","x",NA,NA,"x","x y",NA,"x",NA,NA,NA,NA,"x 1 off 81 y","x",NA,"uu",NA,NA,NA,NA,"x",NA,NA,"uu",NA,"uu",NA,NA
"54",2012-04-03,"Brentford","0","2","league-one","A","",4573,172,18,8,"Nigel Miller","Griffin Park","uu","x 2 off 72",NA,NA,"x y",NA,"x 3 off 88 y","x 1 off 51",NA,"x y","x",NA,NA,"x","x",NA,"x",NA,NA,NA,NA,"sub 1 on 51 1","x",NA,"uu",NA,NA,NA,NA,"x",NA,NA,"sub 2 on 72 2",NA,"sub 3 on 88 3",NA,NA
"55",2012-04-07,"Charlton Athletic","0","1","league-one","H","",3641,603,19,1,"Trevor Kettle","Boundary Park","uu","x y",NA,NA,"x y",NA,"x 3 off 84",NA,NA,"x","x",NA,NA,"x y red@41","x",NA,"x",NA,NA,NA,NA,"sub 2 on 77 2","x",NA,"sub 1 on 43 1","sub 3 on 84 3",NA,NA,NA,"x 2 off 77 y",NA,NA,"x 1 off 43",NA,"uu",NA,NA
"56",2012-04-09,"Sheffield Wednesday","0","3","league-one","A","",22232,489,19,2,"Keith Stroud","Hillsborough","uu","x 2 off 79",NA,NA,"x",NA,"x 1 off 69",NA,NA,"x","x",NA,NA,NA,"x",NA,"x",NA,"sub 1 on 69 1",NA,NA,"sub 2 on 79 2","x",NA,"x 3 off 86",NA,NA,NA,NA,"x",NA,NA,"x y",NA,"uu",NA,"sub 3 on 86 3"
"57",2012-04-14,"Wycombe Wanderers","2","2","league-one","A","",5109,278,18,20,"Steve Rushton","Adams Park",NA,"x 1 off 71",NA,NA,"x g pen 90",NA,"x 2 g 14 off 86",NA,NA,"x","x",NA,NA,NA,NA,NA,"x",NA,"sub 1 on 71 1",NA,NA,"x","x","uu","x",NA,NA,NA,NA,"x",NA,NA,"sub 2 on 86 2","uu","x",NA,"uu"
"58",2012-04-21,"Preston North End","1","1","league-one","H","",4824,1378,18,14,"Paul Tierney","Boundary Park",NA,"x 1 off 62",NA,NA,"x g 69",NA,"x y",NA,NA,"x","x",NA,NA,"x",NA,NA,"x",NA,"sub 1 on 62 1",NA,NA,"x 2 off 84","x","uu","uu",NA,NA,NA,NA,"x",NA,NA,"sub 2 on 84 2","uu","x",NA,NA
"59",2012-04-28,"Bury","0","0","league-one","A","",5111,1604,18,12,"Andy Madley","Gigg Lane",NA,NA,NA,NA,"x",NA,"sub 2 on 67 2",NA,NA,"x","x",NA,NA,"x",NA,NA,"x",NA,"x",NA,"x 2 off 67",NA,"x","sub 1 on 57 1","uu","sub 3 on 83 3",NA,NA,NA,"x",NA,NA,"x 3 off 83","uu","x 1 off 57",NA,NA
"60",2012-05-05,"Carlisle United","2","1","league-one","H","",5152,1729,18,8,"Craig Pawson","Boundary Park",NA,"x 1 off 67",NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,"x 2 off 73","sub 1 on 67 1 g 72","x","x","x g 49","sub 2 on 73 2","sub 3 on 79 3","uu",NA,"x y",NA,NA,"x 3 off 79","uu",NA,NA,NA
