"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Albert Rusnak","Charlie MacDonald","Adam Lockwood","Paul Rachubka","Terry Dunfield","Jon Stead","Cliff Byrne","Gary Harkins","James Wilson","James Wesolowski","Adam Rooney","Joel Byrom","David Worrall","James Dayton","Jonathan Grounds","Mark Oxley","John Paul Kissock","Joseph Mills","Jose Baxter","Korey Smith","Danny Philliskirk","Kirk Millar","Jonson Clarke-Harris","Genseric Kusunga","Carl Winchester","James Tarkowski","David Mellor","Cristian Montano","Luke Simpson","Anton Rodgers","Glenn Belezika","Connor Brown","Danny Gosset","Jack Truelove","Sidney Schmeltz","Edijs Joksts","Joel Coleman","Matteo Lanzoni","Tomos Clarke","Jordan Bove","John Pritchard","Michael Petrasso","Ellis Plummer","Wade Joyce","Adel Gafaiti","Rhys Turner","Danny Byrnes"
"11",2013-08-24,"Port Vale","3","1","league-one","H","",4788,1115,9,15,"Christopher Sarginson","Boundary Park",NA,NA,NA,NA,NA,NA,"sub 1 on 68 1",NA,NA,"x","x g 15 57",NA,NA,"x 3 g 77 off 89","x","x",NA,"x","sub 2 on 81 2","x","uu","uu","x 2 off 81",NA,NA,"x",NA,"x",NA,"uu",NA,"x 1 off 68 y",NA,NA,"sub 3 on 89 3",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2013-08-31,"Tranmere Rovers","0","1","league-one","H","",4792,586,14,19,"Eddie Ilderton","Boundary Park","sub 2 on 63 2",NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 63","x",NA,NA,"x 3 off 75","x","x",NA,"x",NA,"x","uu","uu","x 2 off 63",NA,NA,"x","uu","sub 3 on 75 3",NA,"sub 1 on 63 1",NA,NA,NA,NA,"x",NA,"uu","x y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2013-09-03,"Shrewsbury Town","4","1","efl-trophy","A","",1748,186,NA,NA,"Seb Stockbridge","Greenhous Meadow","x 3 off 79",NA,NA,NA,NA,NA,NA,NA,NA,"uu","x g 42",NA,NA,"uu","x","x",NA,"x",NA,"x y","x 2 g 9 26 off 78","sub 2 on 78 2","sub 3 on 79 3 y",NA,NA,"x y","sub 1 on 71 1",NA,NA,"x 1 off 71",NA,NA,NA,NA,"x g 76",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2013-09-09,"Preston North End","1","2","league-one","A","",10292,594,15,7,"Michael Naylor","Deepdale",NA,"sub 2 on 65 2",NA,"uu",NA,NA,NA,NA,NA,"x 3 off 75","x 2 off 65",NA,NA,"x","x","x",NA,"x",NA,"x","x",NA,"sub 3 on 75 3","uu",NA,"x g 83","uu","sub 1 on 65 1",NA,"uu",NA,NA,NA,NA,"x 1 off 65",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2013-09-14,"Rotherham United","2","3","league-one","A","",8306,1349,16,3,"Richard Clark","AESSEAL New York Stadium","sub 3 on 83 3","uu",NA,"uu",NA,NA,NA,NA,NA,"sub 1 on 45 1","x 2 off 66",NA,NA,NA,"x","x y",NA,"x",NA,"x","x 1 off 45",NA,"sub 2 on 66 2","x","uu",NA,"x red@41","x 3 g 44 off 83 y",NA,"uu",NA,NA,NA,NA,"x",NA,NA,"x g 53",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2013-09-21,"Crewe Alexandra","1","1","league-one","H","",4273,298,16,18,"Carl Boyeson","Boundary Park",NA,"x 3 g 54 off 75 y",NA,"uu",NA,NA,NA,NA,NA,"x","x 1 off 45",NA,NA,"x 2 off 71","x","x",NA,"x",NA,"x","sub 2 on 71 2","sub 3 on 75 3","sub 1 on 45 1",NA,"uu","x",NA,NA,NA,"uu",NA,NA,NA,NA,"x","uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2013-09-28,"Crawley Town","0","1","league-one","A","",3142,317,17,8,"Andy Davies","Broadfield Stadium",NA,"x",NA,"uu",NA,NA,NA,NA,NA,"x","sub 2 on 64 2",NA,NA,"x 3 off 72","x","x",NA,"x",NA,"x","sub 3 on 72 3","uu","x 2 off 64",NA,"uu","x y",NA,NA,NA,"x 1 off 45 y",NA,NA,NA,NA,"sub 1 on 45 1","uu",NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2013-10-05,"Leyton Orient","1","1","league-one","H","",4062,295,18,1,"Kevin Wright","Boundary Park",NA,"x g 36",NA,"uu",NA,NA,NA,NA,NA,"x","sub 1 on 64 1",NA,NA,"x 2 off 75","x","x",NA,"x",NA,"x","x 1 off 64","uu","uu","x","x","x",NA,"sub 2 on 75 2",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2013-10-08,"Preston North End","2","0","efl-trophy","A","",5987,NA,NA,NA,"Oliver Langford","Deepdale",NA,"uu",NA,"x",NA,NA,NA,NA,NA,"x g 9","x",NA,NA,"x","x","uu",NA,"x 3 off 83 y",NA,"x","x g 2",NA,NA,"x 2 off 74 y",NA,"x 1 off 56","sub 1 on 56 1","sub 3 on 83 3",NA,NA,"sub 2 on 74 2",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2013-10-19,"Carlisle United","1","0","league-one","H","",4478,603,16,18,"Mark Heywood","Boundary Park",NA,"x 1 off 15",NA,"uu",NA,NA,NA,NA,NA,"x y","x 2 g pen 26 off 89",NA,NA,"x","x","x",NA,"x",NA,"x","x","sub 1 on 15 1","sub 2 on 89 2","x y","uu","x y",NA,"uu",NA,"uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2013-10-22,"Wolverhampton Wanderers","0","2","league-one","A","",15959,500,19,3,"Mark Haywood","Molineux",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x","sub 1 on 56 1",NA,NA,"x 2 off 56","x","x",NA,"x 3 off 62",NA,"x","x","uu","sub 2 on 56 2","x","x 1 off 56","x","sub 3 on 62 3","x y",NA,"uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2013-10-26,"Swindon Town","2","1","league-one","H","",3837,293,15,9,"Jeremy Simpson","Boundary Park",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x","x",NA,NA,"x 2 off 75","x","x",NA,NA,NA,"x","x g 77","x 1 off 61","sub 1 on 61 1","x","x g 32","x y","uu","uu",NA,"uu",NA,NA,NA,NA,"sub 2 on 75 2","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2013-10-29,"Notts County","2","3","league-one","A","",3385,277,15,23,"","",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x","x g 45",NA,NA,"x 3 off 79","x","x",NA,NA,NA,"x","x","x 1 off 35","sub 1 on 35 1 g 70","x","x 2 off 71",NA,"x y","uu",NA,"sub 2 on 71 2",NA,NA,NA,NA,"sub 3 on 79 3","uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"24",2013-11-02,"Bristol City","1","1","league-one","A","",11352,345,16,23,"Andy Madley","Ashton Gate",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x 3 off 88","x 1 off 70",NA,NA,"x 2 g 77 off 83","x","x",NA,NA,NA,"x","x","uu","x y","x","uu","x y","x","sub 1 on 70 1",NA,"sub 3 on 88 3",NA,NA,NA,NA,"sub 2 on 83 2","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2013-11-09,"Wolverhampton Wanderers","1","1","fa-cup","H","",3916,831,NA,NA,"Geoff Eltringham","Boundary Park",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x y","x",NA,NA,"x","x","x",NA,NA,NA,"x","x 1 off 72","sub 2 on 80 2","x 2 off 80","x g 2","uu","x","x","sub 1 on 72 1",NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"26",2013-11-12,"Notts County","5","1","efl-trophy","H","",2646,126,NA,NA,"Andy Haines","Boundary Park",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"uu",NA,NA,"x g 67","x y","uu",NA,"x",NA,"x","x g pen 45 84",NA,"x g 90","x 1 off 71",NA,"x g 30",NA,"x 2 off 76 y",NA,"x 3 off 85",NA,"sub 1 on 71 1",NA,NA,"sub 2 on 76 2",NA,NA,NA,NA,"sub 3 on 85 3 red@89",NA,NA,NA,NA,NA,NA,NA
"27",2013-11-19,"Wolverhampton Wanderers","2","1","fa-cup","A","",4226,NA,NA,NA,"Keith Stroud","Molineux",NA,"uu",NA,"uu",NA,NA,NA,NA,NA,"x","sub 2 on 67 2 g 73",NA,NA,"x y",NA,"x",NA,NA,NA,"x","x g 21",NA,"x 2 off 67","x",NA,"x","x 3 off 75","x 1 off 62",NA,"x y",NA,NA,NA,NA,"sub 1 on 62 1 y",NA,NA,"sub 3 on 75 3",NA,"uu","uu",NA,NA,NA,NA,NA,NA
"28",2013-11-23,"Gillingham","1","0","league-one","A","",6025,282,15,16,"Graham Scott","Priestfield Stadium",NA,"sub 3 on 74 3",NA,"uu",NA,NA,NA,NA,NA,"x","sub 2 on 74 2",NA,NA,"x y","x","x y",NA,"x",NA,"x y","x 2 off 74",NA,"x 3 off 74","x red@86","uu","x",NA,NA,NA,"uu",NA,NA,NA,NA,"sub 1 on 60 1",NA,NA,"uu",NA,NA,NA,"x 1 g 57 off 60",NA,NA,NA,NA,NA
"29",2013-11-26,"Shrewsbury Town","2","1","league-one","A","",4563,286,14,18,"James Adcock","Greenhous Meadow",NA,"x g 44",NA,"uu",NA,NA,NA,NA,NA,"sub 2 on 60 2","uu",NA,NA,"x 3 off 67","x","x",NA,NA,NA,"x","x g 76",NA,"sub 1 on 34 1",NA,"uu","x","x",NA,NA,"x 2 off 60","uu",NA,NA,NA,"sub 3 on 67 3",NA,NA,"x",NA,NA,NA,"x 1 off 34",NA,NA,NA,NA,NA
"30",2013-12-01,"Bradford City","1","1","league-one","H","",7180,2742,NA,NA,"David Webb","Boundary Park",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x","sub 1 on 63 1",NA,NA,"x 1 off 63","x","x",NA,NA,NA,"x","x",NA,"x g 23",NA,"uu","x","sub 2 on 64 2",NA,NA,"uu","uu",NA,NA,NA,"x 3 off 73",NA,NA,"x",NA,NA,NA,"sub 3 on 73 3","x 2 off 64 y",NA,NA,NA,NA
"31",2013-12-07,"Mansfield Town","1","1","fa-cup","H","",3429,379,NA,NA,"Iain Williamson","Boundary Park",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,"x",NA,NA,"x 2 off 57","x","x",NA,NA,NA,"x g 28 y","x",NA,"sub 2 on 57 2",NA,"uu","x","uu",NA,NA,"x","uu","uu",NA,NA,"x 1 off 57",NA,NA,"x",NA,NA,NA,"sub 1 on 57 1","x",NA,NA,NA,NA
"32",2013-12-10,"Chesterfield","1","1","efl-trophy","H","",3534,376,NA,NA,"Kevin Wright","Boundary Park",NA,NA,NA,"x",NA,NA,NA,NA,NA,"x 2 off 86 y","sub 1 on 81 1",NA,NA,NA,"x","uu",NA,NA,NA,"x","x g 21",NA,"x","x","uu","x","x",NA,NA,"sub 2 on 86 2",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"x 1 off 81","uu",NA,NA,NA,NA
"33",2013-12-14,"Brentford","0","1","league-one","A","",6594,421,16,3,"Carl Berry","Griffin Park",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x y","sub 1 on 70 1",NA,NA,NA,"x","x",NA,NA,NA,"x","x",NA,"x 2 off 70","x","uu","x","x 1 off 27",NA,NA,"uu",NA,"uu",NA,NA,"sub 2 on 88 2",NA,NA,"uu",NA,NA,NA,"x","x y",NA,NA,NA,NA
"34",2013-12-17,"Mansfield Town","4","1","fa-cup","A","",2836,NA,NA,NA,"Seb Stockbridge","Field Mill",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x 1 off 24","x g pen 81",NA,NA,NA,"x","x",NA,NA,NA,"x 3 off 82","x g 57","uu","x g 62 y","x 2 off 45","sub 1 on 24 1","x","x",NA,NA,"sub 3 on 82 3",NA,"uu",NA,NA,NA,NA,NA,"sub 2 on 45 2 g 75",NA,NA,NA,"x","uu",NA,NA,NA,NA
"35",2013-12-21,"Colchester United","0","2","league-one","H","",4036,110,18,16,"Tony Harrington","Boundary Park",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,"x 3 off 79",NA,NA,NA,"x","x",NA,NA,NA,"x","x y","sub 2 on 45 2",NA,NA,"x 2 off 45","x","x",NA,NA,"uu",NA,"sub 1 on 45 1","uu",NA,NA,NA,NA,"x",NA,NA,"sub 3 on 79 3","x","x 1 off 45","uu",NA,NA,NA
"36",2013-12-26,"Sheffield United","1","1","league-one","A","",19551,1088,17,20,"Mark Brown","Bramall Lane",NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,"sub 1 on 88 1","x g 6","x","uu","x y","x",NA,NA,"uu",NA,"x",NA,NA,"uu",NA,NA,"x y",NA,NA,NA,"x 1 off 88","uu",NA,NA,NA,NA
"37",2013-12-29,"Coventry City","1","1","league-one","A","",3347,524,18,5,"Dean Whitestone","Ricoh Arena",NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA,"x","x y",NA,NA,NA,"x",NA,"sub 2 on 80 2","x g 45","x","x 2 off 80 y","x","sub 1 on 45 1 y",NA,NA,"uu",NA,"x",NA,NA,"uu",NA,NA,"x 1 off 45",NA,NA,NA,"x","uu",NA,NA,NA,NA
"38",2014-01-01,"Shrewsbury Town","1","2","league-one","H","",3669,292,19,15,"Scott Duncan","Boundary Park",NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"x 2 off 71",NA,NA,"x 1 off 71","x g 35","x",NA,NA,NA,"x",NA,"sub 2 on 71 2","x","x 3 off 75","uu","x","x",NA,NA,"sub 3 on 75 3",NA,"x",NA,NA,"sub 1 on 71 1",NA,NA,NA,NA,NA,NA,"x","uu",NA,NA,NA,NA
"39",2014-01-05,"Liverpool","0","2","fa-cup","A","",44102,NA,NA,NA,"Stuart Attwell","Anfield",NA,NA,"uu","uu",NA,NA,NA,"sub 2 on 62 2",NA,"x","x 2 off 62",NA,NA,"sub 1 on 61 1 y","x","x",NA,NA,NA,"x y","x",NA,"x 1 off 61","x y","uu","x","x 3 off 84",NA,NA,"sub 3 on 84 3",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA
"40",2014-01-11,"Stevenage","1","0","league-one","H","",3460,90,16,24,"Steve Rushton","Boundary Park",NA,"sub 3 on 89 3","uu","uu",NA,NA,NA,"x 1 off 74",NA,"x g 13","sub 2 on 89 2",NA,NA,"sub 1 on 74 1","x","x y",NA,NA,NA,"x","x",NA,"x 3 off 89","x",NA,"x","x",NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 2 off 89",NA,NA,NA,NA,NA
"41",2014-01-14,"Walsall","0","1","league-one","A","",3522,182,16,7,"Fred Graham","Banks's Stadium",NA,"x 2 off 67","uu","uu",NA,NA,NA,"sub 2 on 67 2",NA,"x","sub 3 on 80 3",NA,NA,"x","x y","x",NA,NA,NA,"x","x 3 off 80",NA,"sub 1 on 66 1 y","x y",NA,"x","x",NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 66",NA,NA,NA,NA,NA
"42",2014-01-18,"Port Vale","0","1","league-one","A","",6002,594,17,9,"Gary Sutton","Vale Park",NA,"x 2 off 71","uu","uu",NA,NA,NA,"x",NA,"x","uu",NA,"sub 3 on 72 3","x 3 off 72","x","x",NA,NA,NA,"x","x 1 off 71",NA,"sub 2 on 71 2","x","uu","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 71 1",NA,NA,NA,NA,NA
"43",2014-01-25,"Peterborough United","5","4","league-one","H","",3571,273,16,7,"Richard Clark","Boundary Park",NA,"x","uu","uu",NA,NA,NA,"x g 48 pen 89",NA,"x g 68",NA,NA,"x g 54","x 1 off 34","x","x",NA,NA,NA,"x","x 2 off 34",NA,"sub 2 on 34 2","x g 90 y","uu","x","uu",NA,NA,"uu",NA,"sub 1 on 34 1 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2014-01-28,"Wolverhampton Wanderers","0","3","league-one","H","",4343,1058,16,3,"Graham Salisbury","Boundary Park",NA,"x 2 off 70","sub 1 on 55 1","uu",NA,NA,NA,"x y",NA,"x y",NA,NA,NA,"x 3 off 79 y","x","x",NA,NA,NA,"x","sub 2 on 70 2","uu","x","x 1 off 55","sub 3 on 79 3","x","uu",NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2014-02-01,"Swindon Town","1","0","league-one","A","",7391,198,15,9,"Tim Robinson","The County Ground",NA,NA,"x","uu",NA,"sub 1 on 64 1",NA,"x","x","x",NA,NA,"x 2 off 89 y","uu","x g 73","x","sub 2 on 89 2",NA,NA,"x","x","uu","x 1 off 64",NA,NA,NA,"uu",NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2014-02-08,"Bristol City","1","1","league-one","H","",3822,292,14,22,"Darren Deadman","Boundary Park",NA,"sub 3 on 84 3","x","uu",NA,"x 3 off 84 y",NA,"x","x y","x 1 off 62",NA,NA,"x 2 off 67","uu","x","x","uu",NA,NA,"x","x g 5",NA,"sub 2 on 67 2","uu",NA,NA,"sub 1 on 62 1",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2014-02-15,"Milton Keynes Dons","1","2","league-one","A","",7385,355,15,11,"Christopher Sarginson","Stadium:mk",NA,"sub 3 on 80 3","x g 37","uu",NA,"x 2 off 68",NA,"x 1 off 68","x","x",NA,NA,"x","x 3 off 80","x","x","uu",NA,NA,NA,"x",NA,"sub 2 on 68 2","x y red@66","uu",NA,NA,NA,NA,NA,NA,"sub 1 on 68 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA
"48",2014-02-22,"Gillingham","1","0","league-one","H","",3714,230,14,13,"Mick Russell","Boundary Park",NA,"sub 3 on 81 3","x","uu","sub 1 on 74 1","x",NA,"x g 33","x","x y",NA,NA,"x","sub 2 on 75 2","x","x","uu",NA,NA,NA,"x 3 off 81",NA,NA,NA,"x 1 off 74",NA,"uu",NA,NA,NA,NA,"x 2 off 75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA
"49",2014-02-25,"Milton Keynes Dons","1","2","league-one","H","",2792,54,15,10,"Nigel Miller","Boundary Park",NA,"x g 57","x","uu","x 1 off 45","x 3 off 45",NA,"x","x","x",NA,NA,"uu","sub 2 on 45 2","x","x",NA,NA,NA,NA,"x 2 off 45",NA,"sub 3 on 45 3",NA,"sub 1 on 45 1",NA,"uu",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA
"50",2014-03-01,"Tranmere Rovers","2","2","league-one","A","",5061,757,15,17,"Charles Breakspear","Prenton Park",NA,"x 1 off 83","x","uu","uu","uu",NA,"x",NA,"x g 12 y",NA,NA,"x","uu","x","x",NA,NA,NA,"x","x",NA,"sub 1 on 83 1",NA,"uu",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"51",2014-03-08,"Preston North End","1","3","league-one","H","",6698,2922,18,4,"Stephen Martin","Boundary Park",NA,"x 3 off 80","x","uu","uu",NA,NA,"x g 75 y","uu","x",NA,NA,"x 2 off 79 y",NA,"x","x","sub 2 on 79 2",NA,NA,"x","x 1 off 58",NA,"sub 1 on 58 1 red@78",NA,"uu",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 80 3",NA
"52",2014-03-11,"Rotherham United","0","2","league-one","H","",3745,1119,18,5,"Darren Bond","Boundary Park",NA,"x 3 off 85","x","uu","uu",NA,NA,"x","x","x",NA,NA,NA,NA,"x","x","x 1 off 58",NA,NA,"x","sub 2 on 58 2","sub 3 on 85 3",NA,NA,"sub 1 on 58 1",NA,"x y",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 2 off 58","uu"
"53",2014-03-15,"Crewe Alexandra","1","1","league-one","A","",5258,954,17,22,"David Phillips","-",NA,"sub 1 on 89 1","x","x","uu",NA,NA,"x g 52","x","x y",NA,"x","x","uu","x","uu",NA,NA,NA,NA,"x",NA,"x 1 off 89",NA,NA,NA,"uu",NA,NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","uu",NA
"54",2014-03-22,"Crawley Town","1","0","league-one","H","",3389,81,18,13,"Mark Heywood","Boundary Park",NA,"sub 2 on 79 2","x","x","uu",NA,NA,"x","x","x",NA,NA,"x 1 off 67","sub 1 on 67 1","x y","uu",NA,NA,NA,"x y","x 2 g 18 off 79","uu","x 3 off 89",NA,"uu",NA,NA,NA,NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 3 on 89 3",NA,NA
"55",2014-03-25,"Leyton Orient","1","1","league-one","A","",3645,238,17,3,"Lee Collins","Brisbane Road",NA,"sub 2 on 62 2","x y","x","uu",NA,NA,"x","x","x 1 off 62",NA,NA,"x 3 off 77","sub 1 on 62 1","x","uu",NA,NA,NA,"x g 90","x","sub 3 on 77 3","x 2 off 62",NA,"uu",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA
"56",2014-03-29,"Brentford","0","0","league-one","H","",4087,532,17,2,"Scott Duncan","Boundary Park",NA,"sub 2 on 70 2","x","x","uu",NA,NA,"x","x","x",NA,NA,"x 1 off 58","sub 1 on 58 1","x y",NA,NA,NA,NA,"x","x","uu","x 2 off 70",NA,"uu",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA
