"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Lee Duxbury","Shaun Garnett","Richard Graham","Andy Gray","Doug Hodgson","Gary Kelly","Adrian Littlejohn","Paul Mardon","John McGinlay","Scott McNiven","Toddy Orlygsson","Paul Reid","Paul Rickers","Andy Ritchie","John Sheridan","Lee Sinnott","Nicky Spooner","Stuart Thom","Steve Whitehall","David McNiven","Andy Holt","Mark Allott","Ian McLean","Lee Clitheroe","Mark Innes","Philip Salt","David Miskelly","Matthew Tipton","Mark Hotte","Paul Beavers","Iain Swan","Danny Walsh","Ryan Sugden"
"11",1998-09-19,"Preston North End","0","1","league-division-2","H","",8205,NA,19,2,"D Laws","-","x",NA,"x",NA,NA,"x","x 2 off 79",NA,NA,"x","x","x","x",NA,NA,"uu",NA,NA,"sub 1 on 68 1","sub 2 on 79 2","x","x",NA,NA,NA,"x 1 off 68",NA,NA,NA,NA,NA,NA,NA
"12",1998-09-26,"AFC Bournemouth","0","2","league-division-2","A","",5877,NA,21,3,"G Stretton","Dean Court","x y",NA,"x",NA,NA,"x","x 1 off 66",NA,NA,"x",NA,"x","x",NA,NA,"x",NA,NA,"x","sub 2 on 77 2","x","x 2 off 77",NA,NA,NA,"uu",NA,"sub 1 on 66 1",NA,NA,NA,NA,NA
"13",1998-10-03,"Colchester United","1","0","league-division-2","H","",4231,NA,19,12,"B Coddington","Boundary Park","x y",NA,"x y",NA,"sub 3 on 85 3","x","sub 1 on 15 1 y",NA,NA,"x",NA,"x","x g 20","sub 2 on 66 2",NA,"x y",NA,NA,"x 1 off 15",NA,"x","x 2 off 66",NA,NA,NA,NA,NA,"x 3 off 85",NA,NA,NA,NA,NA
"14",1998-10-09,"Wigan Athletic","2","3","league-division-2","H","",5499,NA,20,10,"P R Richards","Boundary Park","x 1 off 12","sub 3 on 75 3","x g 48",NA,NA,"x","x",NA,NA,"x","sub 1 on 12 1","x","x",NA,NA,"x",NA,NA,NA,NA,"x 3 off 75 y","sub 2 on 69 2 g 90",NA,"x",NA,NA,NA,"x 2 off 69",NA,NA,NA,NA,NA
"15",1998-10-17,"Luton Town","0","2","league-division-2","A","",5447,NA,21,4,"R Olivier","Kenilworth Road",NA,"x",NA,NA,NA,"x","x 2 off 82 y",NA,NA,"x red@71","x","x y","x",NA,NA,"x",NA,"x",NA,"sub 2 on 82 2","sub 1 on 79 1","x","x 1 off 79",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"16",1998-10-20,"Burnley","0","1","league-division-2","A","",9539,NA,22,15,"G B Frankland","Turf Moor",NA,"x",NA,NA,NA,"x","x y",NA,NA,"x","x y","x","x",NA,NA,"x",NA,"x y",NA,"uu","uu","x 1 off 78","x",NA,NA,NA,NA,"sub 1 on 78 1",NA,NA,NA,NA,NA
"17",1998-10-24,"Wycombe Wanderers","0","0","league-division-2","H","",4337,NA,22,24,"M D Messias","Boundary Park",NA,"x 1 off 40",NA,NA,NA,"x","sub 2 on 70 2",NA,"x 2 off 70","x","x",NA,"x",NA,"x","x",NA,"x",NA,NA,"sub 1 on 40 1","x 3 off 81","x",NA,NA,NA,NA,"sub 3 on 81 3",NA,NA,NA,NA,NA
"18",1998-10-31,"Millwall","1","1","league-division-2","A","",5609,NA,22,9,"P Walton","The Den",NA,"x y",NA,NA,NA,"x","sub 2 on 82 2",NA,"x 2 g 13 off 82",NA,"x",NA,"x",NA,"x","x","x y red@49","x","x",NA,"sub 1 on 65 1",NA,"x 1 off 65",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"19",1998-11-07,"Manchester City","0","3","league-division-2","H","",12976,NA,22,5,"Scott Mathieson","Boundary Park","x","x y",NA,NA,NA,"x","sub 1 on 45 1",NA,"x",NA,NA,NA,"x",NA,"x y",NA,"x 2 off 71","x","x 3 off 81","sub 3 on 81 3","x","sub 2 on 71 2","x 1 off 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1998-11-10,"Gillingham","1","2","league-division-2","A","",5188,NA,23,5,"D R Crick","Priestfield Stadium","x","x",NA,NA,NA,"x",NA,NA,"x",NA,NA,"x","x",NA,"x",NA,"uu","x 1 off 46","x 2 g 69 off 82",NA,"x","sub 2 on 82 2",NA,NA,NA,"sub 1 on 46 1",NA,"x",NA,NA,NA,NA,NA
"21",1998-11-14,"Gillingham","2","0","fa-cup","H","",3173,NA,NA,NA,"A G Wiley","Boundary Park","x","x",NA,NA,NA,"x",NA,NA,NA,"x g 37",NA,"x","x","sub 1 on 74 1","x",NA,NA,NA,"x 1 off 74",NA,"x","sub 2 on 86 2","uu",NA,"uu","x g 33",NA,"x 2 off 86",NA,NA,"uu",NA,NA
"22",1998-11-21,"Wrexham","3","2","league-division-2","H","",4446,NA,22,17,"Chris Foy","Boundary Park","x","x y",NA,NA,NA,"x",NA,NA,"sub 1 on 66 1","x g 81",NA,"x","x",NA,"x",NA,NA,NA,"x 1 g 26 off 66",NA,"x y","sub 2 on 80 2",NA,NA,NA,"x 2 off 80",NA,"x g 88",NA,NA,"uu",NA,NA
"23",1998-11-28,"Bristol Rovers","2","2","league-division-2","A","",5614,NA,22,16,"M J Brandwood","-","x","x",NA,NA,NA,"x",NA,NA,NA,"x",NA,"x","x g 6",NA,"x g 81","sub 1 on 67 1",NA,NA,"x",NA,"x 1 off 67 y","x",NA,NA,"uu","uu",NA,"x",NA,NA,NA,NA,NA
"24",1998-12-05,"Brentford","1","1","fa-cup","H","",4217,NA,NA,NA,"A B Wilkie","Boundary Park","x","x y","x 1 off 51",NA,NA,"x",NA,NA,"sub 2 on 61 2 g pen 74","x",NA,"x","x",NA,"x","uu",NA,"uu","x",NA,"x","sub 1 on 51 1",NA,NA,NA,NA,"uu","x 2 off 61",NA,NA,NA,NA,NA
"25",1998-12-08,"Darlington","0","1","auto-windscreens-shield-1st-round---northern-section","H","",2133,NA,NA,NA,"Mike Jones","Boundary Park","x 1 off 45","x",NA,NA,NA,"x",NA,NA,"x 2 off 73","x",NA,"x y","x",NA,NA,"uu",NA,"x","x",NA,"x","sub 1 on 45 1",NA,NA,NA,"x",NA,"sub 2 on 73 2",NA,NA,NA,NA,NA
"26",1998-12-12,"Walsall","0","2","league-division-2","H","",4195,NA,22,3,"Phil Dowd","Boundary Park","x","x",NA,NA,NA,"x",NA,NA,"sub 2 on 61 2","x 3 off 69",NA,"x","x",NA,"x",NA,NA,"sub 1 on 45 1","x 2 off 61",NA,"x","x 1 off 45",NA,"sub 3 on 69 3",NA,NA,NA,"x",NA,NA,NA,NA,NA
"27",1998-12-15,"Brentford","0","0","fa-cup","A","",4375,NA,NA,NA,"A B Wilkie","Griffin Park","x 3 g 72 off 98","x y","x",NA,NA,"x",NA,NA,"x g 20 y","x 1 off 70 y",NA,"x","x",NA,"x y","x 2 off 89",NA,"uu","x",NA,"sub 2 on 89 2","uu",NA,NA,NA,NA,"sub 3 on 98 3","sub 1 on 70 1",NA,NA,NA,NA,NA
"28",1998-12-19,"Reading","1","1","league-division-2","A","",9390,NA,23,9,"Keith Hill","Madejski Stadium","x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"x y","x y",NA,"x y","x",NA,"x y","x",NA,"x","sub 1 on 54 1 g 56",NA,NA,"sub 2 on 90 2",NA,"x","x 1 off 54",NA,NA,"uu",NA,NA
"29",1998-12-26,"Chesterfield","3","1","league-division-2","A","",5448,NA,22,8,"R D Furnandiz","Recreation Ground (CSF)","x","x",NA,NA,NA,"x",NA,NA,"uu","x","x y",NA,"x",NA,"x","x",NA,NA,"x 1 off 89",NA,"x g 56","x g 22 65",NA,NA,"sub 1 on 89 1",NA,NA,NA,NA,NA,"uu",NA,NA
"30",1998-12-28,"York City","0","2","league-division-2","H","",5343,NA,23,13,"M Warren","Boundary Park","x","x",NA,NA,NA,"x",NA,NA,"sub 2 on 56 2","x","x 1 off 45",NA,"x",NA,"x","x",NA,NA,"x 2 off 56",NA,"x","x",NA,NA,"sub 1 on 45 1",NA,NA,NA,NA,NA,"uu",NA,NA
"31",1999-01-02,"Chelsea","0","2","fa-cup","H","",12770,NA,NA,NA,"P A Durkin","Boundary Park","x","x 1 off 63 y",NA,NA,NA,"x",NA,NA,NA,"x y",NA,"x y","x",NA,"x",NA,NA,"x","x",NA,"x 2 off 81","x",NA,NA,"uu","uu","uu","sub 2 on 81 2",NA,NA,"sub 1 on 63 1",NA,NA
"32",1999-01-09,"Notts County","1","0","league-division-2","A","",4669,NA,21,20,"B Coddington","Meadow Lane","x",NA,NA,NA,NA,"x",NA,"x g 6 y",NA,"x y",NA,"x y","x",NA,"x 1 off 61","sub 1 on 61 1",NA,"x","x 2 off 78",NA,"x","x",NA,NA,NA,"uu",NA,"sub 2 on 78 2",NA,NA,NA,NA,NA
"33",1999-01-16,"Blackpool","3","0","league-division-2","H","",5353,NA,18,13,"J A Kirkby","Boundary Park","x g 57",NA,NA,NA,NA,"x",NA,"x y",NA,"x",NA,"x","x",NA,"x","uu",NA,"x","x",NA,"x g 48","x g 55",NA,NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA
"34",1999-01-26,"Fulham","0","1","league-division-2","A","",8160,NA,19,1,"Andy D'Urso","Craven Cottage","x","x",NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,"x",NA,"x",NA,NA,"x","x 1 off 86 y",NA,"x","x",NA,NA,"uu",NA,NA,"sub 1 on 86 1",NA,NA,"uu",NA,NA
"35",1999-01-30,"York City","1","0","league-division-2","A","",3760,NA,17,14,"E K Wolstenholme","Bootham Crescent","x","x",NA,NA,NA,"x",NA,NA,NA,"x",NA,"x","x",NA,"x","sub 2 on 89 2",NA,"x","x 1 off 87",NA,"x g 38 y","x 2 off 89",NA,NA,NA,"uu",NA,"sub 1 on 87 1",NA,NA,NA,NA,NA
"36",1999-02-06,"Lincoln City","2","0","league-division-2","H","",5220,NA,16,23,"Anthony Bates","Boundary Park","x","x",NA,NA,NA,"x",NA,"x g 81",NA,"uu",NA,"x y","x",NA,"x","uu",NA,"x g 71","x 1 off 80",NA,"x","x",NA,NA,NA,NA,NA,"sub 1 on 80 1",NA,NA,NA,NA,NA
"37",1999-02-13,"Macclesfield Town","0","1","league-division-2","A","",4038,NA,19,24,"S J Baines","-","x",NA,NA,NA,NA,"x",NA,"x",NA,"x",NA,"x","x",NA,"x","x",NA,"x","x 1 off 83",NA,NA,"x",NA,NA,"uu",NA,NA,"sub 1 on 83 1",NA,NA,"uu",NA,NA
"38",1999-02-20,"Northampton Town","0","1","league-division-2","H","",4752,NA,19,21,"G Laws","Boundary Park","x","x",NA,NA,NA,"x",NA,"x",NA,NA,"sub 2 on 77 2","x 2 off 77","x y",NA,"x","uu",NA,"x","x 1 off 58",NA,"x","x y",NA,NA,NA,NA,NA,"sub 1 on 58 1",NA,NA,NA,NA,NA
"39",1999-02-27,"Preston North End","1","2","league-division-2","A","",12965,NA,19,2,"W C Burns","Deepdale","x","x y",NA,NA,NA,"x",NA,"x g 45",NA,"x 2 off 79",NA,"x","x",NA,"x y",NA,NA,"sub 2 on 79 2","x",NA,"x","x 1 off 70",NA,NA,NA,"uu",NA,"sub 1 on 70 1",NA,NA,NA,NA,NA
"40",1999-03-06,"AFC Bournemouth","2","3","league-division-2","H","",4453,NA,20,5,"MIke Pike","Boundary Park","x g 75 y","x",NA,NA,NA,"x",NA,"x",NA,"x 1 off 46","sub 1 on 46 1","x 3 off 75","x",NA,"x",NA,NA,"sub 3 on 75 3","sub 2 on 46 2 g 47",NA,"x","x 2 off 46",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA
"41",1999-03-09,"Colchester United","2","2","league-division-2","A","",3616,NA,19,16,"Keith Hill","Layer Road","x g 75","x",NA,NA,NA,"x",NA,"x 1 off 5",NA,"sub 2 on 85 2","x y","x","x",NA,"x",NA,NA,"sub 1 on 5 1 y","x g 56",NA,"x y red@81",NA,NA,NA,NA,"uu",NA,"x 2 off 85",NA,NA,NA,NA,NA
"42",1999-03-13,"Manchester City","2","1","league-division-2","A","",30321,NA,18,6,"M J Brandwood","Maine Road","x g 56","x",NA,NA,NA,"x",NA,NA,NA,"sub 2 on 88 2","x 2 off 88","x g pen 27 y","x y",NA,"x",NA,NA,"x","x",NA,"x","sub 1 on 68 1",NA,NA,NA,NA,NA,"x 1 off 68",NA,NA,"uu",NA,NA
"43",1999-03-20,"Millwall","0","1","league-division-2","H","",4565,NA,18,11,"Mike Jones","Boundary Park","x y","x",NA,NA,NA,"x",NA,NA,NA,"sub 1 on 38 1","x 3 off 77","x","x 2 off 60",NA,"x",NA,NA,"x","x",NA,"x 1 off 38","sub 2 on 60 2",NA,NA,NA,"sub 3 on 77 3",NA,"x",NA,NA,NA,NA,NA
"44",1999-03-27,"Wycombe Wanderers","0","3","league-division-2","A","",4083,NA,18,22,"D R Crick","Causeway Stadium","x y","x 1 off 46",NA,"x",NA,"x",NA,NA,NA,NA,"x 2 off 58","x","x",NA,"x y","x",NA,NA,"x",NA,NA,"sub 1 on 46 1",NA,NA,"sub 2 on 58 2","sub 3 on 73 3",NA,NA,NA,NA,"x 3 off 73 y",NA,NA
"45",1999-04-02,"Luton Town","1","1","league-division-2","H","",4948,NA,19,13,"P S Danson","Boundary Park","x","x g 62 y",NA,"x 2 off 89",NA,"x",NA,"x y",NA,NA,NA,"x","x",NA,"x",NA,NA,NA,"sub 1 on 61 1",NA,"x","x y",NA,NA,"sub 2 on 89 2",NA,NA,"x 1 off 61","uu",NA,NA,NA,NA
"46",1999-04-05,"Wigan Athletic","0","2","league-division-2","A","",4754,NA,20,7,"A N Butler","Springfield Park",NA,"x",NA,"x 1 off 76",NA,"x",NA,"x red@85",NA,"uu",NA,"x","x",NA,"x",NA,NA,NA,"sub 1 on 76 1",NA,"x","x y",NA,NA,"x",NA,NA,"x","uu",NA,NA,NA,NA
"47",1999-04-10,"Burnley","1","1","league-division-2","H","",8542,NA,22,18,"R Pearson","Boundary Park","x y","x",NA,"x 1 off 63",NA,"x",NA,"x",NA,"x",NA,"x","sub 1 on 63 1",NA,NA,NA,NA,NA,"sub 3 on 87 3",NA,"x",NA,NA,NA,"x 2 off 86",NA,NA,"x g 37",NA,"x 3 off 87",NA,"sub 2 on 86 2",NA
"48",1999-04-13,"Bristol Rovers","2","1","league-division-2","H","",3913,NA,20,17,"K M Lynch","Boundary Park","x","x",NA,NA,NA,"x",NA,NA,NA,"x",NA,"x y","x g 65",NA,"x g 58",NA,NA,NA,"sub 1 on 46 1",NA,"x",NA,NA,NA,"x 2 off 89",NA,NA,"x 1 off 46","sub 2 on 89 2","x",NA,"uu",NA
"49",1999-04-17,"Wrexham","2","1","league-division-2","A","",3267,NA,19,16,"A R Hall","Racecourse Ground (WRX)","x","x g 40",NA,NA,NA,"x",NA,NA,NA,"x",NA,"x","x y",NA,NA,NA,NA,"sub 2 on 80 2","x 1 off 66",NA,"x g 84","sub 1 on 66 1",NA,NA,"x","x",NA,"uu",NA,"x 2 off 80",NA,NA,NA
"50",1999-04-24,"Gillingham","1","4","league-division-2","H","",5331,NA,21,5,"M D Messias","Boundary Park","x","x y",NA,NA,NA,"x",NA,NA,NA,"x",NA,"x","x 2 off 70",NA,"x",NA,NA,"sub 2 on 70 2","x 1 off 53 y",NA,"x",NA,NA,NA,"x","uu",NA,"sub 1 on 53 1",NA,"x g 33",NA,NA,NA
"51",1999-05-01,"Walsall","1","3","league-division-2","A","",9184,NA,22,2,"R Styles","Banks's Stadium","x g 56","x y",NA,NA,NA,"x",NA,NA,NA,"x 2 off 78",NA,"x y","x y",NA,"x",NA,NA,"x",NA,NA,"x","x",NA,NA,NA,"uu",NA,"sub 2 on 78 2 y",NA,"x 1 off 46",NA,NA,"sub 1 on 46 1"
"52",1999-05-04,"Stoke City","1","0","league-division-2","H","",5015,NA,20,8,"Paul Robinson","Boundary Park","x","x",NA,NA,NA,"x",NA,NA,NA,"uu",NA,"x","x",NA,"x",NA,NA,"x red@21",NA,NA,"x","x",NA,NA,"x","sub 1 on 83 1",NA,"uu",NA,"x 1 g 50 off 76 y",NA,NA,NA
"53",1999-05-08,"Reading","2","0","league-division-2","H","",7724,NA,20,11,"R D Furnandiz","Boundary Park","x","x",NA,NA,NA,"x",NA,NA,NA,"sub 2 on 75 2",NA,"x 2 off 75","x g 27",NA,"x",NA,NA,"x",NA,NA,"x","x",NA,NA,"x 1 g 5 off 19 y","sub 1 on 19 1",NA,NA,NA,"x 3 off 83",NA,NA,"sub 3 on 83 3"
