"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Joe Garner","Corry Evans","James Norwood","Sam Clucas","Dan Gardner","Jake Caprice","Liam Hogan","Charlie Raglan","Billy Waters","Tom Conlon","Jordan Rossiter","Otis Khan","Emmanuel Monthe","Mark Kitching","Tom Pett","Mathew Hudson","Josh Kay","Matthew Worthington","Mike Fondop-Talum","Reagan Ogle","Harry Charsley","Alex Reid","Shaun Hobson","Josh Lundstram","Joe Pritchard","Scott Moloney","Callum Dolan","Kian Harratt","Will Sutton","Jack Stretton","Jake Leake","Kane Drummond","Oli Hammond","Tom Donaghy","Josh Stones","Samuel Taylor","Jesurun Uchegbulam","Kai Payne","Vimal Yoganathan","Kofi Moore","Jake Dennis"
"16",2024-09-14,"Woking","3","1","national-league","A","15:00",2373,271,7,13,"Robert Massey-Ellis","Kingfield Stadium","sub 3 on 77 3",NA,"sub 1 on 45 1",NA,"x 1 off 45","x 2 off 72","uu","x",NA,"x",NA,NA,"x","x",NA,"x y",NA,NA,"x 3 g 76 off 77","x",NA,NA,"uu","x g 12",NA,"uu","uu",NA,NA,NA,NA,NA,"x",NA,NA,NA,"sub 2 on 72 2",NA,NA,NA,NA
"17",2024-09-21,"Yeovil Town","1","0","national-league","H","15:00",5441,210,6,16,"Paul Marsden","Boundary Park","sub 3 on 72 3",NA,"x 3 off 72",NA,"uu","x 1 off 53","uu","x y",NA,"x",NA,NA,"x","x y",NA,"x y",NA,NA,"x g 81","x",NA,NA,"uu","x",NA,"uu","sub 2 on 53 2",NA,NA,NA,NA,NA,"x 2 off 53",NA,NA,NA,"sub 1 on 53 1",NA,NA,NA,NA
"18",2024-09-24,"Forest Green Rovers","1","0","national-league","H","19:45",5034,77,6,3,"Jamie O'Connor","Boundary Park","sub 3 on 73 3",NA,"x 3 off 73",NA,"uu","uu","uu","x y",NA,"x",NA,"sub 1 on 54 1","x y","x",NA,"x",NA,NA,"x g 9","x",NA,NA,"x 2 off 73","x",NA,"uu","x 1 off 54",NA,NA,NA,NA,NA,"uu",NA,NA,NA,"sub 2 on 73 2",NA,NA,NA,NA
"19",2024-09-28,"Ebbsfleet United","2","1","national-league","A","15:00",1589,288,6,24,"Aaron Farmer","Stonebridge Road","x 1 off 68",NA,"sub 1 on 68 1",NA,"sub 3 on 84 3","x 2 off 77",NA,NA,NA,"x",NA,"x g 85","x","x g 48",NA,"x y",NA,NA,"x 3 off 84","x",NA,NA,"x","x",NA,"uu","uu",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"sub 2 on 77 2 y",NA,NA,NA,NA
"20",2024-10-01,"Stoke U21","2","1","national-league-cup","H","19:00",455,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2024-10-05,"Solihull Moors","2","3","national-league","H","15:00",7030,89,6,12,"Darren Drysdale","Boundary Park","x 1 off 56",NA,NA,NA,"sub 2 on 56 2","x 2 off 56 y",NA,"x y",NA,"x 4 off 68",NA,"x 3 off 56","x","x g 78 y",NA,"x",NA,NA,"x","x y","sub 4 on 68 4",NA,NA,"x g 90",NA,"uu",NA,NA,"uu","uu",NA,"sub 3 on 56 3",NA,NA,NA,NA,"sub 1 on 56 1",NA,NA,NA,NA
"22",2024-10-12,"FC Halifax Town","4","2","fa-cup","H","15:00",3246,709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2024-10-19,"Sutton United","3","1","national-league","A","15:00",3329,463,5,13,"Andrew Humphries","Borough Sports Ground",NA,NA,"sub 1 on 60 1 g 90 y",NA,"sub 5 on 89 5","sub 2 on 71 2",NA,"x g 52",NA,"x 4 off 89",NA,NA,"x","x",NA,"x","sub 3 on 76 3",NA,"x 5 g 18 off 89","x",NA,NA,NA,"x 3 off 76",NA,"uu",NA,NA,"x 2 off 71 y","sub 4 on 89 4",NA,"x 1 off 60",NA,NA,NA,NA,"uu","x",NA,NA,NA
"24",2024-10-22,"Maidenhead United","2","2","national-league","A","19:45",1223,NA,6,18,"Richard Eley","York Road",NA,NA,"sub 2 on 56 2 y",NA,"uu","sub 1 on 45 1",NA,"x g 80",NA,"x",NA,NA,"x g 44 y","x",NA,"x","sub 3 on 76 3",NA,"x y","x",NA,NA,NA,"x 3 off 76",NA,"uu",NA,NA,"x 1 off 45","uu",NA,"x 2 off 56",NA,NA,NA,NA,"uu","x",NA,NA,NA
"25",2024-10-26,"Dagenham &amp; Redbridge","1","0","national-league","H","15:00",5651,67,NA,NA,"James Westgate","Boundary Park",NA,NA,NA,NA,"sub 4 on 72 4","x 4 off 72",NA,"x",NA,"x 2 off 71",NA,"sub 3 on 71 3","x","x",NA,"x","sub 1 on 53 1 y red@90",NA,"x g 20 y","x",NA,NA,NA,"x 1 off 53",NA,"uu",NA,NA,"uu",NA,NA,"x 3 off 71","uu",NA,NA,NA,"sub 2 on 71 2 y","x",NA,NA,NA
"26",2024-11-02,"Tranmere Rovers","2","1","fa-cup","A","15:00",6464,2022,NA,NA,"Ross Martin","Prenton Park",NA,NA,"x 4 g 39 off 88","x 1 off 58","uu","x y",NA,"x",NA,"x",NA,"sub 2 on 76 2",NA,"x y",NA,"x",NA,NA,"sub 4 on 88 4","x",NA,NA,NA,"x 3 off 87",NA,"uu",NA,NA,NA,NA,NA,"x 2 off 76","sub 3 on 87 3",NA,NA,NA,"sub 1 on 58 1 g 61","x",NA,"uu",NA
"27",2024-11-06,"Wolves U21","2","2","national-league-cup","H","19:00",520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2024-11-09,"Barnet","0","0","national-league","A","15:00",2230,609,5,3,"Stuart Morland","The Hive Stadium","uu",NA,"x 2 off 57","sub 1 on 57 1 y","uu","x y",NA,"x",NA,"x",NA,NA,"x","x y",NA,"x","sub 2 on 57 2",NA,NA,"x",NA,NA,NA,"x 4 off 75",NA,"uu",NA,NA,NA,NA,NA,"x 3 off 57",NA,NA,"sub 3 on 57 3 y",NA,"sub 4 on 75 4","x 1 off 57",NA,NA,NA
"29",2024-11-16,"Tamworth","4","0","national-league","H","15:00",6345,198,4,15,"Gareth Rhodes","Boundary Park","uu",NA,"x 4 g 15 pen 37 45 off 76","x y","sub 3 on 67 3","x",NA,NA,NA,"x 3 off 67 y",NA,NA,"x","x 5 off 89",NA,"x","sub 2 on 67 2 g 73",NA,"sub 1 on 54 1","x",NA,NA,NA,"x 2 off 67",NA,"uu",NA,NA,"x",NA,NA,"sub 4 on 76 4",NA,NA,"x 1 off 54 y",NA,"sub 5 on 89 5",NA,NA,NA,NA
"30",2024-11-23,"Rochdale","P","P","national-league","A","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2024-11-26,"Boston United","4","0","national-league","H","19:45",5013,194,4,23,"Dale Baines","Boundary Park","uu",NA,"x 3 g 19 off 69 y","x","sub 4 on 79 4","x",NA,"x",NA,"x 4 off 79",NA,NA,"x","x",NA,"x","sub 1 on 68 1",NA,"sub 2 on 69 2 g pen 87","x y",NA,NA,NA,"x 1 g 8 off 68",NA,"uu",NA,NA,NA,NA,NA,"sub 3 on 69 3",NA,NA,"x 2 g 67 off 69",NA,"uu",NA,NA,NA,NA
"32",2024-11-30,"Leyton Orient","1","2","fa-cup","A","15:00",6078,1167,NA,NA,"Alan Young","Brisbane Road.","uu y",NA,"x 10 off 90 y",NA,"x 1 off 81","x y",NA,"x 7 off 90",NA,"x 9 off 90",NA,"sub 1 on 86 1","x 6 g 47 off 90","x 8 off 90 y",NA,"x 4 off 90 y","uu",NA,"x 3 off 89 y","x 5 off 90 y","uu",NA,NA,"x 2 off 86",NA,"uu",NA,NA,"uu",NA,NA,"uu","uu",NA,NA,NA,"uu",NA,NA,NA,NA
"33",2024-12-07,"Stockton Town","0","2","fa-trophy","A","15:00",1545,270,NA,NA,"","The Map Group UK Stadium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2024-12-10,"Blackburn Rovers U21","3","2","national-league-cup","H","19:00",356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2024-12-14,"Wealdstone","3","2","national-league","H","15:00",5544,77,5,20,"Sam Purkiss","Boundary Park","sub 4 on 88 4",NA,"x 2 off 67","x",NA,"x 1 off 67",NA,NA,NA,"x",NA,"uu","x","x",NA,"x","sub 1 on 67 1",NA,"sub 2 on 67 2 g 80","x y","sub 3 on 80 3",NA,NA,"x 3 off 80",NA,"uu",NA,NA,"x",NA,NA,NA,"uu",NA,"x 4 g 43 46 off 88",NA,NA,NA,NA,NA,NA
"36",2024-12-21,"Braintree Town","2","0","national-league","A","15:00",1046,399,5,21,"Callum Walchester","Cressing Road","sub 4 on 77 4",NA,"x 4 g 50 off 77","x","sub 2 on 72 2","x",NA,NA,NA,"x 2 off 72 y",NA,NA,"x","x",NA,"x","uu",NA,"sub 1 on 67 1","x","sub 3 on 77 3",NA,NA,"x 3 off 77",NA,"uu",NA,NA,"x y",NA,NA,NA,NA,NA,"x 1 g 15 off 67",NA,"uu",NA,NA,NA,NA
"37",2024-12-26,"York City","P","P","national-league","H","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2025-01-01,"Hartlepool United","1","2","national-league","A","15:00",4502,800,5,9,"Michael Barlow","Victoria Park (Hartlepool)","uu",NA,"x","x y","x y","x 3 off 66",NA,"x",NA,NA,NA,"uu","x y","x",NA,"x","sub 2 on 66 2",NA,"sub 1 on 56 1","x",NA,NA,NA,"x 2 g 20 off 66",NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA,"x 1 off 56 y","sub 3 on 66 3",NA,NA,NA,NA,NA
"39",2025-01-07,"Eastleigh","2","2","national-league","A","19:45",1846,238,5,11,"Kirsty Dowle","Silverlake Stadium","x 2 off 60",NA,NA,"x y","x y","x",NA,"x g 62 y",NA,NA,NA,"uu","x","x",NA,"x","sub 1 on 60 1",NA,"x g 65","x","uu","sub 2 on 60 2",NA,"x 1 off 60",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu","uu",NA,NA,NA,NA
"40",2025-01-11,"Eastleigh","P","P","national-league","H","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2025-01-18,"Aldershot Town","1","3","national-league","H","15:00",5960,211,NA,NA,"Richard Eley","Boundary Park","uu","x 1 off 45",NA,NA,NA,"x 3 off 55",NA,"x","sub 4 on 55 4",NA,"x y",NA,"x g 41","x",NA,"x","x 2 off 54",NA,"x","x","sub 2 on 54 2","x 4 off 55",NA,"sub 1 on 45 1",NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,"sub 3 on 55 3",NA,NA,NA,"uu"
"42",2025-01-21,"York City","0","2","national-league","H","19:45",9234,1214,5,2,"Stuart Morland","Boundary Park","uu",NA,"x 3 off 68",NA,NA,"x 2 off 62",NA,"x","sub 3 on 68 3",NA,"x",NA,"x y","x 4 off 77","x","x","sub 2 on 62 2",NA,"sub 1 on 45 1","x y",NA,"x 1 off 45",NA,"x",NA,NA,NA,NA,"uu",NA,"sub 4 on 77 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"uu"
"43",2025-01-25,"Gateshead","1","1","national-league","A","15:00",1694,643,5,4,"John Mulligan","Gateshead International S","uu",NA,NA,NA,NA,"x 4 off 89 y",NA,"x y","x 2 off 72 y",NA,"x y","sub 3 on 86 3","x",NA,"x y","x","sub 1 on 61 1","sub 2 on 72 2 y","x g 31","x",NA,NA,NA,"x 3 off 86",NA,NA,NA,NA,"sub 4 on 89 4",NA,"x 1 off 61",NA,NA,NA,NA,"uu",NA,NA,NA,NA,"uu"
"44",2025-01-29,"Manchester United U21","0","5","national-league-cup","H","19:00",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2025-02-01,"AFC Fylde","2","1","national-league","A","15:00",2612,1429,5,22,"James Westgate","Mill Farm",NA,NA,NA,NA,NA,"x",NA,"x","x 3 off 89",NA,"x",NA,"x 2 off 89",NA,"x","x","sub 2 on 89 2","sub 3 on 89 3","x g 62 90 y","x",NA,NA,"uu","x 1 off 82",NA,NA,NA,NA,"uu",NA,"x y",NA,"uu",NA,NA,NA,NA,NA,"sub 1 on 82 1",NA,"uu"
"46",2025-02-04,"Rochdale","1","0","national-league","A","19:45",5880,2607,4,7,"Paul Marsden","Spotland",NA,NA,NA,NA,NA,"x",NA,"x","x 3 off 80",NA,"x 2 off 69",NA,NA,"x","x","x","sub 3 on 80 3 y","sub 1 on 54 1","x g 17","x",NA,NA,"uu","x 1 off 54","sub 2 on 69 2",NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,"uu"
"47",2025-02-08,"Solihull Moors","1","0","national-league","A","15:00",1686,775,4,9,"Robert Massey-Ellis","The Autotech Stadium",NA,NA,NA,NA,NA,"x y",NA,"x","x 3 g 45 off 82",NA,"x 2 off 76",NA,NA,"x","x","x","uu","x 4 off 88 y","x","x 1 off 71",NA,NA,"uu","sub 4 on 88 4","sub 3 on 82 3",NA,NA,NA,"sub 1 on 71 1",NA,"x",NA,NA,NA,NA,NA,NA,NA,"sub 2 on 76 2",NA,"uu"
"48",2025-02-11,"Altrincham","2","2","national-league","H","19:45",5491,409,4,7,"Martin Ross","Boundary Park",NA,NA,"sub 1 on 52 1 g 57",NA,NA,"x y",NA,"x y","x 1 off 52",NA,"x 5 off 68",NA,NA,"x 4 off 68","sub 2 on 53 2",NA,"sub 4 on 68 4","x 2 off 53","x",NA,NA,NA,"uu","sub 3 on 53 3 g 81","sub 5 on 68 5","uu",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,"x 3 off 53",NA,"x"
"49",2025-02-15,"Sutton United","0","0","national-league","H","15:00",5728,126,4,12,"Andrew Miller","Boundary Park",NA,NA,"sub 2 on 55 2 y",NA,NA,"x",NA,"x","x 2 off 55",NA,"x 3 off 75",NA,NA,"x y","x",NA,"uu","sub 3 on 75 3","x",NA,NA,NA,"uu","x 1 off 54","sub 1 on 54 1",NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,NA,"uu",NA,"uu"
"50",2025-02-18,"Maidenhead United","0","1","national-league","H","19:45",5181,25,4,19,"Aaron Jackson","Boundary Park",NA,NA,"sub 1 on 65 1",NA,NA,"x",NA,"x","uu",NA,"x 2 off 71",NA,NA,"x","x",NA,"x 1 off 65","uu","x",NA,NA,NA,"uu","sub 2 on 71 2","x y",NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,NA,"uu",NA,"uu"
"51",2025-02-22,"Dagenham &amp; Redbridge","2","2","national-league","A","15:00",1573,356,NA,NA,"Stephen Parkinson","Victoria Road",NA,NA,NA,NA,NA,"x",NA,"x","x 2 off 45",NA,"sub 2 on 45 2",NA,NA,"x 3 off 68","x",NA,"sub 1 on 45 1","x 4 off 75","x g 48",NA,NA,NA,"sub 3 on 68 3","sub 4 on 75 4","x g 90",NA,NA,NA,"x 1 off 45",NA,"x",NA,"uu","x",NA,NA,NA,NA,"uu",NA,"uu"
"52",2025-03-01,"Barnet","0","3","national-league","H","15:00",6084,293,5,1,"Andrew Humphries","Boundary Park",NA,NA,NA,NA,NA,"x",NA,"uu","sub 1 on 60 1","uu","x",NA,NA,"uu","x",NA,"x y","uu","x","x",NA,NA,"x","x 1 off 60","x",NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,"uu",NA,"uu"
"53",2025-03-04,"Boston United","0","0","national-league","A","19:45",1695,273,5,23,"Scott Simpson","The Jakemans Community Stadium",NA,NA,NA,NA,NA,"uu",NA,"x","sub 2 on 73 2","x 1 off 54","sub 1 on 54 1",NA,NA,"uu","x y",NA,NA,"x 2 off 73","x","x",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,"x",NA,"uu","x",NA,NA,"x 3 off 79",NA,"sub 3 on 79 3",NA,"uu"
"54",2025-03-08,"Tamworth","1","1","national-league","A","15:00",1933,650,5,11,"Alan Dale","The Lamb Ground",NA,NA,"sub 1 on 59 1 y",NA,"sub 2 on 79 2 y","sub 3 on 82 3",NA,"x","uu",NA,"x y",NA,NA,"x","x",NA,NA,NA,"x y","x 3 off 82",NA,NA,"x y",NA,"x 2 g pen 36 off 79",NA,NA,NA,NA,NA,"uu",NA,"uu","x",NA,NA,"x",NA,"x 1 off 59",NA,"uu"
"55",2025-03-11,"Eastleigh","2","0","national-league","H","19:45",4769,34,4,10,"Jamie O'Connor","Boundary Park",NA,NA,"sub 4 on 84 4",NA,NA,"x g 73",NA,"x","x 2 g 8 off 55","x 3 off 72","x",NA,NA,"x","x 1 off 35",NA,NA,NA,"x 4 off 84","x",NA,NA,"uu",NA,"sub 1 on 35 1 y",NA,NA,"sub 2 on 55 2",NA,NA,"x",NA,NA,"x",NA,NA,"uu",NA,"sub 3 on 72 3",NA,"uu"
"56",2025-03-15,"Rochdale","1","1","national-league","H","15:00",8611,1484,4,7,"Alex Chilowicz","Boundary Park",NA,NA,"sub 4 on 75 4",NA,NA,"x",NA,"x","x 3 off 58","x 4 off 75 y","x",NA,NA,"x","x 2 off 45 y",NA,NA,"uu","x 5 off 75","x 1 off 45",NA,NA,"sub 1 on 45 1",NA,NA,NA,NA,"sub 2 on 45 2",NA,NA,"x",NA,NA,"x",NA,NA,"sub 3 on 58 3",NA,"sub 5 on 75 5 g 85",NA,"uu"
"57",2025-03-22,"FC Halifax Town","2","0","national-league","H","15:00",7256,1074,NA,NA,"Zac Kennard-Kettle","Boundary Park","uu",NA,"x",NA,"sub 1 on 74 1","x 3 off 89",NA,"x","uu","x 1 off 74","x",NA,NA,"x","x",NA,NA,NA,"sub 2 on 77 2 g 90",NA,NA,NA,"x","uu",NA,NA,NA,"x 2 g 28 off 77",NA,NA,"x",NA,NA,"x",NA,NA,"sub 3 on 89 3",NA,NA,NA,"uu"
"58",2025-03-29,"Southend United","0","1","national-league","A","15:00",8395,255,4,8,"Kirsty Dowle","Roots Hall","sub 5 on 88 5","sub 3 on 74 3","x 1 off 26",NA,"x 2 off 45","x y",NA,"x",NA,"x 3 off 74","x 4 off 74",NA,NA,"x",NA,NA,NA,"uu","sub 1 on 26 1 y",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,"x 5 off 88",NA,NA,"x",NA,NA,"sub 2 on 45 2",NA,"sub 4 on 74 4",NA,"uu"
"59",2025-04-08,"Woking","1","2","national-league","H","15:00",5664,50,4,17,"William Davis","Boundary Park","sub 2 on 60 2","uu",NA,NA,NA,NA,NA,"x","uu","x 1 off 60","x 2 off 60",NA,NA,"x","sub 1 on 60 1","x",NA,"x 4 off 68","x",NA,NA,NA,"x","x","sub 4 on 68 4",NA,NA,"x 3 g 3 off 60","uu",NA,NA,NA,NA,"uu",NA,NA,"x",NA,"sub 3 on 60 3",NA,NA
