"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Joe Garner","James Norwood","Dan Gardner","Kieron Freeman","Liam Hogan","Charlie Raglan","Brennan Dickenson","Hallam Hope","Harrison McGahey","Tom Conlon","Mark Kitching","Devarn Green","Mathew Hudson","Mark Shelton","Magnus Norman","Ben Tollitt","Joe Nuttall","Mike Fondop-Talum","Andy Dallas","Nathan Sheron","Alex Reid","Shaun Hobson","Josh Lundstram","Daniel Ward","Kurt Willoughby","Daniel Langley","Ethan Walker","Will Sutton","Oli Hammond","Josh Stones","Sai Sachdev","Kofi Moore"
"11",2023-08-26,"Boreham Wood","0","0","national-league","A","15:00",1208,424,16,15,"Aaron Farmer","Meadow Park",NA,"x","sub 2 on 64 2","x","x","x","x",NA,NA,NA,"x","x 2 off 64","x","x",NA,NA,"x 1 off 46","sub 1 on 46 1",NA,"x","uu","uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"12",2023-08-28,"Solihull Moors","0","2","national-league","H","15:00",6815,125,21,1,"Paul Cooper","Boundary Park",NA,"sub 3 on 61 3","x y",NA,"x","x","sub 2 on 46 2 y",NA,NA,NA,"x","sub 1 on 46 1","x","x 1 off 46",NA,NA,"uu","x y red@37",NA,"x y","x 3 off 61 y","uu",NA,NA,"x 2 off 46",NA,NA,"x",NA,NA,NA,NA
"13",2023-09-02,"Gateshead","2","2","national-league","A","17:30",1112,431,19,13,"Gareth Rhodes","Gateshead International S",NA,"x 2 off 75 y","x 1 off 63","uu","x g 65 y","uu","x g 28 y",NA,NA,NA,"x","x 3 off 81","x","x y red@89",NA,NA,"sub 3 on 81 3",NA,NA,"x y","sub 2 on 75 2","x",NA,NA,"sub 1 on 63 1",NA,NA,"x",NA,NA,NA,NA
"14",2023-09-09,"Dorking Wanderers","0","0","national-league","H","15:00",6291,72,NA,NA,"Richard Aspinall","Boundary Park",NA,"x","x 2 off 79",NA,"x","uu","x",NA,NA,NA,"x","x y","x",NA,NA,NA,"uu","sub 1 on 56 1",NA,"x y","uu","x",NA,"x 1 off 56","sub 2 on 79 2",NA,NA,"x",NA,NA,NA,NA
"15",2023-09-16,"Bromley","0","3","national-league","A","15:00",2571,269,23,4,"Gary Parsons","Hayes Lane",NA,"sub 3 on 60 3 y","uu",NA,"x","uu","sub 1 on 46 1",NA,NA,NA,"x","x 2 off 60","x","x",NA,NA,"x","x 3 off 60",NA,"x",NA,"x",NA,"x 1 off 46","sub 2 on 60 2",NA,NA,"x y",NA,NA,NA,NA
"16",2023-09-19,"York City","2","0","national-league","H","19:45",6611,740,20,22,"David Mcnamara","Boundary Park",NA,NA,"x",NA,"x",NA,"x 2 off 77","sub 2 on 77 2",NA,NA,"x y","x y","x","uu","uu",NA,"x g 8 y","uu",NA,"x","sub 1 on 68 1 g 79","x",NA,NA,"x 1 off 68",NA,NA,"x",NA,NA,NA,NA
"17",2023-09-23,"Oxford City","4","0","national-league","H","15:00",6400,22,14,18,"Paul Marsden","Boundary Park",NA,"x g 90","x 1 off 75",NA,"x",NA,"x g 40 90","sub 3 on 86 3",NA,NA,"x","x 3 g 14 off 86","x","sub 1 on 75 1","uu",NA,"x 2 off 82 y",NA,NA,"x","sub 2 on 82 2","x",NA,NA,"uu",NA,NA,"x",NA,NA,NA,NA
"18",2023-09-26,"Kidderminster Harriers","2","1","national-league","A","19:45",2451,483,11,24,"David Richardson","Aggborough Stadium",NA,"x 3 off 68","x 1 off 15",NA,"x",NA,"x","uu",NA,NA,"x","x g 20","x","sub 1 on 15 1","uu",NA,"x 2 off 68 y",NA,NA,"x","sub 3 on 68 3 g 78","x",NA,NA,"sub 2 on 68 2",NA,NA,"x",NA,NA,NA,NA
"19",2023-09-30,"Wealdstone","1","1","national-league","A","15:00",1640,450,13,16,"Callum Walchester","Grosvenor Vale",NA,"sub 2 on 61 2",NA,NA,"x","sub 3 on 74 3","x",NA,NA,NA,"x","x","x","x 1 off 61","uu",NA,"uu",NA,NA,"x","x g 31","x","sub 1 on 61 1 y",NA,"x 2 off 61",NA,NA,"x 3 off 74",NA,NA,NA,NA
"20",2023-10-03,"Maidenhead United","1","1","national-league","H","19:45",5386,29,12,21,"John Mulligan","Boundary Park",NA,"x",NA,NA,"x",NA,"x y",NA,NA,NA,"x y","x 3 off 83","x","sub 2 on 72 2","uu","sub 3 on 83 3","sub 1 on 70 1",NA,NA,"x","x 1 g 28 off 70","x","x 2 off 72",NA,"uu",NA,NA,"x",NA,NA,NA,NA
"21",2023-10-07,"Dagenham &amp; Redbridge","1","1","national-league","H","15:00",6465,58,NA,NA,"Andrew Humphries","Boundary Park",NA,"x g 4",NA,NA,"x",NA,"x 2 off 59",NA,NA,NA,"x","x","x","sub 3 on 75 3","uu",NA,"uu","sub 1 on 53 1",NA,"x 3 off 75","x 1 off 53","x","x",NA,"sub 2 on 59 2",NA,NA,"x",NA,NA,NA,NA
"22",2023-10-14,"Altrincham","1","0","fa-cup","A","15:00",3874,1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2023-10-21,"Rochdale","4","3","national-league","A","15:00",6722,3049,11,13,"James Westgate","Spotland",NA,"x g 71",NA,NA,"x",NA,NA,"x 1 g 63 off 87","x y",NA,"x","x 2 g 49 off 89","x","uu","uu","uu",NA,"sub 2 on 89 2",NA,"x g 16","sub 1 on 87 1","x","x y",NA,NA,NA,NA,"x",NA,NA,NA,NA
"24",2023-10-24,"AFC Fylde","0","3","national-league","A","19:45",2580,1300,12,23,"Michael Barlow","Mill Farm",NA,"x",NA,NA,"x y red@38",NA,NA,"x 1 off 40","sub 1 on 40 1",NA,"x","x y","x","x","uu","sub 2 on 66 2",NA,"uu",NA,"x","uu","x","x 2 off 66",NA,NA,NA,NA,"x",NA,NA,NA,NA
"25",2023-10-28,"Altrincham","2","2","national-league","H","15:00",7137,582,11,6,"Aaron Jackson","Boundary Park",NA,"x g 30 y",NA,"x",NA,"uu",NA,"x","x",NA,"x","x","x","uu","uu",NA,"x 1 off 60","uu",NA,"x g 79 y","sub 1 on 60 1","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2023-11-04,"Newport County","0","2","fa-cup","A","15:00",2541,343,NA,NA,"David Middleton","Rodney Parade",NA,"x 3 off 88","sub 4 on 89 4","x","sub 1 on 34 1","uu","x 1 off 34","x","x",NA,"x y",NA,"x","uu",NA,NA,"x 2 off 59","sub 3 on 88 3",NA,"x 4 off 89 y","sub 2 on 59 2","x","x","uu","uu","uu",NA,NA,NA,NA,NA,NA
"27",2023-11-11,"Eastleigh","1","1","national-league","H","15:00",6418,45,11,12,"Aaron Farmer","Boundary Park",NA,"x 3 off 84 y","x 2 off 83","x","x y","uu",NA,"x 1 off 60","x",NA,"x",NA,"x","sub 2 on 83 2 y",NA,NA,NA,"sub 3 on 84 3",NA,NA,"x g 69","x y","x",NA,"sub 1 on 60 1","uu",NA,NA,NA,NA,NA,NA
"28",2023-11-18,"Woking","1","0","national-league","A","15:00",3057,532,11,17,"Paul Cooper","Kingfield Stadium",NA,"x g 61","x","x y",NA,"x",NA,NA,"x",NA,"x","sub 1 on 62 1","x","uu","uu",NA,NA,"x",NA,"x",NA,NA,"x","x 1 off 62","uu",NA,NA,"uu",NA,NA,NA,NA
"29",2023-11-22,"Barnet","4","1","national-league","A","19:45",1799,234,11,2,"","The Hive Stadium",NA,"x 3 g pen 25 76 off 89","x 2 off 79","x 1 off 62","sub 1 on 62 1 y","x",NA,"sub 2 on 79 2 g 90","x",NA,"x y","x y","x",NA,"uu",NA,NA,"x g 61",NA,"x",NA,NA,"x","uu","sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA
"30",2023-11-25,"Ebbsfleet United","1","4","national-league","H","15:00",6429,98,11,21,"","Boundary Park",NA,"x g pen 70","x 1 off 46","x 3 off 59","sub 3 on 59 3","x",NA,"sub 2 on 58 2","x",NA,"x","x","x","uu","uu",NA,NA,"x 2 off 58",NA,"x",NA,NA,"x",NA,"sub 1 on 46 1",NA,NA,NA,NA,NA,NA,NA
"31",2023-12-02,"Boreham Wood","P","P","national-league","H","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2023-12-09,"Mickleover","3","3","fa-trophy","H","15:00",1662,194,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"x g 68",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 12",NA,NA,NA,NA,NA,NA,"x g 50",NA,NA,NA,NA,NA,NA,NA
"33",2023-12-16,"Solihull Moors","3","2","national-league","A","15:00",1829,584,11,5,"David Richardson","The Autotech Stadium",NA,"x",NA,NA,"x 2 off 80","x y",NA,"sub 2 on 80 2","x y",NA,"x y",NA,"x",NA,"uu",NA,NA,"sub 1 on 75 1",NA,"x g 64 82 y",NA,"x","x",NA,"uu",NA,NA,"x",NA,"x 1 g 63 off 75",NA,NA
"34",2023-12-23,"Gateshead","1","2","national-league","H","15:00",6761,152,12,5,"Richard Aspinall","Boundary Park",NA,"x g 30 y",NA,NA,"x y","x",NA,"uu","x",NA,"x",NA,"x",NA,"uu",NA,NA,"sub 1 on 69 1",NA,"x",NA,"x","x 1 off 69",NA,"uu",NA,NA,"x y",NA,"x 2 off 70",NA,"sub 2 on 70 2"
"35",2023-12-26,"Hartlepool United","3","1","national-league","A","15:00",5077,702,11,16,"Michael Barlow","Victoria Park (Hartlepool)",NA,"x g 17 63","uu",NA,"x","x y","uu","x",NA,NA,"x",NA,"x",NA,"uu",NA,NA,"uu",NA,"x",NA,"x","x y",NA,"uu",NA,NA,"x y",NA,"x g 9 y",NA,NA
"36",2023-12-30,"Hartlepool United","2","0","national-league","H","15:00",7411,713,8,17,"Greg Rollason","Boundary Park",NA,"x","uu",NA,"x","x",NA,"x 2 off 60",NA,NA,"x 3 off 89",NA,"x",NA,"uu y",NA,NA,"sub 1 on 39 1 g 84 y",NA,"x",NA,"x","x","sub 2 on 60 2","sub 3 on 89 3",NA,NA,"x",NA,"x 1 g 2 off 39",NA,NA
"37",2024-01-06,"Dorking Wanderers","1","0","national-league","A","15:00",2534,750,NA,NA,"Ryan Atkin","Meadowbank",NA,"x 2 off 80","sub 1 on 62 1",NA,"x y","x",NA,"uu","x",NA,"x",NA,"x",NA,NA,NA,NA,"x g 41 y",NA,"x",NA,"x","x 1 off 62","uu","sub 2 on 80 2",NA,"uu","x",NA,NA,NA,NA
"38",2024-01-13,"Hendon","1","2","fa-trophy","H","15:00",2818,221,NA,NA,"","Boundary Park",NA,"x g pen 90",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2024-01-16,"Boreham Wood","P","P","national-league","H","19:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2024-01-20,"Eastleigh","P","P","national-league","A","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2024-01-23,"Barnet","2","0","national-league","H","19:45",5880,64,5,3,"Andrew Miller","Boundary Park",NA,"x g pen 38 pen 53",NA,NA,"x y","x",NA,"uu","uu","x 1 off 88","x y",NA,"x",NA,"uu",NA,NA,"x y",NA,"x",NA,"x","x",NA,NA,NA,"uu",NA,"sub 1 on 88 1",NA,"x y",NA
"42",2024-01-27,"Woking","0","1","national-league","H","15:00",6644,160,6,20,"David Mcnamara","Boundary Park",NA,"x",NA,NA,NA,"x",NA,"uu","x 1 off 51","x 2 off 59","x",NA,"x",NA,"uu",NA,NA,"x 3 off 66","sub 3 on 66 3","x",NA,"x","x",NA,NA,NA,"sub 1 on 51 1",NA,"sub 2 on 59 2",NA,"x",NA
"43",2024-02-03,"Ebbsfleet United","0","0","national-league","A","17:30",1859,263,8,22,"Ruebyn Ricardo","Stonebridge Road","x","x 2 off 60",NA,NA,NA,"x",NA,NA,"x","x y","x y","sub 3 on 70 3","x",NA,"uu",NA,NA,"sub 2 on 60 2","sub 1 on 53 1","x 1 off 53",NA,"x","x y",NA,NA,NA,NA,NA,"uu",NA,"x 3 off 70",NA
"44",2024-02-10,"Bromley","P","P","national-league","H","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2024-02-13,"Boreham Wood","2","1","national-league","H","19:45",5745,30,6,14,"John Mulligan","Boundary Park","x g 80 y",NA,"uu",NA,"x","x",NA,NA,NA,"x y","x y","sub 2 on 46 2","x",NA,"uu",NA,NA,"x g 62",NA,"sub 3 on 76 3",NA,"sub 1 on 46 1","x 3 off 76","x 2 off 46",NA,NA,NA,NA,"x",NA,"x 1 off 46",NA
"46",2024-02-17,"Maidenhead United","3","1","national-league","A","15:00",1741,472,6,15,"Ross Martin","York Road","x 3 g 15 off 89",NA,"sub 2 on 69 2",NA,"x 1 off 61 y","x",NA,NA,"sub 1 on 61 1","x",NA,"x 2 off 69","x",NA,"uu",NA,NA,"x g 58 88",NA,"x",NA,"x","sub 3 on 89 3",NA,NA,NA,NA,"x","x",NA,"uu",NA
"47",2024-02-20,"York City","1","1","national-league","A","19:45",5282,1496,7,17,"James Westgate","LNER Community Stadium","x",NA,"uu",NA,"x","x",NA,NA,"uu","x y","x","sub 1 on 52 1","x",NA,"uu",NA,NA,"x g 60",NA,"x",NA,"x","uu",NA,NA,NA,NA,"x","x 1 off 52",NA,NA,NA
"48",2024-02-24,"Kidderminster Harriers","1","2","national-league","H","15:00",11881,705,7,22,"","Boundary Park","x",NA,"sub 3 on 84 3 y",NA,"x","x",NA,NA,"uu","x","x","sub 1 on 60 1","x",NA,"uu",NA,NA,"x 2 off 66 y","sub 2 on 66 2","x 3 g 49 off 84",NA,"x","x",NA,NA,NA,NA,NA,"x 1 off 60",NA,NA,NA
"49",2024-02-27,"Eastleigh","2","1","national-league","A","19:45",2298,267,6,13,"Sam Mulhall","Silverlake Stadium","x g 26 70",NA,"uu",NA,"x","x",NA,NA,"x",NA,"x","x y","x",NA,"uu",NA,NA,"x 1 off 81","sub 1 on 81 1","x y",NA,"x",NA,NA,NA,NA,"uu","uu","x",NA,NA,NA
"50",2024-03-02,"Southend United","1","1","national-league","H","15:00",6309,436,6,8,"Andrew Humphries","Boundary Park","x","sub 2 on 58 2","sub 3 on 89 3",NA,"x","x",NA,NA,"x","sub 1 on 38 1","x","x 1 off 38","x",NA,"uu",NA,NA,"x 2 off 58","uu","x g 60",NA,"x y",NA,NA,NA,NA,NA,NA,"x 3 off 89",NA,NA,NA
"51",2024-03-05,"Bromley","0","0","national-league","H","19:45",5538,38,5,3,"David Mcnamara","Boundary Park","x 2 off 72","x 1 off 66","uu",NA,"x y","x",NA,NA,"x","x","x",NA,"x",NA,"uu",NA,NA,"sub 2 on 72 2","sub 1 on 66 1","x",NA,"x",NA,NA,NA,NA,NA,NA,"uu",NA,"x",NA
"52",2024-03-09,"Aldershot Town","0","2","national-league","A","15:00",3425,408,NA,NA,"Aaron Bannister","The EEB Stadium","x 3 off 54 y","sub 3 on 54 3","uu",NA,"x y","x",NA,NA,"x 2 off 54 y","x","x",NA,"x y",NA,"uu",NA,NA,"sub 2 on 54 2","x","sub 1 on 24 1",NA,"x",NA,NA,NA,NA,NA,"x 1 off 24","x",NA,NA,NA
"53",2024-03-12,"FC Halifax Town","P","P","national-league","A","19:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2024-03-16,"Chesterfield","2","2","national-league","H","12:30",7783,1682,NA,NA,"Gareth Rhodes","Boundary Park","sub 2 on 80 2 y","x g pen 13","x 1 g 23 off 75 y",NA,"x","x",NA,NA,"x","x","x y",NA,"x",NA,"uu",NA,NA,"uu","x 2 off 80","x",NA,NA,"x",NA,NA,NA,"sub 1 on 75 1",NA,"uu",NA,NA,NA
"55",2024-03-23,"Dagenham &amp; Redbridge","0","0","national-league","A","15:00",1971,480,NA,NA,"","Victoria Road","sub 2 on 61 2 y","x","x",NA,"x",NA,NA,"sub 1 on 61 1","x","x 3 off 69","x",NA,"x",NA,"uu",NA,NA,"sub 3 on 69 3","x 2 off 61","x",NA,"x",NA,NA,NA,NA,"x 1 off 61","uu",NA,NA,NA,NA
"56",2024-03-29,"AFC Fylde","1","3","national-league","H","15:00",6903,219,10,13,"Andrew Miller","Boundary Park","x 2 off 46","x y","x 3 g 45 off 77 y",NA,"x",NA,NA,"sub 3 on 77 3 y","x","x","x y",NA,"x",NA,"uu",NA,NA,"sub 2 on 46 2 red@60","sub 1 on 35 1","x",NA,"x",NA,NA,NA,NA,NA,"uu","x 1 off 35",NA,NA,NA
"57",2024-04-01,"Altrincham","0","1","national-league","A","15:00",4578,1056,10,4,"Paul Marsden","Moss Lane",NA,"x","x",NA,"x","x",NA,"x 1 off 82","x","x","x y",NA,"x",NA,"uu",NA,NA,NA,"x","uu",NA,"uu","sub 1 on 82 1","uu",NA,NA,NA,"x",NA,NA,NA,NA
"58",2024-04-06,"Rochdale","1","1","national-league","H","15:00",8797,1685,10,11,"Ruebyn Ricardo","Boundary Park",NA,"x y","x 1 off 75 y",NA,"x","x",NA,"x 3 g 6 off 89","x",NA,"x",NA,"x",NA,"uu",NA,NA,NA,"x","sub 1 on 75 1",NA,"uu","x 2 off 89","sub 2 on 89 2",NA,NA,NA,"x","sub 3 on 89 3",NA,NA,NA
"59",2024-04-10,"FC Halifax Town","P","P","national-league","A","19:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2024-04-13,"Oxford City","0","0","national-league","A","15:00",1112,662,10,24,"Sam Mulhall","Court Place Farm","sub 1 on 54 1","x","x",NA,"x","x",NA,"x","x","sub 2 on 56 2","x 2 off 56",NA,"x",NA,"uu",NA,NA,NA,"x 1 off 54","sub 3 on 69 3",NA,"uu","x 3 off 69",NA,NA,NA,NA,NA,NA,NA,"x",NA
"61",2024-04-18,"FC Halifax Town","2","2","national-league","A","19:45",1580,381,NA,NA,"","Proact Stadium","x 1 off 70 y","sub 1 on 70 1","x 3 g 18 pen 58 off 88",NA,"x","x",NA,"sub 2 on 74 2","x y","x",NA,"x 2 off 74","x",NA,"uu",NA,NA,NA,"x y","sub 3 on 88 3",NA,"x","uu",NA,NA,NA,NA,"x",NA,NA,NA,NA
"62",2024-04-20,"Wealdstone","2","3","national-league","H","15:00",6082,210,NA,NA,"","Boundary Park","uu","x 2 off 61","x",NA,"x y","x",NA,NA,"x","x 1 off 61",NA,"x 3 off 78","x",NA,NA,NA,NA,"x g 17 56 y","sub 2 on 61 2","sub 3 on 78 3",NA,"x y","sub 1 on 61 1",NA,NA,NA,NA,"x y","uu",NA,NA,NA
