"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Paul Murray","Chris Iwelumo","Lee Barnard","Cliff Byrne","Lee Croft","Robbie Simpson","Matt Derbyshire","James Wesolowski","Dean Furman","Jonathan Grounds","Alex Cisak","Jean-Yves Mvoto","Jose Baxter","Korey Smith","Dean Bouzanis","Kirk Millar","Jordan Obita","Jordan Slew","Carl Winchester","James Tarkowski","Reece Wabara","Connor Hughes","Bobby De Cordova-Reid","David Mellor","Matt Smith","Cristian Montano","Youssouf M&#039;Changama","Glenn Belezika","Connor Brown","Dan Taylor","Chris Sutherland","Joe Cooper","Liam Jacob","Danny Gosset","Jack Truelove"
"11",2012-09-01,"Portsmouth","1","0","league-one","A","",12635,512,15,21,"Carl Berry","Fratton Park",NA,NA,NA,"x red@64","x","x 2 off 66",NA,NA,"x","x y","x","x y",NA,NA,"uu","uu",NA,"x 1 off 22","uu","sub 2 on 66 2",NA,"uu",NA,NA,"sub 1 on 22 1","x","x",NA,"x y","uu",NA,NA,NA,NA,NA
"12",2012-09-04,"Chesterfield","1","2","efl-trophy","A","",2384,239,NA,NA,"Tony Harrington","Proact Stadium",NA,NA,NA,"x","x 2 off 70","x 1 off 65",NA,NA,NA,"x","uu","x",NA,NA,"x","sub 2 on 70 2",NA,NA,"x 3 off 71","x y",NA,"sub 1 on 65 1",NA,"sub 3 on 71 3","x g 23","x y","x",NA,NA,"uu",NA,NA,NA,NA,NA
"13",2012-09-15,"Notts County","2","2","league-one","H","",4039,539,20,2,"Christopher Sarginson","Boundary Park",NA,NA,NA,"x y","x","x 1 off 71","x 2 g 49 off 77","x y","x","x","x","x","sub 2 on 77 2 g 85 y",NA,"uu",NA,NA,NA,"uu","uu","x",NA,NA,NA,"sub 1 on 71 1","x 3 off 86 y","uu",NA,NA,NA,"sub 3 on 86 3",NA,NA,NA,NA
"14",2012-09-18,"Scunthorpe United","1","1","league-one","H","",2969,178,18,21,"Geoff Eltringham","Boundary Park",NA,NA,NA,"x","x","sub 1 on 64 1","x g 40","x 1 off 64 y","x","x","uu","x","sub 2 on 64 2",NA,"x",NA,NA,NA,"uu","uu","x",NA,NA,NA,"x 2 off 64","x","uu",NA,NA,NA,"uu",NA,NA,NA,NA
"15",2012-09-22,"Brentford","0","1","league-one","A","",5251,253,19,9,"Fred Graham","Griffin Park",NA,NA,NA,"x 2 off 76","x","x","x","x 1 off 55","x","x y","uu","x","sub 1 on 55 1",NA,"x y",NA,NA,NA,"uu","uu","x",NA,NA,NA,"sub 2 on 76 2","x","uu",NA,"uu",NA,NA,NA,NA,NA,NA
"16",2012-09-29,"Coventry City","0","1","league-one","H","",4022,562,21,22,"David Coote","Boundary Park",NA,NA,NA,"x","x y","sub 1 on 90 1","x","x","x","x","uu","x","x",NA,"x",NA,NA,NA,NA,"uu","x","uu",NA,NA,"sub 2 on 90 2","x y","uu",NA,"uu",NA,NA,NA,NA,NA,NA
"17",2012-10-02,"Crewe Alexandra","2","0","league-one","A","",3935,354,19,18,"Mark Haywood","-",NA,NA,NA,"x","x","sub 2 on 68 2","x g 79","x","x","x","uu","x 1 off 44","x 2 off 68",NA,"x",NA,NA,NA,NA,"sub 1 on 44 1 g 61","x","uu",NA,NA,"uu","x","uu",NA,"uu",NA,NA,NA,NA,NA,NA
"18",2012-10-06,"Preston North End","3","1","league-one","H","",5496,1971,16,8,"Paul Tierney","Boundary Park",NA,NA,NA,"x","x","sub 2 on 84 2","x y","x","x g 69","x","uu",NA,"x 2 g 27 off 84",NA,"x",NA,NA,NA,"uu","x 1 off 38","x","uu",NA,NA,"uu","x 3 g 57 off 85","sub 3 on 85 3",NA,"sub 1 on 38 1",NA,NA,NA,NA,NA,NA
"19",2012-10-13,"Sheffield United","1","1","league-one","A","",18188,864,15,3,"Scott Mathieson","Bramall Lane",NA,NA,NA,"x","x y","x 1 off 82 y","x","x",NA,"x","uu","x y","x y",NA,"x",NA,NA,NA,"uu","uu","x",NA,NA,NA,"sub 1 on 82 1 g 90","x","uu",NA,"uu",NA,"uu",NA,NA,NA,NA
"20",2012-10-20,"Leyton Orient","2","0","league-one","H","",3919,171,13,16,"Scott Duncan","Boundary Park",NA,NA,NA,"x","x","x 2 off 71","x g 77 y","x","uu","x","uu","x","x g 83",NA,"x",NA,NA,NA,NA,"uu","x y",NA,NA,NA,"sub 2 on 71 2","x 1 off 71","uu",NA,"uu",NA,"sub 1 on 71 1",NA,NA,NA,NA
"21",2012-10-23,"Carlisle United","1","3","league-one","A","",3310,249,17,13,"Mick Russell","Brunton Park",NA,NA,NA,"x 3 off 75","x","sub 3 on 75 3","x 1 off 46","x","x y","x y","uu","x y","x g pen 85",NA,"x",NA,NA,NA,NA,"uu","x y",NA,NA,NA,"sub 1 on 46 1","x 2 off 68","uu",NA,"uu",NA,"sub 2 on 68 2",NA,NA,NA,NA
"22",2012-10-27,"Crawley Town","1","1","league-one","A","",3375,351,17,2,"Gavin Ward","Broadfield Stadium",NA,NA,NA,"x","x","x y","x 3 off 89","x y","sub 2 on 81 2","x","uu","x red@20","x 2 g 67 off 81",NA,"x",NA,NA,NA,NA,"sub 1 on 21 1","x",NA,NA,NA,"sub 3 on 89 3","x 1 off 21","uu",NA,"uu",NA,"uu",NA,NA,NA,NA
"23",2012-11-03,"Kidderminster Harriers","2","0","fa-cup","A","",2888,662,NA,NA,"David Webb","Aggborough Stadium",NA,NA,NA,"x 1 off 58","x 3 off 89 y","x","x","x y","sub 2 on 84 2","x","uu",NA,"x g 65 y",NA,"x",NA,NA,NA,NA,"x","x",NA,NA,NA,"uu","x 2 g 52 off 84","uu",NA,"sub 1 on 58 1 y",NA,"sub 3 on 89 3","uu",NA,NA,NA
"24",2012-11-06,"Bury","1","2","league-one","H","",4120,734,18,23,"Graham Salisbury","-",NA,NA,NA,"x","x","x g 90","x","x 2 off 71","sub 1 on 37 1","x y","uu",NA,"x 3 off 71",NA,"x",NA,NA,NA,NA,"x","x",NA,NA,NA,"sub 3 on 71 3","x 1 off 37","uu",NA,"uu",NA,"sub 2 on 71 2","uu",NA,NA,NA
"25",2012-11-10,"Tranmere Rovers","0","1","league-one","H","",5159,1250,19,1,"Andy Woolmer","Boundary Park",NA,NA,NA,"x 2 off 73 y","x 3 off 84",NA,"x","x 1 off 57 y","x y","x","uu",NA,"x",NA,"x",NA,NA,NA,NA,"x","x",NA,NA,NA,"sub 1 on 57 1","x","sub 2 on 73 2",NA,"uu","uu","sub 3 on 84 3","uu",NA,NA,NA
"26",2012-11-17,"AFC Bournemouth","1","4","league-one","A","",6118,209,21,11,"Steve Rushton","Vitality Stadium",NA,NA,NA,"x","x 2 off 59","x 1 off 58","x",NA,NA,"x y","uu","x","x y",NA,"x",NA,NA,NA,"sub 3 on 77 3 y","uu","x","uu",NA,NA,"sub 1 on 58 1 g 86","x","x 3 off 77",NA,"uu",NA,"sub 2 on 59 2",NA,NA,NA,NA
"27",2012-11-20,"Hartlepool United","2","1","league-one","A","",3078,91,18,24,"Craig Pawson","Victoria Park",NA,NA,NA,"x","x 2 off 70 y",NA,"x y","x 3 off 85","x",NA,"uu","x","x g 17 90 y",NA,"x","uu",NA,NA,"uu","uu","x",NA,NA,NA,"sub 2 on 70 2","x 1 off 59 y","sub 1 on 59 1",NA,"x",NA,"sub 3 on 85 3",NA,NA,NA,NA
"28",2012-11-24,"Shrewsbury Town","1","0","league-one","H","",3886,589,16,22,"Stuart Attwell","Boundary Park",NA,NA,NA,"x","x",NA,"x","x","x y","x g 13",NA,"x",NA,NA,"x","uu",NA,NA,"uu",NA,"x y",NA,NA,"uu","x y",NA,"uu",NA,"x","uu","uu",NA,"uu",NA,NA
"29",2012-11-27,"Doncaster Rovers","0","1","league-one","A","",6066,227,16,2,"Gary Sutton","Eco Power Stadium",NA,NA,NA,"x y","x 3 off 89",NA,"x","x 2 off 73 y","x","x 1 off 73",NA,"x y","x",NA,"x red@90","uu",NA,NA,"uu",NA,"x",NA,NA,NA,"sub 2 on 73 2","sub 1 on 73 1","uu",NA,"x",NA,"uu",NA,"sub 3 on 89 3",NA,NA
"30",2012-12-01,"Doncaster Rovers","3","1","fa-cup","H","",2783,510,NA,NA,"Nigel Miller","Boundary Park",NA,NA,NA,NA,"x","uu","x g 70 77","x","x","x","x","x","x",NA,NA,"uu",NA,NA,NA,"uu","x g 45",NA,NA,NA,"uu","x","uu",NA,"x","uu",NA,NA,"uu",NA,NA
"31",2012-12-08,"Colchester United","2","0","league-one","A","",2987,142,16,17,"Iain Williamson","JobServe Stadium",NA,NA,NA,"sub 1 on 46 1","x 2 off 89","sub 3 on 89 3","x","x","x","x","x y","x g 33","x",NA,NA,NA,NA,NA,NA,"uu","x",NA,NA,NA,"uu","x 3 off 89","sub 2 on 89 2 y",NA,"x 1 off 46 y",NA,"uu",NA,"uu",NA,NA
"32",2012-12-15,"Swindon Town","0","2","league-one","H","",3345,287,16,7,"Carl Boyeson","Boundary Park",NA,NA,NA,"x 1 off 16","x","sub 3 on 69 3","x","x 2 off 55","x","x","x","x","x",NA,NA,NA,NA,NA,NA,"uu","x",NA,NA,NA,"sub 2 on 55 2","x 3 off 69","uu",NA,"sub 1 on 16 1","uu",NA,NA,"uu",NA,NA
"33",2012-12-22,"Yeovil Town","1","4","league-one","A","",3492,95,16,11,"Phil Gibbs","Huish Park",NA,NA,NA,"x","x","sub 2 on 66 2 red@82",NA,"x 2 off 66","x","x","uu","x","x g 3",NA,"x",NA,NA,NA,"uu",NA,"x","uu",NA,NA,"x","x 1 off 46","sub 1 on 46 1",NA,"uu","uu",NA,NA,NA,NA,NA
"34",2012-12-26,"Doncaster Rovers","1","2","league-one","H","",4252,792,17,4,"Robert Lewis","Boundary Park",NA,NA,NA,"x","x",NA,NA,"x","x","x","uu","x y","x",NA,"x","uu",NA,NA,"uu",NA,"x","uu",NA,NA,"x","sub 1 on 83 1","x 1 g 27 off 83",NA,"uu","uu",NA,NA,NA,NA,NA
"35",2012-12-29,"Crewe Alexandra","1","2","league-one","H","",3451,550,18,13,"Tony Harrington","Boundary Park",NA,NA,NA,"x","x 3 off 79",NA,NA,"x","x","x",NA,NA,"x",NA,"x","sub 3 on 79 3",NA,NA,"uu",NA,"x","uu",NA,"uu","x","sub 1 on 62 1","x 1 off 62",NA,"x 2 off 65","sub 2 on 65 2 g 82",NA,NA,"uu",NA,NA
"36",2013-01-01,"Scunthorpe United","2","2","league-one","A","",3116,256,19,23,"Richard Clark","Glanford Park",NA,NA,NA,"x g 35","x 2 off 74",NA,NA,"x red@68","x y","x","uu","x","x g pen 65 y",NA,"x","uu",NA,NA,"sub 2 on 74 2","uu","x",NA,NA,NA,"x","x 1 off 25","sub 1 on 25 1 y",NA,"uu","uu",NA,NA,NA,NA,NA
"37",2013-01-05,"Nottingham Forest","3","2","fa-cup","A","",11293,2841,NA,NA,"Roger East","City Ground",NA,NA,NA,"x","x 2 off 89","x 1 g 54 58 off 81",NA,NA,"x y","x y","uu","x","x g 61",NA,"x","sub 2 on 89 2",NA,NA,"uu","uu","x",NA,NA,"uu","x",NA,"x",NA,"uu","sub 1 on 81 1",NA,NA,NA,NA,NA
"38",2013-01-12,"Brentford","0","2","league-one","H","",4615,208,19,3,"Andy Haines","Boundary Park",NA,NA,NA,"x 2 off 77","x","x 1 off 72",NA,NA,NA,"x","uu","x","x y",NA,"x","sub 2 on 77 2",NA,NA,"x 3 off 84","uu","x","sub 3 on 84 3",NA,"uu","x",NA,"x",NA,"uu","sub 1 on 72 1",NA,NA,NA,NA,NA
"39",2013-01-19,"Coventry City","1","2","league-one","A","",10108,380,19,7,"Lee Collins","Ricoh Arena",NA,NA,NA,"x","x 2 off 77","x 1 off 64",NA,NA,NA,"x y","uu","x y","x",NA,"x","uu",NA,NA,"uu","uu","x",NA,NA,"x 3 off 77","x g 89 y",NA,"x",NA,"sub 2 on 77 2","sub 1 on 64 1","sub 3 on 77 3",NA,NA,NA,NA
"40",2013-01-22,"Notts County","0","1","league-one","A","",3409,80,19,12,"Mark Brown","Meadow Lane",NA,NA,NA,"x","sub 1 on 64 1","sub 3 on 64 3",NA,"x y",NA,"x y","uu","x","x",NA,"x",NA,NA,NA,"sub 2 on 64 2","uu","x",NA,NA,"uu","x y",NA,"x 1 off 64",NA,"uu","x 3 off 64","x 2 off 64",NA,NA,NA,NA
"41",2013-01-27,"Liverpool","3","2","fa-cup","H","",10295,2786,NA,NA,"Lee Probert","Boundary Park",NA,NA,NA,"x","x","x 2 off 77 y",NA,"x",NA,"x","uu","x","x",NA,"x",NA,NA,NA,"sub 1 on 10 1","uu","x g 48 y",NA,NA,"sub 3 on 84 3","x 3 g 3 45 off 84 y",NA,"x 1 off 10",NA,"uu","sub 2 on 77 2","uu",NA,NA,NA,NA
"42",2013-02-02,"Walsall","1","3","league-one","A","",4672,459,20,9,"Mick Russell","Banks's Stadium","uu","x","x g 19","x","x 2 off 78",NA,NA,"x",NA,"x","uu","x","x y",NA,"x","uu","sub 1 on 60 1",NA,"x 1 off 60","uu",NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 84 y","sub 3 on 84 3","sub 2 on 78 2",NA,NA,NA,NA
"43",2013-02-09,"Milton Keynes Dons","3","1","league-one","H","",4094,185,21,13,"Dean Whitestone","Boundary Park","uu","x g 53","x g 22","sub 3 on 89 3","x 1 off 68",NA,NA,"x","sub 1 on 68 1","x","uu","x g 44","x",NA,"x","uu","x 2 off 88",NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 89","sub 2 on 88 2",NA,NA,NA,NA,NA
"44",2013-02-16,"Everton","2","2","fa-cup","H","",9473,2784,NA,NA,"Phil Dowd","Boundary Park",NA,"x 1 off 61","x","uu","x","sub 3 on 77 3",NA,"x 2 off 66","sub 2 on 66 2","x","uu","x","x",NA,"x","uu","x 3 g 13 off 77",NA,"uu","x",NA,NA,NA,NA,"sub 1 on 61 1 g 90",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA
"45",2013-02-19,"Stevenage","2","1","league-one","A","",2748,129,20,15,"Stephen Martin","Lamex Stadium",NA,"uu","x","x 2 off 66","x","x",NA,"uu","x g 46","x","x","x","sub 2 on 76 2",NA,"uu","uu","uu",NA,"x 1 off 46","x g 60",NA,NA,NA,NA,"x",NA,NA,NA,"sub 1 on 66 1",NA,NA,NA,NA,NA,NA
"46",2013-02-23,"Portsmouth","1","0","league-one","H","",4527,468,19,24,"Mark Heywood","Boundary Park","uu","x 1 off 66","x 2 off 83","sub 3 on 86 3","x","sub 2 on 83 2",NA,NA,"x","x","uu","x","x g 11",NA,"x","uu","x y",NA,NA,"x 3 off 86",NA,NA,NA,"uu","sub 1 on 66 1",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA
"47",2013-02-26,"Everton","1","3","fa-cup","A","",32688,3949,NA,NA,"Michael Oliver","Goodison Park",NA,"x 2 off 55","x",NA,"x","sub 1 on 55 1 y",NA,"sub 3 on 76 3","x","x","uu","x","x",NA,"x","uu","x 1 off 55",NA,"uu","x",NA,NA,NA,"uu","sub 2 on 55 2 g 64",NA,NA,NA,"x 3 off 76",NA,NA,NA,NA,NA,NA
"48",2013-03-02,"Sheffield United","0","2","league-one","H","",6426,2591,21,2,"Andy Woolmer","Boundary Park","uu","sub 2 on 78 2",NA,NA,"x","x y",NA,"x 1 off 65","x","x","x","x y","x y",NA,NA,"uu","sub 1 on 65 1",NA,"uu","x",NA,NA,NA,NA,"x",NA,NA,NA,"x 2 off 78","uu",NA,NA,"uu",NA,NA
"49",2013-03-09,"Tranmere Rovers","0","1","league-one","A","",5560,593,21,4,"Tim Robinson","Prenton Park",NA,"uu","x",NA,"x","sub 1 on 59 1",NA,"x 3 off 86","sub 3 on 86 3","x","uu","x","x",NA,"x","sub 2 on 69 2","x 2 off 69",NA,"uu","x y",NA,NA,NA,NA,"x 1 off 59",NA,NA,NA,"x y","uu",NA,NA,NA,NA,NA
"50",2013-03-16,"AFC Bournemouth","0","1","league-one","H","",3540,194,21,4,"Keith Hill","Boundary Park",NA,"x 3 off 68","x",NA,"x 1 off 60","sub 3 on 68 3",NA,"x",NA,"x","uu","x","x",NA,"x","sub 1 on 60 1","x 2 off 66",NA,"uu","x y",NA,NA,NA,NA,"uu","sub 2 on 66 2",NA,NA,"x","uu",NA,NA,NA,NA,NA
"51",2013-03-19,"Hartlepool United","3","0","league-one","H","",3269,123,20,23,"Oliver Langford","Boundary Park",NA,"sub 3 on 83 3","x 3 off 83","uu","x 1 off 71","x 2 g 17 off 79",NA,"x",NA,"x","uu","x g 27","x g 69","x","x","sub 1 on 71 1","sub 2 on 79 2",NA,NA,"x",NA,NA,NA,"uu",NA,"uu",NA,NA,"x",NA,NA,NA,NA,NA,NA
"52",2013-03-29,"Swindon Town","1","1","league-one","A","",10040,278,21,4,"Andy Madley","The County Ground",NA,"sub 2 on 76 2","x 3 g 68 off 76","uu","x 1 off 72 y","x 2 off 76 y",NA,"x",NA,"x","uu","x","x","x y","x",NA,"uu",NA,NA,"x",NA,NA,"uu",NA,"sub 3 on 76 3","sub 1 on 72 1",NA,NA,"x y",NA,NA,NA,NA,NA,NA
"53",2013-04-01,"Colchester United","1","1","league-one","H","",4244,189,20,19,"Mark Haywood","Boundary Park",NA,"uu","x 2 off 64","uu","x","x y",NA,"x",NA,"x","uu","x","x g 68","x","x","uu","sub 1 on 64 1",NA,NA,"x y",NA,NA,"sub 2 on 64 2",NA,NA,"uu",NA,NA,"x 1 off 64",NA,NA,NA,NA,NA,NA
"54",2013-04-06,"Carlisle United","1","2","league-one","H","",4271,491,20,17,"Michael Naylor","Boundary Park",NA,"uu","x 3 off 46","uu",NA,"x 2 off 46 y",NA,"x",NA,"x","uu","x","x g pen 73","x","x","sub 1 on 46 1",NA,NA,NA,"x",NA,NA,"x","sub 2 on 46 2","sub 3 on 46 3","uu",NA,NA,"x 1 off 46",NA,NA,NA,NA,NA,NA
"55",2013-04-09,"Preston North End","0","2","league-one","A","",9080,844,20,15,"Scott Mathieson","Deepdale",NA,NA,"x 2 off 74","x 1 off 38","x","x",NA,"x",NA,"x","uu","x y","x y","x","x","sub 2 on 74 2",NA,NA,NA,"sub 1 on 38 1",NA,NA,"x 3 off 76","uu","sub 3 on 76 3","uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"56",2013-04-13,"Bury","1","0","league-one","A","",4558,2073,20,24,"Phil Gibbs","Gigg Lane",NA,"uu","x 2 off 64",NA,"x","x 1 off 63",NA,NA,NA,"x",NA,"x y",NA,"x","x","sub 1 on 63 1",NA,NA,"uu","x",NA,NA,"sub 3 on 89 3","x","sub 2 on 64 2 g 79","x 3 off 89",NA,"uu","x y",NA,NA,NA,"uu",NA,NA
"57",2013-04-16,"Yeovil Town","1","0","league-one","H","",3888,164,19,5,"Jeremy Simpson","Boundary Park",NA,"uu","x y",NA,"x 2 off 83","x y",NA,NA,NA,"x","uu","x",NA,"x","x","sub 1 on 78 1 y",NA,NA,"uu",NA,NA,NA,"sub 2 on 83 2 y","x","x 1 g 45 off 78","uu",NA,"x","x",NA,NA,"uu",NA,NA,NA
"58",2013-04-20,"Crawley Town","2","1","league-one","H","",4794,NA,18,13,"Robert Madley","Boundary Park",NA,NA,"x 1 off 64",NA,"x y","x",NA,NA,NA,"x","uu","x g 90","sub 2 on 69 2","x","x","sub 1 on 64 1",NA,NA,"uu",NA,NA,NA,"uu","x","x 2 g 56 off 69","uu",NA,"x","x y",NA,NA,"uu",NA,NA,NA
"59",2013-04-23,"Shrewsbury Town","0","1","league-one","A","",5332,NA,19,18,"Eddie Ilderton","Greenhous Meadow",NA,NA,NA,"x","x","sub 1 on 25 1",NA,NA,NA,"x 1 off 25","x","x y","x","sub 2 on 64 2","uu","x",NA,NA,"x 2 off 64",NA,NA,"uu","x 3 off 72",NA,NA,"x y",NA,"uu","uu",NA,NA,"x",NA,"sub 3 on 72 3 y",NA
"60",2013-04-27,"Leyton Orient","1","1","league-one","A","",5191,NA,19,7,"Fred Graham","Brisbane Road",NA,"uu",NA,"uu","x 1 off 71 y","sub 1 on 71 1",NA,NA,NA,NA,"uu","x","x","x y","x","x g 46",NA,NA,"x",NA,NA,NA,"sub 2 on 76 2",NA,NA,"x",NA,"x","x 3 off 79",NA,NA,"uu",NA,"x 2 off 76","sub 3 on 79 3"
