"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Peter Clarke","Paul Jason Green","Brian Wilson","Anthony Gerrard","Lee Croft","Chris Taylor","Josh Law","Temitope Obadeyi","Ryan Flynn","Billy Mckay","Ollie Banks","Carl Winchester","Connor Ripley","Chris Kettings","Aaron Amadi-Holloway","Lee Erwin","Jamie Reckord","Charles Dunne","Freddie Ladapo","Jake Cassidy","Ryan McLaughlin","Michael Ngoo","Luke Woodland","Marc Klok","Calaum Jahraldo-Martin","Cameron Dummigan","Cameron Burgess","Darius Osei","George Edmundson","Rob Hunt","Ousmane Fane","Kallum Mantack","Jamie Stott","Aiden O&#039;Neill","Dylan King","Brendy Glackin"
"15",2016-09-17,"Coventry City","0","0","league-one","A","",8813,453,19,24,"Christopher Sarginson","Ricoh Arena","x","x y","x",NA,"sub 1 on 45 1",NA,"x 1 off 45",NA,"sub 3 on 81 3","uu","x",NA,"x","uu",NA,"x",NA,"x y","x 2 off 67",NA,"uu",NA,NA,"x 3 off 81",NA,"uu","x","sub 2 on 67 2",NA,NA,NA,NA,NA,NA,NA,NA
"16",2016-09-24,"Swindon Town","0","2","league-one","H","",3403,178,22,17,"Mark Haywood","Boundary Park","x","x","uu",NA,"x 2 off 45",NA,"x",NA,"uu","sub 3 on 56 3","x y",NA,"x","uu",NA,"x 3 off 56",NA,"x","x",NA,"uu",NA,NA,"x 1 off 45",NA,NA,"x y","sub 2 on 45 2",NA,NA,"sub 1 on 45 1 y",NA,NA,NA,NA,NA
"17",2016-09-27,"Charlton Athletic","1","1","league-one","A","",8745,185,23,12,"Nick Kinseley","The Valley","x g 83","x",NA,NA,NA,NA,"uu",NA,"x 3 off 87","x","uu",NA,"x","uu",NA,"sub 1 on 64 1","x","uu","x 1 off 64",NA,"x 2 off 73",NA,NA,"sub 3 on 87 3",NA,"x","x","sub 2 on 73 2",NA,NA,"x",NA,NA,NA,NA,NA
"18",2016-10-01,"Milton Keynes Dons","0","2","league-one","H","",3273,193,24,9,"Jeremy Simpson","Boundary Park","x y","x",NA,NA,NA,NA,"uu",NA,"x y","x","uu","uu","x","uu",NA,"sub 2 on 45 2","x 1 off 45","sub 1 on 45 1","x 3 off 68",NA,"x",NA,NA,NA,NA,"x","x","sub 3 on 68 3",NA,NA,"x 2 off 45",NA,NA,NA,NA,NA
"19",2016-10-04,"Fleetwood Town","2","0","efl-trophy","A","",793,NA,NA,NA,"Darren Bond","Highbury Stadium","x","x 2 off 73 y","x",NA,"sub 2 on 73 2",NA,"uu",NA,"x","x 3 g 32 off 77","sub 1 on 73 1","x 1 off 73","x","uu",NA,"x g 38 y","x y",NA,"sub 3 on 77 3",NA,NA,NA,NA,"uu",NA,NA,"x","uu",NA,NA,"x",NA,NA,NA,NA,NA
"20",2016-10-08,"Gillingham","2","1","league-one","A","",6435,127,21,13,"Kevin Johnson","Priestfield Stadium","x","x","x",NA,"sub 1 on 59 1",NA,"uu",NA,"x g 89","x 2 off 61","sub 3 on 89 3","x 1 off 59","x","uu",NA,"x 3 off 89","x",NA,"sub 2 on 61 2 g 65 y",NA,NA,NA,NA,"uu",NA,NA,"x","uu",NA,NA,"x",NA,NA,NA,NA,NA
"21",2016-10-15,"Bolton Wanderers","0","2","league-one","A","",14891,2097,22,3,"Carl Boyeson","University of Bolton Stadium","x","x","x 2 off 79",NA,NA,NA,NA,NA,"x","x 1 off 58","uu","x","x","uu",NA,"x","x","uu","sub 1 on 58 1",NA,NA,NA,NA,"uu","sub 3 on 79 3","sub 2 on 79 2","x y",NA,NA,NA,"x 3 off 79",NA,NA,NA,NA,NA
"22",2016-10-18,"Scunthorpe United","2","0","league-one","H","",2911,394,21,1,"Darren England","Boundary Park","x","x","uu",NA,NA,NA,NA,NA,"x","sub 3 on 89 3","uu","x 1 off 70","x","uu",NA,"x 3 g 45 off 89","x",NA,"x 2 g 42 off 79",NA,NA,NA,NA,"sub 1 on 70 1","uu","x y","x","sub 2 on 79 2",NA,NA,"x",NA,NA,NA,NA,NA
"23",2016-10-22,"Bristol Rovers","0","2","league-one","H","",4394,859,22,5,"Seb Stockbridge","Boundary Park","x","x 3 off 83","uu",NA,NA,NA,NA,NA,"x y","uu","uu","x 1 off 58","x","uu",NA,"x","x",NA,"x 2 off 75",NA,"sub 1 on 58 1",NA,NA,NA,"sub 3 on 83 3","x","x","sub 2 on 75 2",NA,NA,"x",NA,NA,NA,NA,NA
"24",2016-10-29,"Rochdale","0","1","league-one","A","",5204,1998,22,6,"Tony Harrington","Spotland","x","x 2 off 73","uu",NA,NA,NA,NA,NA,"x","sub 1 on 45 1","uu","sub 2 on 73 2","x","uu",NA,"x","x",NA,"x 1 off 45",NA,"x y",NA,NA,NA,"sub 3 on 89 3","x y","x y","uu",NA,NA,"x 3 off 89",NA,NA,NA,NA,NA
"25",2016-11-05,"Doncaster Rovers","2","1","fa-cup","H","",2984,499,NA,NA,"David Webb","Boundary Park","x","x 2 off 29","uu",NA,NA,NA,"sub 3 on 77 3",NA,"sub 1 on 9 1 g 45","x g 53","x","x 1 off 9","x","uu",NA,"x 3 off 77",NA,"x",NA,NA,"x",NA,NA,NA,"uu","x y","x","uu",NA,NA,"sub 2 on 29 2",NA,NA,NA,NA,NA
"26",2016-11-08,"Blackburn Rovers","2","2","efl-trophy","A","",471,NA,NA,NA,"Robert Jones","Ewood Park",NA,NA,"x g 67",NA,"sub 1 on 45 1",NA,"x",NA,"x 3 off 65","x","x",NA,"x","uu",NA,NA,"x 1 off 45","x","sub 2 on 45 2 g 49",NA,"sub 3 on 65 3",NA,NA,"uu","x 2 off 45",NA,"x","uu",NA,NA,"x y",NA,NA,NA,"uu",NA
"27",2016-11-12,"AFC Wimbledon","0","0","league-one","H","",3856,488,22,9,"Darren Deadman","Boundary Park","x",NA,"uu",NA,"sub 1 on 53 1",NA,"uu",NA,"x","x 2 off 66","x","uu","x","uu",NA,"x 1 off 53",NA,"x","sub 2 on 66 2",NA,"x",NA,NA,NA,NA,"x","x","uu",NA,NA,"x",NA,NA,NA,NA,NA
"28",2016-11-19,"Scunthorpe United","0","1","league-one","A","",4323,NA,22,1,"Graham Salisbury","Glanford Park","x","x y red@65","uu",NA,"sub 2 on 73 2",NA,"uu",NA,"x","x 1 off 68","x y","uu","x y","uu",NA,"sub 3 on 85 3",NA,"x","x",NA,"x 2 off 73",NA,NA,NA,NA,"x 3 off 85","x",NA,NA,NA,"sub 1 on 68 1 y",NA,NA,NA,NA,NA
"29",2016-11-22,"Port Vale","2","2","league-one","A","",3152,148,22,12,"Darren England","Vale Park","x",NA,NA,NA,"sub 2 on 82 2",NA,"x",NA,"x 3 off 82","x","x g 48","sub 1 on 70 1 g 90 y","x","uu",NA,"sub 3 on 82 3","uu","x","x",NA,"x 2 off 82",NA,NA,"uu",NA,NA,"x","uu",NA,NA,"x 1 off 70 y",NA,NA,NA,NA,NA
"30",2016-12-05,"Lincoln City","2","3","fa-cup","A","",7012,415,NA,NA,"Gavin Ward","Sincil Bank","x g 70","x",NA,NA,"sub 1 on 55 1",NA,"uu",NA,NA,"sub 2 on 66 2 g 73","x y","x 1 off 55","x","uu",NA,"x y","x 2 off 66","uu","x 3 off 77",NA,"x",NA,NA,NA,NA,"x y","x","sub 3 on 77 3",NA,NA,"uu",NA,NA,NA,NA,NA
"31",2016-12-10,"Oxford United","1","1","league-one","A","",7430,449,22,14,"Brett Huxtable","Kassam Stadium","x","x","sub 3 on 85 3",NA,"sub 2 on 68 2",NA,"x",NA,"x 2 off 68","x 1 off 52","x y",NA,"x y","uu",NA,"sub 1 on 52 1",NA,"x",NA,NA,"x 3 off 85 y",NA,NA,NA,NA,"uu","x g 10","uu",NA,NA,"x y red@58",NA,NA,NA,"uu",NA
"32",2016-12-13,"Walsall","3","1","efl-trophy","A","",925,71,NA,NA,"Nigel Miller","Banks's Stadium","x",NA,"uu",NA,"sub 2 on 45 2 g 69",NA,"x",NA,"x 2 off 45","x","x","sub 1 on 45 1","x","uu",NA,"sub 3 on 73 3 g 89",NA,"x y","x 3 off 73",NA,"x 1 off 45",NA,NA,NA,NA,"uu","x g 73","uu",NA,NA,"x",NA,NA,NA,NA,NA
"33",2016-12-17,"Southend United","0","2","league-one","H","",3414,284,24,7,"Christopher Sarginson","Boundary Park","x y","x 2 off 45","uu",NA,"sub 2 on 45 2 y",NA,"x",NA,"x 3 off 66","x","x","sub 1 on 45 1 y","x","uu",NA,"sub 3 on 66 3",NA,"x","x",NA,"x 1 off 45",NA,NA,NA,NA,"uu","x","uu",NA,NA,NA,NA,NA,NA,NA,NA
"34",2016-12-26,"Sheffield United","0","2","league-one","A","",25821,538,24,2,"Mark Heywood","Bramall Lane","x","x 3 off 88","x",NA,"sub 2 on 81 2",NA,"x",NA,"x y","x","uu","sub 3 on 88 3","x","uu",NA,NA,NA,"x 2 off 81","sub 1 on 74 1",NA,"x",NA,NA,NA,NA,"x y","uu","x 1 off 74 y","uu",NA,NA,NA,NA,NA,NA,NA
"35",2016-12-31,"Fleetwood Town","0","1","league-one","A","",3189,NA,24,8,"Darren Handley","Highbury Stadium","x","x 1 off 65","x",NA,"sub 1 on 65 1",NA,"x",NA,"x 3 off 76","x","sub 3 on 76 3","uu","x","uu",NA,NA,NA,NA,"sub 2 on 72 2",NA,"x",NA,NA,NA,NA,"x","x y","x 2 off 72","uu",NA,"uu",NA,NA,NA,NA,NA
"36",2017-01-02,"Port Vale","0","0","league-one","H","",3451,435,24,15,"Richard Clark","Boundary Park","x","sub 3 on 65 3","x",NA,"x",NA,"uu",NA,"x 1 off 62","sub 2 on 62 2","x 3 off 65 y","sub 1 on 62 1","x","uu",NA,NA,NA,NA,"x 2 off 62",NA,"x",NA,NA,NA,NA,"uu","x","x","uu",NA,"x",NA,NA,NA,NA,NA
"37",2017-01-10,"Mansfield Town","0","2","efl-trophy","A","",1343,149,NA,NA,"Darren Drysdale","Field Mill","x","x 3 off 70","x y",NA,"x 2 off 61",NA,"x y",NA,"x 1 off 61","sub 2 on 61 2","sub 1 on 61 1","sub 3 on 70 3","x","uu",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"uu",NA,"x","x y",NA,"x",NA,NA,NA,"uu","uu"
"38",2017-01-14,"Gillingham","1","0","league-one","H","",3475,248,23,17,"Dean Whitestone","Boundary Park","x","sub 2 on 80 2","x y",NA,NA,NA,"x g 39",NA,"x","x 2 off 80","sub 1 on 60 1",NA,"x","uu",NA,"x 1 off 60","uu",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,"uu","x",NA,"x",NA,NA,NA,"uu","sub 3 on 88 3"
"39",2017-01-21,"Shrewsbury Town","0","1","league-one","A","",5537,739,23,20,"Mark Haywood","Greenhous Meadow","x y","uu","x","x y",NA,NA,"x",NA,"x","x 3 off 71","sub 2 on 58 2",NA,"x","uu","sub 1 on 57 1","sub 3 on 71 3","uu",NA,NA,NA,"x","x 1 off 57",NA,NA,NA,"x 2 off 58",NA,NA,"uu",NA,"x y",NA,NA,NA,NA,NA
"40",2017-01-24,"Peterborough United","2","0","league-one","H","",7224,442,23,8,"Robert Lewis","Boundary Park","x","x g pen 69","x","x y",NA,NA,"uu",NA,"x y","sub 1 on 88 1","x",NA,"x","uu","x 2 off 89 y","uu","x",NA,NA,NA,"x 1 g 82 off 88","sub 2 on 89 2",NA,NA,NA,NA,NA,NA,"uu",NA,"x","uu",NA,NA,NA,NA
"41",2017-01-28,"Bradford City","1","2","league-one","H","",6516,2871,NA,NA,"Nigel Miller","Boundary Park","x","x","x g 44","x",NA,NA,"uu",NA,"x 1 off 61","sub 1 on 61 1","x 3 off 84 y",NA,"x y","uu","x","uu","x",NA,NA,NA,"x 2 off 84","sub 3 on 84 3",NA,NA,NA,NA,NA,NA,"uu","sub 2 on 84 2","x",NA,NA,NA,NA,NA
"42",2017-02-04,"Chesterfield","1","0","league-one","A","",6375,883,21,23,"Ross Joyce","Proact Stadium","x g 90 y","sub 1 on 45 1","x","x y red@45",NA,"x 2 off 78","uu","sub 2 on 78 2","x 1 off 45",NA,"uu",NA,"x y",NA,"x 3 off 89 y",NA,"uu",NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,"sub 3 on 89 3",NA,"x","x",NA,NA,"x",NA,NA
"43",2017-02-07,"Milton Keynes Dons","0","1","league-one","A","",7598,209,21,14,"Darren Handley","Stadium:mk","x y","x 3 off 89","x",NA,"sub 3 on 89 3","x 2 off 83","uu","x 1 off 60","sub 2 on 83 2",NA,"uu",NA,"x",NA,"x",NA,"uu",NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,"sub 1 on 60 1",NA,"x","x",NA,NA,"x",NA,NA
"44",2017-02-11,"Coventry City","3","2","league-one","H","",3766,389,20,24,"Ben Toner","Boundary Park","x g 66","sub 1 on 19 1","x","x","uu","x",NA,"uu","x 2 off 60",NA,"sub 2 on 60 2",NA,"x","uu","x 1 off 19",NA,NA,NA,NA,NA,"x g 70","sub 3 on 60 3",NA,NA,NA,NA,NA,"uu",NA,"x","x 3 off 60",NA,NA,"x",NA,NA
"45",2017-02-14,"Charlton Athletic","1","0","league-one","H","",2946,204,19,13,"Mark Brown","Boundary Park","x","x","x","x","uu","x","uu","uu","uu",NA,"x 2 g 4 off 89",NA,"x",NA,NA,"x 1 off 79",NA,NA,NA,NA,"x","sub 1 on 79 1",NA,NA,NA,NA,NA,"uu",NA,"x","sub 2 on 89 2",NA,NA,"x",NA,NA
"46",2017-02-18,"Swindon Town","0","0","league-one","A","",6773,NA,19,22,"Robert Lewis","The County Ground","x","uu","x",NA,"sub 1 on 81 1","x","x","uu","uu",NA,"x",NA,"x","uu","x 2 off 82","uu",NA,NA,NA,NA,"x 1 off 81","sub 2 on 82 2",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"x y",NA,NA
"47",2017-02-25,"Millwall","0","0","league-one","H","",3856,480,20,7,"Carl Boyeson","Boundary Park","x","x","x",NA,"uu","x y","uu","x 1 off 70","sub 1 on 70 1",NA,"x",NA,"x",NA,"x 3 off 79","uu",NA,NA,NA,NA,"x","sub 3 on 79 3 y",NA,NA,NA,NA,NA,NA,"uu","x","sub 2 on 79 2",NA,NA,"x 2 off 79 y",NA,NA
"48",2017-02-28,"Northampton Town","2","1","league-one","A","",4686,197,20,17,"Brett Huxtable","Sixfields Stadium","x","x",NA,"x",NA,"sub 1 on 68 1","uu","x 2 g 23 off 68","x 1 off 68",NA,"x y",NA,"x","uu","x","sub 2 on 68 2 g 90 y",NA,NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,NA,"uu","x","sub 3 on 78 3",NA,NA,"x 3 off 78",NA,NA
"49",2017-03-04,"Walsall","0","2","league-one","A","",6003,616,20,12,"John Brooks","Banks's Stadium","x y","x 1 off 64","x y red@82","x","x red@16","uu","uu","x 2 off 86","uu",NA,NA,NA,"x","uu","x","sub 2 on 86 2",NA,NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,NA,NA,"x","sub 1 on 64 1",NA,NA,"x",NA,NA
"50",2017-03-11,"Bury","0","0","league-one","H","",5776,1388,20,19,"Darren Bond","Boundary Park","x","x",NA,"x",NA,"x","uu","x","sub 1 on 80 1",NA,"x",NA,"x","uu","x","uu","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"uu","uu",NA,"uu",NA,NA,"x 1 off 80",NA,NA
"51",2017-03-14,"Oxford United","2","1","league-one","H","",3124,380,20,10,"Darren Drysdale","Boundary Park","x","x","x","x y",NA,"x 3 off 89","sub 1 on 42 1","sub 2 on 79 2","uu",NA,"x y",NA,"x",NA,"x","x 2 g 36 70 off 79",NA,NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,"uu",NA,"x 1 off 42","sub 3 on 89 3",NA,NA,"uu",NA,NA
"52",2017-03-18,"Peterborough United","1","1","league-one","A","",4222,332,19,12,"Lee Swabey","London Road","x","x","x","x 2 off 82",NA,"x","uu","sub 1 on 65 1","uu",NA,"x",NA,"x","uu","x 1 off 65","x 3 g 11 off 83","sub 2 on 82 2",NA,NA,NA,"x","sub 3 on 83 3",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,"x",NA,NA
"53",2017-03-25,"Sheffield United","1","1","league-one","H","",8448,1118,18,1,"Eddie Ilderton","Boundary Park","x","x","x 1 off 45","x","uu","x","x","x g 44","sub 3 on 89 3",NA,"x",NA,"x","uu",NA,"x 2 off 86",NA,NA,NA,NA,NA,"sub 2 on 86 2",NA,NA,NA,NA,NA,"uu","sub 1 on 45 1",NA,"x 3 off 89 y","uu",NA,NA,NA,NA
"54",2017-04-01,"Southend United","0","3","league-one","A","",7617,285,19,6,"Kevin Johnson","Roots Hall","x","x 3 off 86 y",NA,"x","uu","x","x 2 off 82","x","sub 2 on 82 2",NA,"x y",NA,"x y","uu",NA,"x",NA,NA,NA,NA,"x y","sub 1 on 79 1",NA,NA,NA,NA,NA,NA,"uu",NA,"x 1 off 79","uu",NA,"sub 3 on 86 3",NA,NA
"55",2017-04-08,"Fleetwood Town","2","0","league-one","H","",3933,425,17,3,"Nigel Miller","Boundary Park","x","x","x","x y","uu","x","uu","sub 3 on 88 3","uu",NA,"x 2 off 87",NA,"x",NA,"x 1 off 60","x 3 g 55 off 88 y",NA,NA,NA,NA,"x","sub 1 on 60 1",NA,NA,NA,NA,NA,NA,"uu",NA,"x",NA,NA,"sub 2 on 87 2",NA,NA
"56",2017-04-15,"Bolton Wanderers","1","0","league-one","H","",8788,NA,17,2,"Peter Bankes","Boundary Park","x","x","x",NA,"uu",NA,"uu","x","uu",NA,"x",NA,"x","uu",NA,"x g 76",NA,NA,NA,NA,"x","x y red@64",NA,NA,NA,NA,NA,NA,"uu",NA,"x",NA,"x","uu",NA,NA
"57",2017-04-17,"Bristol Rovers","0","1","league-one","A","",9083,NA,17,9,"Christopher Sarginson","The Memorial Stadium","x","sub 1 on 64 1","x",NA,"sub 3 on 87 3","x","uu","x 1 off 64","x",NA,"x 3 off 87",NA,"x","uu",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,"sub 2 on 65 2","uu","x","x 2 off 65",NA,NA
"58",2017-04-22,"Rochdale","1","1","league-one","H","",6865,NA,17,8,"Kevin Friend","Boundary Park","x g 67","x","x",NA,"uu","x 2 off 64","sub 2 on 64 2","sub 1 on 54 1","uu",NA,"x 3 off 84",NA,"x","uu","x","x 1 off 54",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,"x y",NA,"x","sub 3 on 84 3",NA,NA
"59",2017-04-26,"Celebrity Xi",NA,NA,"Friendly","H","",244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2017-04-30,"AFC Wimbledon","0","0","league-one","A","",4867,NA,17,15,"Nick Kinseley","The Cherry Red Records Stadium","x","uu","uu",NA,"x 2 off 63","sub 1 on 51 1","x","x","x",NA,"sub 3 on 70 3",NA,"x","uu",NA,"uu",NA,NA,NA,NA,"sub 2 on 63 2","x 3 off 70 y",NA,NA,NA,NA,NA,NA,"x",NA,"x 1 off 51",NA,"x","x",NA,NA
