"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Paul Dickov","Paul Gerrard","Sean Gregan","Andy Todd","Jason Jarrett","Reuben Hazell","Warren Feeney","Dean Brill","Andy Holdsworth","Greg Fleming","Ritchie Jones","Filipe Alexandre Morais","Chris Taylor","Reuben Reid","Joe Jacobson","Dean Furman","Neal Trotman","Kieran Lee","Dale Stephens","Deane Smalley","Lewis Alessandra","Jean-Francois Christophe","Paul Black","Jean-Yves Mvoto","Josh Ollerenshaw","Aidan White","Ben Amos","Ryan Brooke","Djeny Bembo-Leta","Phillip McGrath","Sam Mantom","Kirk Millar","Medi Abalimba","Dean Kelly","Oumare Tounkara","Andrew Crompton","Rodrigue Dikaba","Rod Mcdonald","Cedric Evina","Carl Winchester","Ryan Burns","Jason Lowe","James Tarkowski","Tamas Flozman","Connor Hughes","David Mellor"
"11",2010-08-21,"Charlton Athletic","1","1","league-one","A","",14842,545,2,3,"Rob Shoebridge","The Valley",NA,"uu",NA,NA,"x y red@87","x","sub 2 on 67 2","x","uu",NA,"x",NA,"x 1 off 64",NA,NA,"x g 45",NA,"x","x","sub 1 on 64 1",NA,NA,"x","sub 3 on 89 3",NA,NA,NA,NA,"x 2 off 67",NA,NA,NA,NA,"uu","x 3 off 89",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2010-08-28,"Yeovil Town","0","0","league-one","H","",4180,168,4,16,"Oliver Langford","Boundary Park",NA,"uu",NA,NA,NA,"x y","x 1 off 62","x","uu",NA,"x",NA,"x 2 off 73",NA,NA,"x 3 off 81 y",NA,"x","x","sub 2 on 73 2",NA,NA,"x","x",NA,NA,NA,NA,"sub 1 on 62 1",NA,NA,NA,NA,"sub 3 on 81 3","x",NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA
"13",2010-08-31,"Shrewsbury Town","0","1","efl-trophy","H","",2703,265,NA,NA,"Gary Sutton","Boundary Park",NA,NA,NA,NA,NA,"x 1 off 44 y",NA,"x",NA,NA,NA,NA,"x",NA,NA,"x",NA,"x","x","x 3 off 64",NA,NA,"x","x","uu",NA,NA,NA,"x",NA,NA,"uu",NA,"x 2 off 63","sub 2 on 63 2",NA,"sub 3 on 64 3","sub 1 on 44 1",NA,NA,NA,NA,NA,NA,NA,NA
"14",2010-09-04,"Bristol Rovers","1","1","league-one","H","",4039,219,3,17,"Geoff Eltringham","Boundary Park","sub 2 on 86 2 y","uu","uu",NA,"x",NA,NA,"x","uu",NA,NA,NA,"x g 45",NA,"sub 1 on 75 1","x",NA,"x","x","uu",NA,NA,"x","x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,"x 2 off 86","x",NA,"x 1 off 75",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2010-09-11,"Peterborough United","2","5","league-one","A","",6337,381,10,1,"Graham Horwood","London Road",NA,"uu","uu",NA,"x y","x","x","x",NA,NA,"x g 19 y",NA,"x g 38",NA,"uu","x y",NA,"x y","x 2 off 85","sub 1 on 78 1",NA,NA,"x 1 off 78","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 85 2","x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2010-09-18,"AFC Bournemouth","2","1","league-one","H","",3912,285,6,7,"Craig Pawson","Boundary Park",NA,"uu","uu",NA,"sub 3 on 89 3","x y","x 3 off 89 y","x",NA,NA,"x 1 off 56",NA,"x",NA,NA,"x 2 off 74",NA,"x g 78","x",NA,"sub 1 on 56 1",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,"sub 2 on 74 2","x g 81",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2010-09-25,"Brighton &amp; Hove Albion","1","2","league-one","A","",7148,152,NA,NA,"Andy Penn","Withdean Stadium",NA,"uu",NA,NA,"uu","x",NA,"x",NA,NA,"x",NA,"x y",NA,"uu","x y",NA,"x y","x",NA,"x 1 g 30 off 79","uu","x y","x y",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"sub 1 on 79 1","x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2010-09-28,"Sheffield Wednesday","0","0","league-one","A","",16609,1165,9,16,"David Webb","Hillsborough",NA,"uu",NA,NA,"uu","x y",NA,"x",NA,NA,"x",NA,"x",NA,"uu","x",NA,"x","x",NA,"x","uu","x","x",NA,NA,NA,"sub 1 on 82 1",NA,NA,NA,NA,NA,"uu","x 1 off 82 y",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2010-10-02,"Leyton Orient","1","1","league-one","H","",3806,144,12,22,"Robert Madley","Boundary Park",NA,"uu","sub 3 on 85 3",NA,"x 3 off 85",NA,"sub 1 on 67 1","x","uu",NA,"x 1 off 67",NA,"x g 40",NA,NA,"x",NA,"x","x",NA,"x","uu","x","x",NA,NA,NA,"sub 2 on 75 2",NA,NA,NA,NA,NA,"uu","x 2 off 75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2010-10-09,"Brentford","3","1","league-one","A","",5339,322,7,24,"Keith Stroud","Griffin Park","uu","uu",NA,NA,"x",NA,NA,"x","uu",NA,"x",NA,"x 1 g 46 off 84 y",NA,NA,"x g 14",NA,"x y","x g pen 65",NA,"x y","sub 1 on 84 1","uu","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"sub 2 on 87 2","x 2 off 87 y",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA
"21",2010-10-16,"Colchester United","0","0","league-one","H","",4136,177,8,10,"Peter Quinn","Boundary Park",NA,"uu",NA,NA,"uu","x","uu","x",NA,NA,"x",NA,"x",NA,NA,"x y",NA,"x","x y",NA,"x 2 off 62","uu","sub 1 on 62 1","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"sub 2 on 62 2","x",NA,NA,NA,"x 1 off 62 y",NA,NA,NA,NA,NA,NA,NA
"22",2010-10-23,"Southampton","1","2","league-one","A","",20968,409,13,14,"Andy D'Urso","St. Mary's Stadium",NA,"uu",NA,NA,"uu","x","x 3 off 86 y","x",NA,NA,"x 2 off 79",NA,"x",NA,NA,"x g 22",NA,"x y","x",NA,"sub 2 on 79 2","uu","x y","x",NA,NA,NA,"sub 3 on 86 3",NA,NA,NA,NA,NA,"sub 1 on 60 1","x 1 off 60",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"23",2010-10-30,"Plymouth Argyle","4","2","league-one","H","",4080,428,8,21,"Eddie Ilderton","Boundary Park",NA,"uu",NA,NA,"uu","x","sub 3 on 76 3","x",NA,NA,"x 2 off 61","sub 1 on 46 1","x y",NA,"uu","x",NA,"x","x g pen 5",NA,"x 1 off 46","uu",NA,"x g 90",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 61 2 g 90","x g 64",NA,NA,NA,"x 3 off 76",NA,NA,NA,NA,NA,NA,NA
"24",2010-11-06,"Accrington Stanley","2","3","fa-cup","A","",2275,NA,NA,NA,"David Webb","-",NA,"uu",NA,NA,"x 1 off 46","x","sub 2 on 61 2 g 69","x",NA,NA,"x 3 off 65",NA,"x y",NA,NA,"uu",NA,"uu","x g pen 75",NA,"sub 3 on 65 3","uu","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 2 off 61",NA,"sub 1 on 46 1",NA,"x","x",NA,NA,NA,NA,NA,NA
"25",2010-11-13,"Huddersfield Town","1","0","league-one","H","",7723,3665,11,5,"Simon Hooper","Boundary Park",NA,"uu",NA,NA,"uu","x y",NA,"x",NA,NA,"sub 1 on 80 1","x 1 off 80","x",NA,"uu","x y",NA,"x","x",NA,NA,NA,"x","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"sub 2 on 85 2","x g 24",NA,NA,NA,"x 2 off 85","uu",NA,NA,NA,NA,NA,NA
"26",2010-11-20,"Dagenham &amp; Redbridge","1","0","league-one","A","",2239,404,NA,NA,"Kevin Wright","-",NA,"uu",NA,NA,"uu","x","uu","x",NA,NA,"x",NA,"x",NA,"uu",NA,NA,NA,"x",NA,"uu",NA,"x","x",NA,"x g 57",NA,"uu",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"x","x","uu",NA,NA,NA,NA,NA
"27",2010-11-23,"Exeter City","3","3","league-one","H","",3561,152,8,11,"David Coote","Boundary Park",NA,"uu",NA,NA,"uu","x","sub 2 on 78 2","x",NA,NA,"sub 1 on 74 1",NA,"x 2 g 42 off 78",NA,NA,"x",NA,NA,"x",NA,"sub 3 on 83 3",NA,"x","x",NA,"x 1 g 8 off 74",NA,"uu",NA,NA,NA,NA,NA,"uu","x g 17",NA,NA,NA,"x 3 off 83","x",NA,NA,NA,NA,NA,NA
"28",2010-11-27,"Rochdale","1","1","league-one","A","",6483,3204,6,15,"Anthony Bates","Spotland",NA,"uu",NA,NA,"uu","x","uu","x",NA,NA,NA,NA,"x",NA,NA,"x","uu","x","x",NA,"uu",NA,"x","x y",NA,"x",NA,NA,NA,NA,NA,NA,NA,"sub 1 on 73 1 y","x",NA,NA,NA,"x 1 g 16 off 73","uu",NA,NA,NA,NA,NA,NA
"29",2011-01-01,"Hartlepool United","2","4","league-one","A","",3411,433,12,7,"Andy Haines","Victoria Park",NA,NA,NA,NA,NA,"x y","uu","x",NA,"uu","sub 2 on 65 2 y","x 2 off 65","x y",NA,NA,"x 1 off 65","uu","x","x g 18",NA,NA,NA,"x","x g 81 y",NA,"x 3 off 77",NA,"sub 3 on 77 3",NA,NA,NA,NA,NA,"uu","x",NA,NA,NA,"sub 1 on 65 1",NA,NA,NA,NA,NA,NA,NA
"30",2011-01-03,"Rochdale","1","2","league-one","H","",7251,1891,12,16,"Anthony Taylor","Boundary Park",NA,NA,NA,NA,NA,"x","uu","x",NA,"uu",NA,"x","x 3 off 83",NA,NA,"x g 87","sub 1 on 20 1 y","x","x y",NA,NA,NA,"uu","x 1 off 20",NA,"x 2 off 78",NA,"sub 2 on 78 2",NA,NA,NA,"sub 3 on 83 3",NA,"uu","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"31",2011-01-08,"Swindon Town","2","0","league-one","H","",3573,281,9,18,"Fred Graham","Boundary Park",NA,NA,NA,NA,"uu","x","uu","uu","uu",NA,"uu","x 2 off 89","x g 4",NA,NA,"x y","x","x y","x g pen 88",NA,NA,NA,"x",NA,NA,NA,"x","sub 2 on 89 2",NA,NA,NA,"sub 1 on 76 1",NA,NA,"x",NA,NA,NA,"x 1 off 76",NA,NA,NA,NA,NA,NA,NA
"32",2011-01-11,"Southampton","0","6","league-one","H","",3767,463,9,2,"Geoff Eltringham","Boundary Park",NA,NA,NA,NA,"uu","x","sub 3 on 70 3 y","uu","uu",NA,"uu","x 2 off 56","x",NA,NA,"x 3 off 70 y","x","x","x",NA,NA,NA,"x",NA,NA,NA,"x","sub 2 on 56 2",NA,NA,NA,"sub 1 on 46 1",NA,NA,"x",NA,NA,NA,"x 1 off 46",NA,NA,NA,NA,NA,NA,NA
"33",2011-01-15,"Plymouth Argyle","2","0","league-one","A","",8106,179,8,17,"Pat Miller","Home Park",NA,NA,NA,NA,NA,"x","x","uu","uu",NA,"x","uu","x",NA,NA,"x","x y","x","x g 47",NA,NA,NA,"x",NA,NA,NA,"x","uu",NA,NA,NA,"uu",NA,NA,"x g 72",NA,NA,NA,"uu",NA,NA,NA,"uu",NA,NA,NA
"34",2011-01-22,"Brentford","2","1","league-one","H","",3759,199,8,16,"Christopher Sarginson","Boundary Park",NA,NA,NA,NA,NA,"x","x 1 off 57","uu",NA,NA,"x","sub 1 on 57 1 g 70","x",NA,NA,"x","x 2 off 80","x","x",NA,NA,NA,"x",NA,NA,NA,"x","uu",NA,NA,NA,"uu",NA,NA,"x g 40",NA,NA,NA,"uu","uu",NA,NA,"sub 2 on 80 2",NA,NA,NA
"35",2011-01-25,"Walsall","1","1","league-one","A","",3247,402,7,24,"Roger East","Banks's Stadium",NA,NA,NA,NA,NA,"x y",NA,"uu","uu",NA,"x 1 off 70","x 2 g 39 off 89","x",NA,NA,"x","x","x","x",NA,"uu",NA,"x",NA,NA,NA,"x","sub 2 on 89 2",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"sub 1 on 70 1","uu",NA,NA,NA,"uu",NA,NA
"36",2011-01-29,"Carlisle United","2","2","league-one","A","",5389,337,5,11,"Craig Pawson","Brunton Park",NA,NA,NA,"sub 1 on 79 1",NA,"x y",NA,"uu",NA,NA,"uu","x","x g 33","sub 2 on 88 2",NA,"x y","x","x","x",NA,"uu",NA,"x",NA,NA,"x 1 g 8 off 79","x",NA,NA,NA,NA,NA,NA,NA,"x 2 off 88 y",NA,NA,NA,"uu","uu",NA,NA,NA,NA,NA,NA
"37",2011-02-01,"Hartlepool United","4","0","league-one","H","",3056,104,5,14,"Paul Tierney","Boundary Park",NA,NA,NA,"uu",NA,"x","sub 2 on 78 2","uu",NA,NA,"sub 3 on 87 3","x 3 off 87 y","x g 51","sub 1 on 72 1 g 90",NA,"x","x","x","x",NA,NA,NA,"uu",NA,NA,"x 2 g 7 off 78","x",NA,NA,NA,NA,NA,NA,NA,"x 1 off 72",NA,NA,NA,"x g 69","uu",NA,NA,NA,NA,NA,NA
"38",2011-02-05,"Dagenham &amp; Redbridge","1","1","league-one","H","",4121,110,NA,NA,"Steve Rushton","Boundary Park",NA,NA,NA,"uu",NA,"x","uu","uu",NA,NA,"uu","x","x","sub 1 on 72 1",NA,"x","x","x","x g 50",NA,NA,NA,"uu",NA,NA,"x 1 off 72","x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,NA
"39",2011-02-12,"Huddersfield Town","0","0","league-one","A","",16176,1946,6,3,"Andy Woolmer","John Smith's Stadium",NA,NA,NA,"uu",NA,"x y","sub 2 on 82 2","uu",NA,NA,"sub 1 on 76 1","x","x 1 off 76 y","x 2 off 82 y",NA,"x","x","x",NA,NA,NA,NA,"uu",NA,NA,"x","x",NA,NA,NA,NA,NA,"uu",NA,"x",NA,NA,NA,"x y","uu",NA,NA,NA,NA,NA,NA
"40",2011-02-15,"Carlisle United","0","1","league-one","H","",8564,630,7,13,"Mark Haywood","Boundary Park",NA,NA,NA,"x",NA,NA,"sub 1 on 66 1","uu",NA,NA,"uu","x","x","x 1 off 66",NA,"x","x","x",NA,NA,"sub 2 on 75 2",NA,"uu",NA,NA,"x 2 off 75","x",NA,NA,NA,NA,NA,"uu",NA,"x",NA,NA,NA,"x y",NA,NA,NA,"uu",NA,NA,NA
"41",2011-02-19,"Bristol Rovers","0","1","league-one","A","",5379,296,8,23,"P Crossley","The Memorial Stadium",NA,NA,NA,"x",NA,NA,"x y","uu",NA,NA,"uu","x 1 off 71 y","x","sub 2 on 74 2",NA,"x 3 off 83 y","x","x",NA,NA,"sub 3 on 83 3",NA,"uu",NA,NA,"sub 1 on 71 1","x",NA,NA,NA,"x",NA,NA,NA,"x 2 off 74",NA,NA,NA,"x y",NA,NA,NA,"uu",NA,NA,NA
"42",2011-02-22,"Milton Keynes Dons","0","0","league-one","A","",7806,223,8,6,"Iain Williamson","Stadium:mk",NA,NA,NA,"x",NA,NA,"x 2 off 77","uu",NA,NA,"sub 3 on 89 3","x","x","x 1 off 77",NA,"x y","x","x",NA,NA,NA,NA,"uu",NA,NA,"sub 1 on 77 1 y","x","uu",NA,NA,"x 3 off 89",NA,NA,NA,"sub 2 on 77 2",NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA
"43",2011-02-26,"Peterborough United","0","5","league-one","H","",4263,412,8,4,"Dave Foster","Boundary Park",NA,NA,NA,"x",NA,NA,"uu","uu",NA,NA,"sub 3 on 75 3","x","x 2 off 69","sub 2 on 69 2",NA,NA,"x","x","x",NA,NA,NA,"uu",NA,NA,"x 3 off 75","x","sub 1 on 56 1",NA,NA,"x",NA,NA,NA,"x 1 off 56",NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA
"44",2011-03-05,"AFC Bournemouth","0","3","league-one","A","",7075,202,11,2,"Lee Mason","Vitality Stadium",NA,NA,NA,"x",NA,NA,"x 1 off 56","uu",NA,NA,"x 2 off 70","x","x","sub 1 on 56 1",NA,NA,"x","x","x y",NA,"sub 2 on 70 2",NA,"x",NA,NA,"uu","x",NA,NA,NA,"uu",NA,NA,NA,"x y",NA,NA,NA,"uu",NA,NA,NA,"uu",NA,NA,NA
"45",2011-03-08,"Sheffield Wednesday","2","3","league-one","H","",4133,1382,12,15,"C Webster","Boundary Park",NA,NA,NA,"uu",NA,"x","uu","uu",NA,NA,"x","x g 22","x 2 off 84","sub 2 on 84 2 y",NA,NA,"x","x y","x g 45",NA,"sub 1 on 76 1",NA,"x",NA,NA,"x 1 off 76","x",NA,NA,NA,"uu",NA,NA,NA,"x y",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"46",2011-03-12,"Leyton Orient","0","1","league-one","A","",4349,245,13,7,"Robert Lewis","Brisbane Road",NA,NA,NA,"uu",NA,"x y","uu","uu",NA,NA,NA,"x","x","uu",NA,"x 1 off 60 y","sub 2 on 88 2","x y","x",NA,NA,NA,"x",NA,NA,"x 2 off 88","x",NA,NA,NA,"sub 1 on 60 1",NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA
"47",2011-03-19,"Brighton &amp; Hove Albion","0","1","league-one","H","",3863,572,NA,NA,"Dean Whitestone","Boundary Park",NA,"uu",NA,NA,NA,"x","uu","x",NA,NA,"uu","x 3 off 80",NA,"x",NA,"x",NA,"x","x",NA,NA,NA,"x","sub 3 on 80 3",NA,"x 1 off 61",NA,"x 2 off 70",NA,NA,NA,NA,NA,NA,"sub 2 on 70 2",NA,NA,NA,"sub 1 on 61 1","uu",NA,NA,"x",NA,NA,NA
"48",2011-03-22,"Colchester United","0","1","league-one","A","",2892,102,15,10,"James Linington","JobServe Stadium",NA,"uu",NA,NA,NA,"x",NA,"x",NA,NA,"x 3 off 70",NA,NA,"x",NA,"x",NA,"x y","x",NA,"uu",NA,"x","x 2 off 62",NA,"uu",NA,"x 1 off 58",NA,NA,NA,"sub 3 on 70 3",NA,NA,"sub 1 on 58 1",NA,NA,NA,"x","uu",NA,NA,"sub 2 on 62 2",NA,NA,NA
"49",2011-03-28,"Tranmere Rovers","0","0","league-one","H","",3114,445,15,18,"Anthony Bates","Boundary Park",NA,"uu",NA,"uu",NA,"x",NA,"x",NA,NA,"uu","x","x","uu",NA,"x",NA,"x",NA,NA,NA,NA,"x 1 off 68","x y",NA,"sub 1 on 68 1",NA,"sub 2 on 85 2",NA,NA,NA,NA,NA,NA,"x 2 off 85",NA,NA,NA,"x",NA,NA,"x","uu",NA,NA,NA
"50",2011-04-02,"Notts County","2","0","league-one","A","",5538,493,15,20,"Robert Madley","Meadow Lane",NA,"uu",NA,"uu",NA,"x","uu","x",NA,NA,"sub 2 on 80 2","x 1 off 38","x","sub 1 on 38 1 g 90",NA,"x",NA,"x",NA,NA,NA,NA,NA,"x",NA,"x 2 off 80",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"x","uu",NA,"x g pen 87","uu",NA,NA,NA
"51",2011-04-09,"Charlton Athletic","0","0","league-one","H","",3562,183,15,12,"Kevin Wright","Boundary Park",NA,"uu",NA,"uu",NA,"x","uu","x",NA,NA,"x",NA,"x","x y",NA,"x",NA,"x",NA,NA,"sub 1 on 90 1",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,"x",NA,NA,NA,"x","uu",NA,NA,"uu",NA,NA,NA
"52",2011-04-16,"Yeovil Town","1","1","league-one","A","",3350,NA,16,17,"Trevor Kettle","Huish Park",NA,"uu",NA,"uu",NA,NA,"sub 2 on 83 2","x",NA,NA,NA,NA,"x g 17","x 2 off 83",NA,"x","uu","x y",NA,NA,"x 1 off 73",NA,NA,"x",NA,"sub 1 on 73 1",NA,NA,NA,NA,NA,"uu",NA,NA,"x y",NA,NA,NA,"x",NA,NA,"x","x y",NA,"uu",NA
"53",2011-04-22,"Exeter City","0","2","league-one","A","",5458,NA,16,9,"Jock Waugh","St James Park",NA,"uu",NA,"uu",NA,NA,"sub 2 on 59 2","x",NA,NA,"uu",NA,"x 3 off 60 y","x",NA,"x y","uu","x",NA,NA,"x 1 off 46",NA,NA,"x",NA,"sub 1 on 46 1",NA,NA,NA,NA,NA,NA,NA,NA,"x 2 off 59",NA,NA,NA,"x","sub 3 on 60 3",NA,"x","x",NA,NA,NA
"54",2011-04-25,"Walsall","1","1","league-one","H","",3463,496,16,21,"Darren Drysdale","Boundary Park",NA,"uu",NA,"uu",NA,NA,"x 3 off 78","x",NA,NA,"sub 2 on 46 2","sub 1 on 23 1 red@70",NA,"x",NA,"x","uu","x 2 off 46",NA,NA,"sub 3 on 78 3",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,"x 1 off 23","x",NA,"x g 88","x",NA,NA,NA
"55",2011-04-30,"Swindon Town","2","0","league-one","A","",7420,NA,16,24,"Michael Naylor","The County Ground",NA,"uu",NA,"uu",NA,NA,"x 3 off 89","x y",NA,NA,"sub 2 on 56 2",NA,"x g 17 65","x",NA,"x","sub 1 on 53 1",NA,NA,NA,"uu",NA,NA,"x",NA,"x",NA,NA,NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x 2 off 56","x","x 1 off 53",NA,NA,"uu"
"56",2011-05-07,"Milton Keynes Dons","1","2","league-one","H","",4063,386,17,5,"Phil Gibbs","Boundary Park","sub 3 on 77 3","uu",NA,NA,NA,NA,"x 1 off 61","x",NA,NA,NA,NA,"x","x 2 off 66",NA,"x","uu","x",NA,NA,NA,NA,NA,"x",NA,"x",NA,"sub 1 on 61 1",NA,"uu",NA,NA,NA,NA,"sub 2 on 66 2",NA,NA,NA,NA,"x 3 g 34 off 77","uu","x","x",NA,NA,NA
