"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Peter Clarke","Chris O&#039;Grady","Giles Coke","Andy Taylor","Ishmael Miller","Jose Baxter","Dan Gardner","Christopher Missilou","Urko Vera","Cameron Dummigan","Gevaro Nepomuceno","Jonathan Benteke","Alex Palmer","Daniel Iversen","George Edmundson","Sam Surridge","Zeus de la Paz","Alex Iacovitti","Sohny Sefil","Jordan Lyden","Rob Hunt","Callum Lang","Jamie Stott","Mohammed Maouche","Oladapo Afolayan","Zachary Dearnley","Jay Sheridan","Tom Hamer","Chinedy Uche","Sam Graham","Johan Branger","Harry Norris","Ewan McFarlane","Max Norman","Jack Williams","Javid Swaby-Neavin","Harry Robinson","Mohamad Sylla"
"11",2018-08-25,"Morecambe","2","0","league-two","A","",3050,1638,8,22,"Martin Coy","Globe Arena","x y","x g 27",NA,"x",NA,"x 2 off 64","x y","x 3 off 83 y",NA,NA,"x g 29","uu",NA,"x y","x",NA,"uu",NA,NA,NA,"x","sub 2 on 64 2","uu","sub 3 on 83 3",NA,NA,NA,"uu",NA,"sub 1 on 45 1","x 1 off 45",NA,NA,NA,NA,NA,NA,NA
"12",2018-09-01,"Crawley Town","2","1","league-two","H","",4160,62,6,16,"Michael Salisbury","Boundary Park","x","x 2 off 66",NA,NA,NA,"x y","x","x 1 off 59",NA,NA,"x g 8","uu",NA,"x","x y","sub 1 on 59 1 g 89","uu",NA,NA,NA,"x","sub 2 on 66 2","uu","uu",NA,NA,NA,"sub 3 on 79 3",NA,"x 3 off 79","x",NA,NA,NA,NA,NA,NA,NA
"13",2018-09-04,"Barnsley","1","2","efl-trophy","H","",1786,443,NA,NA,"Seb Stockbridge","Boundary Park","uu","sub 2 on 61 2",NA,"x",NA,"sub 1 on 58 1","sub 3 on 74 3","x 1 off 58",NA,NA,NA,"x",NA,NA,"x","x 2 g 31 off 61","x",NA,NA,NA,"uu","x 3 off 74","uu","x",NA,NA,NA,"x",NA,"x","x",NA,"uu",NA,NA,NA,NA,NA
"14",2018-09-08,"Newport County","0","1","league-two","H","",4293,259,10,2,"Mark Heywood","Boundary Park","x","x 1 off 74",NA,"x",NA,"sub 1 on 74 1","x","x 2 off 87",NA,NA,NA,"sub 3 on 89 3",NA,NA,"x","x","x",NA,NA,NA,"x","x","uu","sub 2 on 87 2",NA,NA,NA,"uu",NA,"uu","x 3 off 89",NA,"uu",NA,NA,NA,NA,NA
"15",2018-09-15,"Grimsby Town","3","0","league-two","A","",4746,832,6,21,"Nick Kinseley","Blundell Park","x","x 2 off 78",NA,"x","sub 3 on 83 3","sub 2 on 78 2 g 90","x","x",NA,NA,"sub 1 on 61 1",NA,NA,"x","x","x 3 g 63 65 off 83","uu",NA,NA,NA,"x","x 1 off 61",NA,"uu",NA,NA,NA,"uu",NA,"uu","x",NA,NA,NA,NA,NA,NA,NA
"16",2018-09-22,"Colchester United","3","3","league-two","H","",4017,158,6,4,"Anthony Backhouse","Boundary Park","x g 88","x 3 off 80 y",NA,"x","sub 3 on 80 3","sub 2 on 59 2","x","x 2 off 59",NA,"uu","sub 1 on 46 1",NA,NA,"x","x","x g 59 85","uu",NA,NA,NA,"x","x 1 off 46",NA,"uu",NA,NA,NA,NA,NA,"uu","x",NA,NA,NA,NA,NA,NA,NA
"17",2018-09-29,"Swindon Town","0","0","league-two","A","",6181,412,6,9,"Craig Hicks","The County Ground","x y","x",NA,"x","x 1 off 64","sub 1 on 64 1","x y","x",NA,"sub 2 on 67 2","sub 3 on 89 3","uu",NA,"x","x",NA,"uu",NA,NA,NA,"x","x 3 off 89",NA,"uu",NA,NA,NA,NA,NA,"uu","x 2 off 67",NA,NA,NA,NA,NA,NA,NA
"18",2018-10-02,"Mansfield Town","0","0","league-two","A","",3829,411,8,14,"Thomas Bramall","Field Mill","x","x",NA,"x y","x 3 off 76","sub 2 on 45 2","x","x",NA,"x 1 off 45","uu","uu",NA,"x","x",NA,"uu",NA,NA,NA,"x","x 2 off 45",NA,"sub 3 on 76 3",NA,NA,NA,NA,NA,"sub 1 on 45 1","uu",NA,NA,NA,NA,NA,NA,NA
"19",2018-10-06,"Carlisle United","1","3","league-two","H","",4730,679,12,10,"Dean Whitestone","Boundary Park","x","sub 3 on 72 3",NA,"x","x 3 g 69 off 72","x","x","x 2 off 60",NA,"uu","uu",NA,NA,"x","x","x","uu",NA,NA,NA,"x","sub 1 on 60 1",NA,"uu",NA,NA,NA,NA,NA,"x 1 off 60 y","sub 2 on 60 2",NA,NA,NA,NA,NA,NA,NA
"20",2018-10-09,"Bradford City","4","1","efl-trophy","A","",1015,NA,NA,NA,"Seb Stockbridge","Northern Commercials Stadium","x","x",NA,"x 1 off 30",NA,"sub 2 on 45 2","x 3 off 71","sub 3 on 71 3",NA,NA,NA,"uu",NA,NA,"x","x g 57 77","x",NA,NA,"x 2 off 45 y","sub 1 on 30 1","x g 10",NA,"x g 26 y",NA,NA,NA,"x",NA,"uu","uu",NA,"uu",NA,NA,NA,NA,NA
"21",2018-10-20,"Port Vale","0","1","league-two","H","",4323,449,15,16,"Peter Wright","Boundary Park","x","x",NA,NA,NA,"x","x y","uu",NA,"uu","sub 1 on 45 1","sub 2 on 70 2",NA,"x","x",NA,NA,NA,NA,"x 2 off 70 y","x","x",NA,NA,NA,NA,NA,"x",NA,"uu","x 1 off 45",NA,"uu",NA,NA,NA,NA,NA
"22",2018-10-23,"Cheltenham Town","2","0","league-two","H","",2865,92,12,23,"Ben Toner","Boundary Park","x","x 1 off 55",NA,NA,"sub 1 on 55 1","x 2 off 64","x","x y",NA,"uu","x","sub 2 on 64 2 g 75",NA,"x","x",NA,NA,NA,NA,NA,"x","x g 90",NA,NA,NA,NA,"uu","x",NA,"uu","uu",NA,"uu",NA,NA,NA,NA,NA
"23",2018-10-27,"Northampton Town","1","2","league-two","A","",4767,351,15,18,"Charles Breakspear","Sixfields Stadium","x","x 2 off 45",NA,"uu","sub 2 on 45 2","sub 1 on 45 1","x 1 off 45","x",NA,NA,"x 3 off 69","sub 3 on 69 3",NA,"x","x y",NA,NA,NA,NA,NA,"x g 72 y","x",NA,"x",NA,NA,NA,"x",NA,"uu","uu",NA,"uu",NA,NA,NA,NA,NA
"24",2018-10-30,"Everton","3","2","efl-trophy","H","",1004,NA,NA,NA,"Darren Drysdale","Boundary Park","x g 53","sub 3 on 89 3",NA,"x","x 3 g 57 off 89","uu","sub 1 on 45 1 y","x",NA,"x","x","sub 2 on 45 2 g 79",NA,"x","x",NA,NA,NA,NA,NA,NA,"x 2 off 45",NA,"x 1 off 45",NA,NA,NA,"x",NA,"uu","uu",NA,"uu",NA,NA,NA,NA,NA
"25",2018-11-03,"Stevenage","2","3","league-two","A","",2583,NA,17,7,"Graham Scott","Lamex Stadium","x","uu",NA,NA,"x g 11","sub 2 on 88 2","x 1 off 75","x",NA,"sub 3 on 89 3","x","x 2 off 88",NA,"x","x",NA,NA,NA,NA,"sub 1 on 75 1","x","x g 63",NA,"uu",NA,NA,NA,"x 3 off 89",NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA
"26",2018-11-06,"Notts County","0","0","league-two","A","",4487,296,15,22,"Ollie Yates","Meadow Lane","x","sub 2 on 85 2",NA,"x","x 1 off 80","sub 1 on 80 1","x","uu",NA,"uu","x","x 2 off 85",NA,"x","x",NA,NA,NA,NA,"x","x","x",NA,"uu",NA,NA,NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA
"27",2018-11-12,"Hampton &amp; Richmond Borough","2","1","fa-cup","A","",2720,274,NA,NA,"Tom Nield","Beveree Stadium","x","sub 2 on 74 2","uu","x","x 2 off 74","x 1 off 56 y","x","uu",NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,"x 3 off 80","x g 88","x g 90",NA,"sub 3 on 80 3",NA,NA,NA,"uu",NA,NA,"sub 1 on 56 1",NA,"uu",NA,NA,NA,NA,NA
"28",2018-11-17,"Cambridge United","3","1","league-two","H","",3818,290,12,21,"Anthony Backhouse","Boundary Park","x","uu",NA,"x","x",NA,"x 1 off 67","uu",NA,"x 2 off 71",NA,NA,"x",NA,"x g 61","sub 2 on 71 2",NA,NA,NA,"x g 76","x","x g 80",NA,"sub 1 on 67 1",NA,NA,NA,"uu",NA,"uu","x y",NA,"uu",NA,NA,NA,NA,NA
"29",2018-11-24,"Tranmere Rovers","1","1","league-two","A","",7150,1348,13,7,"Seb Stockbridge","Prenton Park","x","sub 2 on 79 2",NA,"x","x 2 off 79",NA,"x","sub 3 on 87 3",NA,"uu","x",NA,NA,"x","x","sub 1 on 64 1",NA,NA,NA,"x 3 off 87 y","x","x y",NA,"uu",NA,NA,NA,NA,NA,"uu","x 1 g 40 off 64 y",NA,"uu",NA,NA,NA,NA,NA
"30",2018-11-27,"Lincoln City","1","1","league-two","H","",3597,610,13,2,"Ben Toner","Boundary Park","x","uu",NA,"x","x red@45",NA,"x 1 off 36","x y",NA,"uu","x",NA,NA,"x","x","sub 2 on 49 2 y",NA,NA,NA,NA,"x","x y",NA,"sub 1 on 36 1 g 49",NA,NA,NA,"uu",NA,"uu","x 2 off 49",NA,"uu",NA,NA,NA,NA,NA
"31",2018-12-01,"Maidstone United","2","0","fa-cup","A","",3560,426,NA,NA,"Alan Young","Gallagher Stadium","x g 17","x g 84","uu",NA,NA,NA,NA,"x",NA,"x","x",NA,NA,"x","x y","x y",NA,NA,NA,NA,"x y","x",NA,"x y",NA,NA,NA,"uu",NA,"uu","uu",NA,"uu","uu","uu",NA,NA,NA
"32",2018-12-08,"Crewe Alexandra","2","0","league-two","A","",4168,1027,12,17,"Brett Huxtable","Alexandra Stadium","x g 17","x g 40","uu",NA,NA,NA,NA,"x 1 off 89",NA,"x","x 2 off 89",NA,NA,"x","x","x y",NA,NA,NA,"sub 1 on 89 1","x","x",NA,"x",NA,NA,NA,"uu",NA,"uu","sub 2 on 89 2",NA,"uu","uu",NA,NA,NA,NA
"33",2018-12-11,"Rochdale","0","2","efl-trophy","A","",1854,911,NA,NA,"Oliver Langford","Spotland","x y","x 2 off 54","uu",NA,"uu",NA,NA,"x",NA,"x 1 off 29","x 3 off 87",NA,NA,"x","x","x",NA,NA,NA,"sub 2 on 54 2 y","x y","x",NA,"x red@51",NA,NA,NA,"sub 1 on 29 1",NA,"uu","sub 3 on 87 3",NA,"uu",NA,NA,NA,NA,NA
"34",2018-12-15,"Bury","4","2","league-two","H","",5018,1262,10,4,"Darren England","Boundary Park","x y","x g 8 31 62 y","uu",NA,NA,NA,NA,"x",NA,NA,"x 1 off 89",NA,NA,"x y","x","x g 10",NA,NA,NA,"sub 1 on 89 1","x y","x",NA,"x",NA,NA,NA,"x",NA,"uu","uu",NA,"uu","uu",NA,"uu",NA,NA
"35",2018-12-22,"Exeter City","2","3","league-two","H","",4079,182,11,6,"Martin Coy","Boundary Park","x","x 1 off 58","uu","sub 3 on 76 3","sub 1 on 58 1",NA,NA,"x",NA,NA,"x",NA,NA,"x","x","x g 12",NA,NA,NA,"sub 2 on 67 2","x y","x g 47",NA,"x 2 off 67",NA,NA,NA,"x 3 off 76",NA,"uu","uu",NA,"uu",NA,NA,NA,NA,NA
"36",2018-12-26,"Carlisle United","0","6","league-two","A","",5465,534,12,9,"Andy Haines","Brunton Park","x","x 1 off 65","uu","x","uu",NA,NA,"x y",NA,NA,"x",NA,NA,"x","x","x",NA,NA,NA,"uu","x","x",NA,"x",NA,NA,NA,"uu",NA,"uu","sub 1 on 65 1",NA,"uu",NA,NA,NA,NA,NA
"37",2018-12-29,"Port Vale","4","1","league-two","A","",4435,778,11,17,"Paul Marsden","Vale Park","x y","x g 90 y",NA,"uu",NA,NA,NA,"x",NA,NA,"x g 86",NA,NA,"x","x",NA,"uu",NA,NA,"x","x","x 1 g 32 off 76",NA,"x g 53",NA,NA,NA,"x y",NA,"uu","sub 1 on 76 1",NA,NA,"uu","uu",NA,"uu",NA
"38",2019-01-01,"Notts County","2","0","league-two","H","",4336,382,10,24,"Anthony Backhouse","Boundary Park","x g 47","x 1 off 67",NA,"uu",NA,NA,NA,"x y",NA,NA,"x",NA,NA,"x","x","sub 1 on 67 1","uu",NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,"x g 40",NA,"uu","x 2 off 89",NA,NA,"uu",NA,"uu","sub 2 on 89 2",NA
"39",2019-01-06,"Fulham","2","1","fa-cup","A","",16134,3970,NA,NA,"Anthony Taylor","Craven Cottage","x","x 1 off 61",NA,"uu",NA,"uu",NA,"x",NA,NA,"x",NA,NA,"x","x","sub 1 on 61 1 g pen 76","uu",NA,NA,"x y","uu","x g 88",NA,"x",NA,NA,NA,"x",NA,"uu","x",NA,NA,NA,NA,NA,NA,"uu"
"40",2019-01-12,"Forest Green Rovers","0","0","league-two","H","",4194,160,11,7,"Dean Whitestone","Boundary Park","x","x 1 off 45",NA,"uu",NA,"sub 2 on 70 2",NA,"x",NA,NA,"x",NA,NA,"x","x y",NA,"uu",NA,NA,NA,"sub 1 on 45 1","x y",NA,"x",NA,NA,NA,"x",NA,NA,"x 3 off 70 y","uu",NA,NA,NA,NA,"uu","x 2 off 70"
"41",2019-01-19,"Macclesfield Town","1","2","league-two","A","",3697,1826,12,23,"Ollie Yates","The Moss Rose Ground","x y",NA,NA,"uu",NA,"sub 2 on 66 2 y",NA,"x","x g pen 1","uu","x",NA,NA,"x","x y",NA,"uu",NA,"uu",NA,"sub 1 on 66 1","x",NA,"x red@90",NA,NA,NA,"x",NA,NA,"x 2 off 66",NA,NA,NA,NA,NA,"uu","x 1 off 66 y"
"42",2019-01-26,"Doncaster Rovers","1","2","fa-cup","A","",11260,3871,NA,NA,"Peter Bankes","Eco Power Stadium","x g 84 red@90","x",NA,"uu",NA,"x 1 off 76 y",NA,"x","sub 1 on 76 1","uu","x","uu",NA,"x","x y",NA,"uu",NA,NA,NA,"uu","x",NA,NA,NA,NA,NA,"x",NA,NA,"x y",NA,NA,NA,NA,NA,"uu","x"
"43",2019-01-29,"Milton Keynes Dons","1","2","league-two","A","",5950,165,14,6,"Antony Coggins","Stadium:mk",NA,"sub 2 on 62 2",NA,"uu",NA,"sub 1 on 62 1",NA,"x","x 2 off 62","sub 3 on 86 3","x y","uu",NA,"x","x",NA,"uu",NA,NA,NA,"uu","x 3 off 86","x","x",NA,NA,NA,"x g 67",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x 1 off 62"
"44",2019-02-09,"Crawley Town","3","0","league-two","A","",2058,276,14,17,"John Busby","Broadfield Stadium","x",NA,NA,"uu",NA,"sub 2 on 66 2",NA,"x 3 off 76 y","x 2 off 66",NA,"x g 90","uu",NA,"x","x",NA,"uu",NA,NA,NA,NA,"x","x 1 off 54","x y",NA,"sub 1 on 54 1 g 86",NA,"x",NA,NA,"x g 74",NA,NA,NA,NA,NA,NA,"sub 3 on 76 3"
"45",2019-02-12,"Yeovil Town","4","1","league-two","H","",3868,56,11,21,"Thomas Bramall","Boundary Park","x","sub 3 on 76 3",NA,NA,NA,"x 2 g 45 off 69",NA,"x g 89","uu",NA,"x",NA,NA,"x","x",NA,"uu",NA,NA,NA,"sub 1 on 11 1","x g 51","uu","x g 88",NA,"x 3 off 76",NA,"x 1 off 11",NA,NA,"x",NA,NA,NA,NA,NA,"uu","sub 2 on 69 2"
"46",2019-02-16,"Crewe Alexandra","1","1","league-two","H","",5288,509,10,13,"Graham Salisbury","Boundary Park","x","sub 1 on 58 1","uu",NA,NA,"x 2 off 62",NA,"x",NA,NA,"x","sub 3 on 75 3",NA,"x","x",NA,"uu",NA,NA,NA,"x","x 1 g 23 off 58","uu","x",NA,"x 3 off 75",NA,NA,NA,NA,"x y",NA,NA,NA,NA,NA,"uu","sub 2 on 62 2"
"47",2019-02-19,"Morecambe","1","2","league-two","H","",4218,337,11,20,"Andy Haines","Boundary Park","x y","x 3 off 72","uu","uu",NA,"x g 76",NA,"x","sub 3 on 72 3",NA,"x",NA,NA,"x","x",NA,"uu",NA,NA,NA,"x",NA,"x 1 off 50","sub 2 on 60 2",NA,"sub 1 on 50 1",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"uu","x 2 off 60"
"48",2019-02-23,"Bury","1","3","league-two","A","",7784,2758,13,2,"Darren Drysdale","Gigg Lane","x y","sub 2 on 80 2","sub 3 on 87 3","uu",NA,"x y",NA,"x 2 off 80",NA,NA,"x",NA,NA,"x","x y",NA,"uu",NA,NA,NA,"x y","x g 8","uu","x 3 off 87","sub 1 on 76 1","x 1 off 76",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"uu"
"49",2019-03-02,"Stevenage","1","1","league-two","H","",3807,92,NA,NA,"Christopher Sarginson","Boundary Park","x","uu","uu",NA,NA,"x 1 g 47 off 82",NA,"x",NA,NA,"x",NA,NA,"x","x",NA,"uu",NA,"uu",NA,"x","x",NA,"x","sub 1 on 82 1","x",NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA,"uu"
"50",2019-03-09,"Cambridge United","1","1","league-two","A","",4758,504,11,20,"Kevin Johnson","Abbey Stadium","x y","sub 3 on 74 3",NA,"uu",NA,"x 1 off 52",NA,"sub 1 on 52 1",NA,NA,"x",NA,NA,"x","x",NA,"uu","uu",NA,NA,"x","x",NA,"x y","x 3 off 74","x 2 off 66",NA,"x",NA,NA,"sub 2 on 66 2",NA,NA,NA,NA,NA,NA,"uu"
"51",2019-03-12,"Lincoln City","0","2","league-two","A","",8454,259,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2019-03-30,"Grimsby Town","2","0","league-two","H","",3998,777,15,17,"James Adcock","Boundary Park","x","x g 42","uu",NA,NA,NA,NA,"x","uu",NA,"x 1 off 69",NA,NA,"x","x",NA,"uu","x","uu",NA,"uu","x g 77 y",NA,"x",NA,"sub 1 on 69 1",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"uu"
"53",2019-04-02,"Tranmere Rovers","2","0","league-two","H","",5143,2342,11,5,"Matt Donohue","Boundary Park","x","x 1 off 81","uu","uu",NA,NA,NA,"x",NA,NA,"x","uu",NA,"x","x y",NA,"uu","x","uu",NA,"uu","x g 7 61",NA,"x",NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"sub 1 on 81 1"
"54",2019-04-06,"Colchester United","2","0","league-two","A","",3975,254,10,9,"Lee Swabey","JobServe Stadium","x","x","uu",NA,NA,NA,NA,"x 2 off 76",NA,NA,"x","uu",NA,"x","x",NA,"uu","x g 6","uu",NA,"uu","x g 12 y",NA,"x","sub 1 on 65 1",NA,NA,"x y",NA,NA,"x 1 off 65",NA,NA,NA,NA,NA,NA,"sub 2 on 76 2"
"55",2019-04-13,"Swindon Town","2","2","league-two","H","",4064,362,11,12,"Martin Coy","Boundary Park","x","x 1 off 58","uu",NA,NA,"sub 1 on 58 1",NA,"x",NA,NA,"x","uu",NA,"x","x g 7 y",NA,"uu","x",NA,NA,"uu","x",NA,"x 2 off 64","sub 3 on 73 3",NA,NA,"x",NA,NA,"x 3 g 70 off 73",NA,NA,NA,NA,NA,NA,"sub 2 on 64 2"
"56",2019-04-19,"Cheltenham Town","0","0","league-two","A","",4022,544,13,16,"Ben Toner","Whaddon Road","x","uu","uu",NA,NA,"x 1 off 45",NA,"x",NA,NA,"x 3 off 82","sub 2 on 77 2",NA,"x","x y",NA,"uu","x","uu",NA,"sub 3 on 82 3","x",NA,"x","x 2 off 77",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 45 1"
"57",2019-04-22,"Mansfield Town","3","2","league-two","H","",6179,1334,12,3,"John Busby","Boundary Park","x","x","uu","uu",NA,NA,NA,"x y",NA,NA,"x g 29 67","uu",NA,"x","x",NA,"uu","x","uu",NA,"sub 1 on 84 1","x",NA,"x g 56","uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 84"
"58",2019-04-27,"Exeter City","0","1","league-two","A","",5040,650,13,7,"Christopher Sarginson","St James Park","x y","x","uu",NA,NA,"sub 3 on 87 3",NA,"x 1 off 66",NA,NA,"x","uu",NA,NA,"x y",NA,"x","x y",NA,NA,"uu","x 3 off 87",NA,"x","sub 2 on 81 2",NA,NA,"x","uu",NA,"sub 1 on 66 1",NA,NA,NA,NA,NA,NA,"x 2 off 81"
"59",2019-04-30,"Newport County","0","2","league-two","A","",4642,160,13,10,"Craig Hicks","Rodney Parade","x 1 off 42","uu","uu",NA,NA,"uu",NA,"x",NA,NA,"x","sub 3 on 80 3",NA,"uu","x 2 off 55",NA,"x","x",NA,NA,"sub 1 on 42 1","x",NA,"x","x 3 off 80 y",NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"sub 2 on 55 2"
"60",2019-05-04,"Northampton Town","2","5","league-two","H","",5291,452,13,15,"Thomas Bramall","Boundary Park",NA,"x 2 off 45",NA,"uu",NA,"uu",NA,"x",NA,NA,"x 3 off 65","uu",NA,"x",NA,NA,"uu","x",NA,NA,"x","x g 64 y",NA,"x","sub 2 on 45 2",NA,NA,"x","sub 1 on 45 1",NA,"x g 11",NA,NA,NA,NA,"sub 3 on 65 3",NA,"x 1 off 45"
