"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Nicky Adams","Bobby Grant","Sido Jombati","Laurie Walker","Gary Woods","Conor McAleny","Carl Piergianni","Danny Rowe","Brice Ntambwe","Ian Lawlor","George Blackwood","Dylan Bahamboula","Raphael Diarra","Marcel Hilssner","Andrea Badan","Cameron Borthwick-Jackson","Davis Keillor-Dunn","Laurence Bilboe","Serhat Tasdemir","Zachary Dearnley","Tom Hamer","Marcus Barnes","Kyle Jameson","Callum Whelan","Dylan Fage","Alfie McCalmont","Harry Clarke","Ben Garrity","Jordan Barnett","Vani Da Silva","Ben Hough","Junior Luamba","Mackenzie Chapman","Will Sutton","Harry Vaughan"
"14",2020-10-27,"Southend United","2","1","league-two","A","",0,0,20,24,"Christopher Sarginson","Roots Hall",NA,"x g 49",NA,NA,NA,"x","x y","uu","x","x",NA,"sub 2 on 81 2",NA,NA,NA,"x","x 1 off 69","uu",NA,"sub 1 on 69 1 g 89","uu",NA,"x","x","x 2 off 81","uu","x y",NA,"uu",NA,NA,NA,NA,NA,NA
"15",2020-10-31,"Salford City","0","2","league-two","A","",0,0,20,9,"Anthony Backhouse","Moor Lane",NA,"x 3 off 77",NA,NA,NA,NA,"x y","sub 3 on 77 3","x","x","x 2 off 61","sub 1 on 61 1",NA,NA,NA,"x y","x","uu",NA,"sub 2 on 61 2","uu",NA,"x 1 off 61","x","x","uu","x",NA,"uu",NA,NA,NA,NA,NA,NA
"16",2020-11-03,"Cheltenham Town","2","1","league-two","H","",0,0,19,6,"Will Finnie","Boundary Park",NA,"uu",NA,NA,NA,NA,NA,"sub 2 on 60 2","x","x","x 2 g 34 off 60","sub 1 on 9 1 y",NA,NA,NA,"x","x","uu",NA,"x 1 off 9","x",NA,"x","x 3 off 71","uu","uu","x g 85","sub 3 on 71 3","x",NA,NA,NA,NA,NA,NA
"17",2020-11-08,"Hampton &amp; Richmond Borough","3","2","fa-cup","A","",0,0,NA,NA,"Sam Purkiss","Beveree Stadium",NA,"x g 40","uu",NA,NA,NA,NA,"x g 49","x","x","uu","x",NA,NA,NA,"x","uu","uu",NA,NA,"uu",NA,"x","uu","x","x","x y","x 1 g 6 off 69","sub 1 on 69 1",NA,NA,NA,NA,NA,NA
"18",2020-11-10,"Bradford City","3","1","efl-trophy","A","",0,0,NA,NA,"Scott Oldham","Northern Commercials Stadium",NA,"uu","x",NA,NA,NA,NA,"x",NA,"x","x 3 off 72","x 1 off 61","x 2 off 72",NA,NA,NA,"x g 7",NA,NA,NA,"x y",NA,"sub 2 on 72 2","x","uu","x g 84 90",NA,"sub 3 on 72 3",NA,"sub 1 on 61 1","uu",NA,"uu","x",NA
"19",2020-11-14,"Scunthorpe United","0","2","league-two","H","",0,0,20,23,"Lee Swabey","Boundary Park",NA,"sub 2 on 75 2","uu",NA,NA,NA,"uu","x","x","x","x 1 off 62","x",NA,NA,NA,"x","x","uu",NA,NA,"x 2 off 75 y",NA,"x","uu","sub 1 on 62 1",NA,"x","x","uu",NA,NA,NA,NA,NA,NA
"20",2020-11-21,"Exeter City","2","1","league-two","A","",0,0,17,6,"Stephen Martin","St James Park",NA,"sub 2 on 69 2","sub 3 on 76 3",NA,NA,NA,"x","x g 32","x","x","x 2 g 21 off 69","x 1 off 69","x 3 off 76",NA,NA,"x y","x","uu",NA,NA,"uu",NA,NA,"sub 4 on 83 4","x",NA,NA,"x 4 off 83 y","sub 1 on 69 1","uu",NA,NA,NA,NA,NA
"21",2020-11-24,"Barrow","4","3","league-two","A","",0,0,17,19,"Declan Bourne","Holker Street",NA,"x 3 off 89","x",NA,NA,"sub 1 on 75 1 g 90","x","x g 45 pen 82",NA,"x","sub 3 on 89 3","x 2 off 84","x y",NA,NA,"x y","x 1 off 75","uu",NA,NA,"uu",NA,NA,"uu","x","uu",NA,"x g 39","sub 2 on 84 2",NA,NA,NA,NA,NA,NA
"22",2020-11-28,"Bradford City","2","1","fa-cup","A","",0,0,NA,NA,"Martin Coy","Northern Commercials Stadium",NA,NA,"sub 2 on 78 2",NA,NA,"x 1 g 18 off 71","x y","x g 47","x","x",NA,NA,"uu",NA,NA,"x","x","uu",NA,NA,"uu",NA,NA,"uu","x 2 off 78","x","x","x","sub 1 on 71 1","uu",NA,NA,NA,NA,NA
"23",2020-12-01,"Tranmere Rovers","0","1","league-two","H","",0,0,17,7,"Alan Young","Boundary Park",NA,"uu","uu",NA,NA,"x","x y","x","x 2 off 64 y","x",NA,NA,"x",NA,NA,"x","x 1 off 59","uu",NA,NA,"uu",NA,NA,"sub 2 on 64 2","x 3 off 79","x","sub 1 on 59 1","x","sub 3 on 79 3 y",NA,NA,NA,NA,NA,NA
"24",2020-12-05,"Cambridge United","2","1","league-two","A","",1970,0,16,6,"Brett Huxtable","Abbey Stadium",NA,"x y","x",NA,NA,"x 3 g 57 off 76 y",NA,"uu","x","x",NA,"sub 1 on 67 1","x",NA,NA,"x y","uu","uu",NA,NA,"uu",NA,NA,"sub 3 on 76 3","x 2 off 76","x 1 g 60 off 67 y","x","x","sub 2 on 76 2",NA,NA,NA,NA,NA,NA
"25",2020-12-08,"Sunderland","1","2","efl-trophy","H","",0,0,NA,NA,"Samuel Barrott","Boundary Park",NA,"x g 13 y","x",NA,NA,"sub 3 on 67 3","x","x 1 off 57","x","x",NA,"x 3 off 67","x y",NA,NA,NA,"x","uu",NA,NA,"uu",NA,NA,"x 2 off 67","sub 1 on 57 1","uu",NA,"sub 2 on 67 2","x","uu",NA,NA,NA,NA,NA
"26",2020-12-12,"Bradford City","3","1","league-two","H","",0,0,NA,NA,"Anthony Backhouse","Boundary Park",NA,"x 3 off 79 y",NA,NA,NA,"x y","x g 26",NA,"x y","x",NA,"x 2 g 10 off 64","uu",NA,NA,"x 1 off 64","sub 2 on 64 2 g 74","uu",NA,"sub 3 on 79 3","uu",NA,NA,"uu","x","x","x","x","sub 1 on 64 1",NA,NA,NA,NA,NA,NA
"27",2020-12-15,"Walsall","2","3","league-two","H","",0,0,16,11,"James Bell","Boundary Park",NA,"x",NA,NA,NA,"x 2 off 68","x g 68 y",NA,"x 1 off 60","x",NA,"x","uu",NA,NA,"x","sub 1 on 60 1","uu",NA,"sub 2 on 68 2","uu",NA,NA,"uu","x g 55","x 3 off 85","x","x y","sub 3 on 85 3",NA,NA,NA,NA,NA,NA
"28",2020-12-19,"Newport County","4","2","league-two","A","",0,0,14,1,"Robert Madley","Rodney Parade",NA,"x 2 off 72","x",NA,NA,"x 3 g 57 off 73","x",NA,"x y","x",NA,"x 4 off 87",NA,NA,NA,"x 1 off 45","x g 14","uu",NA,"sub 2 on 72 2 g 90","sub 4 on 87 4",NA,NA,"uu","uu","sub 3 on 73 3 g 85","x y","x","sub 1 on 45 1",NA,NA,NA,NA,NA,NA
"29",2020-12-26,"Harrogate Town","1","2","league-two","H","",0,0,14,16,"Ben Speedie","Boundary Park",NA,"x red@43","x 1 off 45",NA,NA,"x 2 g pen 19 off 45","x",NA,"x","x",NA,"x 3 off 66",NA,NA,NA,"x","x 4 off 82","uu",NA,"sub 3 on 66 3","uu",NA,NA,"sub 5 on 82 5","sub 2 on 45 2","x 5 off 82","x","sub 1 on 45 1 y","sub 4 on 82 4",NA,NA,NA,NA,NA,NA
"30",2020-12-29,"Grimsby Town","0","0","league-two","A","",0,0,14,22,"Tom Nield","Blundell Park",NA,NA,"uu",NA,NA,NA,"x y",NA,"x y","x",NA,"x","uu",NA,NA,"x","sub 1 on 67 1","uu",NA,"x","uu",NA,NA,"uu","x","uu","x","x y","x",NA,NA,"x 1 off 67",NA,NA,NA
"31",2021-01-09,"AFC Bournemouth","1","4","fa-cup","A","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2021-01-13,"Mansfield Town","2","3","league-two","H","",0,0,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2021-01-16,"Walsall","1","1","league-two","A","",0,0,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2021-01-23,"Newport County","3","2","league-two","H","",0,0,14,3,"Christopher Sarginson","Boundary Park","x y","x 3 g 29 off 83","x",NA,NA,"x 4 off 89","uu",NA,"sub 3 on 83 3",NA,NA,"x",NA,"x y","sub 1 on 45 1","x 1 off 45","x 2 g 8 off 65","x",NA,NA,"uu","sub 2 on 65 2","sub 4 on 89 4",NA,NA,NA,"x y","x",NA,NA,NA,NA,NA,NA,NA
"35",2021-01-26,"Cheltenham Town","0","2","league-two","A","",0,0,15,4,"Carl Brook","Whaddon Road","x","sub 1 on 65 1","x",NA,NA,"x","uu",NA,"x 1 off 65",NA,NA,"x",NA,"x","sub 2 on 70 2",NA,"x 3 off 75","x",NA,NA,"uu",NA,"x 2 off 70",NA,"uu","sub 3 on 75 3","x","x",NA,NA,NA,NA,"uu",NA,NA
"36",2021-01-30,"Salford City","2","1","league-two","H","",0,0,13,8,"Thomas Bramall","Boundary Park","x","x","x",NA,NA,"x","sub 2 on 89 2",NA,"x 1 off 63","x",NA,"x 2 g 75 off 89",NA,"x","uu","x","sub 1 on 63 1 g 90","uu",NA,NA,NA,NA,NA,"uu","uu","x","x y",NA,NA,"uu",NA,NA,NA,NA,NA
"37",2021-02-16,"Forest Green Rovers","3","4","league-two","A","",0,0,17,2,"Robert Lewis","The New Lawn","x","x 2 g 40 off 78","x",NA,NA,"x g 54 63","x",NA,"uu","x y",NA,"x 1 off 62","uu","x y","x y",NA,"x","uu","sub 1 on 62 1",NA,NA,"sub 2 on 78 2","uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"uu"
"38",2021-02-20,"Tranmere Rovers","2","2","league-two","A","",0,0,17,6,"Seb Stockbridge","Prenton Park","x",NA,"x y red@47",NA,NA,"x 3 off 63",NA,NA,NA,"x","sub 3 on 63 3 y","x g 78","sub 2 on 63 2","x 5 off 76","x 4 off 76",NA,"x g 2 y","uu","x 1 off 50",NA,NA,"sub 5 on 76 5","sub 1 on 50 1","sub 4 on 76 4",NA,"x 2 off 63","x",NA,NA,NA,NA,NA,NA,NA,"uu"
"39",2021-02-23,"Barrow","0","1","league-two","H","",0,0,17,22,"Michael Salisbury","Boundary Park","x",NA,NA,NA,NA,"x","uu",NA,NA,"x","sub 3 on 60 3","x 4 off 60","sub 1 on 40 1","x 3 off 60","x 1 off 40",NA,"x","uu","x 2 off 60",NA,NA,"uu","x","sub 2 on 60 2",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,"sub 4 on 75 4 y"
"40",2021-02-27,"Carlisle United","3","1","league-two","A","",0,0,15,10,"Carl Boyeson","Brunton Park","x","x",NA,NA,NA,"x 2 off 45","sub 1 on 45 1 g 86",NA,NA,"x","sub 2 on 45 2","x g 78","x 1 off 45 y","x 4 g pen 71 off 77",NA,"x 3 off 68","x","uu",NA,NA,NA,NA,"sub 3 on 68 3","uu","sub 4 on 77 4","x","x",NA,NA,NA,NA,NA,NA,NA,"uu"
"41",2021-03-02,"Bolton Wanderers","0","2","league-two","H","",0,0,NA,NA,"James Oldham","Boundary Park","x","x 1 off 45",NA,NA,NA,NA,"x y",NA,"sub 2 on 45 2","x","uu","x","x",NA,NA,NA,"x","uu","x 2 off 45",NA,NA,NA,"x red@29","sub 3 on 69 3","sub 1 on 45 1","x 3 off 69","x 4 off 85",NA,NA,NA,NA,NA,NA,NA,"sub 4 on 85 4"
"42",2021-03-06,"Southend United","0","0","league-two","H","",0,0,15,23,"Ollie Yates","Boundary Park","x","x","uu",NA,NA,"sub 1 on 62 1","x",NA,"sub 2 on 86 2","x",NA,"x 2 off 86","x","x","uu",NA,"x","uu","x 1 off 62",NA,NA,NA,NA,"uu","x","x",NA,NA,NA,NA,NA,NA,NA,NA,"uu"
"43",2021-03-09,"Port Vale","0","0","league-two","A","",0,0,16,20,"Kevin Johnson","Vale Park","x",NA,"sub 3 on 70 3",NA,NA,"x","x",NA,"x 2 off 60","x",NA,"x y","x 3 off 70","x 1 off 51","x y",NA,"x","uu","uu",NA,NA,NA,NA,"sub 2 on 60 2","sub 1 on 51 1","x",NA,NA,NA,NA,NA,NA,NA,"uu","uu"
"44",2021-03-13,"Cambridge United","2","4","league-two","H","",0,0,17,1,"Brett Huxtable","Boundary Park","x","sub 1 on 58 1",NA,"x",NA,"x 2 off 58","x",NA,"x",NA,NA,"sub 2 on 58 2","x","x 1 off 58","x",NA,"x 3 g 3 11 off 81","uu","sub 3 on 81 3",NA,NA,NA,NA,"uu","x","x",NA,NA,NA,"uu",NA,NA,NA,"uu",NA
"45",2021-03-16,"Scunthorpe United","1","1","league-two","A","",0,0,16,20,"Sam Allison","Glanford Park","x","sub 1 on 70 1",NA,"x",NA,"x","x",NA,"sub 3 on 80 3",NA,NA,"uu","sub 2 on 80 2","x 1 off 70","x",NA,"x y","uu","uu",NA,NA,NA,"x y","x 2 off 80","x","x 3 g 48 off 80",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"46",2021-03-20,"Bradford City","0","0","league-two","A","",0,0,NA,NA,"Andy Haines","Northern Commercials Stadium","x 2 off 72","uu",NA,"x",NA,"x","x",NA,"uu",NA,NA,"sub 1 on 59 1","uu","x 1 off 59","sub 2 on 72 2",NA,"x","uu",NA,NA,NA,NA,"x","x","x","x","x",NA,NA,"uu",NA,NA,NA,NA,NA
"47",2021-03-23,"Exeter City","2","1","league-two","H","",0,0,15,8,"Sam Purkiss","Boundary Park","x 3 off 84","uu",NA,"x y",NA,"x","x",NA,"uu",NA,NA,NA,"sub 4 on 89 4","x 2 off 70","x","sub 2 on 70 2","x 1 off 45","uu","sub 1 on 45 1",NA,NA,NA,"x g 35","x","x 4 off 89","x g 55",NA,NA,NA,NA,NA,"sub 3 on 84 3",NA,NA,NA
"48",2021-03-27,"Leyton Orient","1","2","league-two","A","",0,0,16,10,"Darren Drysdale","Breyer Group stadium","x 3 off 81",NA,NA,"x",NA,"x y","x",NA,"uu",NA,NA,NA,"sub 1 on 55 1 y","x 1 off 55","x 2 off 70","sub 3 on 81 3","x","uu",NA,NA,NA,NA,"x","x","sub 2 on 70 2","x g 61 y","x",NA,NA,NA,NA,NA,NA,"uu","uu"
"49",2021-04-02,"Stevenage","0","1","league-two","H","",0,0,17,14,"Ben Toner","Boundary Park","x",NA,"uu","x",NA,"x","x y",NA,"uu",NA,NA,NA,"uu","sub 1 on 66 1","x 2 off 69","sub 3 on 80 3","x",NA,NA,NA,NA,NA,"x 3 off 80","x","sub 2 on 69 2","x y","x","x 1 off 66",NA,NA,NA,NA,"uu",NA,NA
"50",2021-04-05,"Crawley Town","4","1","league-two","A","",0,0,16,13,"Will Finnie","Broadfield Stadium","sub 4 on 73 4",NA,NA,"x",NA,"x g 40 47","x",NA,"sub 3 on 73 3",NA,NA,"x g 90","uu","sub 2 on 65 2","uu","x g 42","x 2 off 65",NA,NA,NA,NA,NA,"x","x 1 off 61","x","x 4 off 73","x 3 off 73","sub 1 on 61 1",NA,NA,NA,NA,"uu",NA,NA
"51",2021-04-09,"Colchester United","5","2","league-two","H","",0,0,14,22,"Martin Coy","Boundary Park","sub 1 on 51 1 y",NA,NA,"x",NA,"x 2 g pen 37 off 70","x g 56 y",NA,"uu",NA,NA,"x 4 off 88 y","sub 3 on 88 3","sub 4 on 88 4","uu","x","x g 90 90",NA,NA,NA,NA,NA,"x 1 off 51","x","x 3 off 88","x g 42","x y","sub 2 on 70 2",NA,NA,NA,NA,"uu",NA,NA
"52",2021-04-17,"Morecambe","3","4","league-two","A","",0,0,15,4,"Michael Salisbury","Globe Arena","sub 2 on 60 2",NA,NA,"x",NA,"x g 39","x",NA,NA,NA,"sub 3 on 60 3","x 2 off 60",NA,"sub 4 on 66 4","uu","x g 78","x 5 off 84","uu",NA,NA,NA,NA,"x g 88","x","x 1 off 60","x 3 off 60","x 4 off 66","sub 1 on 60 1",NA,NA,NA,NA,NA,NA,"sub 5 on 84 5"
"53",2021-04-20,"Harrogate Town","3","0","league-two","A","",0,0,15,18,"Carl Boyeson","CNG Stadium","x 5 off 82",NA,NA,"x",NA,"x 3 off 72","x",NA,NA,NA,"sub 3 on 72 3 g 75","x 1 g 46 off 65",NA,NA,"sub 4 on 82 4","x","x 4 off 82","uu",NA,NA,NA,"sub 1 on 65 1","x","x","uu","x 2 g 7 off 71","x","sub 2 on 71 2",NA,NA,NA,NA,NA,NA,"sub 5 on 82 5"
"54",2021-04-24,"Grimsby Town","1","2","league-two","H","",0,0,15,24,"Alan Young","Boundary Park","x",NA,NA,"x",NA,"x g 30","x",NA,NA,NA,NA,"x 3 off 57",NA,"sub 2 on 57 2","uu","x","x 2 off 57","uu",NA,NA,NA,"sub 3 on 57 3","x 4 off 70","x 1 off 57 y","sub 4 on 70 4","x 5 off 81","x","sub 1 on 57 1",NA,NA,NA,NA,NA,NA,"sub 5 on 81 5"
"55",2021-05-01,"Mansfield Town","1","4","league-two","A","",0,0,16,15,"Antony Coggins","Field Mill","x 4 off 70",NA,NA,"x",NA,"x 1 off 52","x",NA,NA,NA,NA,"sub 2 on 52 2",NA,NA,"uu","x","sub 1 on 52 1","uu",NA,"x 2 g 51 off 52",NA,"x 3 off 60","x","x","sub 4 on 70 4","sub 3 on 60 3","x y","x",NA,NA,NA,NA,NA,NA,"uu"
"56",2021-05-08,"Forest Green Rovers","0","3","league-two","H","",0,0,17,6,"Seb Stockbridge","Boundary Park","x 4 off 72",NA,"sub 5 on 75 5","x",NA,"sub 1 on 58 1","x",NA,"uu",NA,NA,"x 1 off 58",NA,NA,"sub 2 on 72 2","uu","x",NA,NA,NA,NA,NA,"x 2 off 72","x","x 3 off 72","x","x 5 off 75 y","x",NA,NA,NA,NA,NA,"sub 3 on 72 3 y","sub 4 on 72 4"
