"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Nicky Banger","Paul Bernard","Mark Brennan","John Eyre","Richard Graham","Gunnar Halle","Nick Henry","Rick Holden","Chris Makin","Sean McCarthy","Lee Richardson","Paul Rickers","Andy Ritchie","Graeme Sharp"
"35",1994-12-27,"Grimsby Town","3","1","league-division-1","A","",6958,NA,8,10,"","-",NA,NA,NA,NA,NA,NA,"x g ",NA,NA,"x g ",NA,NA,"x g ",NA
"36",1994-12-31,"Swindon Town","1","1","league-division-1","H","",8917,NA,9,20,"","-",NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA
"37",1995-01-03,"Millwall","1","1","league-division-1","A","",7438,NA,8,9,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen",NA,NA,NA
"38",1995-01-07,"Reading","3","1","fa-cup","A","",8886,NA,NA,NA,"","-",NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,"x g ",NA,NA,"x g "
"39",1995-01-14,"Sunderland","0","0","league-division-1","H","",9742,NA,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1995-01-22,"Tranmere Rovers","1","3","league-division-1","A","",5581,NA,11,4,"","-",NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA
"41",1995-01-28,"Leeds United","2","3","fa-cup","A","",25010,NA,NA,NA,"","-",NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA
"42",1995-02-04,"Luton Town","1","2","league-division-1","A","",6903,NA,12,13,"","-",NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"43",1995-02-18,"Bristol City","2","2","league-division-1","A","",7851,NA,12,21,"","-",NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,"x g ",NA
"44",1995-02-21,"West Bromwich Albion","1","0","league-division-1","H","",7690,NA,10,19,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA
"45",1995-02-25,"Sheffield United","3","3","league-division-1","H","",9640,NA,10,3,"","-","x g 2 goals;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"46",1995-03-07,"Southend United","0","2","league-division-1","H","",7168,NA,13,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1995-03-11,"Burnley","1","2","league-division-1","A","",11620,NA,15,24,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA
"48",1995-03-14,"Notts County","1","1","league-division-1","H","",5465,NA,13,23,"","-",NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA
"49",1995-03-21,"Reading","1","2","league-division-1","A","",6921,NA,15,5,"","-",NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA
"50",1995-03-25,"Derby County","1","0","league-division-1","H","",7696,NA,14,7,"","",NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1995-04-01,"Watford","2","1","league-division-1","A","",8090,NA,13,10,"","-","x g ",NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1995-04-05,"Middlesbrough","1","0","league-division-1","H","",11024,NA,12,1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"53",1995-04-08,"Swindon Town","1","3","league-division-1","A","",7488,NA,13,21,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"54",1995-04-15,"Grimsby Town","1","0","league-division-1","H","",6757,NA,13,10,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA
"55",1995-04-17,"Wolverhampton Wanderers","1","2","league-division-1","A","",25840,NA,14,4,"","-",NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1995-04-22,"Millwall","0","1","league-division-1","H","",6319,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1995-04-29,"Bolton Wanderers","3","1","league-division-1","H","",11901,NA,13,2,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 2 goals;",NA,"x g ",NA,NA
"58",1995-05-02,"Barnsley","1","1","league-division-1","A","",9383,NA,12,5,"","-",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1995-05-07,"Portsmouth","1","1","league-division-1","A","",11003,NA,13,17,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen",NA,NA,NA,NA
