"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Nicky Banger","Stuart Barlow","Darren Beckford","David Beresford","Paul Bernard","Mark Brennan","Gerry Creaney","Richard Graham","Gunnar Halle","Chris Makin","Sean McCarthy","Steve Redmond","Lee Richardson","Carl Serrant","Michel Vonk","Paul Wilkinson","Andy Hughes"
"37",1996-02-12,"Swindon Town","0","1","fa-cup","A","",9508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1996-02-24,"Charlton Athletic","1","1","league-division-1","H","",6570,NA,18,2,"","",NA,NA,NA,NA,NA,"x g 2 goals;",NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA
"39",1996-02-27,"West Bromwich Albion","0","1","league-division-1","A","",10956,NA,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1996-03-03,"Tranmere Rovers","1","2","league-division-1","H","",4225,NA,21,15,"","-",NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1996-03-09,"Watford","1","2","league-division-1","A","",10961,NA,21,24,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"42",1996-03-12,"Sunderland","1","2","league-division-1","H","",7172,NA,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1996-03-16,"Leicester City","3","1","league-division-1","H","",5582,NA,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1996-03-19,"Ipswich Town","1","2","league-division-1","A","",9690,NA,20,6,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen",NA,NA,NA,NA
"45",1996-03-23,"Sunderland","0","1","league-division-1","A","",20631,NA,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1996-03-30,"Reading","0","2","league-division-1","A","",7025,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1996-04-02,"Grimsby Town","1","0","league-division-1","H","",5037,NA,22,17,"","",NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1996-04-06,"Derby County","0","1","league-division-1","H","",8119,NA,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1996-04-08,"Port Vale","3","1","league-division-1","A","",7796,NA,22,16,"","-",NA,"x g ","x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen",NA,NA,NA,NA
"50",1996-04-13,"Wolverhampton Wanderers","0","0","league-division-1","H","",7592,NA,22,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1996-04-17,"Leicester City","0","2","league-division-1","A","",12790,NA,22,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1996-04-20,"Millwall","1","0","league-division-1","A","",9574,NA,21,19,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen",NA,NA,NA,NA
"53",1996-04-27,"Southend United","1","1","league-division-1","A","",5409,NA,20,11,"","-",NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1996-04-30,"Stoke City","2","0","league-division-1","H","",10271,NA,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1996-05-05,"Luton Town","1","0","league-division-1","H","",6623,NA,17,24,"","",NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
