"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Dele Adebola","Matty Appleby","Stuart Balmer","Tony Carss","Carlo Corazzin","Lee Duxbury","John Eyre","David Eyres","Shaun Garnett","Wayne Gill","Andy Goram","Gary Kelly","Scott McNiven","Paul Murray","Barry Prenderville","David Reeves","Paul Rickers","Darren Sheridan","John Sheridan","Allan Smart","Paul Shepherd","Mark Allott","Craig Dudley","Michael Clegg","Mark Innes","David Miskelly","Matthew Tipton","Mark Hotte","Dean Holden","David Beharall","Chris Armstrong","Paul Rachubka","Danny Boshell","Marc Richards","Lee Hardy","Julian Baudet","Thomas Whittle","Will Haining","Cristian Colusso","Colin Hall","Fitz Hall","Adam Griffin"
"11",2001-09-22,"Brentford","2","2","league-division-2","A","",5525,NA,3,2,"Richard Beeby","Griffin Park",NA,NA,"x",NA,"x 1 g 74 off 89","x",NA,"x",NA,NA,NA,"x y","x y",NA,"x y",NA,"x g 34","x","uu",NA,NA,"sub 1 on 89 1","x",NA,"uu","uu","x","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2001-09-25,"Bury","4","0","league-division-2","H","",5605,NA,2,24,"MIke Pike","Boundary Park",NA,NA,"x",NA,"x 1 g 63 off 69","x 3 g 8 off 79",NA,"x",NA,NA,NA,"x","x",NA,"x",NA,"x y","x 2 off 78","sub 2 on 78 2",NA,NA,"sub 1 on 69 1 g 90","x",NA,"sub 3 on 79 3","uu","x g 45","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2001-09-29,"Notts County","4","1","league-division-2","H","",6864,NA,1,15,"G Laws","Boundary Park",NA,NA,"x",NA,"x g pen 90","x 1 off 64","sub 2 on 73 2 g 84",NA,NA,NA,NA,"x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,"x 2 g 22 off 73",NA,"sub 1 on 64 1","uu","x 3 off 80 y","uu",NA,NA,NA,NA,"sub 3 on 80 3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2001-10-05,"AFC Bournemouth","2","3","league-division-2","A","",3312,NA,1,19,"A R Hall","Dean Court",NA,NA,"x","sub 2 on 65 2","x","x","sub 1 on 33 1","x y",NA,NA,NA,"x","x",NA,"x",NA,"x",NA,NA,NA,NA,"uu","x",NA,"uu",NA,"x 1 g 1 off 33",NA,NA,NA,NA,NA,"x 2 off 65 y",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"15",2001-10-13,"Bristol City","0","1","league-division-2","H","",6565,NA,4,2,"Phil Joslin","-",NA,NA,"x",NA,"x","x","x 1 off 67","x",NA,"x 3 off 82",NA,"x",NA,NA,"x",NA,"x 2 off 81",NA,NA,NA,"uu",NA,"x",NA,"sub 2 on 81 2","uu",NA,NA,"x y",NA,NA,NA,"sub 3 on 82 3","sub 1 on 67 1 y",NA,NA,NA,NA,NA,NA,NA,NA
"16",2001-10-20,"Brighton &amp; Hove Albion","0","3","league-division-2","A","",6793,NA,NA,NA,"L Cable","Withdean Stadium",NA,NA,"x y",NA,"x 2 off 53","x",NA,"x",NA,"x",NA,"x","x",NA,"x 1 off 37",NA,"sub 1 on 37 1",NA,"x",NA,NA,"uu","sub 2 on 53 2",NA,NA,"uu","x 3 off 73 y",NA,"x",NA,NA,NA,NA,"sub 3 on 73 3",NA,NA,NA,NA,NA,NA,NA,NA
"17",2001-10-23,"Reading","0","1","league-division-2","H","",4901,NA,10,9,"R D Furnandiz","Boundary Park",NA,NA,"x",NA,NA,"x",NA,"x",NA,"x 1 off 40",NA,"x","x y",NA,NA,NA,"sub 1 on 40 1","x y","uu",NA,NA,"sub 2 on 65 2","x",NA,NA,"uu","x 2 off 65",NA,"x 3 off 70",NA,"sub 3 on 70 3",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA
"18",2001-10-27,"Queens Park Rangers","1","1","league-division-2","A","",10556,NA,8,13,"G Hegley","Loftus Road Stadium",NA,NA,"x g 65",NA,"uu","x",NA,"x 1 off 30",NA,NA,NA,"x","x",NA,NA,NA,"x 2 off 51","x","x",NA,NA,"sub 3 on 61 3",NA,NA,"sub 1 on 30 1","uu","sub 2 on 51 2",NA,"x",NA,"x",NA,NA,"x 3 off 61",NA,NA,NA,NA,NA,NA,NA,NA
"19",2001-10-30,"Tranmere Rovers","2","0","ldv-vans-trophy","H","",2940,NA,NA,NA,"G Stretton","Boundary Park",NA,NA,"x",NA,"x 2 off 83",NA,"x 1 g 18 off 83",NA,NA,NA,NA,"x","x",NA,NA,NA,"x","x y",NA,NA,NA,"sub 1 on 83 1","sub 2 on 83 2",NA,"x y","uu","uu",NA,"x",NA,"x",NA,"uu","x g 90",NA,NA,NA,NA,NA,NA,NA,NA
"20",2001-11-03,"Huddersfield Town","1","1","league-division-2","H","",8859,NA,10,5,"Mike Dean","Boundary Park",NA,NA,"x g 76",NA,"x 2 off 71","x","x 3 off 74","x",NA,NA,NA,"x","x",NA,NA,NA,"uu","x","sub 3 on 74 3",NA,NA,"sub 2 on 71 2",NA,NA,NA,"uu","sub 1 on 56 1",NA,"x",NA,"x",NA,NA,"x 1 off 56",NA,NA,NA,NA,NA,NA,NA,NA
"21",2001-11-10,"Cambridge United","1","1","league-division-2","A","",3378,NA,13,21,"P Taylor","Abbey Stadium",NA,NA,"x",NA,"x 3 off 89","x","sub 3 on 89 3","x",NA,NA,NA,"x","x",NA,NA,NA,"sub 2 on 85 2","x","x 2 off 85",NA,NA,"x 1 g 18 off 71",NA,NA,"uu","uu","sub 1 on 71 1",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2001-11-17,"Barrow","1","1","fa-cup","H","",5795,NA,NA,NA,"G Cain","Boundary Park",NA,NA,"x",NA,"x","x g 33","uu","x 2 off 72",NA,NA,NA,"x","x",NA,NA,NA,"x","x","x",NA,NA,"x 1 off 45","sub 1 on 45 1",NA,NA,"uu","sub 2 on 72 2",NA,NA,NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2001-11-21,"Stoke City","0","0","league-division-2","A","",11031,NA,13,3,"G B Frankland","bet365 Stadium",NA,NA,"x",NA,"x 3 off 89","x","sub 1 on 61 1","x",NA,NA,NA,"sub 2 on 71 2","x 1 off 61",NA,NA,NA,"uu","x","x",NA,NA,NA,NA,NA,"uu","x 2 off 71","sub 3 on 89 3",NA,"x","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2001-11-24,"Wycombe Wanderers","2","0","league-division-2","H","",4731,271,8,6,"Alan Kaye","Boundary Park",NA,NA,"x",NA,"x 1 off 82","x","sub 1 on 82 1","x",NA,NA,NA,NA,"sub 2 on 88 2",NA,NA,NA,"sub 3 on 89 3","x","x 3 off 89",NA,NA,NA,"uu",NA,"uu",NA,"x 2 g 31 off 88",NA,"x y","x","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2001-11-27,"Barrow","1","0","fa-cup","A","",4368,NA,NA,NA,"G Cain","Holker Street",NA,NA,"x",NA,"x 1 off 82","x","sub 1 on 82 1","x g 5",NA,NA,NA,"x","x",NA,"uu",NA,"sub 3 on 89 3","x","x 2 off 85",NA,NA,NA,"uu",NA,"sub 2 on 85 2",NA,"x 3 off 89",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA
"26",2001-12-01,"Cardiff City","1","3","league-division-2","A","",10004,NA,11,9,"R Olivier","Ninian Park",NA,NA,"x y",NA,"sub 2 on 78 2","x","sub 1 on 71 1 g 75","x 1 off 71",NA,NA,NA,"uu","uu",NA,NA,NA,NA,"x y","x","x 2 off 78 y",NA,NA,NA,NA,NA,NA,"x 3 off 85",NA,"x y","x","x","x",NA,NA,NA,"sub 3 on 85 3",NA,NA,NA,NA,NA,NA
"27",2001-12-04,"Notts County","1","0","ldv-vans-trophy","A","",1047,NA,NA,NA,"Anthony Bates","Meadow Lane",NA,NA,"x",NA,NA,"x","x 3 off 80",NA,NA,NA,NA,"uu","sub 1 on 70 1",NA,NA,NA,"sub 2 on 77 2","x",NA,"x g 41",NA,"sub 3 on 80 3",NA,NA,"x 2 off 77",NA,"x",NA,"x 1 off 70","x","x","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA
"28",2001-12-08,"Hull City","3","2","fa-cup","A","",9422,NA,NA,NA,"Mark Clattenburg","Boothferry Park",NA,NA,"x y",NA,NA,"x g 50","x","x 3 g 48 off 88",NA,NA,NA,"x","uu",NA,NA,NA,NA,"x","x 2 g 32 off 82",NA,NA,"sub 1 on 74 1",NA,NA,"sub 3 on 88 3",NA,"x 1 off 74 y",NA,"x","x","x",NA,NA,NA,NA,"sub 2 on 82 2","uu",NA,NA,NA,NA,NA
"29",2001-12-15,"Wigan Athletic","1","1","league-division-2","H","",6407,NA,12,14,"U D Rennie","Boundary Park",NA,NA,"x",NA,NA,"x","x 1 off 9","x",NA,NA,NA,NA,"uu","sub 1 on 9 1",NA,NA,NA,"x 3 off 70","x",NA,NA,"sub 2 on 55 2",NA,NA,"sub 3 on 70 3",NA,"x 2 off 55",NA,"x","x g 89","x y","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA
"30",2001-12-21,"Port Vale","2","0","league-division-2","H","",4317,NA,9,19,"Graham Salisbury","Boundary Park",NA,NA,"x",NA,NA,"x 1 off 49",NA,"x 3 g 30 off 81",NA,NA,NA,NA,"uu","x",NA,"x g 57",NA,"x","x 2 off 74",NA,NA,NA,NA,NA,NA,NA,"sub 1 on 49 1",NA,"x y","x","x y","x","uu",NA,"sub 3 on 81 3","sub 2 on 74 2",NA,NA,NA,NA,NA,NA
"31",2001-12-26,"Blackpool","2","0","league-division-2","A","",5772,NA,10,13,"G Cain","Bloomfield Road",NA,NA,NA,NA,NA,"sub 1 on 65 1",NA,"x",NA,NA,NA,NA,"sub 2 on 72 2","x 3 off 88",NA,"x g pen 56 66",NA,"x","x 1 off 65","x 2 off 72",NA,NA,NA,NA,NA,NA,"uu",NA,"x","x","x","x",NA,NA,"uu","x",NA,"sub 3 on 88 3",NA,NA,NA,NA
"32",2001-12-29,"Northampton Town","1","0","league-division-2","A","",4760,NA,7,24,"Joe Ross","Sixfields Stadium",NA,NA,"sub 2 on 72 2",NA,NA,"sub 1 on 66 1",NA,"x g 80",NA,NA,NA,NA,"uu","x y",NA,"x",NA,"x","x 3 off 86","x",NA,NA,NA,NA,NA,NA,"uu",NA,"x 1 off 66","x","x","x",NA,NA,NA,"x 2 off 72",NA,"sub 3 on 86 3",NA,NA,NA,NA
"33",2002-01-06,"Cheltenham Town","1","2","fa-cup","A","",5801,NA,NA,NA,"M J Brandwood","Whaddon Road",NA,NA,"x",NA,NA,"x","x 2 off 68","x g 43",NA,NA,NA,"x","x 1 off 68","x",NA,NA,NA,"x y red@81","x","x 3 off 73",NA,NA,"sub 3 on 73 3",NA,NA,NA,"sub 2 on 68 2",NA,NA,"x",NA,NA,NA,NA,"uu","sub 1 on 68 1",NA,"uu",NA,NA,NA,NA
"34",2002-01-09,"Blackpool","2","5","ldv-vans-trophy","H","",3349,NA,NA,NA,"Richard Beeby","Boundary Park",NA,NA,"uu",NA,NA,"x g 3",NA,"x g 46",NA,NA,NA,"x","sub 2 on 83 2","x",NA,NA,NA,"x red@26",NA,"x y",NA,NA,"sub 1 on 45 1",NA,NA,NA,"x 2 off 45",NA,"x","x 1 off 45","x","uu",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA
"35",2002-01-12,"Chesterfield","2","4","league-division-2","A","",4716,NA,8,17,"Bill Jordan","Recreation Ground (CSF)",NA,NA,"x",NA,NA,"x 3 off 84","sub 3 on 84 3","x g 47 y",NA,NA,NA,"uu","uu","x g 11",NA,"x",NA,"x 1 off 60","sub 2 on 78 2","x y",NA,NA,NA,NA,NA,NA,NA,NA,"x 2 off 78","x","x","x",NA,NA,NA,"sub 1 on 60 1 y",NA,NA,NA,NA,NA,NA
"36",2002-01-16,"Swindon Town","2","0","league-division-2","H","",3970,NA,7,18,"S J Baines","Boundary Park",NA,"sub 2 on 85 2","x",NA,NA,"x 3 off 89","x g 45 81","sub 1 on 35 1",NA,NA,NA,NA,"x","x",NA,"x",NA,NA,"x 2 off 85","x 1 off 35",NA,NA,NA,NA,NA,NA,NA,NA,"uu","x","x","x",NA,NA,"uu","sub 3 on 89 3",NA,NA,NA,NA,NA,NA
"37",2002-01-19,"Wrexham","3","1","league-division-2","H","",5451,NA,7,22,"M Cowburn","Boundary Park",NA,"x 2 off 82","x",NA,"sub 1 on 74 1 g 90","x","x 1 off 74","x 3 off 86",NA,NA,NA,NA,"x","x g 34",NA,NA,"sub 2 on 82 2",NA,"x g pen 56",NA,NA,NA,NA,NA,NA,NA,"sub 3 on 86 3",NA,"uu","x","x","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA
"38",2002-01-22,"Port Vale","2","3","league-division-2","A","",4408,NA,8,13,"Mark Clattenburg","Vale Park",NA,"x g 48","x",NA,"x g 70","x","x 2 off 87","x",NA,NA,NA,NA,"x","x",NA,NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 87 2",NA,"uu","x 1 off 87","x","x",NA,NA,NA,"sub 1 on 87 1",NA,NA,NA,NA,NA,NA
"39",2002-01-26,"AFC Bournemouth","3","3","league-division-2","H","",4853,NA,8,19,"P S Danson","Boundary Park",NA,"x 1 off 59","x g 18",NA,"x","x 2 off 76","uu","x g 63",NA,NA,NA,"uu","x","x y",NA,NA,"sub 2 on 76 2",NA,"x","sub 1 on 59 1",NA,NA,NA,NA,NA,NA,NA,NA,"uu","x","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2002-02-02,"Notts County","2","0","league-division-2","A","",4555,NA,6,23,"Trevor Parkes","-",NA,"x","uu",NA,"x 2 g 54 off 88 y","sub 1 on 71 1",NA,"x",NA,NA,NA,"uu","x","x g 49",NA,"x",NA,NA,"x 1 off 71",NA,NA,NA,NA,NA,NA,NA,"uu",NA,"sub 2 on 88 2","x","x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA
"41",2002-02-09,"Brighton &amp; Hove Albion","2","0","league-division-2","H","",6951,NA,NA,NA,"Chris Foy","Boundary Park",NA,"x g 30",NA,NA,"x 3 off 85","sub 1 on 41 1 y",NA,"x g 81",NA,NA,NA,"uu","x","x",NA,"x 2 off 65",NA,NA,"x 1 off 41","sub 2 on 65 2",NA,NA,NA,NA,NA,NA,NA,NA,"uu","x","x","x",NA,NA,NA,"x",NA,NA,"sub 3 on 85 3",NA,NA,NA
"42",2002-02-16,"Bristol City","0","3","league-division-2","A","",10849,NA,7,3,"M Cooper","Ashton Gate",NA,"x y","uu",NA,"x 3 off 70","x 1 off 46 y",NA,"x 2 off 70",NA,NA,NA,"uu","x","x y",NA,"x",NA,NA,NA,"sub 3 on 70 3",NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 46 1","x","x","x",NA,NA,NA,"x y red@68",NA,NA,"sub 2 on 70 2",NA,NA,NA
"43",2002-02-19,"Tranmere Rovers","1","1","league-division-2","H","",5998,NA,7,11,"N S Barry","Boundary Park",NA,"x y","x",NA,"sub 1 on 74 1",NA,NA,"x",NA,NA,NA,"uu","x","x y",NA,"x","sub 2 on 82 2",NA,NA,"x 1 off 74",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,"x","x",NA,NA,"uu","x",NA,NA,"x 2 g 60 off 82",NA,NA,NA
"44",2002-02-23,"Peterborough United","2","2","league-division-2","A","",4308,NA,8,18,"M Warren","London Road",NA,"x y","x",NA,"x 1 off 76",NA,NA,"x",NA,NA,NA,"uu","x","x g 11 y",NA,"x","uu",NA,NA,"x 2 g 15 off 76",NA,NA,NA,"sub 1 on 76 1",NA,NA,NA,NA,"uu",NA,"x","x",NA,NA,NA,"x",NA,NA,"sub 2 on 76 2",NA,NA,NA
"45",2002-02-26,"Brentford","3","2","league-division-2","H","",4935,NA,7,5,"P Rejer","Boundary Park",NA,"x","x",NA,"x",NA,NA,"x g pen 45 y",NA,NA,NA,"x","sub 1 on 26 1","x",NA,"sub 3 on 76 3","uu","sub 2 on 72 2",NA,"x 3 g 62 69 off 76",NA,NA,NA,"x",NA,NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA,"x 1 off 26",NA,NA,"x 2 off 72",NA,NA,NA
"46",2002-03-02,"Colchester United","4","1","league-division-2","H","",5457,NA,6,15,"Howard Webb","Boundary Park",NA,"x 3 off 82","x",NA,"x g 90",NA,NA,"x g 77",NA,NA,NA,"x","uu","x g 44",NA,"sub 2 on 72 2","sub 3 on 82 3","sub 1 on 66 1",NA,"x 2 g 24 off 72",NA,NA,NA,"x",NA,NA,NA,NA,"uu","x","x",NA,NA,NA,NA,NA,NA,NA,"x 1 off 66",NA,NA,NA
"47",2002-03-05,"Bury","1","1","league-division-2","A","",7953,NA,6,19,"Anthony Bates","Gigg Lane",NA,"x","x 2 off 75",NA,"x",NA,NA,NA,NA,NA,NA,"x","uu","x",NA,"x 1 off 28","uu","x",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,"uu","x","x y",NA,NA,NA,NA,"sub 1 on 28 1",NA,NA,"sub 2 on 75 2 g 90",NA,NA,NA
"48",2002-03-09,"Wigan Athletic","0","1","league-division-2","A","",7389,NA,7,12,"Mike Jones","JJB Stadium",NA,"x 1 off 67 y","x y",NA,"x","sub 1 on 67 1",NA,"x",NA,NA,NA,"x","uu",NA,NA,NA,"uu","x 2 off 69",NA,"x y",NA,NA,NA,"x 3 off 77",NA,NA,NA,NA,"sub 3 on 77 3","x","x",NA,NA,NA,NA,"x",NA,NA,"sub 2 on 69 2",NA,NA,NA
"49",2002-03-16,"Cardiff City","1","7","league-division-2","H","",6786,NA,8,7,"C Webster","Boundary Park",NA,"x y red@32","x g 74","sub 1 on 34 1","x","sub 2 on 45 2",NA,"x 3 off 83",NA,NA,"x",NA,NA,"x",NA,NA,NA,"sub 3 on 83 3",NA,"x 2 off 45",NA,NA,NA,"x",NA,"uu",NA,NA,"uu",NA,"x y",NA,NA,NA,NA,"x",NA,NA,"x 1 off 34",NA,NA,NA
"50",2002-03-23,"Reading","2","2","league-division-2","A","",15191,NA,8,1,"Clive Penton","Madejski Stadium","x 1 off 58","x",NA,"sub 3 on 77 3","sub 1 on 58 1","x 3 g 31 off 77",NA,"x y",NA,NA,"x",NA,"x","x",NA,NA,NA,"uu",NA,"sub 2 on 62 2 g 75 y",NA,NA,NA,"uu",NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,"x y",NA,NA,"x 2 off 62",NA,NA,NA
"51",2002-03-30,"Cambridge United","2","2","league-division-2","H","",4957,NA,9,24,"Michael Ryan","Boundary Park","x",NA,NA,"sub 2 on 60 2","sub 1 on 54 1","x y",NA,"x y",NA,NA,"x",NA,"x","x",NA,NA,NA,"x red@26",NA,"x 3 off 77",NA,NA,NA,"uu",NA,"uu",NA,NA,"x g 45 90 y",NA,"x 2 off 60 y",NA,NA,NA,NA,"x 1 off 54",NA,NA,"sub 3 on 77 3",NA,NA,NA
"52",2002-04-01,"Huddersfield Town","0","0","league-division-2","A","",14343,NA,9,5,"M D Messias","John Smith's Stadium","x 2 off 76","x",NA,"sub 1 on 73 1","x","x 3 off 80",NA,"x",NA,NA,"x",NA,"x y","x",NA,NA,"sub 3 on 80 3",NA,NA,"sub 2 on 76 2",NA,NA,NA,"uu",NA,"uu",NA,NA,"x",NA,"x 1 off 73",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA
"53",2002-04-06,"Stoke City","2","1","league-division-2","H","",6802,NA,9,4,"D J Gallagher","Boundary Park","x 1 off 66",NA,"uu","x g 25","x","x 3 off 85",NA,"x",NA,NA,NA,NA,"x","x 2 off 81",NA,NA,"sub 2 on 81 2",NA,NA,"sub 1 on 66 1",NA,NA,NA,"uu",NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,"sub 3 on 85 3",NA,"x g 88",NA,NA
"54",2002-04-13,"Wycombe Wanderers","1","2","league-division-2","A","",6728,414,9,12,"Phil Joslin","Causeway Stadium","x 1 off 57","uu",NA,"x","x","x 2 off 65",NA,"x 3 off 78",NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,"sub 1 on 57 1 g pen 82 y",NA,NA,NA,"uu",NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,NA,"sub 2 on 65 2",NA,NA,"sub 3 on 78 3",NA,"x",NA
"55",2002-04-20,"Queens Park Rangers","1","0","league-division-2","H","",7262,NA,9,8,"G Laws","Boundary Park",NA,"x 2 off 64",NA,"sub 2 on 64 2","sub 1 on 54 1","uu",NA,"x 3 off 76",NA,NA,NA,NA,"uu","x",NA,NA,NA,NA,NA,"x 1 off 54 y",NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,"x",NA,NA,NA,NA,"x g 10",NA,"x","x y","x",NA,"sub 3 on 76 3"
