"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Alan Sheehan","Nicky Adams","Laurie Walker","Temitope Obadeyi","Jordan Clarke","Carl Piergianni","Jamie Hopcutt","Christopher Missilou","Danny Rogers","Jayson Leutwiler","Jacob Blyth","Hallam Hope","Harrison McGahey","Jack Stobbs","Dylan Bahamboula","Ousseynou Cisse","Raphael Diarra","Andrea Badan","Mike Fondop-Talum","Davis Keillor-Dunn","Sam Hart","Zachary Dearnley","Kyle Jameson","Alex Hunt","Jamie Bowden","Callum Whelan","Dylan Fage","Faysal Bettache","Vani Da Silva","Junior Luamba","Will Sutton","Harry Vaughan","Kacper Danielewicz","Benny Couto","James Simms","Joseph Edwards","Trey Turner","Luke Southerington","Isaac Modi","Aaron Atkinson","Oliver Kilner"
"11",2021-08-28,"Sutton United","2","1","league-two","A","",3262,457,23,24,"Darren Drysdale","Borough Sports Ground","sub 1 on 17 1","uu",NA,NA,"x","x g 88 y",NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,"x y",NA,NA,"sub 2 on 45 2","x 1 off 17","uu",NA,NA,"uu","x","x 3 off 50","sub 3 on 50 3",NA,"x g 90 y",NA,"x 2 off 45","uu",NA,NA,NA,NA,NA,NA,NA,NA
"12",2021-08-31,"Salford City","1","0","efl-trophy","H","",1915,252,NA,NA,"James Oldham","Boundary Park","uu","x 2 off 69",NA,NA,NA,"x g 43",NA,NA,NA,"x",NA,"sub 2 on 69 2",NA,NA,NA,NA,"uu",NA,NA,"x",NA,"x 1 off 45","x",NA,"x","x","x","x 3 off 76","sub 1 on 45 1","sub 3 on 76 3",NA,"uu","uu","x",NA,NA,NA,NA,NA,NA,NA
"13",2021-09-04,"Barrow","0","3","league-two","H","",4232,474,23,9,"Carl Boyeson","Boundary Park","x 2 off 58","x",NA,NA,NA,"x",NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,"sub 2 on 58 2",NA,NA,"sub 1 on 45 1",NA,"uu","x",NA,"x","x 1 off 45","x","x","uu","x 3 off 73",NA,"sub 3 on 73 3","uu","uu",NA,NA,NA,NA,NA,NA,NA
"14",2021-09-11,"Leyton Orient","0","4","league-two","A","",5315,379,24,3,"Ben Toner","Breyer Group stadium",NA,"x 1 off 45",NA,NA,"x","x",NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,"x",NA,NA,"x",NA,"sub 2 on 79 2","x y",NA,"x y","uu","x 3 off 85","x 2 off 79","sub 3 on 85 3","uu",NA,"sub 1 on 45 1","uu","uu",NA,NA,NA,NA,NA,NA,NA
"15",2021-09-18,"Hartlepool United","0","0","league-two","H","",3934,946,24,6,"Charles Breakspear","Boundary Park","x",NA,NA,NA,"x","x y",NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,"x",NA,NA,"x 1 off 71",NA,"sub 3 on 84 3","x y",NA,"sub 2 on 72 2","x 2 off 72","uu","x 3 off 84","uu",NA,NA,"sub 1 on 71 1","uu","uu",NA,NA,NA,NA,NA,NA,NA
"16",2021-09-21,"Brentford","0","7","efl-cup","A","",12819,599,NA,NA,"Simon Hooper","Brentford Community Stadium",NA,NA,NA,NA,"x y","x 1 off 45",NA,NA,NA,"x",NA,NA,NA,NA,"x 2 off 45",NA,"x",NA,NA,"x",NA,"x 3 off 45","x",NA,"x","x","x",NA,"sub 2 on 45 2",NA,NA,"sub 3 on 45 3","uu","sub 1 on 45 1",NA,NA,NA,NA,NA,NA,NA
"17",2021-09-25,"Rochdale","1","0","league-two","A","",5234,1518,24,12,"Will Finnie","Spotland",NA,NA,NA,NA,"x","x",NA,NA,NA,"x",NA,"x 3 off 89","x",NA,"x",NA,"x",NA,NA,"x 1 g 59 off 74",NA,"uu","sub 2 on 86 2",NA,"uu","x y","x","sub 1 on 74 1","sub 3 on 89 3",NA,NA,"uu","uu","x 2 off 86",NA,NA,NA,NA,NA,NA,NA
"18",2021-09-28,"Leeds United Academy","2","3","efl-trophy","H","",727,108,NA,NA,"Andrew Kitchen","Boundary Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"x","x 1 off 45","uu",NA,"sub 1 on 45 1 y",NA,NA,"sub 2 on 45 2 g 90",NA,"x g 78","x",NA,"x","sub 3 on 65 3","x","x 3 off 65","x",NA,NA,"x","uu","x 2 off 45","uu","uu",NA,NA,NA,NA,NA
"19",2021-10-02,"Harrogate Town","1","2","league-two","H","",3729,177,23,2,"David Rock","Boundary Park",NA,NA,NA,NA,"x","x",NA,NA,NA,"x",NA,"x","x","x 2 off 70","x",NA,"x 1 off 64",NA,NA,"x",NA,"sub 2 on 70 2",NA,NA,"sub 1 on 64 1","x","x 3 off 75","uu","uu",NA,NA,"sub 3 on 75 3 g 76","uu",NA,NA,"uu",NA,NA,NA,NA,NA
"20",2021-10-09,"Mansfield Town","0","0","league-two","A","",4556,496,23,21,"Craig Hicks","Field Mill","uu",NA,NA,NA,"x y","x",NA,NA,"uu","x",NA,"sub 2 on 85 2","x","x y","x 1 off 85",NA,"uu",NA,NA,"x",NA,"x 2 off 85",NA,NA,"x","x","uu","sub 1 on 85 1","uu",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"21",2021-10-16,"Stevenage","3","0","league-two","H","",3492,89,21,20,"Robert Madley","Boundary Park","uu",NA,NA,NA,"x","x y",NA,NA,"uu","x",NA,"sub 3 on 89 3","x","x 2 off 87","x 3 g 58 off 89",NA,NA,NA,NA,"x g 5 16",NA,"x 1 off 75",NA,NA,"x y","x","sub 1 on 75 1",NA,"uu",NA,NA,"sub 2 on 87 2",NA,"x",NA,"uu",NA,NA,NA,NA,NA
"22",2021-10-19,"Walsall","1","3","league-two","H","",3762,329,22,16,"Ross Joyce","Boundary Park","x 1 off 10",NA,NA,NA,"x",NA,NA,NA,"uu","x",NA,"sub 1 on 10 1 g 67","x","x 3 off 62","x",NA,NA,NA,NA,"x",NA,"x 2 off 45",NA,NA,"x y","x y",NA,"sub 2 on 45 2","uu",NA,NA,"sub 3 on 62 3",NA,"x",NA,"uu","uu",NA,NA,NA,NA
"23",2021-10-23,"Carlisle United","0","0","league-two","A","",4274,420,21,22,"Ben Speedie","Brunton Park",NA,NA,NA,NA,"x","x",NA,NA,"uu","x",NA,"x","x",NA,"x",NA,"uu",NA,NA,"x",NA,"uu",NA,NA,"x","x 2 off 87","uu","sub 2 on 87 2","sub 1 on 62 1",NA,NA,"x 1 off 62",NA,"x y",NA,"uu",NA,NA,NA,NA,NA
"24",2021-10-30,"Swindon Town","1","3","league-two","H","",4085,635,22,5,"Anthony Backhouse","Boundary Park",NA,NA,NA,NA,"x","x g 90",NA,NA,NA,"x",NA,"x","x",NA,"x",NA,"uu",NA,NA,"x",NA,NA,NA,NA,"x 2 off 81 y","x 1 off 75","uu","x","uu",NA,NA,"sub 1 on 75 1",NA,"x",NA,"uu",NA,"uu","sub 2 on 81 2",NA,NA
"25",2021-11-06,"Ipswich Town","1","1","fa-cup","A","",8845,437,NA,NA,"Neil Hair","Portman Road",NA,"sub 2 on 87 2",NA,NA,"x","x",NA,NA,NA,"x",NA,"x","x y",NA,"x 1 off 78 y",NA,"uu",NA,NA,"x g 41",NA,"uu",NA,NA,"x","x","x 2 off 87",NA,"uu",NA,NA,"sub 1 on 78 1",NA,"x",NA,NA,NA,"uu","uu",NA,NA
"26",2021-11-09,"Tranmere Rovers","2","3","efl-trophy","A","",1405,125,NA,NA,"Marc Edwards","Prenton Park",NA,"x 2 off 63",NA,NA,"x 1 off 45 y","x",NA,NA,NA,"x",NA,"sub 3 on 63 3","x",NA,"x",NA,"x",NA,NA,"x 3 off 63",NA,"x g 15 43",NA,NA,"uu","sub 1 on 45 1","sub 2 on 63 2","x","uu",NA,NA,NA,NA,"x",NA,NA,NA,"uu","uu",NA,NA
"27",2021-11-13,"Exeter City","1","2","league-two","A","",5103,195,23,3,"Declan Bourne","St James Park",NA,"x",NA,NA,"x","x","sub 3 on 61 3",NA,NA,"x",NA,"x","x","sub 1 on 59 1","x 2 off 60","uu","uu",NA,NA,"x 3 off 61",NA,"sub 2 on 60 2",NA,NA,"x g 84 y","x","uu",NA,NA,NA,NA,NA,NA,"x 1 off 59",NA,NA,NA,"uu",NA,NA,NA
"28",2021-11-16,"Ipswich Town","1","2","fa-cup","H","",2801,496,NA,NA,"Carl Boyeson","Boundary Park",NA,"sub 3 on 86 3",NA,NA,"x 3 off 86 y","x","sub 1 on 68 1",NA,NA,"x",NA,"x","x g 29","uu","x 4 off 86","uu",NA,NA,NA,"x 1 off 68 y","sub 2 on 69 2","sub 4 on 86 4",NA,NA,"x","x","x",NA,NA,NA,NA,"uu",NA,"x 2 off 69",NA,NA,NA,"uu",NA,NA,NA
"29",2021-11-20,"Port Vale","3","2","league-two","H","",6080,1973,22,3,"Carl Brook","Boundary Park",NA,"x 2 off 59",NA,NA,"x 3 off 60","x y","x",NA,NA,"x",NA,"sub 1 on 55 1","x","uu",NA,"x 1 off 55",NA,NA,NA,"x g 31","x g 81 y","x",NA,NA,NA,"x y","sub 2 on 59 2","uu",NA,NA,NA,NA,NA,"sub 3 on 60 3","uu",NA,NA,"uu",NA,NA,NA
"30",2021-11-23,"Northampton Town","1","2","league-two","A","",4059,132,22,4,"Brett Huxtable","Sixfields Stadium",NA,"uu",NA,NA,NA,"x g 54 y","sub 2 on 45 2",NA,NA,"x",NA,"sub 3 on 45 3","x y","uu","sub 1 on 45 1","x 1 off 45",NA,NA,NA,"x","x","x 3 off 45",NA,NA,"x","x","x","uu",NA,NA,NA,NA,NA,"x 2 off 45",NA,NA,NA,"uu",NA,NA,NA
"31",2021-11-27,"Salford City","0","2","league-two","A","",3242,1347,23,11,"Paul Howard","Moor Lane",NA,"sub 3 on 84 3",NA,NA,"uu","x","x 1 off 56",NA,NA,"x",NA,"sub 1 on 56 1 y","x","sub 2 on 76 2 y","x",NA,NA,NA,NA,"x","x y","x 2 off 76",NA,NA,"x","x","x 3 off 84","uu",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"uu",NA,NA,NA
"32",2021-12-01,"Sunderland","1","0","efl-trophy","A","",3498,253,NA,NA,"Tom Reeves","Stadium of Light",NA,"x y",NA,NA,"x y","x y","sub 4 on 80 4",NA,NA,"x",NA,"x 4 off 80","uu","x 1 off 59","sub 3 on 80 3","x 3 off 80","sub 2 on 64 2",NA,NA,"x",NA,"sub 1 on 59 1",NA,NA,"sub 5 on 81 5","x 5 off 81",NA,NA,NA,NA,NA,"x 2 g 53 off 64",NA,"x",NA,NA,NA,"uu",NA,NA,NA
"33",2021-12-07,"Tranmere Rovers","0","1","league-two","H","",4303,812,23,10,"Andy Haines","Boundary Park",NA,"x",NA,NA,NA,"x",NA,NA,NA,"x",NA,"x","x","sub 3 on 79 3","sub 2 on 71 2","x 1 off 52","uu",NA,NA,"x","uu","x 2 off 71",NA,NA,"x","sub 1 on 52 1",NA,NA,NA,"uu",NA,"x 3 off 79",NA,"x",NA,NA,NA,"uu",NA,NA,NA
"34",2021-12-11,"Forest Green Rovers","5","5","league-two","H","",3621,157,23,1,"Andrew Kitchen","Boundary Park",NA,"x",NA,NA,"x y","x","uu",NA,NA,"x",NA,"sub 2 on 52 2 g 55","uu","sub 1 on 52 1 g 65 y","x 3 off 67","uu",NA,NA,NA,"x g 11 59","x",NA,NA,NA,"x y","x",NA,NA,NA,"x 2 off 52",NA,"sub 3 on 67 3",NA,"x 1 off 52",NA,NA,NA,"uu",NA,NA,NA
"35",2021-12-26,"Scunthorpe United","1","3","league-two","H","",4363,413,24,22,"Seb Stockbridge","Boundary Park",NA,"x",NA,NA,NA,"x","uu",NA,"uu","x",NA,"x","uu","x 1 off 45","x","x","x 3 off 83",NA,NA,"sub 1 on 45 1","sub 2 on 55 2",NA,NA,NA,NA,"x",NA,NA,NA,"sub 3 on 83 3",NA,"x 2 off 55",NA,"x g 11",NA,NA,NA,NA,NA,"uu",NA
"36",2021-12-29,"Barrow","0","0","league-two","A","",3495,466,24,19,"Ben Speedie","Holker Street",NA,"x",NA,NA,"x 3 off 89","x","x 1 off 71",NA,"uu","x y",NA,"x","x y","sub 2 on 80 2","uu",NA,"x 4 off 89",NA,NA,"x 2 off 80","x",NA,NA,NA,"sub 1 on 71 1","x",NA,NA,NA,"uu",NA,"uu",NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA
"37",2022-01-01,"Hartlepool United","0","0","league-two","A","",5026,381,24,15,"Darren Handley","Victoria Park (Hartlepool)",NA,"x",NA,NA,"x 1 off 41 y","x","sub 2 on 45 2",NA,"uu","x",NA,"x","x 2 off 45 y","sub 1 on 41 1","sub 3 on 65 3",NA,"x y",NA,NA,"x","x y",NA,NA,NA,"x 3 off 65","x",NA,NA,NA,NA,NA,"uu",NA,"uu",NA,NA,"uu",NA,NA,NA,NA
"38",2022-01-04,"Wigan Athletic","0","6","efl-trophy","H","",1831,731,NA,NA,"Ross Joyce","Boundary Park",NA,"x",NA,NA,NA,NA,"x 1 off 53",NA,"x","uu",NA,"sub 4 on 81 4","x",NA,"x 4 off 81","x 2 off 54 y",NA,NA,NA,"sub 2 on 54 2","x",NA,NA,NA,"sub 3 on 54 3",NA,"sub 1 on 53 1",NA,NA,"x 3 off 54",NA,"x",NA,"x",NA,NA,"x",NA,NA,"uu","uu"
"39",2022-01-22,"Harrogate Town","0","3","league-two","A","",2689,589,24,11,"Tom Reeves","CNG Stadium",NA,"x",NA,NA,"x","x","sub 2 on 81 2","sub 3 on 81 3","uu","x",NA,"sub 1 on 58 1","uu","x y","x",NA,NA,NA,NA,"x","x",NA,NA,"x 1 off 58",NA,"x 2 off 81",NA,NA,NA,NA,NA,NA,NA,"x 3 off 81",NA,NA,"uu",NA,"uu",NA,NA
"40",2022-01-29,"Rochdale","0","0","league-two","H","",8199,2014,23,18,"Darren Drysdale","Boundary Park",NA,"x",NA,NA,"x","x y","sub 2 on 70 2","x","x",NA,NA,NA,"x","sub 1 on 58 1","x",NA,NA,NA,NA,"x 2 off 70","x y",NA,NA,"x 1 off 58 y",NA,"x","uu",NA,NA,NA,NA,"uu",NA,"uu","uu",NA,NA,"uu",NA,NA,NA
"41",2022-02-05,"Scunthorpe United","1","0","league-two","A","",5014,1500,23,24,"Neil Hair","Glanford Park",NA,"x y",NA,"x","x","x",NA,"x","x","uu",NA,NA,"x","uu","sub 1 on 25 1",NA,NA,NA,"x 1 off 25","x 2 off 78","x y",NA,NA,"uu",NA,"x",NA,NA,NA,"sub 2 on 78 2 g 83 y",NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"42",2022-02-08,"Bristol Rovers","2","1","league-two","H","",5147,372,23,14,"Scott Oldham","Boundary Park",NA,"x",NA,NA,"x y","x","uu","x","x","uu",NA,NA,"x",NA,"x",NA,NA,NA,NA,"x g 1 31","x",NA,NA,"sub 1 on 83 1",NA,"x","uu",NA,"uu","x 1 off 83",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"43",2022-02-12,"Newport County","3","3","league-two","A","",3901,342,23,7,"Robert Lewis","Rodney Parade",NA,"x 2 off 78",NA,"uu","x","x",NA,"x y","x","uu",NA,NA,"x","sub 2 on 78 2","x y red@69",NA,NA,NA,"sub 1 on 48 1 g 49 82","x g 28","x y",NA,NA,"uu",NA,"x",NA,NA,NA,"x 1 off 48",NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"44",2022-02-19,"Bradford City","2","0","league-two","H","",7716,1985,NA,NA,"Anthony Backhouse","Boundary Park",NA,"x",NA,"sub 1 on 79 1","x","x",NA,"x 3 off 89","x","uu",NA,"x 1 g 19 off 79 y","x","x 2 off 87",NA,NA,"uu",NA,NA,"x g 24","x",NA,NA,"sub 3 on 89 3",NA,"x","uu",NA,NA,NA,NA,"sub 2 on 87 2",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"45",2022-02-26,"Colchester United","1","1","league-two","A","",2983,462,23,21,"Andy Haines","JobServe Stadium",NA,"x",NA,"sub 1 on 67 1","x","x","uu","x","x","uu",NA,"x 3 off 83","x","x 1 off 67 y",NA,NA,"uu",NA,NA,"x g 19","x",NA,NA,"sub 2 on 72 2",NA,"x 2 off 72",NA,NA,NA,NA,NA,"sub 3 on 83 3",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"46",2022-03-01,"Crawley Town","2","2","league-two","A","",1927,248,23,12,"Alan Young","Broadfield Stadium",NA,"x",NA,"x 3 off 88","x","x","sub 2 on 82 2","x g 70","x","uu",NA,"x g 56","x","sub 3 on 88 3",NA,NA,"x 1 off 55",NA,NA,"x 2 off 82","x",NA,NA,"uu",NA,"sub 1 on 55 1",NA,NA,NA,NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"47",2022-03-05,"Carlisle United","1","2","league-two","H","",7327,1294,23,18,"Sam Allison","Boundary Park",NA,"x 3 off 87 y",NA,"sub 1 on 69 1","x","x","uu","x y","x","uu",NA,"x g 45 y","x","sub 3 on 87 3","x 1 off 69 y",NA,NA,NA,NA,"x","x",NA,NA,"sub 2 on 80 2",NA,"x 2 off 80",NA,NA,NA,NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"48",2022-03-12,"Swindon Town","0","1","league-two","A","",11390,280,23,6,"David Rock","The County Ground",NA,"x y",NA,NA,"x y red@90","x y","uu","x","x","uu",NA,"x 2 off 86 y","x 1 off 45","sub 2 on 86 2 y","x",NA,NA,NA,NA,"x","x y",NA,NA,"uu",NA,"x","sub 1 on 45 1 y",NA,NA,NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"49",2022-03-15,"Walsall","1","2","league-two","A","",4339,566,23,14,"Ollie Yates","Banks's Stadium",NA,"x",NA,NA,NA,"x y","sub 2 on 78 2","x","x","uu",NA,"x 2 off 78",NA,"uu","sub 1 on 53 1",NA,"uu",NA,NA,"x","x",NA,NA,"x 3 off 86",NA,"sub 3 on 86 3","x",NA,NA,NA,"x g 21 y","x 1 off 53",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"50",2022-03-19,"Exeter City","0","2","league-two","H","",5111,452,23,2,"Seb Stockbridge","Boundary Park",NA,"x",NA,"x","x y",NA,NA,"sub 1 on 65 1","x","uu",NA,"x 2 off 89",NA,"sub 2 on 89 2","uu",NA,"uu",NA,NA,"x","x y",NA,NA,"x",NA,"x","x 1 off 65",NA,NA,NA,"x","uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"51",2022-03-22,"Sutton United","1","3","league-two","H","",4624,62,23,8,"Marc Edwards","Boundary Park",NA,"x 2 off 68",NA,"sub 2 on 68 2","x",NA,"uu",NA,"x","uu",NA,"x",NA,"x","x",NA,"uu",NA,NA,"x",NA,NA,NA,"x 1 off 67",NA,"x",NA,NA,"uu",NA,"x g 81","sub 1 on 67 1",NA,"x",NA,NA,"uu",NA,NA,NA,NA
"52",2022-03-26,"Mansfield Town","1","2","league-two","H","",6045,1321,23,8,"Ben Toner","Boundary Park",NA,"x 1 off 67",NA,NA,"x","x","uu",NA,"x y","uu",NA,"x",NA,"x 3 off 74","x",NA,"uu",NA,NA,"x g 24",NA,NA,NA,"sub 1 on 67 1",NA,"x y","sub 2 on 68 2",NA,"uu",NA,"x","sub 3 on 74 3",NA,"x 2 off 68",NA,NA,NA,NA,NA,NA,NA
"53",2022-03-29,"Leyton Orient","2","0","league-two","H","",4619,209,22,17,"Christopher Sarginson","Boundary Park",NA,"x 2 off 82",NA,NA,"x","x","uu","x","x","uu",NA,"x",NA,"x 1 off 55","uu",NA,"uu",NA,NA,"x","x",NA,NA,"sub 2 on 82 2",NA,"x g 90",NA,NA,NA,NA,"x","sub 1 on 55 1",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"54",2022-04-02,"Stevenage","1","0","league-two","A","",4642,1014,22,23,"Andy Davies","Lamex Stadium",NA,"x y",NA,NA,"x y","x","x 1 g 16 off 68","x","x","uu",NA,"x",NA,NA,NA,NA,"uu",NA,NA,"x","x",NA,"uu","uu",NA,"x",NA,NA,NA,"sub 1 on 68 1","x","uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"55",2022-04-09,"Port Vale","2","3","league-two","A","",8384,1516,22,3,"Will Finnie","Vale Park",NA,"x",NA,NA,"x","x","sub 1 on 66 1","x g 16","x","uu",NA,"x 1 off 66",NA,NA,NA,NA,"uu",NA,NA,"x g 45","x",NA,"sub 2 on 81 2","uu",NA,"x",NA,NA,NA,"x 2 off 81","x","uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"56",2022-04-15,"Northampton Town","0","2","league-two","H","",5789,456,23,4,"Sam Purkiss","Boundary Park",NA,"x",NA,"x 3 off 73","x","x red@88","sub 2 on 70 2","x","x","uu",NA,NA,"x",NA,NA,NA,"uu",NA,NA,"x","x",NA,"sub 1 on 67 1 y","x 1 off 67",NA,NA,NA,NA,NA,"x 2 off 70","uu",NA,NA,"sub 3 on 73 3",NA,NA,NA,NA,NA,NA,NA
"57",2022-04-18,"Forest Green Rovers","0","2","league-two","A","",3137,504,23,1,"Stephen Martin","The New Lawn",NA,"sub 2 on 45 2",NA,NA,"x",NA,"x 1 off 45 y","x","x","uu",NA,NA,"x","x","x 3 off 75",NA,"uu",NA,NA,"x","x",NA,"sub 1 on 45 1","uu",NA,"x y","uu",NA,NA,NA,"x 2 off 45 y","sub 3 on 75 3",NA,"uu",NA,NA,NA,NA,NA,NA,NA
"58",2022-04-23,"Salford City","1","2","league-two","H","",5752,554,23,8,"Robert Madley","Boundary Park",NA,"x",NA,NA,"x",NA,"sub 1 on 68 1","x","x","uu",NA,"x 3 off 89",NA,"x 1 off 68",NA,NA,NA,NA,NA,"x g pen 33","x",NA,"x","uu",NA,"x 2 off 74",NA,NA,"uu","x","uu","sub 2 on 74 2",NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA
"59",2022-04-30,"Tranmere Rovers","0","2","league-two","A","",8008,1614,23,9,"Neil Hair","Prenton Park",NA,"sub 3 on 64 3",NA,NA,"x",NA,"uu","x 3 off 64",NA,"x",NA,"sub 2 on 54 2",NA,"x",NA,NA,NA,NA,NA,"x","x",NA,"x","x 1 off 54",NA,"sub 1 on 54 1",NA,NA,"uu","x","x","x 2 off 54",NA,"uu",NA,NA,NA,"uu",NA,NA,NA
"60",2022-05-07,"Crawley Town","3","3","league-two","H","",4591,133,23,12,"Anthony Backhouse","Boundary Park",NA,"sub 3 on 73 3",NA,NA,"x g 60","x","uu","x","x","uu",NA,"x",NA,"x 2 g 26 off 66",NA,NA,NA,NA,NA,"x 3 g 28 off 73",NA,NA,"x","uu",NA,"x",NA,NA,NA,"sub 1 on 55 1","uu","x 1 off 55",NA,"x",NA,NA,NA,NA,"sub 2 on 66 2",NA,NA
