"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Paddy Kenny","Adam Lockwood","Paul Rachubka","Jabo Ibehre","David Noble","Brian Wilson","Mat Sadler","Jonathan Forte","George Elokobi","Anthony Gerrard","James Wilson","Mike Jones","James Dayton","Amari Morgan-Smith","Joseph Mills","Liam Kelly","Jacob Mellis","Rhys Murphy","Danny Philliskirk","Michael Tidser","Jonson Clarke-Harris","Jake Kean","Neil Etheridge","Genseric Kusunga","Daniel Johnson","Carl Winchester","William Gros","David Mellor","Timothee Dieng","Connor Brown","Dominic Poleon","Conor Wilkinson","Jack Truelove","Luke Woodland","Joel Coleman","Jordan Bove","Rhys Turner","Paul Tyson","Jack Tuohy","Devante Jacobs"
"12",2014-09-02,"Bradford City","1","0","efl-trophy","H","",2535,660,NA,NA,"Scott Mathieson","Boundary Park",NA,NA,"x",NA,NA,"x 3 off 89",NA,NA,"x",NA,"x","x","x 1 off 82","x 2 off 82","x","x",NA,NA,"x","uu",NA,NA,NA,NA,NA,"x",NA,NA,"sub 1 on 82 1","sub 3 on 89 3",NA,NA,NA,NA,"uu","sub 2 on 82 2 g 88",NA,NA,NA,NA
"13",2014-09-06,"Fleetwood Town","1","0","league-one","H","",4425,450,11,3,"Mark Brown","Boundary Park",NA,NA,"x",NA,NA,"x",NA,"x 1 g pen 45 off 59","x",NA,"x","x","uu","sub 1 on 59 1","x","x",NA,NA,"x","uu",NA,NA,NA,NA,NA,"x",NA,NA,"uu","uu","x",NA,NA,NA,"uu","uu",NA,NA,NA,NA
"14",2014-09-13,"Gillingham","0","0","league-one","H","",3785,154,11,15,"David Webb","Boundary Park",NA,NA,"x",NA,NA,"x",NA,NA,"x",NA,"x","x","x 3 off 82","sub 3 on 82 3","x","x",NA,NA,"x 1 off 64","uu",NA,NA,NA,"uu",NA,"x",NA,NA,NA,"uu","x 2 off 64","sub 1 on 64 1",NA,NA,"uu",NA,"sub 2 on 64 2",NA,NA,NA
"15",2014-09-16,"Swindon Town","2","2","league-one","A","",6332,228,13,7,"Graham Horwood","The County Ground",NA,NA,"x",NA,NA,"x",NA,NA,"x",NA,"x","x y","x 1 g 23 off 71","sub 1 on 71 1 g 84","x","x 2 off 83 y",NA,NA,"x 3 off 83 y",NA,NA,NA,NA,"uu",NA,"x",NA,NA,"sub 2 on 83 2","uu","x","sub 3 on 83 3",NA,NA,"uu",NA,"uu",NA,NA,NA
"16",2014-09-20,"Notts County","0","0","league-one","A","",5109,663,14,16,"Brendan Malone","Meadow Lane",NA,NA,"x",NA,NA,"x",NA,"x 3 off 75","x",NA,"x","x","sub 1 on 67 1","sub 3 on 75 3","x y","x",NA,NA,"sub 2 on 75 2",NA,NA,NA,NA,"uu",NA,"x 2 off 75",NA,NA,"uu","uu","x 1 off 67","x y",NA,NA,"uu",NA,NA,NA,NA,NA
"17",2014-09-27,"Scunthorpe United","3","2","league-one","H","",3837,310,10,23,"Richard Clark","Boundary Park",NA,NA,"x",NA,NA,"x",NA,"x g 29","x 2 off 46",NA,"x","x","uu","sub 3 on 79 3","x","x",NA,NA,"sub 1 on 45 1 g 66 83","uu",NA,NA,NA,"sub 2 on 46 2 y",NA,"x 3 off 79",NA,NA,"uu","uu","x 1 off 45","x",NA,NA,NA,NA,NA,NA,NA,NA
"18",2014-10-04,"Peterborough United","2","2","league-one","A","",5508,NA,12,3,"Christopher Sarginson","London Road",NA,NA,"x",NA,NA,"x",NA,"x 2 g 6 off 85",NA,NA,"x y","x","sub 2 on 85 2","uu",NA,"x y",NA,NA,"x","uu",NA,NA,NA,"x g 66",NA,"x 1 off 59",NA,NA,"uu","x","sub 1 on 59 1","x",NA,NA,"uu",NA,"uu",NA,NA,NA
"19",2014-10-07,"Barnsley","2","2","efl-trophy","H","",2502,534,NA,NA,"Gary Sutton","Boundary Park",NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,"x","x","x 2 off 81",NA,"x","sub 3 on 87 3",NA,NA,"x g 44","x 3 off 87",NA,NA,NA,NA,NA,"sub 2 on 81 2",NA,NA,"x","uu","x 1 g 22 off 79 y","x",NA,NA,"uu",NA,"sub 1 on 79 1",NA,NA,NA
"20",2014-10-11,"Walsall","2","1","league-one","H","",4178,363,8,18,"Carl Boyeson","Boundary Park",NA,NA,"x","sub 1 on 55 1",NA,"x",NA,"sub 3 on 74 3",NA,NA,"x","x g 75","sub 2 on 74 2",NA,"x","x",NA,NA,"x","uu",NA,NA,NA,NA,NA,"x 2 off 74",NA,NA,"x","uu","x 1 off 55","x 3 g 31 off 74",NA,NA,"uu",NA,"uu",NA,NA,NA
"21",2014-10-18,"Chesterfield","1","1","league-one","A","",7130,1028,10,8,"Geoff Eltringham","Proact Stadium",NA,NA,"x","sub 1 on 65 1",NA,"x 3 off 89 y",NA,"x g pen 49",NA,NA,"x","x","sub 2 on 73 2",NA,"x","x",NA,NA,"x","uu",NA,NA,NA,"sub 3 on 89 3",NA,"x 2 off 73",NA,NA,"x y","uu","x 1 off 65 y",NA,NA,NA,"uu",NA,"uu",NA,NA,NA
"22",2014-10-21,"Coventry City","4","1","league-one","H","",3224,223,8,20,"Nigel Miller","Boundary Park",NA,NA,"x","x g 78",NA,NA,NA,"x 1 g 29 41 off 72",NA,NA,"x","x 3 off 82","x 2 off 80",NA,"x","x",NA,NA,"x g 9","sub 2 on 80 2",NA,NA,NA,"x",NA,"sub 3 on 82 3",NA,NA,"x","uu","sub 1 on 72 1",NA,NA,NA,NA,"uu","uu","uu",NA,NA
"23",2014-10-25,"Bradford City","2","1","league-one","H","",5832,1510,NA,NA,"David Coote","Boundary Park",NA,NA,"x","x",NA,"uu",NA,"x 2 g 7 off 76",NA,NA,"x","x g 24","sub 1 on 73 1",NA,"x","x",NA,NA,"x",NA,NA,NA,NA,"x",NA,"x 1 off 73",NA,"uu","x","uu","sub 2 on 76 2",NA,NA,NA,NA,NA,"uu","uu",NA,NA
"24",2014-11-01,"Bristol City","0","1","league-one","A","",12696,490,9,1,"Phil Gibbs","Ashton Gate",NA,NA,"x","x",NA,"x 2 off 73",NA,"x 1 off 64",NA,NA,"x y","x","x 3 off 73",NA,"x","x",NA,NA,"x",NA,NA,NA,"uu","x",NA,"sub 3 on 73 3",NA,"uu","uu","sub 2 on 73 2","sub 1 on 64 1",NA,NA,NA,NA,"uu",NA,NA,NA,NA
"25",2014-11-08,"Leyton Orient","1","0","fa-cup","H","",3034,129,NA,NA,"Seb Stockbridge","Boundary Park",NA,"uu","x",NA,NA,"x",NA,"x",NA,NA,"x y","x g 38","sub 1 on 74 1",NA,"x","x y",NA,NA,"x y",NA,NA,NA,"uu","x",NA,"x",NA,"uu","uu",NA,"x 1 off 74",NA,"uu",NA,NA,NA,NA,NA,"uu",NA
"26",2014-11-15,"Crawley Town","1","1","league-one","H","",3924,83,9,15,"Mark Heywood","Boundary Park",NA,"uu","x","x",NA,"x",NA,"x 1 off 46",NA,NA,"x","x","sub 2 on 80 2",NA,"x","x 2 off 80",NA,NA,"x","sub 1 on 46 1",NA,NA,"uu",NA,"x 3 g 7 off 80","uu",NA,NA,"x",NA,"sub 3 on 80 3",NA,NA,NA,NA,NA,"uu",NA,NA,NA
"27",2014-11-22,"Sheffield United","1","1","league-one","A","",19767,NA,8,5,"Andy Davies","Bramall Lane",NA,"uu","x","x y red@87",NA,NA,NA,"x g 16",NA,NA,"x","x","uu",NA,"x","x",NA,NA,"x","uu",NA,NA,"uu","x y","x 1 off 80","uu",NA,"uu","x y",NA,"sub 1 on 80 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2014-11-25,"Preston North End","2","2","efl-trophy","H","",3056,636,NA,NA,"Tony Harrington","Boundary Park",NA,NA,"uu",NA,NA,"sub 1 on 45 1",NA,"sub 3 on 45 3",NA,NA,"x","x","x 1 off 45",NA,"x","sub 2 on 45 2",NA,NA,"x g 59","x 3 off 45",NA,NA,"x","x",NA,"x 2 off 45",NA,"uu","x y",NA,"x g 46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2014-11-29,"Rochdale","3","0","league-one","A","",7269,3250,6,8,"Dean Whitestone","Spotland","x",NA,"uu",NA,NA,"x",NA,"x 1 g pen 72 off 81","sub 2 on 87 2",NA,"x 2 off 87 y","x y","uu","uu","x","x",NA,NA,"x","sub 3 on 89 3",NA,NA,NA,"x","x g 24 80","uu",NA,NA,"x 3 off 89",NA,"sub 1 on 81 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2014-12-06,"Doncaster Rovers","0","1","fa-cup","H","",3242,452,NA,NA,"Lee Collins","Boundary Park","x",NA,"uu","x",NA,"x",NA,"x y","x",NA,NA,NA,"uu","sub 2 on 89 2","x","x",NA,NA,"x","uu",NA,NA,NA,"x","x 2 off 89","x 1 off 69",NA,"uu","uu",NA,"sub 1 on 69 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2014-12-13,"Yeovil Town","0","4","league-one","H","",3706,111,8,21,"Peter Bankes","Boundary Park","x",NA,"uu","x",NA,"x",NA,NA,"x",NA,"x","x","uu","uu","x",NA,NA,NA,"x","uu",NA,NA,NA,"x 1 off 45","x","sub 1 on 45 1",NA,"uu","x 2 off 45",NA,"sub 2 on 45 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2014-12-20,"Milton Keynes Dons","0","7","league-one","A","",7998,NA,10,2,"Simon Hooper","Stadium:mk","x y",NA,"uu","sub 3 on 56 3",NA,"x",NA,"x","sub 1 on 45 1",NA,"x y","x","uu","uu","x 1 off 45",NA,NA,NA,"x","sub 2 on 56 2",NA,NA,NA,"x","x","uu",NA,NA,"x 2 off 56",NA,"x 3 off 56",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2014-12-26,"Crewe Alexandra","1","2","league-one","H","",4782,564,11,22,"Jeremy Simpson","Boundary Park",NA,NA,"x","x",NA,"x",NA,"x 2 off 74","x g 75",NA,"x","x","sub 3 on 84 3","sub 2 on 74 2","x",NA,NA,NA,"x 1 off 74","x",NA,NA,NA,NA,"sub 1 on 74 1","x 3 off 84",NA,"uu","uu",NA,"uu",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"34",2015-01-10,"Doncaster Rovers","2","2","league-one","H","",4181,610,13,14,"Carl Boyeson","Boundary Park",NA,NA,"x","x g 23",NA,"x",NA,"x 2 off 82","x g 54",NA,"x","x","uu","sub 2 on 82 2","x red@75","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x 1 off 78",NA,"sub 1 on 78 1","uu","uu","uu",NA,NA,NA,"uu",NA,NA,NA,NA,NA
"35",2015-01-17,"Fleetwood Town","2","0","league-one","A","",4312,1285,12,11,"Mick Russell","Highbury Stadium",NA,"uu","x",NA,NA,"x 1 off 83",NA,NA,"x",NA,"x","x g 64","sub 3 on 89 3","x",NA,"x",NA,NA,"x",NA,NA,NA,NA,"sub 1 on 83 1",NA,"x 2 g 51 off 89 y",NA,NA,"sub 2 on 89 2","x","x 3 off 89",NA,NA,NA,"uu",NA,NA,NA,NA,"uu"
"36",2015-01-24,"Gillingham","2","3","league-one","A","",4959,236,14,16,"Andy Woolmer","Priestfield Stadium",NA,"uu","x",NA,NA,"x",NA,NA,"x",NA,"x y","x","sub 2 on 73 2","x y",NA,"x g 20","sub 1 on 72 1",NA,"x 2 off 73",NA,NA,NA,NA,"uu",NA,"x 1 off 72",NA,NA,"uu","x y","x g 23",NA,NA,NA,"uu",NA,NA,NA,NA,"uu"
"37",2015-01-31,"Notts County","3","0","league-one","H","",3493,261,10,13,"Peter Bankes","Boundary Park",NA,"uu","uu",NA,NA,"x",NA,"sub 1 on 43 1 g 73","x g 30",NA,"x","x",NA,"x 1 g 32 off 43",NA,"x","sub 2 on 63 2",NA,"x",NA,NA,"x",NA,"uu",NA,"x 3 off 79",NA,NA,"sub 3 on 79 3","x","x 2 off 63",NA,NA,NA,NA,NA,"uu",NA,NA,NA
"38",2015-02-03,"Barnsley","0","1","league-one","A","",9135,686,10,13,"Stephen Martin","Oakwell",NA,"uu",NA,NA,NA,"x y",NA,"x","x",NA,"x","x",NA,NA,"sub 2 on 60 2","x","sub 1 on 53 1",NA,"x 1 off 53",NA,NA,"x",NA,"uu",NA,"x",NA,NA,"uu","x 2 off 60","x 3 off 60","sub 3 on 60 3",NA,NA,"uu",NA,NA,NA,NA,NA
"39",2015-02-07,"Scunthorpe United","1","0","league-one","A","",4125,609,6,18,"Darren Deadman","Glanford Park",NA,NA,NA,NA,NA,"x",NA,"x","x",NA,"x","x 2 off 78",NA,NA,"x","x","sub 1 on 69 1","sub 2 on 78 2",NA,NA,NA,"x",NA,"uu",NA,"x g 84",NA,NA,"x 1 off 69","uu","sub 3 on 85 3","x 3 off 85",NA,NA,"uu",NA,"uu",NA,NA,NA
"40",2015-02-10,"Swindon Town","2","1","league-one","H","",3451,233,5,2,"Scott Duncan","Boundary Park",NA,NA,NA,NA,NA,"x",NA,"x","x",NA,"x","x g 10",NA,NA,"x y","x","x 2 off 56","sub 1 on 16 1","sub 2 on 56 2",NA,NA,"x",NA,"uu",NA,"x 3 off 82",NA,NA,NA,"uu","sub 3 on 82 3 y","x 1 g 11 off 16",NA,NA,"uu",NA,"uu",NA,NA,NA
"41",2015-02-14,"Colchester United","0","1","league-one","H","",5668,74,6,21,"Robert Lewis","Boundary Park",NA,NA,NA,NA,NA,"x",NA,"x","x y",NA,"x","x 1 off 57",NA,NA,"x","x","x 2 off 57","x 3 off 58","x",NA,NA,"x",NA,"uu",NA,"sub 1 on 57 1",NA,NA,"uu","uu","sub 2 on 57 2",NA,NA,NA,"uu",NA,"sub 3 on 58 3",NA,NA,NA
"42",2015-02-21,"Leyton Orient","0","3","league-one","A","",4423,544,9,23,"Darren Sheldrake","Breyer Group stadium",NA,"uu",NA,NA,NA,"x",NA,"x","x 1 off 18",NA,"x",NA,NA,NA,"x 2 off 45","x","uu","sub 3 on 58 3","x",NA,NA,"x",NA,"sub 1 on 18 1",NA,"x",NA,NA,"uu","sub 2 on 45 2 y","x",NA,NA,NA,"uu",NA,"x 3 off 58",NA,NA,NA
"43",2015-02-28,"Preston North End","0","4","league-one","H","",5935,2117,13,3,"Mark Haywood","Boundary Park",NA,"sub 3 on 83 3",NA,NA,NA,"x 1 off 45",NA,NA,NA,NA,"x","x",NA,NA,NA,"x",NA,"x 2 off 69","x",NA,NA,"x",NA,"x 3 off 83",NA,NA,NA,NA,"x","x","x",NA,"uu",NA,"uu","uu","sub 2 on 69 2",NA,"uu","sub 1 on 45 1"
"44",2015-03-03,"Port Vale","1","0","league-one","A","",4423,236,11,13,"David Webb","Vale Park",NA,"x",NA,NA,NA,"x",NA,"x",NA,NA,"x","x g 42",NA,NA,NA,"x",NA,"uu","x",NA,NA,"x",NA,"uu",NA,"x 2 off 85",NA,NA,"sub 2 on 85 2","x","x 1 off 75","sub 1 on 75 1","uu",NA,"uu",NA,NA,NA,NA,"uu"
"45",2015-03-07,"Yeovil Town","1","2","league-one","A","",3917,250,15,24,"Lee Collins","Huish Park",NA,"x 3 off 75",NA,NA,NA,"x y red@79",NA,"x 1 off 64",NA,NA,"x","x",NA,NA,NA,"x y",NA,"sub 2 on 69 2","x 2 off 69",NA,NA,"x",NA,"uu",NA,"x g 44 y",NA,NA,"sub 3 on 75 3","x y","x","sub 1 on 64 1","uu",NA,"uu",NA,NA,NA,NA,"uu"
"46",2015-03-14,"Barnsley","1","3","league-one","H","",6344,2471,15,6,"Mark Heywood","Boundary Park",NA,"x y red@90",NA,NA,NA,NA,"x","x",NA,NA,NA,"x g 42",NA,NA,NA,NA,NA,"sub 1 on 73 1","x 1 off 73",NA,NA,"x",NA,"x",NA,"x 2 off 87",NA,"uu","uu","x y",NA,"x y",NA,"x y","uu","uu","sub 2 on 87 2",NA,NA,"uu"
"47",2015-03-17,"Milton Keynes Dons","1","3","league-one","H","",2445,66,16,4,"Eddie Ilderton","Boundary Park",NA,NA,NA,NA,NA,"x","x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"sub 1 on 45 1",NA,NA,"x 2 off 57",NA,"x",NA,"x",NA,"uu","x","x 1 off 45",NA,"x 3 off 73","uu","x","sub 2 on 57 2","uu","sub 3 on 73 3 g 80",NA,NA,"uu"
"48",2015-03-21,"Crewe Alexandra","1","0","league-one","A","",4669,737,13,21,"Pat Miller","-",NA,"x",NA,NA,NA,"uu","x","x",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"uu",NA,"x",NA,"uu","uu","x y",NA,"sub 1 on 64 1 g 74",NA,"x","x",NA,"x 1 off 64","uu",NA,"uu"
"49",2015-03-24,"Rochdale","3","0","league-one","H","",5322,1319,11,8,"Darren Bond","Boundary Park",NA,"x",NA,NA,NA,NA,"x","x g 58",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,"uu",NA,"sub 2 on 74 2",NA,"x",NA,"uu","sub 3 on 85 3","x 2 off 74 y","sub 1 on 65 1",NA,NA,"x 3 off 85","x","uu","x 1 g 30 61 off 65",NA,NA,"uu"
"50",2015-03-28,"Bradford City","0","2","league-one","A","",14010,1170,NA,NA,"Mick Russell","Northern Commercials Stadium",NA,"x",NA,NA,NA,"uu","x","x",NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,"x 2 off 82",NA,NA,"uu",NA,"uu",NA,"x",NA,NA,"uu","x 3 off 86 y","sub 1 on 74 1","x",NA,"x 1 off 74","x","sub 3 on 86 3",NA,NA,NA,"sub 2 on 82 2"
"51",2015-04-03,"Bristol City","1","1","league-one","H","",4577,901,13,1,"Seb Stockbridge","Boundary Park",NA,"x",NA,NA,NA,NA,"x","x",NA,"x 2 off 82","sub 2 on 82 2","x",NA,NA,"sub 3 on 84 3",NA,NA,NA,NA,NA,NA,"uu",NA,"uu",NA,"x g 75",NA,NA,"uu","x","x","sub 1 on 72 1",NA,"x 1 off 72","x","uu","x 3 off 84",NA,NA,NA
"52",2015-04-06,"Crawley Town","0","2","league-one","A","",2520,203,13,19,"Oliver Langford","Broadfield Stadium",NA,"x",NA,NA,NA,"uu","x y",NA,NA,NA,"x","x",NA,NA,"x 3 off 77","x","sub 3 on 77 3",NA,NA,NA,NA,"uu",NA,"uu",NA,"x 1 off 61",NA,NA,"uu","x","sub 1 on 61 1","x",NA,NA,"x","sub 2 on 72 2","x 2 off 72",NA,NA,NA
"53",2015-04-11,"Sheffield United","2","2","league-one","H","",5072,1862,14,5,"Richard Clark","Boundary Park",NA,"x",NA,NA,NA,"uu","sub 1 on 45 1",NA,NA,NA,"x","x",NA,NA,"x 1 off 45 y","x","uu","sub 2 on 81 2","x 2 off 81",NA,NA,"uu",NA,"uu",NA,"x",NA,NA,NA,"x","x g 22 43","uu",NA,NA,"x",NA,"x",NA,NA,NA
"54",2015-04-14,"Coventry City","1","1","league-one","A","",7256,NA,14,16,"Andy Madley","Ricoh Arena",NA,"x",NA,NA,NA,"x",NA,NA,"uu",NA,"x","x y",NA,"sub 2 on 77 2 y",NA,"x y","uu","sub 1 on 67 1 y","x g 13",NA,NA,"uu",NA,"sub 3 on 84 3",NA,"x 3 off 84",NA,NA,NA,"x","x 2 off 77","uu",NA,NA,"x",NA,"x 1 off 67",NA,NA,NA
"55",2015-04-18,"Chesterfield","0","0","league-one","H","",4557,1254,14,6,"Graham Horwood","Boundary Park",NA,"uu",NA,NA,NA,"x",NA,NA,"sub 2 on 76 2","x 2 off 76","x","x",NA,NA,NA,"x",NA,"x 1 off 75","x",NA,NA,"uu",NA,NA,NA,"x",NA,"uu","x y","x",NA,NA,NA,NA,"x","sub 1 on 75 1",NA,NA,"uu","uu"
"56",2015-04-25,"Walsall","0","2","league-one","A","",4699,NA,16,11,"Darren Sheldrake","Banks's Stadium",NA,"x",NA,NA,NA,"uu",NA,NA,"uu",NA,"x","x",NA,NA,NA,"x",NA,"sub 3 on 70 3","x",NA,NA,"uu",NA,NA,NA,"sub 1 on 46 1",NA,"x","x 1 off 46","x","x 2 off 61",NA,"uu",NA,"x","sub 2 on 61 2","x 3 off 70",NA,NA,NA
"57",2015-05-03,"Peterborough United","1","1","league-one","H","",3943,324,15,9,"Gary Sutton","Boundary Park",NA,NA,NA,NA,NA,"x 3 off 87",NA,NA,"uu","x","x","x",NA,NA,NA,"x","uu",NA,"x",NA,NA,"uu",NA,NA,NA,"x 2 off 68",NA,NA,"sub 3 on 87 3","x","x g 9 y",NA,NA,"uu","x","sub 1 on 60 1","x 1 off 60",NA,"sub 2 on 68 2",NA
