"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Matty Appleby","Mark Bonner","John Eyre","David Eyres","Rodney Jack","Rob Lee","Steve Mildenhall","Luke Beckett","Guy Branston","Mark Arber","Delroy Facey","Craig Mawson","Kevin Betsy","Aaron Wilbraham","Dean Holden","David Beharall","Chris Killen","Danny Boshell","Bertrand Bossu","Jermaine Johnson","David Lee","Gareth Owen","Will Haining","Adam Griffin","Les Pogliacomi","Scott Vernon","Ernie Cooksey","Danny Hall","Marc Tierney","Christopher Hall","Matthew Wolfenden","Wes Wilkinson","Kelvin Lomax","Matty Barlow","Charles Treacy","Ashley Winn","Chris Lever","Neil Kilkenny","Mark Hughes","Lee Croft","Amadou Sanokho","Alex Bruce","Kenny Cooper","Stefan Stam"
"31",2005-01-01,"Tranmere Rovers","2","2","league-one","H","",6876,1378,15,3,"Carl Boyeson","Boundary Park","uu",NA,"uu","x 1 off 68",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x g 39","x","x g 71",NA,"x",NA,NA,"sub 2 on 68 2",NA,NA,NA,NA,NA,NA,"x","x y","x 2 off 68",NA,"sub 1 on 68 1",NA,NA
"32",2005-01-03,"Colchester United","0","0","league-one","A","",3873,256,15,18,"P S Danson","Layer Road","x y","sub 2 on 45 2","sub 3 on 79 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x y",NA,"x 1 off 28","uu",NA,NA,NA,NA,NA,NA,"x y","x","x","x",NA,"x y",NA,NA,"uu",NA,NA,NA,NA,NA,NA,"x 3 off 79 y","x 2 off 45","sub 1 on 28 1",NA,"x",NA,NA
"33",2005-01-08,"Manchester City","1","0","fa-cup","H","",13171,NA,NA,NA,"Mike Dean","Boundary Park","uu","uu","x","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA,"x","x","x","x g 14",NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"x",NA,NA
"34",2005-01-15,"Doncaster Rovers","1","2","league-one","H","",7401,NA,16,10,"Graham Salisbury","Boundary Park",NA,"uu","uu","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,NA,"uu","sub 1 on 67 1",NA,NA,NA,NA,NA,"x","x","x","x g 87",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x","x 1 off 67",NA,"x",NA,NA
"35",2005-01-22,"Peterborough United","2","1","league-one","A","",4047,NA,14,23,"C Oliver","London Road","sub 2 on 80 2",NA,"sub 1 on 70 1 y","x y",NA,NA,NA,NA,NA,NA,NA,NA,"x g 7 63 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x y","x","x","x",NA,"x y",NA,"uu",NA,NA,"uu",NA,"uu",NA,NA,"x 2 off 80","x","x 1 off 70",NA,"x",NA,NA
"36",2005-01-25,"Tranmere Rovers","1","1","ldv-vans-trophy","H","",4069,NA,NA,NA,"Anthony Leake","Boundary Park","uu",NA,"sub 1 on 26 1","x 3 g 35 off 111",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x","x","x 1 off 26",NA,"x 2 off 84",NA,"sub 3 on 111 3",NA,NA,"sub 2 on 84 2",NA,"uu",NA,NA,"x","x","x",NA,"x",NA,NA
"37",2005-01-30,"Bolton Wanderers","0","1","fa-cup","H","",12029,NA,NA,NA,"M D Messias","Boundary Park","uu",NA,"x 2 off 72","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 56","x","x",NA,NA,"x",NA,NA,NA,NA,"sub 1 on 56 1",NA,NA,NA,"uu","x","x","x",NA,"x","sub 2 on 72 2",NA
"38",2005-02-05,"Swindon Town","1","2","league-one","H","",5810,NA,17,8,"M Fletcher","Boundary Park","uu","uu","sub 1 on 66 1","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,"uu","x y","x","x 1 off 66",NA,"x","x g 14",NA
"39",2005-02-08,"Blackpool","0","2","league-one","A","",5563,NA,17,19,"Phil Dowd","Bloomfield Road","x 2 off 79","x","x y","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x","x","sub 1 on 64 1",NA,"x",NA,"sub 2 on 79 2",NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA,NA,"x y","x 1 off 64",NA
"40",2005-02-12,"AFC Bournemouth","0","4","league-one","A","",6622,NA,19,9,"Joe Ross","Vitality Stadium","uu","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"sub 2 on 65 2",NA,NA,NA,NA,NA,NA,NA,NA,"x 2 off 65","x","x",NA,"x y",NA,"x 3 off 72",NA,NA,"x",NA,NA,NA,"uu","sub 1 on 60 1","x 1 off 60",NA,NA,"x","sub 3 on 72 3",NA
"41",2005-02-15,"Wrexham","3","5","ldv-vans-trophy","H","",2881,NA,NA,NA,"C Webster","Boundary Park",NA,"x 3 off 64","x 1 off 36","sub 1 on 36 1 g 76",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,"x 2 off 59",NA,NA,NA,NA,NA,NA,NA,"x y","x","x","x g 35 pen 83",NA,"x",NA,"sub 2 on 59 2",NA,NA,"uu",NA,NA,NA,NA,"x","sub 3 on 64 3",NA,NA,"x",NA,NA
"42",2005-02-19,"Stockport County","1","2","league-one","H","",5924,NA,19,24,"M Cowburn","Boundary Park",NA,"uu",NA,"x",NA,NA,"uu",NA,"x",NA,NA,NA,"x 2 off 77",NA,"x",NA,"x 1 off 66",NA,NA,NA,NA,NA,"x","x","x","x 3 g 70 off 89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x y","x",NA,NA,"sub 2 on 77 2","sub 1 on 66 1","sub 3 on 89 3"
"43",2005-02-22,"Bristol City","1","5","league-one","A","",9007,NA,20,7,"Andy Penn","Ashton Gate",NA,"uu",NA,"x 3 off 84",NA,NA,"x",NA,"x",NA,NA,NA,"sub 1 on 17 1",NA,"x 1 off 17",NA,"x",NA,NA,NA,NA,NA,"x g 57","x","uu",NA,NA,NA,NA,NA,NA,"sub 2 on 57 2",NA,NA,NA,NA,NA,"x","x y",NA,NA,"x y","x 2 off 57","sub 3 on 84 3"
"44",2005-02-26,"Huddersfield Town","1","2","league-one","A","",11161,NA,20,13,"Eddie Ilderton","John Smith's Stadium","x y","x 3 off 78",NA,"sub 2 on 60 2",NA,NA,"uu",NA,"sub 1 on 45 1 g 75",NA,NA,NA,"x y",NA,NA,NA,"x","sub 3 on 78 3",NA,NA,NA,NA,"x","x 2 off 60","x",NA,NA,"x 1 off 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"x y","uu","x"
"45",2005-03-05,"Port Vale","3","0","league-one","H","",5799,NA,20,18,"M Warren","Boundary Park","x","x",NA,"x",NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,"x",NA,"x","uu",NA,NA,NA,NA,"x g 27","x","x",NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,NA,NA,"uu","x g 52 54","uu"
"46",2005-03-08,"Wrexham","0","1","ldv-vans-trophy","A","",5814,NA,NA,NA,"G Laws","Racecourse Ground (WRX)","x","x 1 off 64",NA,"x 2 off 64",NA,NA,"uu",NA,"x red@60",NA,NA,NA,"x",NA,"x y",NA,NA,NA,NA,NA,NA,NA,"x","x","x",NA,NA,NA,NA,NA,NA,"sub 3 on 78 3",NA,NA,NA,NA,NA,"x y","sub 2 on 64 2",NA,NA,"uu","x 3 off 78","sub 1 on 64 1"
"47",2005-03-12,"Wrexham","0","1","league-one","A","",4170,NA,20,14,"Carl Boyeson","Racecourse Ground (WRX)",NA,"x","sub 1 on 89 1","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,NA,"x","x y","x",NA,NA,NA,NA,"uu",NA,"uu",NA,NA,NA,NA,NA,"x 1 off 89","x y",NA,NA,NA,"uu","x"
"48",2005-03-15,"Brentford","0","2","league-one","H","",4291,NA,20,7,"Mike Jones","Boundary Park",NA,"uu","uu","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x 1 off 66",NA,"x",NA,"x",NA,NA,NA,NA,NA,"x","x","x",NA,NA,NA,"uu","sub 1 on 66 1",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,NA,"x","x"
"49",2005-03-19,"Luton Town","2","2","league-one","H","",5809,NA,20,1,"C Webster","Boundary Park",NA,"x","sub 1 on 74 1","x",NA,NA,"x","x 2 g 48 off 82",NA,NA,NA,NA,"uu",NA,"x",NA,"x g 39",NA,NA,"sub 2 on 82 2",NA,"x",NA,NA,"uu",NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,NA,NA,"x 1 off 74 y","x",NA,NA,NA,NA,"x y"
"50",2005-03-26,"Walsall","1","0","league-one","A","",6794,NA,20,19,"Mike Thorpe","Banks's Stadium",NA,"sub 3 on 89 3",NA,"x 2 off 80",NA,NA,"x","x g 72",NA,NA,NA,NA,"x",NA,"x y",NA,"x 1 off 74",NA,NA,"sub 1 on 74 1",NA,"x","x",NA,"uu","uu",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 89","sub 2 on 80 2",NA,NA,NA,NA,"x"
"51",2005-03-28,"Hull City","1","0","league-one","H","",8562,NA,18,2,"Martin Atkinson","Boundary Park",NA,"uu",NA,"x",NA,NA,"x","x",NA,NA,NA,NA,"x",NA,"x",NA,"x g 71",NA,NA,"uu",NA,"x","x 1 off 23",NA,"uu","uu",NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,"x","sub 1 on 23 1",NA,NA,NA,NA,"x"
"52",2005-04-02,"Milton Keynes Dons","1","1","league-one","A","",5426,NA,17,21,"Andy Woolmer","National Hockey Stadium",NA,"sub 3 on 84 3",NA,"x 1 off 70",NA,NA,"x","x 3 g 5 off 84","uu",NA,"sub 2 on 78 2",NA,"x",NA,"x",NA,"x 2 off 78",NA,NA,"sub 1 on 70 1",NA,"x",NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x","x y",NA,NA,NA,NA,"x y"
"53",2005-04-09,"Sheffield Wednesday","1","1","league-one","H","",9645,NA,18,4,"Anthony Leake","Boundary Park",NA,NA,NA,"x",NA,NA,"x","x g 28","uu",NA,"sub 1 on 78 1",NA,"x",NA,"x",NA,"x 1 off 78",NA,NA,"uu",NA,"x",NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x","x 2 off 81",NA,"sub 2 on 81 2",NA,NA,"x"
"54",2005-04-16,"Barnsley","2","2","league-one","A","",8856,NA,19,13,"C Oliver","Oakwell",NA,NA,NA,"x y",NA,NA,NA,"x g 66","uu",NA,"sub 1 on 86 1",NA,"x",NA,"x",NA,"x 1 g 37 off 86",NA,NA,"uu",NA,"x",NA,NA,"x","uu",NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,"x","x",NA,"uu",NA,NA,"x"
"55",2005-04-23,"Torquay United","1","2","league-one","H","",8941,NA,19,20,"Carl Boyeson","Boundary Park",NA,"uu",NA,"x 1 g 25 off 72",NA,NA,NA,"x","x",NA,"sub 2 on 72 2",NA,"x",NA,"x",NA,"x 2 off 72 y",NA,NA,"sub 1 on 72 1",NA,"x y",NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x","x",NA,"uu",NA,NA,"uu"
"56",2005-04-30,"Chesterfield","0","1","league-one","A","",5421,NA,21,17,"Graham Salisbury","Recreation Ground (CSF)",NA,"x",NA,"uu",NA,NA,NA,"x","x",NA,"x",NA,"x y",NA,"x",NA,NA,NA,NA,"x 3 off 78",NA,"x",NA,NA,"x","sub 3 on 78 3",NA,NA,"sub 1 on 17 1",NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 74 2","x 2 off 74 y",NA,"uu",NA,NA,"x 1 off 17"
"57",2005-05-07,"Bradford City","2","1","league-one","H","",9381,NA,NA,NA,"M Fletcher","Boundary Park",NA,"uu",NA,"x",NA,NA,NA,"x g 22 y","x y",NA,"sub 2 on 89 2",NA,"x",NA,"x",NA,"x 2 g 3 off 89 y",NA,NA,"uu",NA,"x 1 off 27",NA,NA,"x","uu",NA,NA,"sub 1 on 27 1",NA,NA,NA,NA,NA,NA,NA,NA,"x","x y",NA,NA,NA,NA,"x"
