"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Neil Adams","Tony Carss","Carlo Corazzin","Lee Duxbury","David Eyres","Shaun Garnett","Gary Kelly","Chris Lightfoot","Scott McNiven","Barry Prenderville","Paul Rickers","Andy Ritchie","John Sheridan","Paul Smith","Mark Watson","Steve Whitehall","Andy Holt","Mark Allott","Neville Roach","Craig Dudley","Mark Innes","Philip Salt","David Miskelly","Matthew Tipton","Mark Hotte","Danny Walsh","Ryan Sugden","Ben Futcher","Paul Jones","Danny Boshell","Jamie Campbell","Sam Parkin"
"17",2000-10-17,"Wycombe Wanderers","2","0","league-division-2","H","",3496,NA,19,8,"Mike Jones","Boundary Park","x","x","x y","x y","x","x","x",NA,"x",NA,NA,NA,NA,NA,"uu",NA,"uu","sub 1 on 87 1",NA,"x 1 g 12 72 off 87","x",NA,"uu",NA,"x",NA,NA,NA,NA,"uu",NA,NA
"18",2000-10-21,"Northampton Town","1","2","league-division-2","A","",5677,NA,22,9,"L Cable","Sixfields Stadium","x","x","x","x","x","x y","x",NA,"x",NA,NA,NA,NA,NA,NA,NA,"uu","sub 1 on 89 1",NA,"x g 65","x 1 off 89",NA,"uu",NA,"x",NA,NA,NA,"uu","uu",NA,NA
"19",2000-10-28,"Bristol Rovers","2","0","league-division-2","A","",6110,NA,20,16,"Bill Jordan","The Memorial Stadium","x","x y","x","x g 76","x","x","x",NA,"x",NA,"x",NA,NA,NA,NA,NA,"uu","x g 5",NA,NA,"x","uu","uu",NA,NA,NA,NA,NA,"sub 1 on 90 1","uu",NA,NA
"20",2000-11-04,"Swansea City","1","1","league-division-2","H","",4282,NA,21,18,"Mark Clattenburg","Boundary Park","x","x","x","x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,NA,"uu","x 1 off 68",NA,"sub 1 on 68 1 y","x",NA,"uu","uu",NA,NA,NA,NA,"x g 77","uu",NA,NA
"21",2000-11-11,"Stoke City","1","0","league-division-2","A","",12503,NA,19,9,"T Jones","bet365 Stadium","x 1 off 42","x","x","x g 15","x","x","x",NA,"x",NA,"x y",NA,NA,NA,NA,NA,NA,"sub 1 on 42 1 y",NA,"x","x","uu","uu",NA,NA,NA,NA,NA,"sub 2 on 90 2","uu",NA,NA
"22",2000-11-18,"Hednesford Town","4","2","fa-cup","A","",2053,NA,NA,NA,"P Armstrong","-",NA,"x","x g 46","x g 4","x","x","x",NA,"x",NA,"x",NA,NA,NA,NA,NA,"sub 1 on 72 1","x",NA,"x 2 g 41 off 80","x 1 off 72","sub 3 on 90 3","uu","sub 2 on 80 2 g 90",NA,NA,NA,NA,"uu",NA,NA,NA
"23",2000-11-25,"Millwall","0","1","league-division-2","H","",4779,NA,20,1,"G Stretton","Boundary Park",NA,"x","x 1 off 78","x","x","x","x",NA,"x",NA,"x y",NA,NA,NA,NA,NA,"sub 2 on 81 2","x",NA,"x","x 2 off 81","uu","uu","sub 1 on 78 1",NA,NA,NA,NA,"uu",NA,NA,NA
"24",2000-12-02,"Oxford United","3","2","league-division-2","H","",3986,NA,19,24,"Howard Webb","Boundary Park",NA,"x","x g 2","x 1 off 23","x g 52","x","x",NA,"x",NA,"x",NA,NA,NA,NA,NA,"sub 2 on 70 2","uu",NA,"x 3 off 88","x",NA,"uu","sub 3 on 88 3 y",NA,NA,NA,NA,"x 2 g 69 off 70","sub 1 on 23 1 y",NA,NA
"25",2000-12-10,"Peterborough United","1","1","fa-cup","A","",5662,NA,NA,NA,"D Laws","London Road",NA,"x","x 3 off 89 y",NA,"x","x","x",NA,"x","x","x y",NA,"sub 1 on 77 1",NA,NA,NA,"sub 3 on 89 3","sub 2 on 82 2",NA,"x 2 g 62 off 82","x",NA,"uu",NA,"uu",NA,NA,NA,NA,"x 1 off 77 y",NA,NA
"26",2000-12-16,"Bury","1","1","league-division-2","A","",4976,NA,19,17,"M J Brandwood","Gigg Lane",NA,"x","x",NA,"x","x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,"uu","uu",NA,"x","x","uu","uu",NA,"uu",NA,NA,NA,NA,"x g 27 y",NA,NA
"27",2000-12-19,"Peterborough United","0","1","fa-cup","H","",3404,NA,NA,NA,"D Laws","Boundary Park",NA,"x","x 3 off 81",NA,"x","x","x y",NA,"x",NA,"x 2 off 75",NA,"x",NA,NA,NA,"sub 3 on 81 3","sub 1 on 30 1",NA,"x 1 off 30","x","uu","uu",NA,"sub 2 on 75 2",NA,NA,NA,NA,"x",NA,NA
"28",2000-12-23,"Brentford","1","1","league-division-2","A","",5317,NA,18,15,"P Walton","Griffin Park",NA,"x",NA,NA,"x","x","x",NA,"x",NA,"x y",NA,"x 3 off 89",NA,NA,NA,"uu","x g 54",NA,NA,"x 1 off 55","sub 3 on 89 3","uu","x 2 off 70","sub 1 on 55 1",NA,"sub 2 on 70 2",NA,NA,"x y",NA,NA
"29",2000-12-26,"Wigan Athletic","2","1","league-division-2","H","",7750,NA,18,3,"M Cowburn","Boundary Park",NA,"x","x 1 off 86","x g 41","x","x y","x",NA,"x y",NA,"x",NA,"x",NA,NA,NA,"uu","x g 73",NA,NA,"uu",NA,"uu","sub 1 on 86 1","x",NA,NA,NA,NA,"uu",NA,NA
"30",2000-12-30,"Walsall","0","0","league-division-2","H","",5267,NA,17,3,"D Laws","Boundary Park",NA,"x","x","x",NA,"x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,"uu","x",NA,NA,"x","uu","uu","uu","x",NA,"uu",NA,NA,NA,NA,NA
"31",2001-01-01,"Peterborough United","0","0","league-division-2","A","",5039,NA,16,15,"W C Burns","London Road",NA,"x","x 1 off 67","x",NA,"x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,"uu","x",NA,NA,"x","uu","uu","sub 1 on 67 1","x",NA,NA,NA,NA,"uu",NA,NA
"32",2001-01-06,"Port Vale","0","0","league-division-2","A","",4313,NA,16,22,"M Cooper","Vale Park",NA,"x",NA,NA,"x","x","x",NA,"x",NA,"x",NA,"x 3 off 89 y",NA,NA,NA,"sub 1 on 63 1 y",NA,NA,NA,NA,"sub 2 on 86 2","uu","x","x","uu","x 1 off 63","sub 3 on 89 3",NA,"x 2 off 86",NA,NA
"33",2001-01-09,"Wigan Athletic","2","3","ldv-vans-trophy","H","",2551,NA,NA,NA,"Phil Dowd","Boundary Park",NA,NA,NA,NA,"x","x","x",NA,"x",NA,"x","sub 2 on 84 2",NA,NA,NA,NA,"x",NA,NA,NA,"sub 1 on 68 1","x g 36","uu","x g pen 52","x",NA,"x 2 off 84","uu",NA,"x 1 off 68 y",NA,NA
"34",2001-01-13,"Colchester United","1","1","league-division-2","H","",4076,NA,16,15,"G Cain","Boundary Park",NA,"x","x 1 off 59",NA,"x","x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,"sub 2 on 69 2","sub 1 on 59 1",NA,NA,"x","uu","uu","x g 90","x 2 off 69",NA,NA,NA,NA,"uu",NA,NA
"35",2001-01-20,"Wigan Athletic","1","3","league-division-2","A","",8274,NA,16,2,"G B Frankland","JJB Stadium",NA,"x","x","x","x","x","x",NA,"x",NA,"x 1 off 74",NA,"x g 22",NA,NA,NA,NA,"sub 1 on 74 1",NA,NA,"uu",NA,"uu","x","x",NA,NA,"uu",NA,"uu",NA,NA
"36",2001-01-23,"Luton Town","2","0","league-division-2","H","",3011,NA,14,23,"C Webster","Boundary Park",NA,"x","x","x y","x","x 1 off 61","x",NA,"x",NA,"x g 30",NA,"x 3 g 67 off 83",NA,NA,NA,NA,"uu",NA,"sub 2 on 78 2","sub 1 on 61 1",NA,"uu","x 2 off 78","x",NA,NA,NA,NA,"sub 3 on 83 3",NA,NA
"37",2001-01-27,"Brentford","3","0","league-division-2","H","",4964,NA,12,11,"A N Butler","Boundary Park",NA,"x","x 2 off 73","x","x g 80",NA,"x",NA,"x",NA,"x",NA,"x 3 off 88",NA,NA,NA,"sub 3 on 88 3","sub 2 on 73 2 g 82 90",NA,"sub 1 on 64 1","x",NA,"uu","x 1 off 64","x",NA,NA,NA,NA,"uu",NA,NA
"38",2001-02-03,"Notts County","0","1","league-division-2","A","",5212,NA,13,9,"MIke Pike","Meadow Lane",NA,"x",NA,"x","x",NA,"x",NA,"x",NA,"x 2 off 87",NA,"x",NA,NA,NA,"sub 2 on 87 2","x",NA,"sub 1 on 73 1","x","uu","uu","x 1 off 73","x",NA,NA,NA,NA,"uu",NA,NA
"39",2001-02-10,"Wrexham","5","1","league-division-2","H","",4703,NA,11,14,"D R Crick","Boundary Park",NA,"x","x 2 g 10 45 49 57 off 74",NA,"x","x 1 off 66","x",NA,"x",NA,"x g 56",NA,"x 3 off 75",NA,NA,NA,"sub 1 on 66 1","x",NA,"uu","x",NA,"uu","sub 2 on 74 2","x",NA,NA,NA,NA,"sub 3 on 75 3",NA,NA
"40",2001-02-20,"Reading","0","2","league-division-2","H","",4160,NA,13,4,"Jeff Winter","Boundary Park",NA,"x","x 3 off 68","x","x","x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,"sub 1 on 45 1","x 2 off 68",NA,"sub 3 on 68 3",NA,NA,"uu","sub 2 on 68 2","x 1 off 45",NA,NA,NA,NA,"uu",NA,NA
"41",2001-02-24,"AFC Bournemouth","2","1","league-division-2","H","",4845,NA,11,12,"E K Wolstenholme","Boundary Park",NA,"x y","x 1 off 65","x","x","x","x",NA,"x",NA,"x",NA,"x 3 g pen 61 off 88",NA,NA,NA,"x","x 2 off 74",NA,"sub 2 on 74 2",NA,NA,"uu","sub 1 on 65 1 g 88","uu",NA,NA,NA,NA,"sub 3 on 88 3",NA,NA
"42",2001-03-03,"Cambridge United","0","2","league-division-2","A","",3762,NA,13,18,"Howard Webb","Abbey Stadium",NA,"x y","x 2 off 63","x","x","x","x",NA,"x",NA,"x",NA,NA,NA,NA,NA,"x","x",NA,"sub 2 on 63 2",NA,"uu","uu","sub 1 on 63 1","uu",NA,NA,NA,NA,"x 1 off 63",NA,NA
"43",2001-03-06,"Swindon Town","0","3","league-division-2","A","",4168,NA,15,19,"B Curson","The County Ground",NA,"x y","x","x","x","x","x",NA,"x",NA,"x",NA,NA,NA,NA,NA,"uu","x 2 off 72",NA,"sub 2 on 72 2","uu",NA,"uu","sub 1 on 61 1","x",NA,NA,NA,NA,"x 1 off 61",NA,NA
"44",2001-03-10,"Rotherham United","2","3","league-division-2","H","",5993,NA,14,2,"M D Messias","Boundary Park",NA,"x","x","x g 9 52","x","x y","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,"uu",NA,"sub 1 on 83 1","x","uu","uu","x 1 off 83","uu",NA,NA,NA,NA,NA,NA,NA
"45",2001-03-17,"Wycombe Wanderers","1","2","league-division-2","A","",5847,NA,17,15,"M North","Causeway Stadium",NA,"x","x 2 off 75","x","x","x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,"sub 1 on 75 1",NA,"sub 2 on 75 2","x","uu","uu","x 1 g 25 off 75","uu",NA,NA,NA,NA,NA,NA,NA
"46",2001-03-23,"Northampton Town","2","1","league-division-2","H","",4001,NA,14,9,"T Jones","-",NA,"x","x","x g 48 70","x","x","x",NA,"x",NA,"x",NA,"x",NA,NA,NA,NA,"x 1 off 53",NA,"uu","x","uu",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,"sub 1 on 53 1"
"47",2001-03-27,"Bristol City","2","2","league-division-2","A","",9568,NA,13,7,"P Taylor","Ashton Gate",NA,"x g 15","x y",NA,"x","x y","x",NA,"x y",NA,"x",NA,"x g pen 70",NA,NA,NA,NA,"x 1 off 81",NA,"uu","x","uu",NA,NA,"x","uu",NA,"uu",NA,NA,NA,"sub 1 on 81 1 y"
"48",2001-03-31,"Bury","1","1","league-division-2","H","",5787,NA,16,10,"M Fletcher","Boundary Park",NA,"x","x 3 off 74","x","x y","x","x",NA,"x",NA,"x 1 off 22",NA,"sub 1 on 22 1",NA,NA,NA,NA,"x 2 off 63",NA,"sub 3 on 74 3","x y red@45",NA,"uu","sub 2 on 63 2 g 90","x",NA,NA,"uu",NA,NA,NA,NA
"49",2001-04-07,"Oxford United","1","0","league-division-2","A","",4217,NA,15,24,"G Stretton","Manor Ground (OXF)",NA,"x","uu","x 1 off 56","x g 89","x","x",NA,"x","x",NA,NA,"x",NA,NA,NA,NA,"sub 2 on 79 2",NA,NA,"x y",NA,"uu","x 2 off 79","x 3 off 81",NA,NA,"sub 3 on 81 3",NA,NA,NA,"sub 1 on 56 1"
"50",2001-04-14,"Luton Town","0","0","league-division-2","A","",4886,NA,15,22,"P R Richards","Kenilworth Road",NA,"x","x","x","x","x","x",NA,"x","x","uu",NA,"sub 3 on 74 3 y",NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 74","uu","x 2 off 69","x 1 off 62",NA,NA,"sub 1 on 62 1",NA,NA,NA,"sub 2 on 69 2"
"51",2001-04-16,"Bristol Rovers","1","0","league-division-2","H","",6883,NA,11,21,"","Boundary Park",NA,"x g 47","x","x","x","x","x",NA,"x","x","x",NA,"x",NA,NA,NA,NA,"x 1 off 71",NA,"sub 1 on 71 1",NA,NA,"uu","uu","uu",NA,NA,NA,NA,NA,NA,"uu"
"52",2001-04-21,"Swansea City","2","1","league-division-2","A","",3261,NA,11,23,"P Armstrong","Vetch Field","x","x y",NA,"x",NA,"x y","uu",NA,"x","x","x",NA,"sub 2 on 74 2",NA,NA,NA,NA,"sub 1 on 74 1 y",NA,NA,NA,"x 1 off 74","x","x 2 off 74 y","uu",NA,NA,"uu",NA,NA,NA,"x g 54 63"
"53",2001-04-28,"Stoke City","1","2","league-division-2","H","",9359,NA,12,5,"S J Baines","Boundary Park","x","x 2 off 76","sub 1 on 68 1","x",NA,"x","x",NA,"x","x","x",NA,NA,NA,NA,NA,NA,"sub 3 on 82 3","uu",NA,NA,"x","uu","x 1 off 68",NA,NA,NA,"sub 2 on 76 2",NA,NA,NA,"x 3 g 17 off 82"
"54",2001-05-05,"Millwall","0","5","league-division-2","A","",18510,NA,15,1,"Anthony Bates","The Den",NA,"x","x 1 off 62","x",NA,"x 2 off 69","x",NA,"x","x","x",NA,"x y",NA,NA,NA,NA,"sub 2 on 69 2","sub 1 on 62 1",NA,NA,"uu","uu",NA,"uu",NA,NA,"x",NA,NA,NA,"x"
